ORF_ID,Resistance_Mechanism,ID,genome
maker-scaffold29-snap-gene-0.14-mRNA-1 protein AED:0.11 eAED:0.11 QI:0|0|0|1|1|1|4|0|340,antibiotic target alteration,gnl|BL_ORD_ID|587|hsp_num:0,ICBG1096
maker-scaffold121-augustus-gene-0.118-mRNA-1 protein AED:0.07 eAED:0.05 QI:0|0|0|1|1|1|5|0|632,antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,ICBG1096
maker-scaffold180-snap-gene-0.67-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|5|0|1543,antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,ICBG1096
augustus_masked-scaffold120-processed-gene-0.73-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|3|0|763,antibiotic target protection,gnl|BL_ORD_ID|2123|hsp_num:0,ICBG1096
maker-scaffold28-snap-gene-0.135-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|2|0|1110,antibiotic target protection,gnl|BL_ORD_ID|2123|hsp_num:0,ICBG1096
snap_masked-scaffold205-processed-gene-0.61-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|1|1|4|0|502,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold173-snap-gene-0.96-mRNA-1 protein AED:0.29 eAED:0.29 QI:0|0|0|0.75|1|1|4|0|551,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold30-snap-gene-0.36-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|0.66|0.5|4|0|2491,antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,ICBG1096
maker-scaffold30-snap-gene-0.38-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|5|0|1435,antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,ICBG1096
augustus_masked-scaffold30-processed-gene-0.86-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|2|0|1123,antibiotic target alteration,gnl|BL_ORD_ID|2130|hsp_num:0,ICBG1096
maker-scaffold30-augustus-gene-0.16-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|1|1|1|4|0|710,antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,ICBG1096
maker-scaffold30-augustus-gene-0.19-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|0.83|1|0.83|6|0|770,antibiotic efflux,gnl|BL_ORD_ID|580|hsp_num:0,ICBG1096
maker-scaffold25-augustus-gene-0.61-mRNA-1 protein AED:0.10 eAED:-0.03 QI:0|0|0|1|0.66|0.75|4|0|558,antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,ICBG1096
maker-scaffold127-snap-gene-0.95-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|4|0|1497,antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,ICBG1096
augustus_masked-scaffold60-processed-gene-0.50-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|3|0|898,antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,ICBG1096
maker-scaffold60-augustus-gene-0.39-mRNA-1 protein AED:0.08 eAED:0.08 QI:0|0|0|1|1|1|4|0|1158,antibiotic target alteration; antibiotic target replacement,gnl|BL_ORD_ID|2406|hsp_num:0,ICBG1096
augustus_masked-scaffold40-processed-gene-0.250-mRNA-1 protein AED:0.00 eAED:0.00 QI:0|-1|0|1|-1|1|1|0|925,antibiotic target alteration,gnl|BL_ORD_ID|2527|hsp_num:0,ICBG1096
augustus_masked-scaffold40-processed-gene-0.265-mRNA-1 protein AED:0.12 eAED:0.06 QI:0|0|0|1|1|1|4|0|512,antibiotic efflux,gnl|BL_ORD_ID|980|hsp_num:0,ICBG1096
maker-scaffold111-snap-gene-0.44-mRNA-1 protein AED:0.24 eAED:0.23 QI:0|0|0|1|1|1|3|0|538,antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,ICBG1096
maker-scaffold44-snap-gene-0.237-mRNA-1 protein AED:0.01 eAED:0.00 QI:0|0|0|1|1|1|3|0|422,antibiotic target alteration,gnl|BL_ORD_ID|1983|hsp_num:0,ICBG1096
maker-scaffold48-augustus-gene-0.11-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|1|1|6|0|727,antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,ICBG1096
maker-scaffold43-snap-gene-0.271-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|4|0|1209,antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,ICBG1096
maker-scaffold43-augustus-gene-0.222-mRNA-1 protein AED:0.09 eAED:0.06 QI:0|0|0|1|1|1|6|0|1226,antibiotic inactivation,gnl|BL_ORD_ID|120|hsp_num:0,ICBG1096
maker-scaffold43-snap-gene-0.281-mRNA-1 protein AED:0.21 eAED:0.21 QI:0|0|0|1|0.5|0.33|3|0|552,antibiotic target alteration,gnl|BL_ORD_ID|2292|hsp_num:0,ICBG1096
maker-scaffold193-augustus-gene-0.82-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|0.66|1|1|3|0|1383,antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,ICBG1096
augustus_masked-scaffold117-processed-gene-0.39-mRNA-1 protein AED:0.00 eAED:0.00 QI:0|-1|0|1|-1|1|1|0|576,antibiotic target alteration,gnl|BL_ORD_ID|1697|hsp_num:0,ICBG1096
maker-scaffold157-augustus-gene-0.6-mRNA-1 protein AED:0.07 eAED:0.06 QI:0|0|0|1|1|1|6|0|543,antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,ICBG1096
maker-scaffold181-augustus-gene-0.156-mRNA-1 protein AED:0.09 eAED:0.01 QI:0|0|0|1|1|1|4|0|727,antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,ICBG1096
maker-scaffold80-snap-gene-0.28-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|5|0|497,antibiotic efflux,gnl|BL_ORD_ID|1948|hsp_num:0,ICBG1096
maker-scaffold11-augustus-gene-0.57-mRNA-1 protein AED:0.07 eAED:-0.04 QI:0|0|0|1|1|1|3|0|404,antibiotic target alteration,gnl|BL_ORD_ID|1877|hsp_num:0,ICBG1096
maker-scaffold11-snap-gene-1.45-mRNA-1 protein AED:0.08 eAED:0.08 QI:0|0|0|1|1|0.8|5|0|455,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold11-snap-gene-1.57-mRNA-1 protein AED:0.01 eAED:0.00 QI:0|0|0|1|1|1|2|0|981,antibiotic target alteration,gnl|BL_ORD_ID|2112|hsp_num:0,ICBG1096
augustus_masked-scaffold9-processed-gene-0.64-mRNA-1 protein AED:0.00 eAED:0.00 QI:0|0|0|1|1|1|2|0|1726,antibiotic efflux,gnl|BL_ORD_ID|2326|hsp_num:0,ICBG1096
maker-scaffold9-snap-gene-1.62-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|0.8|0.66|6|0|930,antibiotic target alteration,gnl|BL_ORD_ID|2130|hsp_num:0,ICBG1096
snap_masked-scaffold232-processed-gene-0.30-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|3|0|619,antibiotic target alteration,gnl|BL_ORD_ID|1659|hsp_num:0,ICBG1096
maker-scaffold232-augustus-gene-0.9-mRNA-1 protein AED:0.16 eAED:0.16 QI:0|0|0|0.75|1|1|8|0|466,antibiotic target alteration,gnl|BL_ORD_ID|2092|hsp_num:0,ICBG1096
maker-scaffold232-snap-gene-0.5-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|1|1|1|3|0|483,antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,ICBG1096
snap_masked-scaffold156-processed-gene-0.129-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|4|0|1292,antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,ICBG1096
augustus_masked-scaffold151-processed-gene-0.158-mRNA-1 protein AED:0.13 eAED:0.12 QI:0|-1|0|1|-1|1|1|0|685,antibiotic efflux,gnl|BL_ORD_ID|322|hsp_num:0,ICBG1096
maker-scaffold95-augustus-gene-0.27-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|5|0|1505,antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,ICBG1096
maker-scaffold24-augustus-gene-0.19-mRNA-1 protein AED:0.28 eAED:-0.25 QI:0|0|0|0.4|0.75|0.8|5|0|1225,antibiotic efflux,gnl|BL_ORD_ID|425|hsp_num:0,ICBG1096
maker-scaffold24-snap-gene-0.320-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|3|0|517,antibiotic efflux,gnl|BL_ORD_ID|1872|hsp_num:0,ICBG1096
augustus_masked-scaffold200-processed-gene-0.102-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|1|1|1|3|0|575,antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,ICBG1096
maker-scaffold59-augustus-gene-0.5-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|2|0|567,antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,ICBG1096
maker-scaffold50-snap-gene-0.96-mRNA-1 protein AED:0.18 eAED:0.17 QI:0|0|0|1|0|0.5|2|0|488,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
augustus_masked-scaffold50-processed-gene-0.32-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|2|0|468,antibiotic target protection,gnl|BL_ORD_ID|2559|hsp_num:0,ICBG1096
augustus_masked-scaffold50-processed-gene-0.25-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|2|0|1434,antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,ICBG1096
snap_masked-scaffold116-processed-gene-0.37-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|2|0|584,antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,ICBG1096
maker-scaffold228-augustus-gene-0.1-mRNA-1 protein AED:0.14 eAED:0.13 QI:0|0|0|1|1|1|2|0|1451,antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,ICBG1096
augustus_masked-scaffold12-processed-gene-0.230-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|-1|0|1|-1|1|1|0|288,antibiotic inactivation,gnl|BL_ORD_ID|2084|hsp_num:0,ICBG1096
maker-scaffold12-snap-gene-1.16-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|0.5|0.66|3|0|1860,antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,ICBG1096
snap_masked-scaffold119-processed-gene-0.27-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|2|0|279,antibiotic efflux,gnl|BL_ORD_ID|461|hsp_num:0,ICBG1096
maker-scaffold73-augustus-gene-0.5-mRNA-1 protein AED:0.02 eAED:0.01 QI:0|0|0|0.8|0.5|0.6|5|0|1551,antibiotic efflux,gnl|BL_ORD_ID|2328|hsp_num:0,ICBG1096
maker-scaffold145-augustus-gene-0.174-mRNA-1 protein AED:0.28 eAED:0.28 QI:0|0|0|1|1|1|2|0|206,antibiotic target replacement,gnl|BL_ORD_ID|563|hsp_num:0,ICBG1096
maker-scaffold184-snap-gene-0.109-mRNA-1 protein AED:0.10 eAED:0.10 QI:0|0|0|1|1|1|3|0|825,antibiotic target alteration,gnl|BL_ORD_ID|2125|hsp_num:0,ICBG1096
maker-scaffold8-augustus-gene-1.378-mRNA-1 protein AED:0.06 eAED:-0.06 QI:0|0|0|0.66|1|0.66|3|0|1561,antibiotic efflux,gnl|BL_ORD_ID|1462|hsp_num:0,ICBG1096
snap_masked-scaffold5-processed-gene-0.131-mRNA-1 protein AED:0.00 eAED:-0.00 QI:0|-1|0|1|-1|1|1|0|360,antibiotic target alteration,gnl|BL_ORD_ID|1257|hsp_num:0,ICBG1096
snap_masked-scaffold5-processed-gene-1.203-mRNA-1 protein AED:0.01 eAED:0.00 QI:0|0|0|1|1|1|2|0|454,antibiotic target protection,gnl|BL_ORD_ID|2560|hsp_num:0,ICBG1096
maker-scaffold5-snap-gene-1.235-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|0.90|0.91|12|0|1280,antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,ICBG1096
maker-scaffold5-snap-gene-2.424-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|1|1|4|0|496,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold2-augustus-gene-0.130-mRNA-1 protein AED:0.17 eAED:0.05 QI:0|0|0|0.87|0.71|0.5|8|0|1002,antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,ICBG1096
maker-scaffold2-augustus-gene-1.140-mRNA-1 protein AED:0.03 eAED:0.01 QI:0|0|0|0.66|0.5|0.33|3|0|577,antibiotic efflux,gnl|BL_ORD_ID|2553|hsp_num:0,ICBG1096
snap_masked-scaffold2-processed-gene-3.61-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|2|0|611,antibiotic efflux,gnl|BL_ORD_ID|153|hsp_num:0,ICBG1096
maker-scaffold2-snap-gene-3.136-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|3|0|626,antibiotic target alteration,gnl|BL_ORD_ID|917|hsp_num:0,ICBG1096
snap_masked-scaffold19-processed-gene-0.488-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|2|0|452,antibiotic target protection,gnl|BL_ORD_ID|2555|hsp_num:0,ICBG1096
snap_masked-scaffold101-processed-gene-0.10-mRNA-1 protein AED:0.01 eAED:0.00 QI:0|0|0|0.66|1|1|3|0|1009,antibiotic efflux,gnl|BL_ORD_ID|2283|hsp_num:0,ICBG1096
augustus_masked-scaffold21-processed-gene-0.106-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|-1|0|1|-1|1|1|0|705,antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,ICBG1096
maker-scaffold21-snap-gene-0.434-mRNA-1 protein AED:0.09 eAED:0.09 QI:0|0|0|1|0|0|2|0|619,antibiotic efflux,gnl|BL_ORD_ID|915|hsp_num:0,ICBG1096
maker-scaffold254-snap-gene-0.3-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|1|1|1|5|0|754,antibiotic efflux,gnl|BL_ORD_ID|2283|hsp_num:0,ICBG1096
maker-scaffold100-snap-gene-0.13-mRNA-1 protein AED:0.09 eAED:0.09 QI:0|0|0|1|1|1|5|0|600,antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,ICBG1096
augustus_masked-scaffold3-processed-gene-2.470-mRNA-1 protein AED:0.04 eAED:-0.03 QI:0|-1|0|1|-1|1|1|0|410,antibiotic inactivation,gnl|BL_ORD_ID|647|hsp_num:0,ICBG1096
snap_masked-scaffold34-processed-gene-0.16-mRNA-1 protein AED:0.04 eAED:0.01 QI:0|0|0|1|1|1|2|0|537,antibiotic inactivation,gnl|BL_ORD_ID|2465|hsp_num:0,ICBG1096
maker-scaffold55-snap-gene-0.219-mRNA-1 protein AED:0.10 eAED:-0.04 QI:0|0|0|1|0.75|0.6|5|0|728,antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,ICBG1096
maker-scaffold55-snap-gene-0.213-mRNA-1 protein AED:0.10 eAED:0.10 QI:0|0|0|1|0.5|0.4|5|0|484,antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,ICBG1096
augustus_masked-scaffold55-processed-gene-0.204-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|3|0|540,antibiotic efflux,gnl|BL_ORD_ID|460|hsp_num:0,ICBG1096
snap_masked-scaffold38-processed-gene-0.281-mRNA-1 protein AED:0.08 eAED:0.04 QI:0|0|0|0.75|1|1|4|0|432,antibiotic inactivation,gnl|BL_ORD_ID|733|hsp_num:0,ICBG1096
maker-scaffold197-snap-gene-0.105-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|1|1|4|0|1070,antibiotic target alteration,gnl|BL_ORD_ID|2112|hsp_num:0,ICBG1096
maker-scaffold51-snap-gene-0.6-mRNA-1 protein AED:0.10 eAED:0.09 QI:0|0|0|1|1|1|5|0|449,antibiotic target protection,gnl|BL_ORD_ID|2555|hsp_num:0,ICBG1096
maker-scaffold51-snap-gene-0.17-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|2|0|590,antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,ICBG1096
maker-scaffold298-snap-gene-0.29-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|0.5|0.66|3|0|1390,antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,ICBG1096
maker-scaffold17-snap-gene-0.202-mRNA-1 protein AED:0.29 eAED:0.29 QI:0|0|0|1|1|1|2|0|556,antibiotic efflux,gnl|BL_ORD_ID|1981|hsp_num:0,ICBG1096
maker-scaffold17-snap-gene-1.258-mRNA-1 protein AED:0.04 eAED:0.03 QI:0|0|0|1|1|1|3|0|514,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold56-snap-gene-0.240-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|0.90|0.6|0.27|11|0|2149,antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,ICBG1096
maker-scaffold56-snap-gene-0.236-mRNA-1 protein AED:0.07 eAED:0.07 QI:0|0|0|1|1|1|4|0|465,antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,ICBG1096
maker-scaffold42-snap-gene-0.40-mRNA-1 protein AED:0.00 eAED:0.00 QI:0|0|0|1|1|1|2|0|513,antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,ICBG1096
maker-scaffold42-snap-gene-0.31-mRNA-1 protein AED:0.10 eAED:0.10 QI:0|0|0|1|1|1|3|0|538,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold52-augustus-gene-0.65-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|3|0|734,antibiotic target alteration,gnl|BL_ORD_ID|2145|hsp_num:0,ICBG1096
maker-scaffold309-augustus-gene-0.66-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|2|0|743,antibiotic efflux,gnl|BL_ORD_ID|1141|hsp_num:0,ICBG1096
maker-scaffold113-augustus-gene-0.115-mRNA-1 protein AED:0.13 eAED:0.09 QI:0|0|0|0.83|0.8|0.66|6|0|551,antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,ICBG1096
augustus_masked-scaffold18-processed-gene-0.442-mRNA-1 protein AED:0.06 eAED:0.01 QI:0|0|0|1|1|1|2|0|358,antibiotic target alteration,gnl|BL_ORD_ID|2110|hsp_num:0,ICBG1096
maker-scaffold281-augustus-gene-0.42-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|3|0|957,antibiotic target alteration,gnl|BL_ORD_ID|2129|hsp_num:0,ICBG1096
augustus_masked-scaffold83-processed-gene-0.34-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|3|0|548,antibiotic efflux,gnl|BL_ORD_ID|580|hsp_num:0,ICBG1096
maker-scaffold4-snap-gene-1.244-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|2|0|627,antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,ICBG1096
augustus_masked-scaffold4-processed-gene-1.197-mRNA-1 protein AED:0.19 eAED:0.10 QI:0|0|0|0.4|1|1|5|0|420,antibiotic target protection,gnl|BL_ORD_ID|2558|hsp_num:0,ICBG1096
maker-scaffold4-snap-gene-2.52-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|0|0|3|0|523,antibiotic efflux,gnl|BL_ORD_ID|2386|hsp_num:0,ICBG1096
maker-scaffold172-snap-gene-0.151-mRNA-1 protein AED:0.23 eAED:0.23 QI:0|0|0|1|1|1|3|0|444,antibiotic target alteration,gnl|BL_ORD_ID|2027|hsp_num:0,ICBG1096
augustus_masked-scaffold172-processed-gene-0.17-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|-1|0|1|-1|1|1|0|415,antibiotic target protection,gnl|BL_ORD_ID|810|hsp_num:0,ICBG1096
maker-scaffold202-augustus-gene-0.28-mRNA-1 protein AED:0.07 eAED:0.06 QI:0|0|0|1|1|1|3|0|496,antibiotic efflux,gnl|BL_ORD_ID|2474|hsp_num:0,ICBG1096
maker-scaffold23-snap-gene-0.411-mRNA-1 protein AED:0.03 eAED:0.02 QI:0|0|0|1|1|1|5|0|1512,antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,ICBG1096
snap_masked-scaffold194-processed-gene-0.28-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|1|1|1|2|0|713,antibiotic target protection,gnl|BL_ORD_ID|1911|hsp_num:0,ICBG1096
augustus_masked-scaffold194-processed-gene-0.9-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|1|1|1|3|0|1254,antibiotic target alteration; antibiotic target replacement,gnl|BL_ORD_ID|2406|hsp_num:0,ICBG1096
augustus_masked-scaffold126-processed-gene-0.141-mRNA-1 protein AED:0.05 eAED:0.04 QI:0|0|0|1|1|1|5|0|1144,antibiotic efflux,gnl|BL_ORD_ID|1184|hsp_num:0,ICBG1096
maker-scaffold16-snap-gene-0.18-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|0.66|1|0.66|3|0|1094,antibiotic target protection,gnl|BL_ORD_ID|1163|hsp_num:0,ICBG1096
augustus_masked-scaffold16-processed-gene-1.50-mRNA-1 protein AED:0.08 eAED:0.07 QI:0|0|0|1|1|1|2|0|181,antibiotic inactivation,gnl|BL_ORD_ID|1528|hsp_num:0,ICBG1096
maker-scaffold115-snap-gene-0.9-mRNA-1 protein AED:0.06 eAED:0.05 QI:0|0|0|1|0.4|0.33|6|0|1129,antibiotic efflux,gnl|BL_ORD_ID|2373|hsp_num:0,ICBG1096
maker-scaffold362-snap-gene-0.4-mRNA-1 protein AED:0.09 eAED:0.09 QI:0|0|0|1|1|1|3|0|517,antibiotic target replacement,gnl|BL_ORD_ID|2470|hsp_num:0,ICBG1096
maker-scaffold53-augustus-gene-0.197-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|5|0|983,antibiotic target protection,gnl|BL_ORD_ID|1928|hsp_num:0,ICBG1096
maker-scaffold32-augustus-gene-0.58-mRNA-1 protein AED:0.18 eAED:0.18 QI:0|0|0|1|1|1|3|0|779,antibiotic efflux,gnl|BL_ORD_ID|1125|hsp_num:0,ICBG1096
augustus_masked-scaffold153-processed-gene-0.30-mRNA-1 protein AED:0.02 eAED:0.02 QI:0|0|0|0.66|1|1|3|0|1302,antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,ICBG1096
snap_masked-scaffold128-processed-gene-0.4-mRNA-1 protein AED:0.00 eAED:-0.00 QI:0|-1|0|1|-1|1|1|0|620,antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,ICBG1096
augustus_masked-scaffold128-processed-gene-0.132-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|2|0|1308,antibiotic target protection,gnl|BL_ORD_ID|2301|hsp_num:0,ICBG1096
maker-scaffold39-snap-gene-0.212-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|2|0|481,antibiotic inactivation,gnl|BL_ORD_ID|2302|hsp_num:0,ICBG1096
maker-scaffold39-snap-gene-0.201-mRNA-1 protein AED:0.07 eAED:0.07 QI:0|0|0|1|1|0.66|3|0|506,antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,ICBG1096
maker-scaffold10-snap-gene-1.1-mRNA-1 protein AED:0.20 eAED:0.03 QI:0|0|0|0.85|0.66|0.57|7|0|995,antibiotic inactivation,gnl|BL_ORD_ID|733|hsp_num:0,ICBG1096
maker-scaffold10-augustus-gene-1.95-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|4|0|1078,antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,ICBG1096
augustus_masked-scaffold10-processed-gene-1.473-mRNA-1 protein AED:0.07 eAED:-0.07 QI:0|0|0|0.33|1|1|3|0|706,antibiotic inactivation,gnl|BL_ORD_ID|820|hsp_num:0,ICBG1096
maker-scaffold10-snap-gene-1.28-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|3|0|1359,antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,ICBG1096
maker-scaffold10-snap-gene-1.21-mRNA-1 protein AED:0.03 eAED:0.03 QI:0|0|0|1|1|1|3|0|785,antibiotic target alteration,gnl|BL_ORD_ID|2125|hsp_num:0,ICBG1096
snap_masked-scaffold61-processed-gene-0.225-mRNA-1 protein AED:0.05 eAED:0.05 QI:0|0|0|1|1|1|4|0|592,antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,ICBG1096
augustus_masked-scaffold61-processed-gene-0.149-mRNA-1 protein AED:0.06 eAED:0.06 QI:0|0|0|1|1|1|2|0|325,antibiotic inactivation,gnl|BL_ORD_ID|2187|hsp_num:0,ICBG1096
maker-scaffold61-augustus-gene-0.204-mRNA-1 protein AED:0.10 eAED:0.10 QI:0|0|0|1|1|1|7|0|530,antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,ICBG1096
maker-scaffold61-augustus-gene-0.209-mRNA-1 protein AED:0.07 eAED:0.07 QI:0|0|0|1|1|1|4|0|444,antibiotic target protection,gnl|BL_ORD_ID|2555|hsp_num:0,ICBG1096
snap_masked-scaffold61-processed-gene-0.247-mRNA-1 protein AED:0.45 eAED:0.42 QI:0|0|0|1|1|1|3|0|232,antibiotic inactivation,gnl|BL_ORD_ID|2103|hsp_num:0,ICBG1096
maker-scaffold15-augustus-gene-1.322-mRNA-1 protein AED:0.27 eAED:0.27 QI:0|0|0|0.66|1|1|3|0|844,antibiotic target protection,gnl|BL_ORD_ID|1222|hsp_num:0,ICBG1096
maker-scaffold162-snap-gene-0.129-mRNA-1 protein AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|3|0|505,antibiotic target alteration,gnl|BL_ORD_ID|2403|hsp_num:0,ICBG1096
maker-scaffold66-augustus-gene-0.292-mRNA-1 protein AED:0.17 eAED:-0.03 QI:0|0|0|0.75|0.66|0.5|4|0|300,antibiotic target alteration,gnl|BL_ORD_ID|1991|hsp_num:0,ICBG1096
maker-scaffold27-augustus-gene-0.49-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|1|6|0|2354,antibiotic target alteration,gnl|BL_ORD_ID|2024|hsp_num:0,ICBG1096
maker-scaffold148-snap-gene-0.115-mRNA-1 protein AED:0.01 eAED:0.01 QI:0|0|0|1|1|0.75|4|0|3889,antibiotic target alteration,gnl|BL_ORD_ID|2024|hsp_num:0,ICBG1096
augustus_masked-scaffold79-processed-gene-0.33-mRNA-1 protein AED:0.10 eAED:0.10 QI:0|0|0|1|1|1|4|0|306,antibiotic target alteration,gnl|BL_ORD_ID|2344|hsp_num:0,ICBG1096
