Gene	interpro	PANTHER	MobiDBLite	Pfam	Phobius	TMHMM	GO	PRINTS	Gene3D	SUPERFAMILY	CDD	SMART	ProSitePatterns	ProSiteProfiles	SignalP_GRAM_POSITIVE	PATHWAY	PIRSF	Hamap	Coils	SFLD	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	ProDom
maker-NODE_73_length_100376_cov_46.315006-snap-gene-0.50-mRNA-1	IPR023398	PTHR31977	mobidb-lite	PF08939	NA	NA	NA	NA	G3DSA:3.30.760.10	SSF55418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_165981_cov_49.966302-augustus-gene-0.105-mRNA-1	IPR003593	PTHR23074:SF83;PTHR23074	NA	PF04212;PF00004;PF09336;PF17862	NA	NA	GO:0005524	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.20.58.280	SSF116846;SSF52540	cd00009	SM00382;SM00745	PS00674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_314939_cov_49.752548-snap-gene-0.51-mRNA-1	IPR021109	PTHR13683:SF529;PTHR13683	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0004190;GO:0006508	PR00792	G3DSA:2.40.70.10	SSF50630	NA	NA	NA	PS51767	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA
snap_masked-NODE_144_length_60064_cov_51.525819-processed-gene-0.72-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_115198_cov_48.740916-processed-gene-0.3-mRNA-1	IPR036779	NA	mobidb-lite	PF01476	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	G3DSA:3.10.350.10	SSF54106	cd00118	SM00257	NA	PS51782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_231_length_32299_cov_47.388816-augustus-gene-0.33-mRNA-1	IPR006361	PTHR21091:SF2;PTHR21091	mobidb-lite	PF01208	NA	NA	GO:0004853;GO:0006779	NA	G3DSA:3.20.20.210	SSF51726	cd00717	NA	PS00906;PS00907	NA	NA	KEGG: 00860+4.1.1.37|MetaCyc: PWY-5531|MetaCyc: PWY-7159|MetaCyc: PWY-7766|Reactome: R-HSA-189451	NA	MF_00218	NA	NA	TIGR01464	NA	NA	NA
maker-NODE_67_length_104896_cov_45.390803-augustus-gene-0.11-mRNA-1	IPR011022	PTHR11188:SF46;PTHR11188	mobidb-lite	PF02752	NA	NA	NA	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_252_length_28426_cov_45.373123-augustus-gene-0.2-mRNA-1	IPR027097	PTHR11842:SF11;PTHR11842	NA	PF02301	NA	NA	GO:0007094	NA	G3DSA:3.30.900.10	SSF56019	NA	NA	NA	PS50815	NA	Reactome: R-HSA-141405|Reactome: R-HSA-141430|Reactome: R-HSA-141444|Reactome: R-HSA-174184|Reactome: R-HSA-176409|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_209_length_38047_cov_47.417932-processed-gene-0.81-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_215496_cov_47.709197-snap-gene-1.314-mRNA-1	IPR020846	PTHR23511;PTHR23511:SF5	mobidb-lite	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	G3DSA:1.20.1250.20	SSF103473	cd06174	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_161751_cov_50.696648-processed-gene-0.94-mRNA-1	IPR000644	PTHR13780;PTHR13780:SF35	mobidb-lite	PF00571	NA	NA	NA	NA	G3DSA:3.10.580.10	SSF54631	cd04618;cd04641	SM00116	NA	PS51371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_241765_cov_47.318621-augustus-gene-1.281-mRNA-1	IPR005522	PTHR12400:SF76;PTHR12400	mobidb-lite	PF03770	NA	NA	GO:0016301;GO:0032958	NA	G3DSA:1.10.510.50	SSF56104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_152_length_57982_cov_48.783597-augustus-gene-0.111-mRNA-1	IPR029063	NA	NA	PF13578	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_172964_cov_49.170901-processed-gene-0.115-mRNA-1	IPR013083	PTHR12888	mobidb-lite	PF04757	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	GO:0005779;GO:0006625;GO:0008022;GO:0008270	NA	G3DSA:3.30.40.10	SSF57850	NA	NA	NA	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	PIRSF038074	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_205_length_39115_cov_49.725787-processed-gene-0.75-mRNA-1	IPR002885	PTHR44149;PTHR44149:SF1	mobidb-lite	PF01535	NA	NA	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_210_length_37785_cov_50.540894-augustus-gene-0.3-mRNA-1	IPR036869	PTHR44145	mobidb-lite	PF00226	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	PR00625	G3DSA:1.10.287.110	SSF46565	cd06257	SM00271	NA	PS50076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_178887_cov_49.850123-snap-gene-0.318-mRNA-1	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	cd11651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_286_length_22117_cov_49.279081-processed-gene-0.105-mRNA-1	IPR010926	PTHR13140;PTHR13140:SF663	mobidb-lite	PF06017;PF00063;PF00018	NA	NA	GO:0003774;GO:0016459;GO:0005524;GO:0005515	PR00193	G3DSA:3.30.70.3240;G3DSA:2.30.30.40;G3DSA:1.20.58.530;G3DSA:1.20.120.720;G3DSA:1.10.10.820;G3DSA:3.40.850.10	SSF50044;SSF52540	cd01378;cd11858	SM00326;SM00242	NA	PS51456;PS50002;PS51757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_97_length_85615_cov_46.476932-snap-gene-0.202-mRNA-1	IPR022057	PTHR35329:SF1;PTHR35329	NA	PF12271	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_190492_cov_49.415507-augustus-gene-0.499-mRNA-1	IPR039781	PTHR12585:SF53;PTHR12585	mobidb-lite	PF04825	NA	NA	GO:0007062;GO:0008278;GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_164_length_54378_cov_48.397983-processed-gene-0.24-mRNA-1	IPR007109	PTHR12661;PTHR12661:SF5	mobidb-lite	PF04427	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SM00879	NA	PS50833	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_169_length_52257_cov_46.484213-processed-gene-0.116-mRNA-1	IPR006838	PTHR12242;PTHR12242:SF21	NA	PF04750	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_420_length_4288_cov_34.479933-processed-gene-0.0-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_288_length_22009_cov_49.622841-augustus-gene-0.56-mRNA-1	IPR000330	PTHR10799:SF834;PTHR10799	mobidb-lite	PF00176;PF00271;PF08797	NA	NA	GO:0005524;GO:0003676;GO:0008270;GO:0016818	NA	G3DSA:3.40.50.10810;G3DSA:3.30.40.10;G3DSA:3.40.50.300;G3DSA:1.20.120.850	SSF52540;SSF57850	cd00046;cd16572;cd00079	SM00490;SM00487;SM00910	NA	PS51194;PS50089;PS51192	NA	Reactome: R-HSA-8866654	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_200_length_40465_cov_47.598666-snap-gene-0.108-mRNA-1	IPR000326	PTHR10165;PTHR10165:SF35	mobidb-lite	PF01569	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	SSF48317	cd03390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_219827_cov_45.592399-processed-gene-1.371-mRNA-1	IPR024527	PTHR28298	mobidb-lite	PF12757	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_314939_cov_49.752548-processed-gene-0.221-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_273_length_24797_cov_46.400730-processed-gene-0.0-mRNA-1	IPR036864	PTHR31845;PTHR31845:SF17	NA	NA	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_62_length_109588_cov_47.045514-augustus-gene-0.43-mRNA-1	IPR001126	PTHR11076:SF10;PTHR11076	mobidb-lite	PF00817;PF11799	NA	NA	GO:0006281;GO:0003684	NA	G3DSA:2.30.40.20;G3DSA:3.30.70.270	SSF56672	NA	NA	NA	PS50173	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_76433_cov_47.372671-processed-gene-0.163-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_76433_cov_47.372671-processed-gene-0.161-mRNA-1	NA	PTHR23033;PTHR23033:SF34	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_209926_cov_50.031640-snap-gene-0.197-mRNA-1	IPR013320	PTHR10963:SF55;PTHR10963	mobidb-lite	PF00722	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	GO:0004553;GO:0005975	NA	G3DSA:2.60.120.200	SSF49899	cd02182	NA	NA	PS51762	SignalP-TM	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
snap_masked-NODE_3_length_261062_cov_48.596903-processed-gene-1.444-mRNA-1	IPR004000	PTHR11937;PTHR11937:SF274	mobidb-lite	PF00022	NA	NA	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	SSF53067	cd00012	SM00268	PS00432	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_41_length_136004_cov_46.387682-augustus-gene-0.29-mRNA-1	IPR006709	PTHR14150;PTHR14150:SF12	mobidb-lite	PF04615	NA	NA	GO:0006364;GO:0032040	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_172_length_51276_cov_47.937516-augustus-gene-0.124-mRNA-1	IPR024224	PTHR13677:SF3;PTHR13677	mobidb-lite	PF08616;PF07792	NA	NA	GO:0017112	NA	NA	NA	NA	NA	NA	PS50211	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_151_length_58109_cov_46.257839-snap-gene-0.17-mRNA-1	IPR000008	PTHR11254;PTHR11254:SF347	mobidb-lite	PF00397;PF00632;PF00168	NA	NA	GO:0005515;GO:0004842;GO:0006511;GO:0061630	NA	G3DSA:3.30.2160.10;G3DSA:3.90.1750.10;G3DSA:3.30.2410.10;G3DSA:2.20.70.10;G3DSA:2.60.40.150	SSF51045;SSF56204;SSF49562	cd00078;cd00201	SM00239;SM00119;SM00456	PS01159	PS50004;PS50020;PS50237	NA	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PIRSF001569	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_147705_cov_48.826031-augustus-gene-0.282-mRNA-1	IPR036322	PTHR44163	mobidb-lite	PF00400	NA	NA	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	NA	SM00320	NA	PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_108_length_76639_cov_32.607839-snap-gene-0.146-mRNA-1	IPR011990	PTHR44998	mobidb-lite	PF13432;PF13844;PF13181	NA	NA	GO:0005515	NA	G3DSA:1.25.40.10;G3DSA:3.40.50.2000;G3DSA:3.40.50.11380	SSF48452	NA	SM00028	NA	PS50293;PS50005	NA	KEGG: 00514+2.4.1.255|MetaCyc: PWY-7437|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_243_length_29963_cov_47.899920-snap-gene-0.30-mRNA-1	IPR031355	PTHR38698	mobidb-lite	PF17104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_409_length_4938_cov_43.104136-processed-gene-0.3-mRNA-1	IPR013083	PTHR11685:SF126;PTHR11685	mobidb-lite	NA	NA	NA	GO:0004842;GO:0016567	NA	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	SSF57850	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_28_length_165981_cov_49.966302-processed-gene-0.386-mRNA-1	IPR004971	PTHR12189	mobidb-lite	PF03291	NA	NA	GO:0004482	NA	NA	SSF53335	NA	NA	NA	PS51562	NA	MetaCyc: PWY-7375|Reactome: R-HSA-167160|Reactome: R-HSA-72086|Reactome: R-HSA-77075	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_183_length_47154_cov_42.531950-processed-gene-0.19-mRNA-1	IPR006086	PTHR11081:SF9;PTHR11081	mobidb-lite	PF00752;PF00867	NA	NA	GO:0004518;GO:0016788;GO:0006281;GO:0003677;GO:0003824	PR00853	G3DSA:3.40.50.1010	SSF47807;SSF88723	cd09867;cd09907	SM00484;SM00485;SM00279	PS00841;PS00842	NA	NA	Reactome: R-HSA-110362|Reactome: R-HSA-162594|Reactome: R-HSA-174437|Reactome: R-HSA-5651801|Reactome: R-HSA-5685939|Reactome: R-HSA-69166	NA	MF_00614	Coil	NA	NA	NA	NA	NA
maker-NODE_17_length_191130_cov_47.991796-augustus-gene-0.6-mRNA-1	IPR001736	PTHR18896;PTHR18896:SF74	mobidb-lite	PF00614;PF13091	NA	NA	GO:0003824;GO:0004630;GO:0006654;GO:0048017	NA	G3DSA:3.30.870.10	SSF56024	cd09138;cd09141	SM00155	NA	PS50035	NA	Reactome: R-HSA-1483148	PIRSF009376	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_184_length_46712_cov_43.449608-processed-gene-0.74-mRNA-1	IPR036396	PTHR24305;PTHR24305:SF70	NA	PF00067	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00463;PR00385	G3DSA:1.10.630.10	SSF48264	NA	NA	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_105285_cov_44.640617-snap-gene-0.13-mRNA-1	IPR000509	PTHR10114;PTHR10114:SF0	NA	PF01158	NA	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	G3DSA:1.10.10.1760	NA	NA	NA	PS01190	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_125_length_67101_cov_48.191851-snap-gene-0.27-mRNA-1	IPR016461	PTHR43712:SF5;PTHR43712	NA	PF00891	NA	NA	GO:0008168;GO:0008171	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150	SSF53335;SSF46785	NA	NA	NA	PS51683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_219827_cov_45.592399-processed-gene-1.400-mRNA-1	IPR019083	PTHR28235	NA	PF09597	NA	NA	NA	NA	NA	SSF47769	NA	SM01238	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_181_length_48104_cov_43.476937-augustus-gene-0.128-mRNA-1	NA	PTHR37849	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_247187_cov_44.829669-snap-gene-1.242-mRNA-1	IPR040202	PTHR28136;PTHR28136:SF1	mobidb-lite	PF10104	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0005635;GO:0006998;GO:0031965;GO:0055088	NA	NA	NA	NA	SM01042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_237445_cov_50.197204-augustus-gene-1.444-mRNA-1	IPR001452	PTHR15629:SF2;PTHR15629	mobidb-lite	PF00018;PF04366	NA	NA	GO:0005515	PR01887;PR00452	G3DSA:2.30.30.40	SSF50044	cd11525;cd11842	SM00326	NA	PS50002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_231_length_32299_cov_47.388816-processed-gene-0.13-mRNA-1	IPR000719	PTHR14030:SF4;PTHR14030	mobidb-lite	PF00069	NA	NA	GO:0004672;GO:0005524;GO:0006468;GO:0007094	NA	G3DSA:1.10.510.10	SSF56112	cd13981	SM00220	PS00108	PS50011	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_314939_cov_49.752548-processed-gene-2.252-mRNA-1	IPR028934	PTHR12233:SF1;PTHR12233	NA	PF03643	NA	NA	NA	NA	G3DSA:2.60.40.640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_127631_cov_48.206103-augustus-gene-0.301-mRNA-1	IPR035892	PTHR10774:SF116;PTHR10774	mobidb-lite	PF00168	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0061817;GO:0008289	NA	G3DSA:2.60.40.150	SSF49562	cd04052;cd04040;cd04044;cd04045	SM00239	NA	PS50004;PS51847	NA	NA	PIRSF037232	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_116_length_71762_cov_50.852586-processed-gene-0.294-mRNA-1	IPR002347	PTHR24314	NA	PF13561	NA	NA	GO:0016491	PR00081;PR00080	G3DSA:3.40.50.720	SSF51735	cd05233	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_189_length_45103_cov_49.305896-processed-gene-0.7-mRNA-1	IPR001841	PTHR14134;PTHR14134:SF2	mobidb-lite	PF13923	NA	NA	GO:0003697;GO:0006301;GO:0006513;GO:0061630	NA	G3DSA:3.30.40.10	SSF57850	cd16529	SM00184	PS00518	PS50800;PS50089	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	TIGR00599	NA	NA	NA
maker-NODE_220_length_35468_cov_48.893693-augustus-gene-0.78-mRNA-1	IPR011993	PTHR38697	mobidb-lite	PF00638	NA	NA	GO:0046907	NA	G3DSA:2.30.29.30	SSF50729	cd13170	SM00160	NA	PS50196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_67_length_104896_cov_45.390803-processed-gene-0.238-mRNA-1	IPR036188	PTHR43098:SF2;PTHR43098	NA	PF00743	NA	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_189_length_45103_cov_49.305896-augustus-gene-0.182-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_141_length_61473_cov_48.100349-augustus-gene-0.235-mRNA-1	IPR011057	PTHR33337;PTHR33337:SF1	mobidb-lite	PF04828	NA	NA	GO:0016846	NA	G3DSA:2.170.150.70	SSF51316	NA	NA	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_155_length_57304_cov_48.479966-snap-gene-0.2-mRNA-1	IPR018494	PTHR10972:SF102;PTHR10972	mobidb-lite	PF01237	NA	NA	NA	NA	G3DSA:1.20.120.1290;G3DSA:2.40.160.120	SSF144000	NA	NA	PS01013	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_38_length_141038_cov_47.553484-augustus-gene-0.374-mRNA-1	IPR005225	PTHR24071;PTHR24071:SF3	NA	PF00071	NA	NA	GO:0005525;GO:0003924;GO:0006913	PR00627	G3DSA:3.40.50.300	SSF52540	cd00877	SM00175;SM00174;SM00176;SM00173	NA	PS51418	NA	Reactome: R-HSA-165054|Reactome: R-HSA-1655829|Reactome: R-HSA-168333|Reactome: R-HSA-180746|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	NA	NA	TIGR00231	NA	NA	NA
augustus_masked-NODE_59_length_113128_cov_47.297157-processed-gene-0.244-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_148_length_59111_cov_50.261969-augustus-gene-0.181-mRNA-1	IPR005606	PTHR12825;PTHR12825:SF0	mobidb-lite	PF03908	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA		NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6811434	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_245_length_29562_cov_52.818787-processed-gene-0.10-mRNA-1	IPR036047	NA	NA	NA	NA	NA	GO:0005515	NA	G3DSA:1.20.1280.50	SSF81383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_314939_cov_49.752548-processed-gene-1.311-mRNA-1	IPR004854	PTHR12555;PTHR12555:SF13	mobidb-lite	PF03152	NA	NA	GO:0006511	NA	G3DSA:3.10.330.10;G3DSA:2.40.40.50	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_191130_cov_47.991796-snap-gene-0.91-mRNA-1	IPR036259	PTHR23502;PTHR23502:SF23	mobidb-lite	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	G3DSA:1.20.1250.20	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_157_length_57074_cov_44.989798-snap-gene-0.170-mRNA-1	IPR002173	PTHR10584:SF24;PTHR10584	NA	PF00294	NA	NA	GO:0016773;GO:0004001;GO:0006166	PR00989	G3DSA:3.40.1190.20;G3DSA:3.30.1110.10	SSF53613	cd01168	NA	PS00584	NA	NA	KEGG: 00230+2.7.1.20|MetaCyc: PWY-6619|Reactome: R-HSA-74217	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_105409_cov_48.274805-augustus-gene-0.186-mRNA-1	IPR011044	PTHR16288	mobidb-lite	NA	NA	NA	GO:0005515;GO:0036265	NA	G3DSA:2.130.10.10	SSF50969;SSF50978	NA	SM00320	NA	PS50294;PS50082	NA	Reactome: R-HSA-6782315	NA	MF_03056	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_127_length_65846_cov_43.895175-processed-gene-0.134-mRNA-1	IPR007219	PTHR31313:SF51;PTHR31313	mobidb-lite	PF04082;PF00172	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	G3DSA:4.10.240.10	SSF57701	cd00067;cd12148	SM00906;SM00066	PS00463	PS50048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_229998_cov_45.057580-snap-gene-0.171-mRNA-1	IPR029060	NA	mobidb-lite	PF12813	NA	NA	NA	NA	G3DSA:3.40.50.1010	SSF88723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_219827_cov_45.592399-augustus-gene-1.92-mRNA-1	IPR029063	PTHR22809:SF9;PTHR22809	mobidb-lite	PF13649	NA	NA	NA	NA	G3DSA:3.40.50.150	SSF53335	cd02440	NA	NA	NA	NA	NA	PIRSF037755	NA	NA	NA	NA	NA	NA	NA
