Gene	interpro	SUPERFAMILY	GO	PATHWAY	Gene3D	TIGRFAM	Pfam	MobiDBLite	PIRSF	Hamap	ProSiteProfiles	SMART	PRINTS	Coils	CDD	ProSitePatterns	SFLD
snap_masked-SPDT01000006.1-processed-gene-34.176-mRNA-1	IPR001138	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	NA	PF00172;PF11951	mobidb-lite	NA	NA	NA	NA	NA	NA	cd00067	NA	NA
maker-SPDT01000003.1-snap-gene-39.142-mRNA-1	IPR004853	SSF103481	NA	NA	NA	NA	PF03151	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-11.67-mRNA-1	IPR029058	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-17.2-mRNA-1	IPR002938	SSF51905	GO:0071949	NA	G3DSA:3.50.50.60	NA	PF01494	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA
augustus_masked-SPDT01000008.1-processed-gene-11.147-mRNA-1	IPR001781	SSF57716	NA	NA	G3DSA:2.10.110.10	NA	PF00412	mobidb-lite	NA	NA	PS50023	SM00132	NA	NA	cd08368;cd09397	PS00478	NA
maker-SPDT01000010.1-augustus-gene-3.11-mRNA-1	IPR029058	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	PF05057	mobidb-lite	NA	NA	NA	NA	NA	Coil	cd06503	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-8.173-mRNA-1	IPR020683	SSF48403;SSF52743	GO:0005515;GO:0004252;GO:0006508	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.200	NA	PF00023;PF00082	mobidb-lite	NA	NA	PS50297	SM00248	PR00723	Coil	cd07491	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-35.44-mRNA-1	IPR013252	SSF143026		Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	G3DSA:3.30.160.430	NA	PF08286	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000006.1-augustus-gene-19.190-mRNA-1	IPR011613	SSF48208	GO:0003824	Reactome: R-HSA-70221	G3DSA:1.50.10.10	NA	PF00723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-28.57-mRNA-1	IPR007526	SSF46689	GO:0005515;GO:0003677	NA	G3DSA:1.10.10.780	NA	PF04433	mobidb-lite	NA	NA	PS50934	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000008.1-processed-gene-6.23-mRNA-1	IPR025110	SSF56801	GO:0003824	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	PF13193;PF00501;PF16177	NA	NA	NA	NA	NA	NA	NA	cd05967	PS00455	NA
maker-SPDT01000008.1-augustus-gene-10.169-mRNA-1	IPR010730	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000013.1-augustus-gene-3.8-mRNA-1	IPR003593	SSF52540	GO:0005524	NA	G3DSA:3.40.50.300	NA	PF00004	mobidb-lite	NA	NA	NA	SM00382	NA	NA	cd00009	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-7.81-mRNA-1	NA	NA	NA	NA	NA	NA	PF02410	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-13.223-mRNA-1	IPR003593	SSF50692;SSF52540;SSF54585	GO:0005524	NA	G3DSA:3.40.50.300;G3DSA:3.10.330.10;G3DSA:2.40.40.20;G3DSA:1.10.8.60	NA	PF00004;PF17862;PF02933	mobidb-lite	NA	NA	NA	SM00382	NA	NA	cd00009	PS00674	NA
augustus_masked-SPDT01000007.1-processed-gene-49.211-mRNA-1	IPR007219	SSF57701	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	G3DSA:4.10.240.10	NA	PF04082;PF00172	mobidb-lite	NA	NA	PS50048	SM00066;SM00906	NA	Coil	cd00067;cd12148	PS00463	NA
maker-SPDT01000013.1-snap-gene-9.180-mRNA-1	IPR009081	SSF52777;SSF47336;SSF56801	GO:0003824;GO:0031177	Reactome: R-HSA-389661	G3DSA:1.10.1200.10;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.30.559.10;G3DSA:3.40.50.12780	TIGR01733	PF00668;PF00501;PF00550	NA	NA	NA	PS50075	SM01294;SM00823	NA	Coil	cd05918	PS00012;PS00455	NA
augustus_masked-SPDT01000002.1-processed-gene-14.21-mRNA-1	IPR000504	SSF54928	GO:0003676	NA	G3DSA:3.30.70.330	NA	PF00076	NA	NA	NA	PS50102	SM00360	NA	NA	cd12245;cd00590	NA	NA
maker-SPDT01000004.1-augustus-gene-24.95-mRNA-1	IPR000403	SSF56112;SSF49562;SSF48371	GO:0016301;GO:0016303;GO:0046854;GO:0048015	Reactome: R-HSA-1660499	G3DSA:3.30.1010.10;G3DSA:1.25.40.70;G3DSA:1.10.1070.11;G3DSA:2.60.40.150	NA	PF00454;PF00613;PF00792	NA	PIRSF000587	NA	PS50290;PS51547;PS51545	SM00146;SM00145;SM00142	NA	NA	cd00896;cd00870;cd08397	PS00916;PS00915	NA
maker-SPDT01000004.1-snap-gene-46.2-mRNA-1	IPR036188	SSF51905;SSF54373	GO:0071949	NA	G3DSA:3.30.9.50;G3DSA:3.50.50.60	NA	PF01494	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA
snap_masked-SPDT01000002.1-processed-gene-32.183-mRNA-1	IPR011009	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000007.1-processed-gene-39.60-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-43.57-mRNA-1	IPR022226	NA	NA	NA	NA	NA	PF12572	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-15.39-mRNA-1	IPR000289	SSF50249	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:2.40.50.140	NA	PF01200	NA	NA	MF_00292	NA	NA	NA	NA	cd04457	PS00961	NA
augustus_masked-SPDT01000007.1-processed-gene-56.118-mRNA-1	IPR009580	NA	GO:0005789;GO:0006506	Reactome: R-HSA-162710	NA	NA	PF06699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-12.134-mRNA-1	IPR019382	NA	GO:0003743;GO:0005737;GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	PF10255	NA	NA	MF_03011	PS50250	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-6.200-mRNA-1	IPR006153	NA	GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0006814;GO:0006885;GO:0015385	Reactome: R-HSA-425986	NA	TIGR00840	PF00999	mobidb-lite	NA	NA	NA	NA	PR01084	NA	NA	NA	NA
maker-SPDT01000002.1-augustus-gene-4.69-mRNA-1	IPR003615	NA	NA	NA	NA	NA	PF13391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-35.180-mRNA-1	IPR017853	SSF51445	NA	NA	G3DSA:3.20.20.80	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000001.1-processed-gene-3.230-mRNA-1	IPR038564	NA	GO:0016480	Reactome: R-HSA-8943724	G3DSA:3.40.1000.50	NA	PF09174	mobidb-lite	PIRSF037240	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000004.1-processed-gene-43.1-mRNA-1	IPR027911	NA	NA	NA	NA	NA	PF15377	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-40.57-mRNA-1	IPR018834	SSF48452	GO:0005515	Reactome: R-HSA-975957	G3DSA:1.25.40.10	NA	PF10373;PF10374	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-13.23-mRNA-1	IPR025340	NA	NA	NA	NA	NA	PF14033	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-36.66-mRNA-1	IPR007201	SSF54928	GO:0003676	NA	NA	NA	PF04059	mobidb-lite	NA	NA	PS50102	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-23.116-mRNA-1	IPR001494	SSF48371	GO:0006886;GO:0008536	NA	NA	NA	PF03810;PF08506	NA	NA	NA	PS50166	SM00913	NA	Coil	NA	NA	NA
maker-SPDT01000002.1-snap-gene-9.63-mRNA-1	IPR006110	SSF63562	GO:0003677;GO:0003899;GO:0006351;GO:0005634;GO:0005665	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	G3DSA:3.90.940.10	NA	PF01192	mobidb-lite	PIRSF500154;PIRSF000778	NA	NA	SM01409	NA	NA	NA	PS01111	NA
maker-SPDT01000007.1-augustus-gene-48.36-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000001.1-snap-gene-29.28-mRNA-1	IPR011765	SSF63411	GO:0003824;GO:0046872	NA	G3DSA:3.30.830.10	NA	PF00675;PF05193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-31.297-mRNA-1	IPR004788	SSF75445;SSF100950	GO:0004751;GO:0009052	KEGG: 00030+5.3.1.6|KEGG: 00051+5.3.1.6|KEGG: 00710+5.3.1.6|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-5659996|Reactome: R-HSA-6791461|Reactome: R-HSA-71336	G3DSA:3.30.70.260;G3DSA:3.40.50.1360	TIGR00021	PF06026	NA	NA	NA	NA	NA	NA	NA	cd01398	NA	NA
maker-SPDT01000007.1-augustus-gene-41.65-mRNA-1	IPR004358	SSF52172;SSF55785;SSF47384;SSF55874	GO:0016310;GO:0016772;GO:0000160;GO:0000155;GO:0007165;GO:0005515	Reactome: R-HSA-70895	G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.40.50.2300;G3DSA:3.30.565.10	TIGR00229	PF00512;PF02518;PF08447;PF00072;PF13188	mobidb-lite	NA	NA	PS50110;PS50112;PS50109	SM00091;SM00086;SM00388;SM00387;SM00448	PR00344	NA	cd00130;cd16922;cd00156;cd00082	NA	NA
maker-SPDT01000007.1-snap-gene-35.0-mRNA-1	IPR000571	SSF90229	GO:0046872	NA	G3DSA:4.10.1000.10	NA	PF00642	mobidb-lite	NA	NA	PS50103	SM00356	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-11.60-mRNA-1	IPR007146	NA	NA	NA	NA	NA	PF04000	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-43.60-mRNA-1	IPR019410	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	PF10294	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-3.267-mRNA-1	IPR011531	NA	GO:0006820;GO:0016021	Reactome: R-HSA-425381	G3DSA:1.10.287.570	NA	PF00955	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-32.137-mRNA-1	IPR005225	SSF52540	GO:0005525;GO:0005515	Reactome: R-HSA-6787450	G3DSA:3.30.1360.120;G3DSA:1.20.120.430;G3DSA:3.40.50.300	TIGR00231	PF12631;PF10396;PF01926	NA	NA	NA	NA	NA	PR00326	NA	cd04164	NA	NA
maker-SPDT01000011.1-snap-gene-0.17-mRNA-1	IPR001579	SSF51445;SSF54556	GO:0004553;GO:0005975;GO:0008061	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	PF00704	NA	NA	NA	NA	SM00636	NA	NA	NA	PS01095	NA
augustus_masked-SPDT01000007.1-processed-gene-44.233-mRNA-1	IPR036052	SSF53686	GO:0006535	Reactome: R-HSA-1614603	G3DSA:3.40.50.1100	NA	PF00291	NA	NA	NA	NA	NA	NA	NA	cd01561	PS00901	NA
augustus_masked-SPDT01000007.1-processed-gene-25.13-mRNA-1	IPR029045	SSF52096	GO:0003824	NA	G3DSA:3.30.300.220;G3DSA:1.10.12.10;G3DSA:3.90.226.10	NA	PF00378	NA	NA	NA	NA	NA	NA	NA	cd06558	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-11.11-mRNA-1	IPR023631	SSF75304		KEGG: 00970+6.3.5.7	G3DSA:3.90.1300.10	NA	PF01425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-54.31-mRNA-1	IPR003323	SSF54001	NA	NA	G3DSA:3.90.70.80	NA	PF02338	mobidb-lite	NA	NA	PS50802	NA	NA	Coil	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-15.4-mRNA-1	IPR002777	SSF46579	GO:0006457;GO:0016272;GO:0051082	Reactome: R-HSA-389957	G3DSA:1.10.287.370	NA	PF01920	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-15.46-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-29.68-mRNA-1	IPR020084	SSF55811	GO:0016787	KEGG: 00760+3.6.1.22|MetaCyc: PWY-5381|MetaCyc: PWY-7761	G3DSA:3.90.79.10	NA	PF00293;PF09296	NA	NA	NA	PS51462	NA	NA	NA	cd03429	PS00893	NA
augustus_masked-SPDT01000013.1-processed-gene-1.229-mRNA-1	IPR002935	SSF53335	GO:0008171	NA	G3DSA:3.40.50.150	NA	PF13578	NA	NA	NA	PS51682	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-27.42-mRNA-1	IPR012349	NA	GO:0048037	NA	G3DSA:2.30.110.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-28.147-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000006.1-protein2genome-gene-49.176-mRNA-1	IPR035994	SSF53167	GO:0003824;GO:0009116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd09008	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-9.137-mRNA-1	IPR001202	SSF51045;SSF81698	GO:0005515	NA	G3DSA:1.10.10.440;G3DSA:2.20.70.10	NA	PF00397;PF01846	mobidb-lite	NA	NA	PS50020	SM00456	NA	Coil	cd00201	PS01159	NA
augustus_masked-SPDT01000008.1-processed-gene-8.25-mRNA-1	IPR002885	NA	GO:0005515	NA	G3DSA:1.25.40.10	TIGR00756	PF13812	NA	NA	NA	PS51375	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-18.43-mRNA-1	IPR005024	NA	GO:0007034	NA	NA	NA	PF03357	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-46.169-mRNA-1	IPR004837	NA	GO:0016021;GO:0055085	Reactome: R-HSA-425561	G3DSA:1.20.1420.30	NA	PF01699	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-19.238-mRNA-1	IPR025718	NA	GO:0005515	Reactome: R-HSA-3214815|Reactome: R-HSA-427413	G3DSA:1.10.720.110	NA	PF13867	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-5.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-15.68-mRNA-1	IPR036388	SSF46785;SSF48097	GO:0035556	NA	G3DSA:1.10.10.10;G3DSA:1.20.58.1850	NA	PF00615;PF00610	mobidb-lite	NA	NA	PS50132;PS50186	SM00049;SM00315	PR01301	NA	cd08708;cd04450	NA	NA
maker-SPDT01000004.1-augustus-gene-15.67-mRNA-1	IPR010640	NA	NA	NA	NA	NA	PF06772	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000010.1-processed-gene-15.37-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-snap-gene-55.80-mRNA-1	IPR002993	SSF55729	GO:0008073	Reactome: R-HSA-350562	G3DSA:3.40.630.60	NA	PF02100	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000005.1-snap-gene-4.9-mRNA-1	IPR020845	SSF56801	GO:0003824	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	PF13193;PF00501	NA	NA	NA	NA	NA	NA	NA	cd04433	PS00455	NA
maker-SPDT01000004.1-snap-gene-11.103-mRNA-1	IPR036873	SSF52821	NA	NA	G3DSA:3.40.250.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000003.1-snap-gene-36.31-mRNA-1	IPR013087	SSF57667	GO:0003676	NA	G3DSA:3.30.160.60	NA	NA	mobidb-lite	NA	NA	NA	SM00355	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-34.25-mRNA-1	IPR017986	SSF50978	GO:0005515	NA	G3DSA:2.130.10.10	NA	PF00400	mobidb-lite	NA	NA	PS50294;PS50082	SM00320	NA	NA	NA	PS00678	NA
maker-SPDT01000007.1-augustus-gene-11.58-mRNA-1	IPR038765	SSF54001;SSF52821	GO:0016579;GO:0036459	NA	G3DSA:3.40.250.10;G3DSA:3.90.70.10	NA	PF00443;PF00581	mobidb-lite	NA	NA	PS50235;PS50206	SM00450	NA	Coil	cd02674	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-6.124-mRNA-1	IPR000246	SSF56235	GO:0016787	NA	G3DSA:3.60.20.30	NA	PF01112	NA	NA	NA	NA	NA	NA	NA	cd04513	NA	NA
maker-SPDT01000007.1-snap-gene-37.38-mRNA-1	IPR006043	NA	GO:0016020;GO:0022857;GO:0055085	Reactome: R-HSA-196836	NA	TIGR00801	PF00860	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000003.1-augustus-gene-39.129-mRNA-1	IPR023696	SSF52768		Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054	G3DSA:3.40.800.20	NA	PF00850;PF09757	mobidb-lite	PIRSF037919	NA	NA	NA	PR01270	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-43.84-mRNA-1	IPR000630	SSF56047	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.30.1490.10;G3DSA:3.30.1370.30	NA	PF00410	NA	NA	NA	NA	NA	NA	NA	NA	PS00053	NA
snap_masked-SPDT01000007.1-processed-gene-22.6-mRNA-1	IPR029012	SSF89124	NA	NA	G3DSA:1.10.287.660;G3DSA:1.10.150.460;G3DSA:1.10.246.90	NA	PF01798	NA	NA	NA	PS51358	SM00931	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-3.115-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-11.18-mRNA-1	IPR017853	SSF51445;SSF51011	GO:0003824;GO:0005975	NA	G3DSA:3.20.20.80;G3DSA:3.90.400.10;G3DSA:2.60.40.1180	NA	PF00128	NA	NA	NA	NA	SM00642	NA	NA	cd11333	NA	NA
maker-SPDT01000003.1-snap-gene-7.180-mRNA-1	IPR011008	SSF54909	NA	NA	G3DSA:3.30.70.1060	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-3.182-mRNA-1	IPR040447	NA		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	G3DSA:3.30.70.330	NA	PF17799;PF12923	NA	NA	NA	NA	NA	NA	NA	cd12950	NA	NA
maker-SPDT01000006.1-snap-gene-2.121-mRNA-1	IPR036220	SSF52413;SSF51735;SSF48179	GO:0000271;GO:0003979;GO:0016616;GO:0051287;GO:0055114	Reactome: R-HSA-173599	G3DSA:1.20.5.100;G3DSA:3.40.50.720	NA	PF03720;PF00984;PF03721	mobidb-lite	PIRSF500134;PIRSF000124	NA	NA	SM00984	NA	NA	NA	NA	NA
maker-SPDT01000003.1-augustus-gene-5.137-mRNA-1	IPR002110	SSF56176;SSF48403	GO:0005515;GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	G3DSA:1.25.40.20;G3DSA:3.30.465.40	NA	PF12796;PF01565	mobidb-lite	NA	NA	PS50088;PS51387;PS50297	SM00248	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-3.266-mRNA-1	IPR008927	SSF48179;SSF51735	GO:0055114;GO:0003857;GO:0006631;GO:0070403;GO:0016491	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+5.1.2.3+4.2.1.17+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+5.1.2.3+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002	G3DSA:1.10.1040.50;G3DSA:3.40.50.720	NA	PF02737;PF00725	NA	PIRSF000105	NA	NA	NA	NA	NA	NA	PS00067	NA
snap_masked-SPDT01000010.1-processed-gene-9.40-mRNA-1	IPR002347	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
snap_masked-SPDT01000003.1-processed-gene-9.67-mRNA-1	IPR008972	SSF49503	NA	NA	G3DSA:2.60.40.420	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd00920	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-21.183-mRNA-1	IPR000261	SSF47473	GO:0005515;GO:0005509;GO:0006897;GO:0007015	NA	G3DSA:1.10.238.10	NA	PF12761;PF12763	NA	NA	NA	PS50031;PS50222	SM00054;SM00027	NA	Coil	cd00052	PS00018	NA
augustus_masked-SPDT01000007.1-processed-gene-30.277-mRNA-1	IPR003386	SSF53474	GO:0006629;GO:0008374	NA	G3DSA:3.40.50.1820	NA	PF02450	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-9.187-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-7.194-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
