Gene	interpro	SMART	MobiDBLite	GO	SUPERFAMILY	Gene3D	Pfam	PANTHER	PATHWAY	ProSiteProfiles	CDD	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	SignalP_EUK	Hamap	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	ProDom
augustus_masked-NODE_64_length_68635_cov_13.046885-processed-gene-0.99-mRNA-1	IPR038919	NA	mobidb-lite	NA	NA	NA	NA	PTHR31011	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_91_length_59686_cov_14.327574-augustus-gene-0.7-mRNA-1	IPR018767	SM01042	mobidb-lite	GO:0031965;GO:0055088;GO:0005635;GO:0006998	NA	NA	PF10104	PTHR28136:SF1;PTHR28136	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_95743_cov_12.522036-snap-gene-0.245-mRNA-1	IPR007005	NA	mobidb-lite	GO:0005634	NA	NA	PF04921	PTHR12722;PTHR12722:SF0	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_32_length_90925_cov_13.460792-processed-gene-0.57-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR39470	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1106_length_3054_cov_9.428767-snap-gene-0.0-mRNA-1	IPR001394	NA	NA	GO:0016579;GO:0036459;GO:0006511;GO:0004843;GO:0016578	SSF54001	G3DSA:3.90.70.10	PF00443	PTHR43961;PTHR43961:SF2	NA	PS50235	NA	PS00973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_100030_cov_13.772870-snap-gene-0.72-mRNA-1	IPR023175	NA	mobidb-lite		NA	G3DSA:1.20.5.420;G3DSA:1.25.40.270	PF18097;PF04652	PTHR12741:SF4;PTHR12741	Reactome: R-HSA-162588|Reactome: R-HSA-917729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_30_length_91447_cov_13.464488-processed-gene-0.14-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR11850;PTHR11850:SF204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_113_length_51002_cov_12.844934-processed-gene-0.53-mRNA-1	IPR012951	NA	NA	GO:0016491;GO:0050660;GO:0055114;GO:0071949	SSF56176	G3DSA:3.30.465.50;G3DSA:3.30.465.40;G3DSA:3.40.462.20	PF08031;PF01565	PTHR13878:SF70;PTHR13878	NA	PS51387	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
snap_masked-NODE_48_length_78732_cov_12.558221-processed-gene-0.43-mRNA-1	IPR016135	SM00212	NA		SSF54495	G3DSA:3.10.110.10	PF00179	PTHR24067:SF154;PTHR24067	Reactome: R-HSA-983168	PS50127	cd00195	PS00183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_203_length_36038_cov_12.809223-processed-gene-0.21-mRNA-1	IPR000644	SM01240;SM00116	NA	GO:0003938;GO:0006164;GO:0055114;GO:0003824;GO:0016491	SSF51412;SSF54631	G3DSA:3.20.20.70	PF00571;PF00478	PTHR11911;PTHR11911:SF111	KEGG: 00230+1.1.1.205|KEGG: 00983+1.1.1.205|MetaCyc: PWY-5695|MetaCyc: PWY-6596|MetaCyc: PWY-7221|Reactome: R-HSA-6798695|Reactome: R-HSA-73817	PS51371	cd00381;cd04602	PS00487	NA	NA	NA	NA	NA	MF_01964	PIRSF000130	NA	NA	TIGR01302	NA	NA
maker-NODE_1_length_178588_cov_14.108595-augustus-gene-0.414-mRNA-1	IPR004837	NA	mobidb-lite	GO:0016021;GO:0055085;GO:0006816;GO:0015369	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	PF01699	PTHR31503:SF14;PTHR31503	Reactome: R-HSA-425561	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	TIGR00378	NA	NA
snap_masked-NODE_94_length_58224_cov_13.922612-processed-gene-0.2-mRNA-1	IPR003959	SM00382	mobidb-lite	GO:0005524;GO:0036402;GO:0005737;GO:0016787;GO:0030163	SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:2.40.50.140	PF17862;PF00004;PF16450	PTHR23073;PTHR23073:SF24	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	cd00009	PS00674	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01242	NA	NA
maker-NODE_68_length_67005_cov_14.686115-augustus-gene-0.139-mRNA-1	IPR001810	SM00256	NA	GO:0005515	SSF81383	G3DSA:1.20.1280.50	PF12937	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_158552_cov_13.793940-snap-gene-0.250-mRNA-1	IPR002076	NA	mobidb-lite	GO:0016021	NA	NA	PF01151	PTHR11157;PTHR11157:SF12	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|Reactome: R-HSA-75876	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_605_length_11501_cov_13.866538-processed-gene-0.4-mRNA-1	IPR008441	NA	NA	NA	SSF53448	G3DSA:3.90.550.20	PF05704	PTHR12042;PTHR12042:SF30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_71097_cov_13.471326-processed-gene-0.9-mRNA-1	IPR029149	SM01287;SM01286;SM01285	mobidb-lite	GO:0035101	SSF55920	G3DSA:3.40.350.10;G3DSA:2.30.29.150;G3DSA:2.30.29.30;G3DSA:2.30.29.210;G3DSA:3.90.230.10	PF14826;PF00557;PF08512;PF08644	PTHR13980	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	cd01091	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_104966_cov_14.456681-processed-gene-0.163-mRNA-1	IPR006195	NA	mobidb-lite	GO:0000166;GO:0004816;GO:0005524;GO:0006421;GO:0004812;GO:0006418;GO:0003676	SSF50249;SSF55681	G3DSA:2.40.50.140;G3DSA:3.30.930.10;G3DSA:1.10.10.1430	PF00152;PF01336	PTHR22594:SF16;PTHR22594	KEGG: 00970+6.1.1.22	PS50862	cd00776;cd04323	NA	NA	NA	PR01042	NA	NA	NA	NA	NA	NA	TIGR00457	NA	NA
augustus_masked-NODE_388_length_21098_cov_13.803443-processed-gene-0.6-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_45104_cov_13.563088-augustus-gene-0.21-mRNA-1	IPR021582	NA	mobidb-lite	NA	NA	NA	PF11489	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_119_length_49776_cov_13.907531-processed-gene-0.21-mRNA-1	IPR017946	NA	mobidb-lite	GO:0006629;GO:0008081	SSF51695	G3DSA:3.20.20.190	NA	PTHR13593	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	Coil	SignalP-noTM	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_271_length_29895_cov_13.741702-augustus-gene-0.3-mRNA-1	IPR013087	NA	mobidb-lite	GO:0003676;GO:0005515	SSF46934;SSF54236	G3DSA:3.10.20.90;G3DSA:1.10.8.10	PF00789	PTHR13020;PTHR13020:SF42	NA	PS50157;PS50033	NA	PS00028	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_143_length_44775_cov_13.852020-processed-gene-0.25-mRNA-1	IPR010613	NA	mobidb-lite	GO:0005730;GO:0042254	SSF52113	G3DSA:3.40.50.10190	PF06732	PTHR12221	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	Coil	NA	MF_03028	NA	NA	NA	NA	NA	NA
maker-NODE_298_length_27663_cov_12.503450-augustus-gene-0.21-mRNA-1	IPR008685	NA	mobidb-lite	GO:0000278;GO:0000775;GO:0005634	NA	NA	PF05859	PTHR14527	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_95_length_57459_cov_14.143550-processed-gene-0.24-mRNA-1	IPR018935	SM00090	NA	GO:0004674;GO:0005524;GO:0006468;GO:0004672	SSF56112;SSF46785	G3DSA:1.10.510.10;G3DSA:1.10.10.10;G3DSA:3.30.200.20	PF09202;PF01163	PTHR10593:SF36;PTHR10593	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	NA	cd05144	PS01245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_72_length_66399_cov_13.134672-processed-gene-0.7-mRNA-1	IPR001951	SM00803;SM00417	mobidb-lite	GO:0003677;GO:0000786;GO:0005634;GO:0006334;GO:0046982;GO:0006352	SSF47113	G3DSA:1.10.20.10	PF15511	PTHR10484;PTHR10484:SF160	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-1912408|Reactome: R-HSA-201722|Reactome: R-HSA-212300|Reactome: R-HSA-2299718|Reactome: R-HSA-2559580|Reactome: R-HSA-2559582|Reactome: R-HSA-2559586|Reactome: R-HSA-3214815|Reactome: R-HSA-3214841|Reactome: R-HSA-3214842|Reactome: R-HSA-3214847|Reactome: R-HSA-3214858|Reactome: R-HSA-427359|Reactome: R-HSA-427389|Reactome: R-HSA-427413|Reactome: R-HSA-4551638|Reactome: R-HSA-5250924|Reactome: R-HSA-5334118|Reactome: R-HSA-5578749|Reactome: R-HSA-5617472|Reactome: R-HSA-5625886|Reactome: R-HSA-5693565|Reactome: R-HSA-5693571|Reactome: R-HSA-5693607|Reactome: R-HSA-606279|Reactome: R-HSA-69473|Reactome: R-HSA-73728|Reactome: R-HSA-73777|Reactome: R-HSA-8936459|Reactome: R-HSA-8939236|Reactome: R-HSA-9018519|Reactome: R-HSA-912446|Reactome: R-HSA-977225	NA	cd00076	PS00047	NA	NA	PR00623	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_45_length_80866_cov_13.692627-processed-gene-0.209-mRNA-1	IPR039361	SM00385;SM01332	mobidb-lite	GO:0005634	SSF47954	G3DSA:1.10.472.10	PF02984;PF00134	PTHR10177;PTHR10177:SF348	NA	NA	cd00043	PS00292	NA	NA	NA	NA	NA	NA	PIRSF001771	NA	NA	NA	NA	NA
snap_masked-NODE_1204_length_2613_cov_9.631537-processed-gene-0.0-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_88311_cov_13.772600-snap-gene-0.22-mRNA-1	IPR001138	SM00906;SM00066	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	G3DSA:4.10.240.10	PF04082;PF00172	PTHR43374:SF1;PTHR43374	NA	PS50048	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_93834_cov_13.421857-processed-gene-0.26-mRNA-1	IPR001609	SM00242	mobidb-lite	GO:0003774;GO:0005524;GO:0016459;GO:0051015	SSF90257;SSF52540	G3DSA:3.40.850.10;G3DSA:2.30.30.360;G3DSA:1.20.5.1050;G3DSA:1.20.120.720;G3DSA:1.20.58.530;G3DSA:4.10.270.10;G3DSA:3.30.70.3240	PF02736;PF00063;PF01576	PTHR13140:SF574;PTHR13140	NA	PS51456;PS51844	cd01377	NA	NA	NA	PR00193	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_89184_cov_12.718270-processed-gene-0.232-mRNA-1	IPR007219	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	PTHR19818:SF122;PTHR19818	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_401_length_20271_cov_15.018963-processed-gene-0.3-mRNA-1	IPR007568	NA	mobidb-lite	GO:0016021	NA	NA	PF04479	PTHR31465;PTHR31465:SF9	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_358_length_23592_cov_14.666141-augustus-gene-0.12-mRNA-1	IPR038271	NA	NA	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	G3DSA:1.10.4160.10	PF02133	PTHR31806:SF5;PTHR31806	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	PIRSF002744	NA	NA	NA	NA	NA
augustus_masked-NODE_580_length_12389_cov_13.177214-processed-gene-0.3-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_249_length_31663_cov_12.925292-processed-gene-0.4-mRNA-1	IPR036457	NA	NA	GO:0003824	SSF81606	G3DSA:3.60.40.10	PF07228	PTHR12320:SF1;PTHR12320	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS51746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_61_length_69890_cov_14.566891-snap-gene-0.99-mRNA-1	IPR015590	NA	NA	GO:0016491;GO:0055114;GO:0016620	SSF53720	G3DSA:3.40.605.10;G3DSA:3.40.309.10	PF00171	PTHR11699:SF198;PTHR11699	NA	NA	NA	PS00687;PS00070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_67005_cov_14.686115-augustus-gene-0.136-mRNA-1	IPR002466	SM00552	mobidb-lite	GO:0003723;GO:0004000;GO:0006396	NA	NA	PF02137	PTHR10910;PTHR10910:SF62	NA	PS50141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_291_length_28397_cov_13.289070-snap-gene-0.22-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_83_length_62673_cov_13.058373-snap-gene-0.21-mRNA-1	IPR026195	NA	mobidb-lite		SSF53474	G3DSA:3.40.50.1820	PF12697	PTHR17384;PTHR17384:SF6	Reactome: R-HSA-202733	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_415_length_19630_cov_12.127621-snap-gene-0.52-mRNA-1	IPR003689	NA	mobidb-lite	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	PF02535	PTHR16133;PTHR16133:SF0	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_217_length_35021_cov_12.950106-processed-gene-0.7-mRNA-1	IPR019510	NA	NA		SSF55144	G3DSA:3.90.1140.10	PF10469	PTHR13360	Reactome: R-HSA-112126	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_199_length_36317_cov_13.159519-processed-gene-0.10-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_338_length_24618_cov_12.771957-processed-gene-0.1-mRNA-1	IPR018108	NA	mobidb-lite	GO:0022857	SSF103506	G3DSA:1.50.40.10	PF00153	PTHR24089;PTHR24089:SF25	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_529_length_14270_cov_11.808315-processed-gene-0.0-mRNA-1	IPR029058	NA	NA	NA	SSF53474	NA	PF08386;PF00561	PTHR43487:SF2;PTHR43487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_491_length_15936_cov_12.592321-augustus-gene-0.9-mRNA-1	IPR007219	SM00906	mobidb-lite	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0005956;GO:0019887	NA	NA	PF04082	PTHR11740;PTHR11740:SF14	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_899_length_4909_cov_14.332079-snap-gene-0.0-mRNA-1	IPR004835	NA	mobidb-lite	GO:0016758;GO:0004100;GO:0006031	NA	NA	PF01644;PF08407	PTHR22914;PTHR22914:SF38	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	cd04190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD002998
maker-NODE_38_length_83942_cov_15.047020-snap-gene-0.51-mRNA-1	IPR036396	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	G3DSA:1.10.630.10	PF00067	PTHR24305:SF149;PTHR24305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_114886_cov_12.062792-processed-gene-0.27-mRNA-1	IPR001406	NA	mobidb-lite	GO:0001522;GO:0003723;GO:0009451;GO:0009982	SSF55120	G3DSA:3.30.70.580	PF01416	PTHR11142;PTHR11142:SF5	NA	NA	cd02569	NA	NA	NA	NA	NA	NA	MF_00171	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_167_length_40370_cov_13.280397-processed-gene-0.145-mRNA-1	IPR016161	NA	NA	GO:0016491;GO:0055114;GO:0016620;GO:0004491	SSF53720	G3DSA:3.40.309.10;G3DSA:3.40.605.10	PF00171	PTHR43866:SF3;PTHR43866	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	NA	cd07085	PS00070	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01722	NA	NA
maker-NODE_12_length_114886_cov_12.062792-snap-gene-0.10-mRNA-1	IPR020617	SM00268	mobidb-lite	GO:0016747;GO:0003824	SSF53067;SSF53901	G3DSA:3.30.420.40;G3DSA:3.40.47.10;G3DSA:3.90.640.10	PF02803;PF00022	PTHR18919:SF89;PTHR18919	NA	NA	cd00012;cd00829	PS01132;PS00737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_46_length_79345_cov_13.617675-augustus-gene-0.123-mRNA-1	IPR011989	SM01036	mobidb-lite		SSF48371	G3DSA:1.25.10.10	PF12397;PF08146	PTHR13457	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_532_length_14204_cov_12.008596-augustus-gene-0.0-mRNA-1	IPR029056	NA	NA	GO:0016773	SSF53613	G3DSA:3.40.1190.20	PF00294	PTHR43085:SF1;PTHR43085	NA	NA	NA	PS00584	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_155132_cov_13.519809-processed-gene-0.291-mRNA-1	IPR029044	NA	mobidb-lite	GO:0016758	SSF53448	NA	PF03142	PTHR22914:SF10;PTHR22914	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_813_length_5933_cov_11.223045-augustus-gene-0.43-mRNA-1	IPR019845	NA	mobidb-lite	GO:0016765;GO:0004310;GO:0006696;GO:0051996;GO:0008610;GO:0016021;GO:0009058;GO:0016740	SSF48576	G3DSA:1.10.600.10	PF00494	PTHR11626	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	NA	cd00683	PS01044	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	TIGR01559	SFLDS00005;SFLDG01018	NA
augustus_masked-NODE_287_length_28588_cov_13.362601-processed-gene-0.49-mRNA-1	IPR016130	NA	mobidb-lite	GO:0004725;GO:0016311;GO:0008138	SSF52799	G3DSA:3.90.190.10	PF00782	PTHR12305:SF32;PTHR12305	NA	PS51181	NA	PS00383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_235_length_33206_cov_12.329363-snap-gene-0.30-mRNA-1	IPR005365	NA	mobidb-lite	NA	NA	NA	PF03666	PTHR13153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_152041_cov_14.124794-snap-gene-0.123-mRNA-1	IPR027640	SM00129	mobidb-lite	GO:0003777;GO:0007018;GO:0005524;GO:0008017	SSF52540	G3DSA:3.40.850.10	PF00225	PTHR24115;PTHR24115:SF557	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS50067	cd01370	PS00411	NA	NA	PR00380	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_323_length_25612_cov_11.664430-processed-gene-0.28-mRNA-1	IPR008266	NA	mobidb-lite	GO:0004672;GO:0006468	SSF56112	G3DSA:1.10.510.10	PF17667	PTHR38248	NA	NA	NA	PS00109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_45104_cov_13.563088-augustus-gene-0.18-mRNA-1	IPR001452	SM00326	mobidb-lite	GO:0005515	SSF50044	G3DSA:2.30.30.40	PF00018;PF04366	PTHR15629:SF2;PTHR15629	NA	PS50002	cd11525;cd11842	NA	NA	NA	PR01887;PR00452	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_95528_cov_13.636146-processed-gene-0.240-mRNA-1	IPR006721	NA	mobidb-lite	GO:0000275;GO:0015986;GO:0046933	SSF48690	G3DSA:1.10.1620.20	PF04627	PTHR12448	NA	NA	cd12153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_456_length_17784_cov_12.695475-processed-gene-0.35-mRNA-1	IPR013922	NA	NA	GO:0000079;GO:0019901	NA	G3DSA:1.10.472.10	PF08613	PTHR15615;PTHR15615:SF27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
