Gene	interpro	GO	SMART	Pfam	PANTHER	Gene3D	SUPERFAMILY	ProSiteProfiles	MobiDBLite	CDD	Coils	PATHWAY	ProSitePatterns	PIRSF	PRINTS	Phobius	TMHMM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_59_length_182394_cov_52.306144-augustus-gene-0.26-mRNA-1	IPR036433	GO:0003746;GO:0006414;GO:0005515	SM01183	PF02798;PF00043;PF00647	PTHR43986	G3DSA:3.30.70.1010;G3DSA:3.40.30.10;G3DSA:1.20.1050.10	SSF89942;SSF52833;SSF47616	PS50404;PS50405;PS50040	mobidb-lite	cd03181;cd03044	NA	Reactome: R-HSA-156842	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358	NA	NA
augustus_masked-NODE_51_length_210707_cov_53.433251-processed-gene-1.25-mRNA-1	IPR001375	GO:0006508;GO:0008236	NA	PF00326	PTHR42776:SF11;PTHR42776	G3DSA:2.120.10.30;G3DSA:3.40.50.1820	SSF53474;SSF82171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-2.33-mRNA-1	IPR038499	GO:0005515	SM01041	PF03097;PF13949	PTHR23030:SF30;PTHR23030	G3DSA:1.25.40.280;G3DSA:1.20.140.50;G3DSA:1.20.120.560	NA	PS51180	mobidb-lite	cd09237;cd09242	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_155_length_32029_cov_39.428343-augustus-gene-0.0-mRNA-1	IPR016181	NA	NA	NA	PTHR34815	G3DSA:3.40.630.30	SSF55729	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_316251_cov_50.101138-augustus-gene-0.29-mRNA-1	IPR006939	GO:0000228;GO:0006338	NA	PF04855	PTHR10019;PTHR10019:SF9	NA	SSF57716	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_71_length_154026_cov_47.492362-processed-gene-0.22-mRNA-1	IPR029021	GO:0008138;GO:0016311;GO:0016791;GO:0006470	SM00195	PF00782	PTHR10159:SF293;PTHR10159	G3DSA:3.90.190.10	SSF52799	PS50056;PS50054	mobidb-lite	NA	NA	NA	NA	PIRSF000941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_438591_cov_42.476801-augustus-gene-2.44-mRNA-1	IPR036426	NA	SM00710	PF13229	NA	G3DSA:2.90.10.10;G3DSA:2.160.20.10	SSF51126;SSF51110	PS51257	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_6_length_597252_cov_45.352752-augustus-gene-2.43-mRNA-1	IPR018240	GO:0006886;GO:0016192;GO:0030131	NA	PF00928	PTHR10529;PTHR10529:SF262	G3DSA:2.60.40.1170	SSF64356;SSF49447	PS51072	NA	cd09250	NA	NA	PS00991	PIRSF005992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_592919_cov_50.166630-augustus-gene-2.37-mRNA-1	NA	NA	NA	NA	PTHR37332	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_66_length_161278_cov_31.015333-processed-gene-0.19-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_101_length_88031_cov_43.907524-augustus-gene-0.13-mRNA-1	IPR000999	GO:0004525;GO:0006396;GO:0003676;GO:0005524;GO:0016891	SM00535;SM00490;SM00487	PF00271;PF00636;PF00270;PF03368	PTHR14950:SF44;PTHR14950	G3DSA:3.40.50.300;G3DSA:3.30.160.380;G3DSA:1.20.1320.30;G3DSA:1.10.1520.10	SSF52540;SSF69065;SSF54768	PS51192;PS50142;PS51327;PS50137;PS51194	NA	cd00079;cd00046;cd00593	Coil	Reactome: R-HSA-203927	PS00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_280547_cov_51.498181-processed-gene-0.37-mRNA-1	IPR033749	GO:0008299;GO:0004161;GO:0004337;GO:0033384;GO:0045337	NA	PF00348	PTHR11525:SF0;PTHR11525	G3DSA:1.10.600.10	SSF48576	NA	NA	cd00685	NA	KEGG: 00900+2.5.1.10+2.5.1.1|MetaCyc: PWY-5122|MetaCyc: PWY-5123|MetaCyc: PWY-6383|MetaCyc: PWY-6859|MetaCyc: PWY-7102|MetaCyc: PWY-7141|MetaCyc: PWY-7182|MetaCyc: PWY-7410|MetaCyc: PWY-7659|MetaCyc: PWY-7709|MetaCyc: PWY-7721|MetaCyc: PWY-7736	PS00444;PS00723	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01017	NA	NA
augustus_masked-NODE_38_length_285069_cov_55.745903-processed-gene-1.1-mRNA-1	IPR000979	GO:0030904;GO:0042147	NA	PF12850	PTHR11124;PTHR11124:SF12	G3DSA:3.60.21.10	SSF56300	NA	NA	cd07394	NA	Reactome: R-HSA-3238698	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00040	NA	NA	NA
maker-NODE_83_length_123571_cov_47.203056-augustus-gene-0.5-mRNA-1	IPR007751	NA	NA	PF05057	PTHR12482:SF11;PTHR12482	NA	SSF53474	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_114_length_77528_cov_51.197749-augustus-gene-0.9-mRNA-1	IPR029033	NA	NA	NA	NA	G3DSA:3.40.50.1240	SSF53254	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_97_length_94065_cov_37.927601-processed-gene-0.23-mRNA-1	IPR035985	GO:0008641	NA	PF00899	PTHR10953:SF162;PTHR10953	G3DSA:3.40.50.720	SSF69572	NA	mobidb-lite	cd01492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_287812_cov_44.543900-augustus-gene-0.0-mRNA-1	IPR015943	GO:0005515;GO:0003676;GO:0005634	NA	PF03178;PF10433	PTHR10644:SF1;PTHR10644	G3DSA:2.130.10.10	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_197038_cov_46.543520-augustus-gene-0.68-mRNA-1	IPR026846	GO:0000724;GO:0019789;GO:0030915;GO:0008270	NA	PF11789	PTHR21330	G3DSA:3.30.40.10	SSF57850	PS51044	mobidb-lite	cd16651	Coil	Reactome: R-HSA-3108214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_589706_cov_44.515434-augustus-gene-0.6-mRNA-1	IPR018827	NA	NA	PF10355;PF10348	PTHR31685:SF3;PTHR31685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_113970_cov_55.250046-augustus-gene-0.37-mRNA-1	IPR014898	GO:0003677	NA	PF08790	PTHR13100	G3DSA:2.20.28.110	SSF57667	PS51804	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_438591_cov_42.476801-augustus-gene-3.17-mRNA-1	IPR004240	GO:0016021	NA	PF02990	PTHR10766:SF55;PTHR10766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	TMhelix	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_389369_cov_49.707909-processed-gene-1.21-mRNA-1	IPR039295	GO:0005034;GO:0005887;GO:0007232	NA	NA	PTHR35778	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	TMhelix	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_114_length_77528_cov_51.197749-processed-gene-0.25-mRNA-1	IPR001680	GO:0005515;GO:0006406	SM00320	PF00400	PTHR10971;PTHR10971:SF11	G3DSA:2.130.10.10	SSF50978	PS50082;PS50294	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	PR00320	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_592919_cov_50.166630-augustus-gene-1.37-mRNA-1	IPR015399	NA	SM00271	PF09320;PF00226	PTHR43908;PTHR43908:SF3	G3DSA:1.10.287.110	SSF46565	PS50076	mobidb-lite	cd06257	NA	NA	NA	NA	PR00625	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_100_length_88382_cov_48.767492-processed-gene-0.2-mRNA-1	IPR001202	GO:0005515	SM00456	PF00397	PTHR23181;PTHR23181:SF11	G3DSA:2.20.70.10	SSF51045	PS50020	mobidb-lite	cd00201	NA	NA	PS01159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_597252_cov_45.352752-processed-gene-0.7-mRNA-1	IPR003445	GO:0006812;GO:0008324;GO:0055085	NA	PF02386	PTHR31064;PTHR31064:SF21	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_306659_cov_41.519094-augustus-gene-1.2-mRNA-1	IPR029055	GO:0004298;GO:0005839;GO:0051603	NA	PF00227	PTHR11599;PTHR11599:SF59	G3DSA:3.60.20.10	SSF56235	PS51476	NA	cd03757	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_88_length_110608_cov_47.684317-processed-gene-0.22-mRNA-1	IPR000092	GO:0008299	NA	PF00348	PTHR12001:SF44;PTHR12001	G3DSA:1.10.600.10	SSF48576	NA	NA	NA	Coil	NA	PS00444;PS00723	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005	NA	NA
augustus_masked-NODE_46_length_236884_cov_44.438762-processed-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_242636_cov_44.232622-processed-gene-1.55-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN	TMhelix	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_5_length_672795_cov_35.514266-augustus-gene-2.18-mRNA-1	IPR003439	GO:0005524;GO:0016887	SM00382;SM00298	PF00005;PF00385	PTHR19211;PTHR19211:SF44	G3DSA:3.40.50.300;G3DSA:1.25.10.10;G3DSA:2.40.50.990	SSF52540;SSF48371;SSF54160	PS50893	mobidb-lite	cd03221	NA	NA	PS00211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_76_length_137587_cov_53.700800-processed-gene-0.40-mRNA-1	IPR014816	GO:0016429;GO:0030488;GO:0031515	NA	PF08704	PTHR12133;PTHR12133:SF2	G3DSA:3.10.330.20	SSF53335	PS51620	mobidb-lite	NA	Coil	MetaCyc: PWY-6829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_672795_cov_35.514266-augustus-gene-4.33-mRNA-1	IPR036291	GO:0003978;GO:0006012	NA	PF16363	PTHR43725;PTHR43725:SF8	G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA	NA	cd05247	NA	KEGG: 00052+5.1.3.2|KEGG: 00520+5.1.3.2|MetaCyc: PWY-3821|MetaCyc: PWY-6317|MetaCyc: PWY-6397|MetaCyc: PWY-6527|MetaCyc: PWY-7328|MetaCyc: PWY-7344|Reactome: R-HSA-5609977|Reactome: R-HSA-70370	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01179	NA	NA	NA
maker-NODE_48_length_218510_cov_38.054963-augustus-gene-0.5-mRNA-1	IPR003120	GO:0003700;GO:0005634;GO:0006355;GO:0003676	SM00355;SM00424	PF02200	PTHR14596:SF46;PTHR14596	G3DSA:3.30.160.60	SSF57667	PS50157	mobidb-lite	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD018365
augustus_masked-NODE_57_length_192955_cov_41.491173-processed-gene-0.24-mRNA-1	IPR019189		NA	PF09809	PTHR21338	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_82174_cov_51.600522-processed-gene-0.34-mRNA-1	IPR036305	NA	NA	NA	NA	NA	SSF48097	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-2.40-mRNA-1	IPR011701	GO:0016021;GO:0055085	NA	PF07690	PTHR23502;PTHR23502:SF23	G3DSA:1.20.1250.20	SSF103473	PS50850	mobidb-lite	cd06174	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_389369_cov_49.707909-augustus-gene-0.42-mRNA-1	IPR018936	GO:0016301;GO:0046854;GO:0048015;GO:0016773	SM00146	PF00454;PF11522	PTHR10048:SF22;PTHR10048	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10	SSF56112;SSF48371	PS50290;PS51545	mobidb-lite	cd05168	NA	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	PS00915;PS00916	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_303124_cov_51.905705-augustus-gene-1.6-mRNA-1	IPR039544	GO:0030150;GO:0051087	SM00978	PF04280	PTHR10721	G3DSA:3.10.450.240	SSF54427	NA	mobidb-lite	NA	NA	Reactome: R-HSA-1268020	NA	PIRSF037871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_399465_cov_44.223703-processed-gene-2.1-mRNA-1	IPR009723	GO:0000172;GO:0001682;GO:0005655	NA	PF06978;PF08170	PTHR22731	NA	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_337529_cov_39.967259-processed-gene-0.28-mRNA-1	IPR003347	GO:0005515	SM00320;SM00558	PF00400;PF13621	PTHR45525	G3DSA:1.20.58.2110;G3DSA:2.130.10.10;G3DSA:2.60.120.650	SSF51197;SSF50978	PS51184;PS50294;PS50082	mobidb-lite	cd00200	Coil	NA	PS00678	NA	PR00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_438591_cov_42.476801-processed-gene-3.33-mRNA-1	IPR019258	GO:0003712;GO:0006357;GO:0016592	NA	PF10018	NA	NA	NA	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_280547_cov_51.498181-processed-gene-0.45-mRNA-1	IPR001650	GO:0003676;GO:0005524;GO:0004386	SM00490;SM00487;SM00847	PF00270;PF07717;PF00271;PF04408	PTHR18934:SF99;PTHR18934	G3DSA:1.20.120.1080;G3DSA:3.40.50.300	SSF52540	PS51192;PS51194	mobidb-lite	cd00046;cd00079	Coil	NA	PS00690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_229964_cov_56.757006-processed-gene-0.1-mRNA-1	IPR037151	GO:0016491;GO:0055114	NA	PF13532	PTHR31573	G3DSA:2.60.120.590	SSF51197	PS51471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_501630_cov_42.910320-augustus-gene-2.25-mRNA-1	IPR036879	GO:0003677;GO:0046983;GO:0000981;GO:0000987;GO:0045944	SM00432	PF00319	PTHR11945:SF221;PTHR11945	G3DSA:3.40.1810.10	SSF55455	PS50066	mobidb-lite	cd00266	NA	Reactome: R-HSA-375170	PS00350	NA	PR00404	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-0.23-mRNA-1	IPR007886	GO:0004754;GO:0009085	SM01003;SM01002	PF05222	PTHR11133:SF15;PTHR11133	G3DSA:3.40.50.720	SSF52283;SSF51735	NA	NA	cd12188	NA	KEGG: 00300+1.5.1.7|KEGG: 00310+1.5.1.7	NA	PIRSF018250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_775689_cov_45.339792-augustus-gene-2.6-mRNA-1	IPR005024	GO:0007034	NA	PF03357	PTHR22761;PTHR22761:SF5	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_533797_cov_51.760206-processed-gene-1.34-mRNA-1	NA	NA	NA	NA	PTHR37019;PTHR37019:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_280547_cov_51.498181-augustus-gene-1.3-mRNA-1	IPR027795	NA	NA	PF13840	PTHR31131;PTHR31131:SF6	G3DSA:3.30.2130.10	SSF55021	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_41_length_270935_cov_45.967634-processed-gene-1.36-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_172548_cov_43.885727-processed-gene-0.37-mRNA-1	IPR012951	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	PF08031;PF01565	PTHR13878:SF50;PTHR13878	G3DSA:3.30.465.40;G3DSA:3.40.462.20	SSF56176	PS51387	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_218510_cov_38.054963-augustus-gene-0.14-mRNA-1	IPR000873	GO:0003824	NA	PF00501;PF13193	PTHR43859;PTHR43859:SF4	G3DSA:3.40.50.12780;G3DSA:3.30.300.310	SSF56801	NA	NA	NA	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_797078_cov_49.968901-augustus-gene-2.29-mRNA-1	IPR012340	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0003676	NA	PF00152;PF01336	PTHR22594:SF34;PTHR22594	G3DSA:2.40.50.140	SSF50249;SSF55681	PS50862	mobidb-lite	cd00776;cd04318	NA	NA	NA	NA	PR01042	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_576710_cov_38.331728-augustus-gene-0.24-mRNA-1	IPR013155	GO:0004812;GO:0006418;GO:0000166;GO:0005524;GO:0002161;GO:0004822;GO:0006428;GO:0000049	NA	PF08264;PF00133	PTHR42765:SF1;PTHR42765	G3DSA:3.90.740.10;G3DSA:1.10.730.20;G3DSA:3.40.50.620	SSF47323;SSF50677;SSF52374	NA	mobidb-lite	cd07960	NA	KEGG: 00970+6.1.1.5	NA	NA	PR00984	NA	NA	NA	NA	NA	TIGR00392	NA	NA	NA
augustus_masked-NODE_11_length_501630_cov_42.910320-processed-gene-2.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_672795_cov_35.514266-augustus-gene-5.60-mRNA-1	IPR018303	GO:0016021;GO:0000166	SM00831	PF00122;PF00690;PF00702;PF00689	PTHR42861:SF12;PTHR42861	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000	SSF81660;SSF81653;SSF56784;SSF81665	NA	mobidb-lite	NA	NA	Reactome: R-HSA-936837	PS00154	NA	PR00119;PR00120	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	TIGR01494	SFLDG00002;SFLDF00027	NA	NA
maker-NODE_21_length_366562_cov_50.008967-augustus-gene-2.13-mRNA-1	IPR001251	NA	SM00516	PF00650;PF03765	PTHR23324;PTHR23324:SF98	G3DSA:3.40.525.10	SSF52087;SSF46938	PS50191	mobidb-lite	cd00170	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_202426_cov_51.611921-processed-gene-1.55-mRNA-1	IPR009449	GO:0005085	NA	PF06428	PTHR14430;PTHR14430:SF4	NA	SSF144284	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-3.6-mRNA-1	IPR005161	GO:0000723;GO:0003677;GO:0003684;GO:0005634;GO:0006303;GO:0042162;GO:0043564;GO:0004003	SM00559;SM00513	PF03731;PF02735;PF02037;PF03730	PTHR12604:SF2;PTHR12604	G3DSA:1.10.1600.10;G3DSA:1.10.720.30;G3DSA:4.10.970.10;G3DSA:2.40.290.10;G3DSA:3.40.50.410	SSF100939;SSF53300;SSF68906	PS50800	mobidb-lite	cd00788;cd01458	NA	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	NA	PIRSF003033	NA	NA	NA	NA	NA	NA	TIGR00578	NA	NA	NA
