Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
augustus_masked-NODE_68_length_71103_cov_30.508764-processed-gene-0.0-mRNA-1	G3DSA:3.30.920.20	NA	NA	NA	SSF143575	IPR036534	GO:0008017	NA	PF02187	NA	mobidb-lite	NA	Coil	PS51460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_71769_cov_30.464853-augustus-gene-0.1-mRNA-1	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_149_length_52006_cov_27.297866-processed-gene-0.4-mRNA-1	G3DSA:3.40.50.1000;G3DSA:1.10.720.60	NA	NA	PTHR20371	SSF56784	IPR023214	GO:0000287;GO:0019509;GO:0043874	KEGG: 00270+3.1.3.77|Reactome: R-HSA-1237112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01691	NA	NA
maker-NODE_403_length_25963_cov_33.692948-augustus-gene-0.2-mRNA-1	G3DSA:3.20.20.140	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43668;PTHR43668:SF3	SSF51556;SSF51338	IPR013108	GO:0016810	NA	PF07969	NA	NA	NA	NA	NA	cd01309	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_185_length_45420_cov_31.542622-augustus-gene-0.6-mRNA-1	G3DSA:1.20.5.170	NA	NA	PTHR19304:SF5;PTHR19304	SSF57959	IPR000837	GO:0003677;GO:0003700;GO:0006357;GO:0006355	NA	PF11787;PF00170	NA	mobidb-lite	SM00338	Coil	PS50217	cd14687	NA	NA	NA	NA	NA	PR00042	NA	NA	NA
augustus_masked-NODE_433_length_24491_cov_25.507757-processed-gene-0.2-mRNA-1	G3DSA:2.130.10.10	NA	NA	PTHR22847	SSF50978	IPR036322	GO:0005515	NA	NA	NA	mobidb-lite	SM00320	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_76_length_68724_cov_32.090660-processed-gene-0.21-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR44149;PTHR44149:SF1	NA	IPR002885	GO:0005515	NA	PF13041	NA	mobidb-lite	NA	NA	PS51375	NA	NA	NA	SignalP-TM	NA	NA	NA	TIGR00756	NA	NA
augustus_masked-NODE_56_length_74484_cov_31.889600-processed-gene-0.18-mRNA-1	NA	NA	NA	PTHR42081	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_395_length_27071_cov_29.737270-augustus-gene-0.0-mRNA-1	G3DSA:1.10.510.10;G3DSA:2.60.200.20	NA	NA	PTHR44167	SSF56112;SSF49879	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0005515	NA	PF00498;PF00069	NA	NA	SM00220;SM00240	NA	PS50011;PS50006	cd00060	NA	NA	NA	PS00108	NA	NA	NA	NA	NA
maker-NODE_43_length_83637_cov_32.832296-augustus-gene-0.2-mRNA-1	G3DSA:3.40.50.1820	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR43494;PTHR43494:SF2	SSF53474	IPR029058	GO:0016787	NA	PF07859	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	PS01174	NA	NA	NA	NA	NA
maker-NODE_683_length_13802_cov_25.405777-augustus-gene-0.0-mRNA-1	G3DSA:3.60.20.10	NA	NA	PTHR11599;PTHR11599:SF11	SSF56235	IPR029055	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00227;PF10584	NA	NA	SM00948	NA	PS51475	cd03754	NA	NA	NA	PS00388	NA	NA	NA	NA	NA
maker-NODE_66_length_71769_cov_30.464853-augustus-gene-0.3-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR17204;PTHR17204:SF5	SSF48452	IPR011990	GO:0005515;GO:0006396	NA	NA	NA	NA	SM00386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_83637_cov_32.832296-augustus-gene-0.1-mRNA-1	G3DSA:3.30.450.70	NA	NA	PTHR12403:SF1;PTHR12403	SSF64356	IPR006722	GO:0005622;GO:0006888	NA	PF04628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_581_length_16901_cov_30.303804-augustus-gene-0.0-mRNA-1	G3DSA:3.30.160.60	NA	NA	NA	NA	IPR013087	GO:0003676	NA	NA	NA	mobidb-lite	SM00355	Coil	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_481_length_22151_cov_27.868689-augustus-gene-0.1-mRNA-1	NA	TMhelix	SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION	PTHR22811:SF31;PTHR22811	SSF101576	IPR009038	NA	NA	PF01105	NA	NA	SM01190	NA	PS50866	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_497_length_21372_cov_35.221558-augustus-gene-0.5-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR12203:SF57;PTHR12203	NA	IPR006598	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_674_length_14062_cov_32.305490-processed-gene-0.0-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11629:SF63;PTHR11629	NA	IPR002490	GO:0015078;GO:0015991;GO:0033179;GO:0000220	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PF01496	PIRSF001293	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_116_length_58657_cov_29.138339-augustus-gene-0.1-mRNA-1	G3DSA:3.30.1520.10	NA	NA	PTHR10555;PTHR10555:SF145	SSF64268	IPR036871	GO:0035091	NA	PF00787	NA	NA	SM00312	NA	PS50195	cd07295	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_103219_cov_31.605750-augustus-gene-0.21-mRNA-1	NA	NA	NA	PTHR10921;PTHR10921:SF1	NA	IPR033494	GO:2000574	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF04880	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_318_length_32587_cov_33.952834-augustus-gene-0.1-mRNA-1	NA	NA	NA	PTHR12743;PTHR12743:SF3	NA	IPR000511	GO:0004408;GO:0005739	KEGG: 00860+4.4.1.17	PF01265	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PS00822	NA	NA	NA	NA	NA
maker-NODE_779_length_10989_cov_28.014730-augustus-gene-0.5-mRNA-1	G3DSA:3.30.70.330	NA	NA	PTHR15608	SSF54928	IPR000504	GO:0003676;GO:0000398	NA	PF00076	NA	mobidb-lite	SM00360	NA	PS50102	cd12285;cd12281	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_192_length_44408_cov_33.686976-augustus-gene-0.9-mRNA-1	G3DSA:1.10.8.300	NA	NA	PTHR11603:SF132;PTHR11603	NA	NA	NA	NA	PF17863	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_141697_cov_31.881585-augustus-gene-0.49-mRNA-1	G3DSA:3.40.50.1000;G3DSA:3.30.1240.20	NA	NA	PTHR10466;PTHR10466:SF0	SSF56784	IPR006379	GO:0004615;GO:0005737;GO:0009298	Reactome: R-HSA-446205	PF03332	NA	NA	NA	NA	NA	cd02585	NA	NA	NA	NA	NA	NA	TIGR01484	SFLDG01143;SFLDF00445	NA
augustus_masked-NODE_11_length_135501_cov_31.577622-processed-gene-0.20-mRNA-1	NA	NA	NA	PTHR12746	NA	IPR039768	GO:0043023	NA	PF04981	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_394_length_27157_cov_32.112024-augustus-gene-0.4-mRNA-1	G3DSA:3.20.20.80	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR11177;PTHR11177:SF165	SSF51445;SSF57180	IPR017853	GO:0005576;GO:0005975;GO:0030248;GO:0004553	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PF00704;PF00734	NA	mobidb-lite	SM00236	NA	PS51164	NA	SignalP-noTM	NA	NA	PS01095	NA	NA	NA	NA	PD001821
maker-NODE_439_length_24191_cov_32.690575-augustus-gene-0.7-mRNA-1	G3DSA:2.170.260.30	NA	NA	PTHR13115:SF8;PTHR13115	SSF159042	IPR004343	GO:0003677;GO:0006368;GO:0016570;GO:0016593	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	PF03126	NA	mobidb-lite	SM00719	Coil	PS51360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_604_length_16204_cov_32.636873-processed-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_666_length_14243_cov_35.081184-augustus-gene-0.5-mRNA-1	G3DSA:3.10.450.50	NA	NA	PTHR32083;PTHR32083:SF41	SSF54427	IPR032710	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_120_length_57101_cov_32.414329-augustus-gene-0.0-mRNA-1	G3DSA:1.20.5.820	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR12309:SF20;PTHR12309	SSF103456	IPR023391	GO:0015031;GO:0015450;GO:0016020;GO:0006605;GO:0006886	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	PF00584	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS01067	MF_00422	NA	TIGR00327	NA	NA
maker-NODE_42_length_83770_cov_31.605107-augustus-gene-0.4-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR12385;PTHR12385:SF4	NA	IPR007603		Reactome: R-HSA-1483191|Reactome: R-HSA-425366	PF04515	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_91943_cov_28.654831-processed-gene-0.17-mRNA-1	G3DSA:1.10.20.70;G3DSA:3.30.70.330;G3DSA:1.25.40.630	NA	NA	PTHR23139;PTHR23139:SF8	SSF54928	IPR000504	GO:0003676;GO:0031124	Reactome: R-HSA-109688|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	PF14304;PF14327;PF00076	NA	mobidb-lite	SM00360	NA	PS50102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_197_length_44021_cov_36.915865-augustus-gene-0.15-mRNA-1	G3DSA:2.60.200.20;G3DSA:3.30.40.10	NA	NA	PTHR15067	SSF49879;SSF57850	IPR008984	GO:0005515	NA	PF00498;PF17123	NA	mobidb-lite	SM00240;SM00184	NA	PS50089;PS50006	cd00060	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_234904_cov_31.360218-processed-gene-1.35-mRNA-1	G3DSA:3.10.450.40;G3DSA:2.70.98.20	NA	NA	PTHR10638:SF32;PTHR10638	SSF54416;SSF49998	IPR016182	GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114	Reactome: R-HSA-211945	PF02728;PF02727;PF01179	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PS01164	NA	NA	NA	NA	NA
maker-NODE_70_length_70422_cov_31.699836-augustus-gene-0.4-mRNA-1	G3DSA:3.30.310.50;G3DSA:3.40.120.10	NA	NA	PTHR22573:SF2;PTHR22573	SSF53738;SSF55957	IPR016066	GO:0000287;GO:0005975;GO:0016868;GO:0071704	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749	PF02878;PF02879;PF00408;PF02880	NA	NA	NA	NA	NA	cd03085	NA	NA	NA	PS00710	NA	PR00509	NA	NA	NA
augustus_masked-NODE_909_length_7930_cov_30.165577-processed-gene-0.0-mRNA-1	NA	TMhelix	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR28008	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_665_length_14251_cov_36.335882-augustus-gene-0.7-mRNA-1	G3DSA:3.40.50.300;G3DSA:2.40.30.10	NA	NA	PTHR43721:SF9;PTHR43721	SSF50465;SSF50447;SSF52540	IPR035531	GO:0003924;GO:0005525	NA	PF00009;PF03144	NA	mobidb-lite	NA	NA	PS51722	cd04165;cd03708;cd03694	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_267_length_36508_cov_29.164811-processed-gene-0.4-mRNA-1	G3DSA:2.30.30.800;G3DSA:3.20.20.140	NA	NA	PTHR11359;PTHR11359:SF0	SSF51556	IPR006329	GO:0003876;GO:0032264;GO:0009168;GO:0019239	KEGG: 00230+3.5.4.6|MetaCyc: PWY-6596|Reactome: R-HSA-74217	PF00962	NA	mobidb-lite	NA	NA	NA	cd01319	NA	NA	NA	PS00485	NA	NA	TIGR01429	NA	NA
augustus_masked-NODE_65_length_71960_cov_30.215430-processed-gene-0.14-mRNA-1	G3DSA:1.20.120.1080;G3DSA:3.40.50.300	NA	NA	PTHR18934;PTHR18934:SF193	SSF52540	IPR011709	GO:0003676;GO:0005524;GO:0004386	NA	PF07717;PF00270;PF04408;PF00271	NA	mobidb-lite	SM00487;SM00490;SM00847	Coil	PS51194;PS51192	cd00079;cd00046	NA	NA	NA	PS00690	NA	NA	NA	NA	NA
augustus_masked-NODE_240_length_39859_cov_30.258155-processed-gene-0.9-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR31018:SF2;PTHR31018	SSF52058	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_543_length_18584_cov_33.362193-augustus-gene-0.0-mRNA-1	G3DSA:3.90.850.10	NA	NA	PTHR11820;PTHR11820:SF92	SSF56529	IPR036663	GO:0003824	NA	PF01557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_274_length_35930_cov_33.252828-processed-gene-0.1-mRNA-1	G3DSA:3.20.20.140	NA	NA	PTHR11409:SF39;PTHR11409	SSF51556	IPR032466	GO:0019239	Reactome: R-HSA-74217	PF00962	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_575_length_17030_cov_26.257055-augustus-gene-0.3-mRNA-1	NA	NA	NA	PTHR19818;PTHR19818:SF97	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_257_length_37940_cov_29.161109-augustus-gene-0.8-mRNA-1	G3DSA:2.60.120.650	NA	NA	PTHR13600:SF30;PTHR13600	SSF51197;SSF53335	IPR003347	GO:0018423;GO:0008168;GO:0032259	NA	PF04072;PF13621	NA	NA	SM00558	NA	PS51184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_402_length_26166_cov_32.914897-augustus-gene-0.4-mRNA-1	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	PTHR43510	SSF53383	IPR015421	GO:0003824;GO:0009058;GO:0030170	NA	PF00155	NA	NA	NA	NA	NA	cd00609	NA	NA	NA	PS00105	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_126495_cov_31.200027-processed-gene-0.25-mRNA-1	G3DSA:1.10.220.10	NA	NA	PTHR10502:SF102;PTHR10502	SSF47874	IPR001464	GO:0005509;GO:0005544	NA	PF00191	NA	NA	SM00335	NA	NA	NA	NA	NA	NA	PS00223	NA	PR00196;PR01813	NA	NA	NA
maker-NODE_101_length_60040_cov_30.680136-augustus-gene-0.1-mRNA-1	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	NA	PTHR11937;PTHR11937:SF14	SSF53067	IPR004000		Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6798695|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	PF00022	NA	mobidb-lite	SM00268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_522_length_19788_cov_30.780327-processed-gene-0.7-mRNA-1	G3DSA:3.40.50.2000	NA	NA	NA	SSF53756	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_155_length_51198_cov_28.667933-processed-gene-0.9-mRNA-1	G3DSA:4.10.60.10	NA	NA	PTHR23002:SF84;PTHR23002	SSF57756	IPR001878	GO:0003676;GO:0008270	NA	PF00098	NA	NA	SM00343	NA	PS50158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_123_length_56580_cov_31.135936-augustus-gene-0.0-mRNA-1	G3DSA:3.20.190.10;G3DSA:1.10.8.50	NA	NA	PTHR22993;PTHR22993:SF9	SSF46946;SSF81624	IPR015886	GO:0003684;GO:0003906;GO:0006289;GO:0008270;GO:0016799;GO:0006284;GO:0003676	NA	PF06831;PF01149	NA	NA	SM01232;SM00898	NA	PS51068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_608_length_16058_cov_26.664930-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.300;G3DSA:3.30.63.10	NA	NA	PTHR23117	SSF52540	IPR008145	GO:0004385;GO:0006163	KEGG: 00230+2.7.4.8|MetaCyc: PWY-7221|Reactome: R-HSA-2161541|Reactome: R-HSA-499943	PF00625	NA	mobidb-lite	SM00072	NA	PS50052	cd00071	NA	NA	NA	PS00856	NA	NA	TIGR03263	NA	NA
maker-NODE_52_length_76621_cov_31.892920-augustus-gene-0.24-mRNA-1	G3DSA:3.60.21.10	NA	NA	PTHR12905:SF11;PTHR12905	SSF56300	IPR029052	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_429_length_24622_cov_34.433354-augustus-gene-0.5-mRNA-1	G3DSA:3.30.70.1130;G3DSA:1.10.150.190;G3DSA:2.40.50.140	NA	NA	PTHR10602	SSF116742;SSF50249;SSF110993	IPR003029	GO:0003676;GO:0003723;GO:0003743	Reactome: R-HSA-156827|Reactome: R-HSA-381042|Reactome: R-HSA-382556|Reactome: R-HSA-72649|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72731	PF00575;PF07541	NA	mobidb-lite	SM00316	NA	PS50126	cd04452	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_422_length_24989_cov_24.400008-augustus-gene-0.7-mRNA-1	G3DSA:1.20.1270.350;G3DSA:2.30.30.40;G3DSA:1.25.40.410;G3DSA:2.60.40.150	NA	NA	PTHR23317;PTHR23317:SF69	SSF48371;SSF50044	IPR026791	GO:0005085;GO:0007264;GO:0035556;GO:0005515	Reactome: R-HSA-983231	PF14429;PF06920;PF16172;PF00018	NA	mobidb-lite	SM00326	NA	PS50002;PS51650;PS51651	cd08679;cd11684	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_99_length_60668_cov_27.398705-processed-gene-0.4-mRNA-1	NA	NA	NA	PTHR12290;PTHR12290:SF2	SSF102645	IPR007085		KEGG: 00770+6.3.2.5|Reactome: R-HSA-196783	PF04127	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_284_length_35386_cov_29.693185-augustus-gene-0.10-mRNA-1	NA	NA	NA	PTHR31027	NA	IPR039604	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_215_length_41906_cov_29.685416-processed-gene-0.8-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR14233;PTHR14233:SF4	SSF103481	IPR009262	GO:0016021;GO:0022857;GO:0055085	NA	PF06027	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_700_length_13274_cov_21.905149-augustus-gene-0.2-mRNA-1	G3DSA:2.30.30.100	NA	NA	PTHR10553:SF5;PTHR10553	SSF50182	IPR001163	GO:0000398;GO:0000956	Reactome: R-HSA-430039|Reactome: R-HSA-72163	PF01423	PIRSF037188	mobidb-lite	SM00651	NA	NA	cd01729	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_523_length_19750_cov_31.824645-augustus-gene-0.5-mRNA-1	G3DSA:4.10.240.10	NA	NA	PTHR38791;PTHR38791:SF5	SSF57701	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	mobidb-lite	SM00066	NA	PS50048	cd00067	NA	NA	NA	PS00463	NA	NA	NA	NA	NA
maker-NODE_130_length_55273_cov_30.725764-augustus-gene-0.8-mRNA-1	G3DSA:3.40.50.300	NA	NA	PTHR24031:SF356;PTHR24031	SSF52540	IPR027417	GO:0003676;GO:0005524	NA	PF00271;PF00270	NA	mobidb-lite	SM00487;SM00490	Coil	PS51192;PS51194;PS51195	cd00268;cd00079	NA	NA	SignalP-TM	PS00039	NA	NA	NA	NA	NA
maker-NODE_439_length_24191_cov_32.690575-augustus-gene-0.9-mRNA-1	G3DSA:4.10.240.10	NA	NA	PTHR31313:SF70;PTHR31313	SSF57701	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF00172;PF04082	NA	mobidb-lite	SM00906;SM00066	Coil	PS50048	cd15485;cd12148;cd00067	NA	NA	NA	PS00463	NA	NA	NA	NA	NA
augustus_masked-NODE_199_length_43818_cov_30.655421-processed-gene-0.7-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR45197	SSF53335	IPR003333	GO:0008610	NA	PF02353	PIRSF003085	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_681_length_13890_cov_26.716050-processed-gene-0.2-mRNA-1	G3DSA:3.20.20.80;G3DSA:3.30.379.10;G3DSA:3.90.1330.10	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR39207	SSF55545;SSF51445	IPR011099	GO:0005576;GO:0045493;GO:0046559	NA	PF07477;PF07488;PF03648	PIRSF029900	NA	NA	NA	NA	cd02795	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_81_length_66750_cov_31.887741-processed-gene-0.10-mRNA-1	G3DSA:1.25.40.570	NA	NA	PTHR15350:SF5;PTHR15350	NA	IPR000717	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_142_length_53770_cov_34.078295-augustus-gene-0.5-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31965	SSF103481	IPR039632	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_88_length_63900_cov_28.627381-augustus-gene-0.19-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_524_length_19629_cov_34.569531-processed-gene-0.4-mRNA-1	NA	NA	NA	PTHR31138;PTHR31138:SF4	SSF55394	IPR017943	GO:0008289	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
