Gene	Phobius	MobiDBLite	TMHMM	PRINTS	SFLD	PANTHER	interpro	GO	PATHWAY	TIGRFAM	ProSitePatterns	Gene3D	SUPERFAMILY	Pfam	CDD	SMART	ProSiteProfiles	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	PIRSF	SignalP_GRAM_NEGATIVE	ProDom
maker-NODE_53_length_168172_cov_57.242947-augustus-gene-0.0-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR31987;PTHR31987:SF11	IPR018829	NA	NA	NA	NA	NA	SSF56300	PF10360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_253343_cov_59.136358-augustus-gene-1.59-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PR00124	NA	PTHR10031;PTHR10031:SF13	IPR038662	GO:0015078;GO:0015986;GO:0045263;GO:0015991;GO:0033177	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	PS00605	G3DSA:1.20.20.10	SSF81333	PF00137	NA	NA	NA	MF_01396	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_4_length_411546_cov_58.313316-processed-gene-3.18-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR37013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_152677_cov_59.817214-augustus-gene-0.9-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24031:SF25;PTHR24031	IPR014001	GO:0003676;GO:0005524	NA	NA	PS00039	G3DSA:3.40.50.300	SSF52540	PF00270;PF00271	cd00268;cd00079	SM00487;SM00490	PS51192;PS51194;PS51195	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_70_length_145138_cov_57.583825-processed-gene-0.22-mRNA-1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	mobidb-lite	NA	NA	NA	PTHR17039	IPR012173	GO:0005634;GO:0005732;GO:0006364;GO:0034457	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	PF04006	NA	NA	NA	NA	NA	SignalP-TM	Coil	PIRSF017300	NA	NA
augustus_masked-NODE_28_length_214489_cov_61.086685-processed-gene-1.4-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR28019;PTHR28019:SF2	IPR009571	GO:0005886	NA	NA	NA	NA	NA	PF06687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_111_length_103007_cov_58.285235-processed-gene-0.38-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR15921	IPR006569	GO:0005849;GO:0006369;GO:0006378;GO:0006379	NA	NA	NA	G3DSA:1.25.40.90	SSF48464	PF11526	cd03562	SM00582	PS51391	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_360801_cov_59.734333-augustus-gene-1.22-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	PTHR12143;PTHR12143:SF23	IPR012939	GO:0003824;GO:0030246	NA	TIGR01180	NA	G3DSA:1.20.1050.60;G3DSA:3.30.2080.10;G3DSA:2.70.98.10;G3DSA:1.20.1610.10	SSF48208	PF07971;PF17678	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_112_length_101290_cov_54.693663-augustus-gene-0.32-mRNA-1	NA	NA	NA	NA	NA	PTHR10799;PTHR10799:SF848	IPR001841	GO:0005524;GO:0046872	NA	NA	PS00518	G3DSA:3.40.50.10810;G3DSA:3.30.40.10	SSF57850;SSF52540	PF00176;PF00097;PF00271	cd16567;cd00079;cd00046	SM00184;SM00487;SM00490	PS51192;PS50089;PS51194	NA	NA	NA	NA	NA	NA	NA
maker-NODE_117_length_97828_cov_56.005885-augustus-gene-0.6-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23508:SF9;PTHR23508	IPR011701	GO:0016021;GO:0055085	NA	NA	NA	G3DSA:1.20.1250.20	SSF103473	PF07690	cd06174	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_198299_cov_59.786463-processed-gene-0.10-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	mobidb-lite	TMhelix	NA	NA	PTHR11905	IPR001590	GO:0004222;GO:0006508;GO:0008237	NA	NA	NA	G3DSA:4.10.70.10;G3DSA:3.40.390.10	SSF57552;SSF55486	PF13688;PF17771;PF00200	cd04271	SM00050;SM00608	PS50215;PS50214	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_26_length_216976_cov_59.063085-processed-gene-0.11-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23088;PTHR23088:SF30	IPR001110	GO:0006807	NA	NA	PS01227	G3DSA:3.60.110.10	SSF56317	PF00795	cd07572	NA	PS50263	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_122_length_90885_cov_55.915721-processed-gene-0.11-mRNA-1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_75_length_134816_cov_61.283921-augustus-gene-0.4-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR11654:SF118;PTHR11654	IPR036259	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0006857	Reactome: R-HSA-427975	NA	PS01023	G3DSA:1.20.1250.20	SSF103473	PF00854	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_149_length_76340_cov_58.455054-augustus-gene-0.12-mRNA-1	NA	NA	NA	NA	NA	PTHR11911;PTHR11911:SF111	IPR013785	GO:0003824;GO:0003938;GO:0006164;GO:0055114;GO:0016491	KEGG: 00230+1.1.1.205|KEGG: 00983+1.1.1.205|MetaCyc: PWY-5695|MetaCyc: PWY-6596|MetaCyc: PWY-7221|Reactome: R-HSA-6798695|Reactome: R-HSA-73817	TIGR01302	PS00487	G3DSA:3.20.20.70	SSF51412;SSF54631	PF00571;PF00478	cd00381;cd04602	SM01240;SM00116	PS51371	MF_01964	NA	NA	NA	PIRSF000130	NA	NA
augustus_masked-NODE_16_length_271244_cov_54.321418-processed-gene-1.42-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12374:SF21;PTHR12374	IPR009057	GO:0003677;GO:0005515	NA	NA	NA	G3DSA:1.10.10.780	SSF46689	PF04433	NA	NA	PS50934	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_190617_cov_50.977952-augustus-gene-0.30-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR036322	GO:0005515	NA	NA	NA	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_152677_cov_59.817214-augustus-gene-0.16-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR11814;PTHR11814:SF59	IPR001902	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	NA	NA	NA	G3DSA:3.30.750.24;G3DSA:2.60.120.10	SSF52091;SSF51206	PF00027;PF01740;PF00916	cd00038;cd07042	SM00100	PS50042;PS50801	NA	NA	NA	NA	NA	NA	NA
maker-NODE_181_length_55376_cov_47.071114-augustus-gene-0.13-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR13906:SF4;PTHR13906	IPR004299	NA	NA	NA	NA	NA	NA	PF03062	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_97_length_116387_cov_61.952056-processed-gene-0.51-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR14624	IPR001104	GO:0006629;GO:0016627;GO:0003865;GO:0006488	MetaCyc: PWY-6129|Reactome: R-HSA-193048|Reactome: R-HSA-446199|Reactome: R-HSA-4755579	NA	NA	NA	NA	PF02544	NA	NA	PS50244	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_343689_cov_59.984777-augustus-gene-2.62-mRNA-1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	NA	NA	PTHR10963:SF22;PTHR10963	IPR000757	GO:0004553;GO:0005975;GO:0005618;GO:0016798;GO:0071555	NA	NA	NA	G3DSA:2.60.120.200	SSF49899	PF00722	cd02183	NA	PS51762	NA	SignalP-noTM	SignalP-TM	NA	PIRSF037299	SignalP-noTM	NA
maker-NODE_41_length_182320_cov_50.041050-augustus-gene-0.14-mRNA-1	NA	NA	NA	PR00385;PR00463	NA	PTHR24279;PTHR24279:SF75	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PS00086	G3DSA:1.10.630.10	SSF48264	PF00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_163_length_64744_cov_55.228810-augustus-gene-0.29-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13199:SF11;PTHR13199	IPR025261	NA	NA	NA	NA	NA	NA	PF13915;PF13889	NA	SM01177	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_181_length_55376_cov_47.071114-processed-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	PTHR11806:SF0;PTHR11806	IPR026904	GO:0002098;GO:0008033;GO:0050660;GO:0006904;GO:0016192	Reactome: R-HSA-6787450	NA	PS01281;PS01280	G3DSA:3.40.50.2060;G3DSA:2.40.30.260;G3DSA:3.50.50.60;G3DSA:1.25.40.60;G3DSA:3.90.830.10;G3DSA:1.10.150.570;G3DSA:3.40.50.1910	SSF56815;SSF51905	PF13932;PF01134;PF00995	NA	SM01228	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_46_length_173807_cov_59.870970-augustus-gene-0.12-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR12982	IPR009450	GO:0006506;GO:0016021;GO:0017176	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	PF06432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_52_length_169077_cov_55.830139-processed-gene-0.57-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR42084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_52_length_169077_cov_55.830139-processed-gene-0.32-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR33911	IPR019310	GO:0006364	NA	NA	NA	NA	NA	PF10153	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_90_length_118339_cov_56.836709-processed-gene-0.38-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10272:SF11;PTHR10272	IPR029058	GO:0003847;GO:0016042	KEGG: 00565+3.1.1.47	NA	NA	G3DSA:3.40.50.1820	SSF53474	PF03403	NA	NA	NA	NA	NA	NA	NA	PIRSF018169	NA	NA
augustus_masked-NODE_107_length_107455_cov_55.526405-processed-gene-0.2-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_115_length_99864_cov_61.118522-processed-gene-0.38-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12378;PTHR12378:SF10	IPR008580	NA	NA	NA	NA	G3DSA:3.90.1720.30	NA	PF05903	NA	SM01179	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_147126_cov_63.765060-augustus-gene-0.13-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23003;PTHR23003:SF23	IPR012677	GO:0003676	NA	NA	NA	G3DSA:3.30.70.330	SSF54928	NA	cd00590	SM00360	PS50102	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_433942_cov_61.033279-augustus-gene-3.55-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	PTHR37992	IPR013920	NA	NA	NA	NA	NA	NA	PF08611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_148_length_76579_cov_60.086577-augustus-gene-0.24-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR19444;PTHR19444:SF16	IPR020846	NA	NA	NA	NA	G3DSA:1.20.1250.20	SSF103473	PF05978	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_180_length_56691_cov_62.289955-processed-gene-0.30-mRNA-1	NA	mobidb-lite	NA	PR01217	NA	PTHR22979;PTHR22979:SF48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_128_length_87739_cov_65.006209-augustus-gene-0.35-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	PR01315	NA	PTHR10981:SF0;PTHR10981	IPR003492	GO:0016020	NA	NA	NA	NA	SSF103473	PF02487	NA	NA	NA	NA	NA	NA	NA	PIRSF015974	NA	NA
augustus_masked-NODE_211_length_37223_cov_58.878774-processed-gene-0.12-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR11699;PTHR11699:SF25	IPR029510	GO:0016491;GO:0055114;GO:0016620	NA	NA	PS00687;PS00070	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	PF00171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_77_length_131559_cov_51.652878-processed-gene-0.3-mRNA-1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	PTHR12872:SF1;PTHR12872	IPR024733		KEGG: 00531+3.2.1.50|Reactome: R-HSA-2024096|Reactome: R-HSA-2206282	NA	NA	G3DSA:3.20.20.80;G3DSA:1.20.120.670;G3DSA:3.30.379.10	SSF51445	PF05089;PF12971;PF12972	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_55_length_165849_cov_59.272752-augustus-gene-0.43-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR22780;PTHR22780:SF5	IPR011992	GO:0005509;GO:0006886;GO:0016192;GO:0005794;GO:0030121;GO:0030117	Reactome: R-HSA-432720	NA	NA	G3DSA:2.60.40.1230;G3DSA:1.25.10.10;G3DSA:1.10.238.10	SSF47473;SSF48371;SSF49348	PF02883;PF01602	cd00051	SM00809	PS50180	NA	NA	NA	NA	PIRSF037094	NA	NA
augustus_masked-NODE_17_length_271234_cov_58.796328-processed-gene-0.13-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR37994	IPR018823	NA	NA	NA	NA	NA	NA	PF13515;PF10337;PF10334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_84092_cov_53.172191-augustus-gene-0.4-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	PTHR12143:SF29;PTHR12143	IPR014718	GO:0030246;GO:0003824	NA	NA	NA	G3DSA:2.70.98.10;G3DSA:3.30.2080.10;G3DSA:1.20.1050.60;G3DSA:1.20.1610.10	SSF48208	PF17678;PF07971	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_105_length_108229_cov_59.365007-processed-gene-0.1-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	PTHR10984;PTHR10984:SF30	IPR012936	NA	NA	NA	NA	NA	NA	PF07970;PF13850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_199258_cov_59.565969-augustus-gene-0.17-mRNA-1	NA	mobidb-lite	NA	PR00315	NA	PTHR42854:SF4;PTHR42854	IPR009000	GO:0003924;GO:0005525	NA	NA	NA	G3DSA:2.40.30.10;G3DSA:3.40.50.300	SSF50447;SSF50465;SSF52540	PF09173;PF00009;PF03144	cd15490;cd01888;cd03688	NA	PS51722	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_189076_cov_59.383024-processed-gene-0.46-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_141_length_79385_cov_62.358235-processed-gene-0.15-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11669:SF20;PTHR11669	IPR003593	GO:0005524;GO:0003677;GO:0006260	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	G3DSA:1.20.272.10;G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540;SSF48019	PF00004;PF08542	cd00009	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_587648_cov_59.069856-augustus-gene-2.8-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	PTHR10556:SF28;PTHR10556	IPR039357	GO:0006629;GO:0016627	NA	NA	NA	NA	NA	PF02544	NA	NA	PS50244	NA	NA	NA	NA	NA	NA	NA
maker-NODE_176_length_57878_cov_61.224117-augustus-gene-0.8-mRNA-1	NA	NA	NA	NA	NA	PTHR10802;PTHR10802:SF2	IPR027246	GO:0005741;GO:0055085;GO:0008320;GO:0030150	NA	NA	NA	G3DSA:2.40.160.10	NA	PF01459	cd07305	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_155630_cov_57.454126-augustus-gene-0.47-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10252;PTHR10252:SF5	IPR003958	GO:0046982	NA	NA	NA	G3DSA:1.10.20.10	SSF47113	PF00808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_145752_cov_61.060903-augustus-gene-0.15-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12800;PTHR12800:SF4	IPR004918	GO:0019901	Reactome: R-HSA-1227986|Reactome: R-HSA-1236382|Reactome: R-HSA-5637810|Reactome: R-HSA-8863795	NA	NA	G3DSA:1.20.58.610	SSF101391	PF08564;PF03234;PF08565	NA	SM01069;SM01071;SM01070	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_100_length_113189_cov_49.796395-augustus-gene-0.0-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR016135		Reactome: R-HSA-983168	NA	NA	G3DSA:3.10.110.10	SSF54495	PF00179	NA	NA	PS50127	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_122_length_90885_cov_55.915721-processed-gene-0.22-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23246:SF13;PTHR23246	IPR001005	GO:0003677	NA	NA	NA	G3DSA:1.10.10.60	SSF46689	PF00249	cd00167	SM00717	PS51294;PS50090	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_161808_cov_61.150673-augustus-gene-0.49-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR009401	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	PF06333;PF11597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_182320_cov_50.041050-augustus-gene-0.20-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR019258	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	PF10018	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_157_length_67044_cov_62.147780-augustus-gene-0.3-mRNA-1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
maker-NODE_146_length_77105_cov_62.137052-augustus-gene-0.3-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR19965;PTHR19965:SF48	IPR035979	GO:0003676	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	NA	NA	G3DSA:3.30.70.330	SSF54928	PF13865;PF00076	cd12418	SM00360;SM01218	PS50102	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_275_length_11711_cov_45.577003-processed-gene-0.0-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_113703_cov_54.700254-augustus-gene-0.5-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR10408;PTHR10408:SF7	IPR014371	GO:0008374	NA	NA	NA	NA	NA	PF03062	NA	NA	NA	NA	NA	SignalP-TM	NA	PIRSF000439	NA	NA
maker-NODE_10_length_343689_cov_59.984777-augustus-gene-0.31-mRNA-1	NA	NA	NA	PR00756	NA	PTHR11533;PTHR11533:SF171	IPR014782	GO:0008237;GO:0008270;GO:0006508	NA	NA	NA	G3DSA:2.60.40.1730;G3DSA:1.25.50.20;G3DSA:2.60.40.1910;G3DSA:1.10.390.60	SSF63737;SSF55486	PF01433;PF11838;PF17900	cd09601	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_106_length_107985_cov_52.669584-processed-gene-0.18-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR021589	NA	NA	NA	NA	NA	NA	PF11500	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_5_length_406391_cov_59.664661-augustus-gene-1.13-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR019481		Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	G3DSA:3.30.200.170	NA	PF10419	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_14_length_283279_cov_54.252907-processed-gene-1.53-mRNA-1	NA	NA	TMhelix	PR01100	NA	PTHR21090	IPR013792	GO:0003824;GO:0004764;GO:0055114;GO:0003855;GO:0003856;GO:0003866;GO:0004765;GO:0009073;GO:0016765;GO:0005737	KEGG: 00400+1.1.1.25|MetaCyc: PWY-6163	TIGR01356;TIGR01093;TIGR01809;TIGR01357	PS01128;PS00885;PS00104	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10;G3DSA:3.40.50.720;G3DSA:3.20.20.70;G3DSA:3.40.50.300;G3DSA:3.40.50.10860;G3DSA:3.65.10.10	SSF55205;SSF51569;SSF51735;SSF52540;SSF56796;SSF53223	PF08501;PF01761;PF00275;PF01487;PF01202	cd01065;cd00502;cd00464;cd08195;cd01556	NA	NA	MF_00210;MF_03143;MF_00109	NA	NA	NA	PIRSF000514	NA	NA
maker-NODE_140_length_79860_cov_56.943386-augustus-gene-0.21-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR11842;PTHR11842:SF10	IPR036570	NA	NA	NA	NA	NA	SSF56019	PF02301	NA	NA	PS50815	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_229101_cov_58.396399-processed-gene-0.9-mRNA-1	NA	NA	NA	PR00100;PR00101;PR00099;PR00098	NA	PTHR11405;PTHR11405:SF5	IPR005479	GO:0005524;GO:0004088;GO:0006207;GO:0006541;GO:0006520;GO:0016597;GO:0016743;GO:0004070;GO:0016810;GO:0046872;GO:0006807	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	TIGR01368;TIGR00670;TIGR01369	PS00867;PS00866;PS00097	G3DSA:3.30.1490.20;G3DSA:3.40.50.880;G3DSA:3.40.50.1380;G3DSA:1.10.1030.10;G3DSA:3.20.20.140;G3DSA:3.40.50.1370;G3DSA:3.30.470.20;G3DSA:3.40.50.20;G3DSA:3.50.30.20	SSF51556;SSF52440;SSF52317;SSF51338;SSF56059;SSF52021;SSF52335;SSF48108;SSF53671	PF00117;PF00185;PF02787;PF00988;PF02729;PF02786;PF02142	cd01744;cd01423	SM01096;SM01097;SM00851	PS51273;PS50975	MF_00001;MF_01209	NA	NA	NA	NA	NA	NA
