Gene	PANTHER	interpro	GO	Pfam	SMART	Gene3D	MobiDBLite	ProSiteProfiles	SUPERFAMILY	Phobius	TMHMM	CDD	PATHWAY	ProSitePatterns	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	PRINTS	Coils	PIRSF	TIGRFAM	SFLD	Hamap	ProDom
augustus_masked-NODE_114_length_77321_cov_76.005739-processed-gene-0.50-mRNA-1	PTHR39601;PTHR39601:SF1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_120_length_72221_cov_72.352623-augustus-gene-0.74-mRNA-1	PTHR31375:SF53;PTHR31375	IPR012334	NA	PF12708	NA	G3DSA:2.160.20.10	NA	NA	SSF51126	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_125_length_69306_cov_73.280345-augustus-gene-0.11-mRNA-1	PTHR23410	IPR025607	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0008097	PF14204;PF17144	NA	G3DSA:3.30.420.550	NA	NA	SSF53137	NA	NA	cd00432	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	PR00058	NA	NA	NA	NA	MF_01337_A	NA
maker-NODE_134_length_62723_cov_71.320883-augustus-gene-0.75-mRNA-1	PTHR11364:SF13;PTHR11364	IPR036873	NA	PF00581	SM00450	G3DSA:3.40.250.10	mobidb-lite	PS50206	SSF52821	NA	NA	cd01449;cd01448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_100_length_83904_cov_72.511537-snap-gene-0.64-mRNA-1	PTHR10774;PTHR10774:SF157	IPR000008	GO:0008289;GO:0061817	PF00168	SM00239	G3DSA:2.60.40.150	mobidb-lite	PS51847;PS50004	SSF49562	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd04041;cd04052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_121508_cov_77.263386-snap-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_95774_cov_72.042730-augustus-gene-0.56-mRNA-1	PTHR21499	IPR027795	GO:0004072;GO:0008652;GO:0009089	PF13840;PF00696	NA	G3DSA:3.40.1160.10;G3DSA:3.30.2130.10	NA	PS51671	SSF53633;SSF55021	NA	NA	NA	KEGG: 00260+2.7.2.4|KEGG: 00261+2.7.2.4|KEGG: 00270+2.7.2.4|KEGG: 00300+2.7.2.4|MetaCyc: PWY-2941|MetaCyc: PWY-2942|MetaCyc: PWY-5097|MetaCyc: PWY-6160|MetaCyc: PWY-6559|MetaCyc: PWY-6562|MetaCyc: PWY-7153|MetaCyc: PWY-7977	NA	NA	NA	NA	NA	Coil	PIRSF000726	TIGR00657	NA	NA	NA
maker-NODE_122_length_70887_cov_64.893485-snap-gene-0.21-mRNA-1	PTHR24343;PTHR24343:SF191	IPR011009	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	G3DSA:1.10.510.10	mobidb-lite	PS50011	SSF56112	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_485588_cov_55.914018-processed-gene-2.294-mRNA-1	PTHR24055:SF333;PTHR24055	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004707	PF00069	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	PS50011	SSF56112	NA	NA	cd07849	KEGG: 04150+2.7.11.24	PS00107;PS00108;PS01351	NA	NA	NA	NA	NA	PIRSF000654	NA	NA	NA	NA
maker-NODE_220_length_23345_cov_62.715867-augustus-gene-0.3-mRNA-1	PTHR24356;PTHR24356:SF1	IPR001789	GO:0000160;GO:0004672;GO:0005524;GO:0006468;GO:0004674	PF00069;PF00072	SM00448;SM00220	G3DSA:1.10.510.10;G3DSA:3.40.50.2300;G3DSA:3.30.200.20;G3DSA:3.30.450.20	mobidb-lite	PS50011;PS50110;PS50112;PS51285	SSF55785;SSF56112;SSF52172	NA	NA	cd00156;cd05611	NA	PS00108	NA	NA	NA	NA	Coil	NA	TIGR00229	NA	NA	NA
snap_masked-NODE_19_length_217226_cov_73.336528-processed-gene-1.278-mRNA-1	PTHR12883	IPR012879	NA	PF07946	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_116_length_76803_cov_72.831890-augustus-gene-0.7-mRNA-1	PTHR11035;PTHR11035:SF3	IPR007482		PF04387	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	KEGG: 00062+4.2.1.134|MetaCyc: PWY-5080|MetaCyc: PWY-5353|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-6958|MetaCyc: PWY-7036|MetaCyc: PWY-7049|MetaCyc: PWY-7053|MetaCyc: PWY-7592|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7606|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-7726|MetaCyc: PWY-7727|MetaCyc: PWY-7728|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_883239_cov_54.878836-augustus-gene-4.210-mRNA-1	PTHR10982	IPR016039	GO:0003824;GO:0000287;GO:0006633;GO:0008897;GO:0004312;GO:0042759	PF18314;PF18325;PF00109;PF01648;PF02801;PF00106	NA	G3DSA:3.90.25.70;G3DSA:3.90.470.20;G3DSA:3.40.47.10	mobidb-lite	PS50075	SSF53901;SSF56214;SSF51735;SSF52151	NA	NA	cd08950;cd00828	KEGG: 00770+2.7.8.7|MetaCyc: PWY-6012|MetaCyc: PWY-6012-1|MetaCyc: PWY-6289	PS00606	NA	NA	NA	NA	NA	PIRSF000454	TIGR00556	NA	MF_00101	PD004282
augustus_masked-NODE_146_length_55118_cov_74.767416-processed-gene-0.12-mRNA-1	NA	IPR035979	GO:0003676	NA	NA	NA	mobidb-lite	NA	SSF54928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_147040_cov_78.805109-processed-gene-0.432-mRNA-1	PTHR11715:SF3;PTHR11715	IPR002930	GO:0005960;GO:0019464	PF01597	NA	G3DSA:2.40.50.100	NA	PS50968	SSF51230	NA	NA	cd06848	Reactome: R-HSA-389661|Reactome: R-HSA-6783984	PS00189	NA	NA	NA	NA	NA	NA	TIGR00527	NA	MF_00272	NA
maker-NODE_51_length_139841_cov_69.528515-augustus-gene-0.256-mRNA-1	PTHR31944:SF89;PTHR31944	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	SM00906;SM00066	G3DSA:4.10.240.10	mobidb-lite	PS50048	SSF57701	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_145549_cov_74.379929-augustus-gene-0.66-mRNA-1	PTHR33337;PTHR33337:SF1	IPR006913	GO:0016846	PF04828	NA	G3DSA:2.170.150.70	mobidb-lite	NA	SSF51316	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_82_length_95832_cov_70.482399-augustus-gene-0.69-mRNA-1	PTHR43791;PTHR43791:SF40	IPR020846	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	NA	PS50850	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_535112_cov_62.228238-processed-gene-2.59-mRNA-1	PTHR23520	IPR005829	GO:0005215;GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	mobidb-lite	PS50850	SSF103473	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	PS00216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_168875_cov_71.947022-processed-gene-0.15-mRNA-1	PTHR22731	IPR039182	GO:0000172;GO:0001682;GO:0005655	PF06978;PF08170	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_91_length_90328_cov_77.894746-processed-gene-0.68-mRNA-1	NA	IPR010829	NA	PF07249	NA	G3DSA:2.40.40.10	NA	NA	SSF50685	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_125574_cov_75.988346-augustus-gene-0.69-mRNA-1	PTHR44035;PTHR44035:SF2	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	mobidb-lite	PS50011	SSF56112	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	cd14008	NA	PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_127548_cov_73.755558-snap-gene-0.250-mRNA-1	PTHR23193;PTHR23193:SF23	IPR026054	GO:0005515	NA	NA	G3DSA:2.130.10.10	mobidb-lite	NA	SSF117289	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_60_length_128121_cov_70.262051-processed-gene-0.346-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_44_length_160423_cov_75.837189-processed-gene-0.357-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_130451_cov_70.941009-processed-gene-0.63-mRNA-1	PTHR40625;PTHR40625:SF2	IPR014756	NA	NA	NA	G3DSA:2.60.40.10	mobidb-lite	NA	SSF81296	NA	NA	cd02859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_447864_cov_73.606110-augustus-gene-1.22-mRNA-1	PTHR10641;PTHR10641:SF919	IPR015495	GO:0003677	PF11831;PF13921	SM00717	G3DSA:1.10.10.60	mobidb-lite	PS51294	SSF46689	NA	NA	cd11659;cd00167	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_270_length_9905_cov_59.296789-snap-gene-0.2-mRNA-1	PTHR28147	IPR021100	GO:0005789;GO:0034599	PF12326	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_26_length_193825_cov_72.621576-processed-gene-0.465-mRNA-1	PTHR24072;PTHR24072:SF181	IPR003578	GO:0005525;GO:0005622;GO:0007264;GO:0003924	PF00071	SM00176;SM00174;SM00175;SM00173	G3DSA:3.40.50.300	mobidb-lite	PS51420	SSF52540	NA	NA	cd04132	Reactome: R-HSA-194840	NA	NA	NA	NA	PR00449	NA	NA	TIGR00231	NA	NA	NA
maker-NODE_67_length_122038_cov_71.824273-snap-gene-0.304-mRNA-1	PTHR10774;PTHR10774:SF116	IPR037761	GO:0061817;GO:0008289	PF00168	SM00239	G3DSA:2.60.40.150	mobidb-lite	PS51847;PS50004	SSF49562	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd04044;cd04045;cd04040;cd04052	NA	NA	NA	NA	NA	NA	NA	PIRSF037232	NA	NA	NA	NA
maker-NODE_228_length_20106_cov_65.936233-snap-gene-0.65-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_94_length_88227_cov_73.441430-processed-gene-0.39-mRNA-1	PTHR31986:SF12;PTHR31986	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	SM00066;SM00906	G3DSA:4.10.240.10	mobidb-lite	PS50048	SSF57701	NA	NA	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_95_length_86513_cov_67.171081-processed-gene-0.37-mRNA-1	PTHR23242	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_184481_cov_72.699838-augustus-gene-0.86-mRNA-1	PTHR40021	IPR025403	GO:0000166;GO:0003824;GO:0044237;GO:0006352;GO:0030880	PF13559;PF03874	SM00657	G3DSA:1.20.1250.40	mobidb-lite	NA	SSF47819	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2_length_834423_cov_25.846594-processed-gene-7.433-mRNA-1	PTHR10625;PTHR10625:SF132	IPR023696	GO:0004407;GO:0016575	PF00850	NA	G3DSA:3.40.800.20	mobidb-lite	NA	SSF52768	NA	NA	NA	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	NA	NA	PR01270;PR01271	Coil	PIRSF037913	NA	NA	NA	NA
augustus_masked-NODE_126_length_65184_cov_70.503343-processed-gene-0.127-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_148848_cov_69.581357-processed-gene-0.66-mRNA-1	PTHR43511:SF4;PTHR43511	IPR002618	GO:0070569	PF01704	NA	G3DSA:2.160.10.10	mobidb-lite	NA	SSF51161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_204983_cov_73.166083-augustus-gene-1.30-mRNA-1	PTHR24031:SF78;PTHR24031	IPR001650	GO:0003676;GO:0005524	PF00270;PF00271	SM00490;SM00487	G3DSA:3.40.50.300	mobidb-lite	PS51194;PS51195;PS51192	SSF52540	NA	NA	cd00079;cd00268	NA	PS00039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_160423_cov_75.837189-snap-gene-0.260-mRNA-1	PTHR43261;PTHR43261:SF1	IPR031157	GO:0003924;GO:0005525	PF00009;PF14492	SM00838	G3DSA:2.40.30.10;G3DSA:3.30.70.870;G3DSA:3.40.50.300	NA	PS51722	SSF54980;SSF52540;SSF50447	NA	NA	cd03713	NA	PS00301	SignalP-TM	NA	NA	PR00315	NA	NA	TIGR00231	NA	NA	NA
maker-NODE_77_length_106811_cov_74.852405-snap-gene-0.3-mRNA-1	PTHR38422	IPR029184	GO:0016573;GO:0033255	PF15460	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_51_length_139841_cov_69.528515-augustus-gene-0.275-mRNA-1	PTHR11829;PTHR11829:SF182	IPR030456	GO:0003700;GO:0006355;GO:0043565	PF00250	SM00339	G3DSA:1.10.10.10	mobidb-lite	PS50039	SSF46785;SSF81995	NA	NA	NA	NA	PS00658	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_4_length_535112_cov_62.228238-snap-gene-4.47-mRNA-1	PTHR10102;PTHR10102:SF0	IPR024075	GO:0003899;GO:0003677;GO:0006351	PF00940;PF14700	SM01311	G3DSA:1.10.150.20;G3DSA:1.10.287.280;G3DSA:1.10.287.260;G3DSA:1.10.1320.10	mobidb-lite	NA	SSF56672	NA	NA	NA	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	PS00900;PS00489	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_118_length_75508_cov_68.323954-processed-gene-0.189-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_103_length_81986_cov_73.659365-processed-gene-0.38-mRNA-1	NA	IPR029208		PF14880	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_181752_cov_71.915992-augustus-gene-0.415-mRNA-1	PTHR23289:SF2;PTHR23289	IPR023754	GO:0006784;GO:0016020;GO:0016627;GO:0055114;GO:0016021	PF02628	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-189451	NA	NA	NA	NA	NA	Coil	NA	NA	NA	MF_01665	NA
maker-NODE_54_length_135677_cov_73.518879-augustus-gene-0.12-mRNA-1	PTHR31313:SF25;PTHR31313	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	G3DSA:4.10.240.10	mobidb-lite	PS50048	SSF57701	NA	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_204983_cov_73.166083-snap-gene-1.2-mRNA-1	PTHR30618;PTHR30618:SF11	IPR038271	GO:0016020;GO:0022857;GO:0055085	PF02133	NA	G3DSA:1.10.4160.10	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_57_length_130451_cov_70.941009-processed-gene-0.5-mRNA-1	PTHR12741;PTHR12741:SF4	IPR039431		PF18097;PF04652	NA	G3DSA:1.20.5.420;G3DSA:1.25.40.270	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-162588|Reactome: R-HSA-917729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_137_length_60412_cov_73.695579-processed-gene-0.42-mRNA-1	PTHR14430;PTHR14430:SF4	IPR040351	GO:0005085	PF06428	NA	NA	mobidb-lite	NA	SSF144284	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_137636_cov_25.234836-processed-gene-0.54-mRNA-1	PTHR16196	IPR019339	NA	PF10197	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_219_length_23522_cov_74.051678-snap-gene-0.9-mRNA-1	PTHR14430;PTHR14430:SF0	IPR040351	GO:0005085	PF06428	NA	NA	mobidb-lite	NA	SSF144284	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_6_length_447864_cov_73.606110-augustus-gene-0.226-mRNA-1	PTHR11668;PTHR11668:SF242	IPR029052	GO:0016787	PF00149	SM00156	G3DSA:3.60.21.10	mobidb-lite	NA	SSF56300	NA	NA	cd07415	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS00125	NA	NA	NA	PR00114	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_55_length_135047_cov_78.225452-processed-gene-0.329-mRNA-1	PTHR24073;PTHR24073:SF450	IPR005225	GO:0005525;GO:0003924	PF00071	SM00175;SM00173;SM00174	NA	mobidb-lite	PS51419	SSF52540	NA	NA	cd00154	NA	NA	NA	NA	NA	PR00449	NA	NA	TIGR00231	NA	NA	NA
maker-NODE_52_length_139173_cov_68.556909-augustus-gene-0.43-mRNA-1	PTHR12537:SF12;PTHR12537	IPR033712	GO:0003723	PF00806	SM00025	G3DSA:1.25.10.10	mobidb-lite	PS50302;PS50303	SSF48371	NA	NA	cd07920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_137_length_60412_cov_73.695579-augustus-gene-0.9-mRNA-1	PTHR12875	IPR007317	GO:0005515	PF04190	NA	G3DSA:1.25.40.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_248_length_16006_cov_67.846968-snap-gene-0.33-mRNA-1	PTHR15346	IPR028133	GO:0005869;GO:0007017	PF04912	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_96_length_86059_cov_72.539450-augustus-gene-0.228-mRNA-1	PTHR36853	IPR024382	NA	PF12955	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_135677_cov_73.518879-snap-gene-0.240-mRNA-1	PTHR23148	IPR002483	GO:0006397	PF01480	SM00311	G3DSA:1.20.1390.10	mobidb-lite	PS51025	SSF101233	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_260_length_13167_cov_54.787040-processed-gene-0.35-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_128121_cov_70.262051-augustus-gene-0.14-mRNA-1	PTHR21255:SF4;PTHR21255	IPR005334	NA	PF03645	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_184481_cov_72.699838-processed-gene-0.119-mRNA-1	PTHR42923:SF16;PTHR42923	IPR002937	GO:0016491;GO:0055114	PF01593	NA	G3DSA:3.90.660.10;G3DSA:3.50.50.60	NA	NA	SSF51905	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_168875_cov_71.947022-snap-gene-0.406-mRNA-1	PTHR21321;PTHR21321:SF1	IPR004088	GO:0003723;GO:0000178	PF18311;PF15985	NA	G3DSA:3.30.1370.10;G3DSA:2.40.50.140	NA	NA	SSF50249;SSF54791	NA	NA	cd05790	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_202737_cov_78.199719-processed-gene-1.230-mRNA-1	PTHR39147	NA	NA	NA	NA	NA	mobidb-lite	NA	SSF57716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_126232_cov_72.676468-snap-gene-0.292-mRNA-1	PTHR23083;PTHR23083:SF464	IPR019734	GO:0005515	NA	SM00028	NA	mobidb-lite	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_127_length_64775_cov_1692.190632-protein2genome-gene-0.0-mRNA-1	PTHR33269;PTHR33269:SF4	IPR001457	GO:0008137;GO:0055114	PF00499	NA	G3DSA:1.20.120.1200	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_234203_cov_74.292819-processed-gene-1.4-mRNA-1	PTHR31801	IPR016031	NA	PF01987	NA	G3DSA:3.60.160.10	mobidb-lite	NA	SSF51219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_114_length_77321_cov_76.005739-processed-gene-0.44-mRNA-1	PTHR12553;PTHR12553:SF49	IPR036866	GO:0008033	PF12706;PF13691	NA	G3DSA:3.60.15.10	mobidb-lite	NA	SSF56281	NA	NA	cd07718	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470|Reactome: R-HSA-8868766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_82_length_95832_cov_70.482399-augustus-gene-0.61-mRNA-1	PTHR23115:SF36;PTHR23115	IPR009000	GO:0003924;GO:0005525;GO:0000288;GO:0003747;GO:0006415	PF03143;PF03144;PF00009	NA	G3DSA:2.40.30.10;G3DSA:3.40.50.300	mobidb-lite	PS51722	SSF50447;SSF50465;SSF52540	NA	NA	cd04089;cd01883;cd03704	NA	NA	NA	NA	NA	PR01343;PR00315	NA	NA	NA	NA	NA	NA
