Gene	interpro	Pfam	Phobius	TMHMM	GO	PATHWAY	ProSitePatterns	CDD	TIGRFAM	Gene3D	SMART	PANTHER	SUPERFAMILY	MobiDBLite	Coils	PRINTS	PIRSF	Hamap	ProSiteProfiles	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SFLD	ProDom
maker-NODE_497_length_17543_cov_25.286920-snap-gene-0.7-mRNA-1	IPR024610	PF12998	NA	NA	NA	NA	NA	cd15505	NA	G3DSA:3.30.40.10	SM01408	PTHR10333;PTHR10333:SF42	SSF57903	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_924_length_8444_cov_31.103403-processed-gene-0.5-mRNA-1	IPR036188	PF16901;PF01266	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0016491;GO:0055114;GO:0004368;GO:0006072;GO:0009331	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.10;G3DSA:1.10.8.870	NA	PTHR11985:SF15;PTHR11985	SSF54373;SSF51905	mobidb-lite	NA	PR01001	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
snap_masked-NODE_37_length_60431_cov_27.629527-processed-gene-0.6-mRNA-1	IPR008584	PF05907	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR12857	SSF141678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_471_length_18553_cov_26.882340-snap-gene-0.6-mRNA-1	IPR012110	PF02776;PF02775;PF00205	NA	NA	GO:0016831;GO:0030976;GO:0003824;GO:0000287	NA	NA	cd02005;cd07038	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	NA	PTHR43452;PTHR43452:SF6	SSF52518;SSF52467	NA	NA	NA	PIRSF036565	NA	NA	NA	NA	NA	NA	NA
maker-NODE_617_length_14295_cov_33.300819-augustus-gene-0.9-mRNA-1	IPR016696	PF04051	NA	NA	GO:0030008;GO:0048193	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	cd14943	NA	G3DSA:3.30.1380.20	NA	PTHR20902	SSF111126	mobidb-lite	NA	NA	PIRSF017479	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_59_length_54052_cov_31.583236-processed-gene-0.154-mRNA-1	IPR013169	PF08315	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR31551	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_324_length_23724_cov_28.936856-snap-gene-0.0-mRNA-1	IPR000008	PF00168	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0061817;GO:0008289	NA	NA	cd04045;cd04040;cd04052;cd04044	NA	G3DSA:2.60.40.150	SM00239	PTHR10774:SF116;PTHR10774	SSF49562	mobidb-lite	NA	NA	PIRSF037232	NA	PS50004;PS51847	NA	NA	NA	NA	NA
maker-NODE_358_length_22099_cov_34.763790-snap-gene-0.28-mRNA-1	IPR004827	NA	NA	NA	GO:0003700;GO:0006355	NA	PS00036	cd14688	NA	G3DSA:1.20.5.170	SM00338	NA	SSF57959	mobidb-lite	Coil	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_513_length_17054_cov_28.587700-augustus-gene-0.32-mRNA-1	IPR000504	PF00076	NA	NA	GO:0003676	NA	NA	NA	NA	G3DSA:3.30.70.330	SM00360	PTHR19965;PTHR19965:SF35	SSF54928	mobidb-lite	NA	NA	NA	NA	PS50102	NA	NA	NA	NA	NA
snap_masked-NODE_41_length_58823_cov_29.748467-processed-gene-0.122-mRNA-1	IPR001932	PF00481	NA	NA	GO:0003824;GO:0004722;GO:0006470;GO:0043169	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS01032	cd00143	NA	NA	SM00332	PTHR13832:SF526;PTHR13832	SSF81606	mobidb-lite	NA	NA	NA	NA	PS51746	NA	NA	NA	NA	NA
snap_masked-NODE_216_length_29656_cov_29.133733-processed-gene-0.60-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_195_length_31729_cov_32.458325-processed-gene-0.61-mRNA-1	IPR007219	PF04082	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	NA	SM00906	PTHR31986:SF12;PTHR31986	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_939_length_8271_cov_16.577726-augustus-gene-0.0-mRNA-1	IPR018307	PF09794	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR31017:SF1;PTHR31017	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_338_length_23214_cov_27.139083-processed-gene-0.24-mRNA-1	IPR010730	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR33112;PTHR33112:SF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_722_length_11937_cov_26.508552-processed-gene-0.34-mRNA-1	IPR009069	PF08991	NA	NA		Reactome: R-HSA-1268020	NA	NA	NA	G3DSA:1.10.287.1130	NA	PTHR15590	SSF47072	NA	NA	NA	NA	NA	PS51808	NA	NA	NA	NA	NA
maker-NODE_969_length_7899_cov_36.891534-snap-gene-0.16-mRNA-1	IPR001138	NA	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	cd00067	NA	NA	NA	PTHR31986:SF12;PTHR31986	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_60647_cov_29.078602-augustus-gene-0.135-mRNA-1	IPR025110	PF13193;PF00501	NA	NA	GO:0003824	NA	PS00455	cd05911	NA	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	PTHR24096:SF312;PTHR24096	SSF56801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_935_length_8348_cov_35.862061-snap-gene-0.2-mRNA-1	IPR003130	PF02212;PF00350;PF01031	NA	NA	GO:0003924;GO:0005525	NA	PS00410	cd08771	NA	G3DSA:1.20.120.1240;G3DSA:3.40.50.300	SM00053;SM00302	PTHR11566;PTHR11566:SF21	SSF52540	mobidb-lite	Coil	PR00195	NA	NA	PS51718;PS51388	NA	NA	NA	NA	NA
augustus_masked-NODE_376_length_21313_cov_39.564429-processed-gene-0.11-mRNA-1	IPR036188	PF13434	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	NA	PTHR38688	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1027_length_7284_cov_36.202878-processed-gene-0.23-mRNA-1	IPR004841	PF00324	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016020;GO:0055085;GO:0022857	NA	NA	NA	NA	G3DSA:1.20.1740.10	NA	PTHR43341;PTHR43341:SF15	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_502_length_17392_cov_25.796930-processed-gene-0.10-mRNA-1	IPR015424	PF04082;PF01053	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0003824;GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0030170	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	cd12148	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SM00906	PTHR42699	SSF53383	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_103_length_41609_cov_31.945639-processed-gene-0.10-mRNA-1	IPR036908	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	G3DSA:2.40.40.10	NA	NA	SSF50685	mobidb-lite	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
snap_masked-NODE_22_length_69589_cov_32.921785-processed-gene-0.49-mRNA-1	IPR000396	PF02112	NA	NA	GO:0004115;GO:0006198	NA	NA	cd07735	NA	NA	NA	PTHR28283	SSF56281	mobidb-lite	NA	PR00388	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_810_length_10132_cov_28.917041-snap-gene-0.7-mRNA-1	IPR036873	PF00581;PF00443	NA	NA	GO:0016579;GO:0036459	NA	NA	cd02674	NA	G3DSA:3.90.70.10;G3DSA:3.40.250.10	SM00450	PTHR44032	SSF52821;SSF54001	mobidb-lite	Coil	NA	NA	NA	PS50206;PS50235	NA	NA	NA	NA	NA
maker-NODE_1306_length_4513_cov_28.434565-snap-gene-0.14-mRNA-1	IPR006634	PF03798	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021	Reactome: R-HSA-1660661	NA	NA	NA	NA	SM00724	PTHR12560:SF0;PTHR12560	NA	NA	NA	NA	PIRSF005225	NA	PS50922	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_180263_cov_34.489297-processed-gene-0.47-mRNA-1	IPR012879	PF07946	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	PTHR12883	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_693_length_12478_cov_36.034734-snap-gene-0.2-mRNA-1	IPR036318	PF08031;PF01565	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	GO:0050660;GO:0071949;GO:0016491;GO:0055114	NA	NA	NA	NA	G3DSA:3.30.465.40;G3DSA:3.40.462.20	NA	PTHR13878:SF50;PTHR13878	SSF56176	NA	NA	NA	NA	NA	PS51387	SignalP-TM	NA	NA	NA	NA
snap_masked-NODE_184_length_32462_cov_40.220844-processed-gene-0.28-mRNA-1	IPR007133	PF03985	NA	NA	GO:0006368;GO:0016570;GO:0016593	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	PTHR23188:SF12;PTHR23188	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_520_length_16842_cov_30.087526-snap-gene-0.37-mRNA-1	IPR012302	PF03949;PF00390	NA	NA	GO:0051287;GO:0004471;GO:0055114;GO:0004470	NA	NA	cd05312	NA	G3DSA:3.40.50.10380;G3DSA:3.40.50.720	SM01274;SM00919	PTHR23406;PTHR23406:SF40	SSF53223;SSF51735	NA	NA	PR00072	PIRSF000106	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_7_length_86764_cov_32.543948-processed-gene-0.184-mRNA-1	IPR015915	PF13964;PF13418;PF01344	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:2.120.10.80	SM00612	PTHR23244;PTHR23244:SF401	SSF117281	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_148_length_35715_cov_31.592756-processed-gene-0.61-mRNA-1	IPR015943	PF00400	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:2.130.10.10	SM00320	PTHR18763;PTHR18763:SF0	SSF50978	NA	Coil	NA	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA
snap_masked-NODE_238_length_28264_cov_33.656467-processed-gene-0.7-mRNA-1	IPR000504	PF00076	NA	NA	GO:0003676	NA	NA	cd12320	NA	G3DSA:3.30.70.330	SM00360	PTHR44220	SSF54928	mobidb-lite	Coil	NA	NA	NA	PS50102	NA	NA	NA	NA	NA
maker-NODE_38_length_59826_cov_35.394278-snap-gene-0.48-mRNA-1	IPR009286	PF06090	NA	NA	GO:0005524;GO:0035299	KEGG: 00562+2.7.1.158|KEGG: 04070+2.7.1.158|MetaCyc: PWY-4661|MetaCyc: PWY-6361|MetaCyc: PWY-6362|MetaCyc: PWY-6369|MetaCyc: PWY-6372|MetaCyc: PWY-6554|Reactome: R-HSA-1855167|Reactome: R-HSA-1855191	NA	NA	NA	NA	NA	PTHR14456:SF2;PTHR14456	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_587_length_15131_cov_27.685950-processed-gene-0.12-mRNA-1	IPR001810	PF12937;PF13516	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:3.80.10.10	SM00256;SM00367	PTHR44001	SSF52047;SSF81383	mobidb-lite	NA	NA	NA	NA	PS50181	NA	NA	NA	NA	NA
maker-NODE_37_length_60431_cov_27.629527-snap-gene-0.140-mRNA-1	IPR039722	PF00076;PF03467	NA	NA	GO:0000184;GO:0003676	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	cd00590	NA	G3DSA:3.30.70.330	NA	PTHR13112;PTHR13112:SF0	SSF54928	mobidb-lite	NA	NA	NA	NA	PS50102	NA	NA	NA	NA	NA
snap_masked-NODE_348_length_22897_cov_36.811770-processed-gene-0.55-mRNA-1	IPR014746	PF02637;PF02934	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0003824;GO:0016884;GO:0016874	NA	PS01234	NA	TIGR00133	G3DSA:1.10.150.380	NA	PTHR11659;PTHR11659:SF0	SSF55931	mobidb-lite	NA	NA	NA	MF_00121	NA	NA	NA	NA	NA	NA
snap_masked-NODE_123_length_38071_cov_32.279570-processed-gene-0.30-mRNA-1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR38695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_216_length_29656_cov_29.133733-processed-gene-0.63-mRNA-1	IPR027417	PF00350;PF02212;PF01031	NA	NA	GO:0003924;GO:0005525	NA	NA	cd08771	NA	G3DSA:3.40.50.300	SM00053	PTHR11566;PTHR11566:SF137	SSF52540	mobidb-lite	Coil	PR00195	NA	NA	PS51388;PS51718	NA	NA	NA	NA	NA
snap_masked-NODE_41_length_58823_cov_29.748467-processed-gene-0.114-mRNA-1	IPR005144	PF03477;PF02867;PF00317	NA	NA	GO:0006260;GO:0055114;GO:0004748;GO:0005524	Reactome: R-HSA-499943	PS00089	cd01679	TIGR02506	G3DSA:3.20.70.20	NA	PTHR11573:SF6;PTHR11573	SSF48168;SSF51998	mobidb-lite	Coil	PR01183	NA	NA	PS51161	NA	NA	NA	NA	NA
snap_masked-NODE_157_length_34428_cov_28.475001-processed-gene-0.4-mRNA-1	IPR013087	PF00096;PF04082	NA	NA	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PS00028	cd12148	NA	G3DSA:3.30.160.60	SM00355	PTHR40626	SSF57667	mobidb-lite	NA	NA	NA	NA	PS50157	NA	NA	NA	NA	NA
maker-NODE_161_length_34128_cov_29.265257-snap-gene-0.92-mRNA-1	IPR039715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR13491	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_544_length_16231_cov_14.401453-snap-gene-0.40-mRNA-1	IPR034094	PF00294	NA	NA	NA	NA	NA	cd01943	NA	NA	NA	PTHR10584;PTHR10584:SF206	SSF53613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_965_length_7958_cov_15.256417-snap-gene-0.10-mRNA-1	IPR001048	PF00696;PF13840	NA	NA	GO:0004072;GO:0009089;GO:0008652	Reactome: R-HSA-70614	PS00324	NA	TIGR00657	G3DSA:3.40.1160.10;G3DSA:3.30.2130.10	NA	PTHR21499	SSF53633;SSF55021	NA	NA	NA	PIRSF000726	NA	PS51671	NA	NA	NA	NA	NA
maker-NODE_1914_length_1689_cov_10.140845-snap-gene-0.0-mRNA-1	IPR018108	PF00153	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0022857;GO:0055085	NA	NA	NA	NA	G3DSA:1.50.40.10	NA	PTHR24089;PTHR24089:SF282	SSF103506	NA	NA	PR00926	NA	NA	PS50920	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_73782_cov_32.199973-processed-gene-0.144-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_701_length_12330_cov_17.681472-snap-gene-0.5-mRNA-1	IPR000591	PF00610;PF15405;PF00780;PF00621	NA	NA	GO:0035556;GO:0005089;GO:0035023;GO:0005515	NA	NA	cd04435;cd00160	NA	G3DSA:1.10.10.10;G3DSA:1.20.900.10;G3DSA:2.30.29.30	SM00325;SM00036;SM00049	PTHR12673;PTHR12673:SF155	SSF50729;SSF46785;SSF48065;SSF50978	mobidb-lite	NA	NA	NA	NA	PS50186;PS50219;PS50010	NA	NA	NA	NA	NA
snap_masked-NODE_226_length_29065_cov_27.771823-processed-gene-0.99-mRNA-1	IPR006259	PF05191;PF00406	NA	NA	GO:0004017;GO:0005524;GO:0016776;GO:0006139;GO:0019205;GO:0006172	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219	PS00113	cd01428	TIGR01351	G3DSA:3.40.50.300	NA	PTHR23359:SF117;PTHR23359	SSF52540	NA	Coil	PR00094	NA	MF_00235;MF_03168	NA	NA	NA	NA	NA	NA
maker-NODE_250_length_27277_cov_28.733812-snap-gene-0.68-mRNA-1	IPR003578	PF00071	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005525;GO:0005622;GO:0007264;GO:0003924	Reactome: R-HSA-194840	NA	NA	TIGR00231	G3DSA:3.40.50.300	SM00174;SM00173;SM00175	PTHR24072:SF181;PTHR24072	SSF52540	mobidb-lite	NA	PR00449	NA	NA	PS51420	NA	NA	NA	NA	NA
snap_masked-NODE_157_length_34428_cov_28.475001-processed-gene-0.6-mRNA-1	IPR018244	PF00188	NA	NA	GO:0005576	NA	PS01009	NA	NA	G3DSA:3.40.33.10	SM00198	PTHR10334:SF312;PTHR10334	SSF55797	NA	NA	PR00837	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_84562_cov_31.700409-processed-gene-0.132-mRNA-1	IPR035979	NA	NA	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	SSF54928	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_372_length_21480_cov_40.631668-processed-gene-0.6-mRNA-1	IPR036866	PF07522;PF12706	NA	NA	NA	NA	NA	cd16273	NA	G3DSA:3.60.15.10	NA	PTHR23240;PTHR23240:SF6	SSF56281	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_424_length_19748_cov_32.775139-augustus-gene-0.6-mRNA-1	IPR000490	PF00332	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0004553;GO:0005975	KEGG: 00500+3.2.1.39	NA	NA	NA	NA	NA	PTHR16631;PTHR16631:SF17	SSF51445	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_818_length_10007_cov_33.932490-snap-gene-0.4-mRNA-1	IPR002056	PF02064	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005742;GO:0006605;GO:0006886	NA	NA	NA	NA	G3DSA:1.20.960.10	NA	PTHR12430:SF0;PTHR12430	SSF47157	NA	Coil	PR00351	PIRSF037707	NA	NA	NA	NA	NA	NA	NA
maker-NODE_695_length_12449_cov_27.237056-snap-gene-0.6-mRNA-1	IPR000547	PF05131	NA	NA	GO:0006886;GO:0016192	NA	NA	cd16462	NA	NA	NA	PTHR23323;PTHR23323:SF26	SSF57850	NA	Coil	NA	NA	NA	PS50236	NA	NA	NA	NA	NA
maker-NODE_24_length_67622_cov_27.077621-snap-gene-0.122-mRNA-1	IPR003892	PF02845	NA	NA	GO:0005515	NA	NA	cd14364	NA	G3DSA:1.10.8.10	SM00546	PTHR21494;PTHR21494:SF0	SSF46934	mobidb-lite	NA	NA	NA	NA	PS51140	NA	NA	NA	NA	NA
maker-NODE_1078_length_6630_cov_30.341996-augustus-gene-0.43-mRNA-1	IPR022878	PF02874;PF16886;PF00006	NA	NA	GO:0046034;GO:1902600;GO:0015991;GO:0033180;GO:0046961;GO:0005524	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PS00152	cd01134	TIGR01042	G3DSA:2.40.50.100;G3DSA:2.40.30.20;G3DSA:1.10.1140.10;G3DSA:3.40.50.300	NA	PTHR43607;PTHR43607:SF1	SSF50615;SSF52540;SSF47917	NA	NA	NA	NA	MF_00309	NA	NA	NA	NA	NA	NA
maker-NODE_297_length_24971_cov_25.910039-snap-gene-0.58-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR35487	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_53685_cov_31.204283-augustus-gene-0.77-mRNA-1	IPR032697	PF13249;PF13243	NA	NA	GO:0016866	Reactome: R-HSA-191273|Reactome: R-HSA-2426168	PS01074	cd02892	TIGR01787	G3DSA:1.50.10.20;G3DSA:2.40.50.310	NA	PTHR11764;PTHR11764:SF20	SSF48239	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG01016	NA
maker-NODE_640_length_13777_cov_28.275824-snap-gene-0.4-mRNA-1	IPR036047	PF12937	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:1.20.1280.50	NA	NA	SSF81383	mobidb-lite	NA	NA	NA	NA	PS50181	NA	NA	NA	NA	NA
maker-NODE_166_length_33855_cov_25.071750-snap-gene-0.71-mRNA-1	IPR036812	PF00248	NA	NA	NA	NA	NA	cd06660	NA	G3DSA:3.20.20.100	NA	PTHR43364;PTHR43364:SF7	SSF51430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_820_length_9978_cov_24.535783-snap-gene-0.4-mRNA-1	IPR006808	PF04718	NA	NA	GO:0000276;GO:0015078;GO:0015986	NA	NA	NA	NA	NA	NA	PTHR12386;PTHR12386:SF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_185_length_32432_cov_31.881690-processed-gene-0.6-mRNA-1	IPR020602	PF01227	NA	NA	GO:0003934;GO:0005737;GO:0046654	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	PS00859;PS00860	cd00642	TIGR00063	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	NA	PTHR11109;PTHR11109:SF0	SSF55620	mobidb-lite	NA	NA	NA	MF_00223	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_257_length_27099_cov_39.240397-processed-gene-0.7-mRNA-1	IPR011050	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	G3DSA:2.160.20.10	NA	PTHR42970	SSF51126	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_446_length_19279_cov_31.093724-augustus-gene-0.37-mRNA-1	IPR020904	PF00106;PF01575	NA	NA	GO:0016491	NA	PS00061	cd03448;cd05353	NA	G3DSA:3.10.129.10;G3DSA:3.40.50.720	SM00822	PTHR45024:SF2;PTHR45024	SSF51735;SSF54637	mobidb-lite	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_54649_cov_26.607131-augustus-gene-0.16-mRNA-1	IPR036463	PF00449;PF01979;PF00699;PF00547	NA	NA	GO:0016151;GO:0043419;GO:0016787;GO:0006807;GO:0009039;GO:0016810	KEGG: 00220+3.5.1.5|KEGG: 00230+3.5.1.5|KEGG: 00791+3.5.1.5|MetaCyc: PWY-5704	PS01120;PS00145	cd00407;cd00375;cd00390	TIGR01792;TIGR00193;TIGR00192	G3DSA:2.10.150.10;G3DSA:3.30.280.10;G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	PTHR43440	SSF54111;SSF51338;SSF51278;SSF51556	NA	NA	PR01752	PIRSF001222	MF_01954;MF_01953	PS51368	NA	NA	NA	NA	PD002319
maker-NODE_99_length_42395_cov_34.351897-snap-gene-0.18-mRNA-1	IPR007557	PF04468	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR43830:SF3;PTHR43830	NA	mobidb-lite	NA	NA	NA	NA	PS51411	NA	NA	NA	NA	NA
maker-NODE_41_length_58823_cov_29.748467-augustus-gene-0.129-mRNA-1	IPR000850	PF00406	NA	NA	GO:0005524;GO:0006139;GO:0019205	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PS00113	NA	NA	G3DSA:3.40.50.300	NA	PTHR23359;PTHR23359:SF118	SSF52540	NA	NA	PR00094	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_89506_cov_39.435673-processed-gene-0.3-mRNA-1	IPR010036	PF12689	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0016791	NA	NA	NA	TIGR01681;TIGR01685	NA	NA	PTHR17901;PTHR17901:SF14	SSF56784	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SFLDG01131;SFLDS00003	NA
maker-NODE_804_length_10226_cov_12.534607-snap-gene-0.2-mRNA-1	IPR024083	PF00206;PF10415	NA	NA	GO:0004333;GO:0006106;GO:0045239;GO:0003824;GO:0006099;GO:0016829	KEGG: 00020+4.2.1.2|KEGG: 00620+4.2.1.2|KEGG: 00720+4.2.1.2|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7384|Reactome: R-HSA-71403	PS00163	cd01362	TIGR00979	G3DSA:1.10.275.10;G3DSA:1.10.40.30;G3DSA:1.20.200.10	NA	PTHR11444;PTHR11444:SF1	SSF48557	NA	NA	PR00149	NA	MF_00743	NA	NA	NA	NA	NA	NA
