Gene	Phobius	PANTHER	TMHMM	MobiDBLite	interpro	SMART	Pfam	ProSiteProfiles	GO	SUPERFAMILY	PRINTS	CDD	Gene3D	Coils	PATHWAY	ProSitePatterns	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SFLD	ProDom	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE
augustus_masked-NODE_1375_length_5557_cov_10.530571-processed-gene-0.1-mRNA-1	NA	PTHR10845:SF192;PTHR10845	NA	mobidb-lite	IPR016137	SM00315	PF00615	PS50132	NA	SSF48097	NA	cd07440	G3DSA:1.20.58.1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_323_length_21660_cov_11.860725-augustus-gene-0.1-mRNA-1	NA	PTHR10277:SF48;PTHR10277	NA	mobidb-lite	IPR000891	NA	PF00682	PS50991	GO:0003824;GO:0004410;GO:0019752;GO:0019878;GO:0046912	SSF51569	NA	cd07948	G3DSA:1.10.238.260;G3DSA:3.20.20.70	Coil	KEGG: 00300+2.3.3.14|KEGG: 00620+2.3.3.14|MetaCyc: PWY-3081|MetaCyc: PWY-7710	PS00815;PS00816	NA	NA	TIGR02146	NA	NA	NA	NA	NA
maker-NODE_1413_length_5352_cov_10.603828-snap-gene-0.2-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_740_length_11748_cov_10.220119-processed-gene-0.5-mRNA-1	NA	PTHR10943;PTHR10943:SF1	NA	mobidb-lite	IPR016643	NA	PF01851;PF18051;PF17781;PF01812	NA	GO:0000502;GO:0030234;GO:0042176	SSF100950;SSF48371	NA	NA	G3DSA:3.40.50.10420;G3DSA:1.25.10.10	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_831_length_10511_cov_13.041988-processed-gene-0.6-mRNA-1	NA	PTHR37271	NA	mobidb-lite	IPR013889	NA	PF08580	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_135_length_33156_cov_11.828363-processed-gene-0.10-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR31616;PTHR31616:SF7	NA	NA	IPR002044	SM01065	PF00686;PF00723	PS51166	GO:2001070;GO:0000272;GO:0004339;GO:0005976;GO:0030246;GO:0003824	SSF49452;SSF48208	PR00736	cd05811	G3DSA:1.50.10.10;G3DSA:2.60.40.10	NA	KEGG: 00500+3.2.1.3|MetaCyc: PWY-5941	PS00820	PIRSF001031	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	NA
maker-NODE_1630_length_4259_cov_8.378509-augustus-gene-0.3-mRNA-1	NA	PTHR28155	NA	mobidb-lite	IPR013240	NA	PF08208	NA	GO:0006360	NA	NA	NA	NA	Coil	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_376_length_19661_cov_11.301884-processed-gene-0.30-mRNA-1	NA	PTHR43804;PTHR43804:SF7	NA	mobidb-lite	IPR000352	SM00937	PF00472;PF03462	NA	GO:0003747;GO:0006415	SSF75620	NA	NA	G3DSA:3.30.160.20;G3DSA:3.30.70.1660	Coil	NA	PS00745	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
snap_masked-NODE_818_length_10734_cov_10.573772-processed-gene-0.9-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR22775:SF30;PTHR22775	TMhelix	mobidb-lite	IPR036871	SM00313	PF00787;PF08628;PF02194	PS51207;PS50195	GO:0035091	SSF64268	NA	cd06093	G3DSA:3.30.1520.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_47792_cov_11.523948-augustus-gene-0.4-mRNA-1	NA	PTHR24361:SF360;PTHR24361	NA	mobidb-lite	IPR001849	SM00220;SM00285;SM00233	PF00069;PF00786	PS50003;PS50108;PS50011	GO:0004672;GO:0006468;GO:0005524;GO:0004674	SSF56112;SSF50729	NA	cd13279;cd01093;cd06614	G3DSA:3.90.810.10;G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:2.30.29.30	Coil	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-428540	PS00108	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_220_length_27316_cov_12.506197-augustus-gene-0.25-mRNA-1	NA	PTHR13410	NA	NA	IPR008476	NA	PF04669	NA	NA	NA	NA	NA	G3DSA:1.10.3560.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_659_length_12927_cov_11.254219-snap-gene-0.14-mRNA-1	NA	PTHR31285	NA	mobidb-lite	NA	NA	NA	NA	NA	SSF52374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1113_length_7488_cov_11.009917-processed-gene-0.2-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_612_length_13607_cov_15.735905-processed-gene-0.6-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR10587;PTHR10587:SF126	NA	NA	IPR033119	NA	PF00457	PS51761	GO:0004553;GO:0005975	SSF49899	PR00911	NA	G3DSA:2.60.120.180	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	PS00777	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_868_length_10123_cov_10.232293-augustus-gene-0.4-mRNA-1	NA	PTHR21136:SF5;PTHR21136	NA	NA	IPR001388	SM01270	PF00957;PF13774	PS50892;PS50859	GO:0016021;GO:0016192	SSF58038;SSF64356	PR00219	cd15867	G3DSA:3.30.450.50;G3DSA:1.20.5.110	NA	Reactome: R-HSA-204005	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_238_length_26214_cov_13.708475-snap-gene-0.10-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR33048	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_42795_cov_11.527819-augustus-gene-0.3-mRNA-1	NA	PTHR24095:SF245;PTHR24095	NA	NA	IPR000873	NA	PF00501;PF13193;PF16177	NA	GO:0003824;GO:0003987;GO:0016208;GO:0019427	SSF56801	NA	cd05966	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857|Reactome: R-HSA-71384	PS00455	NA	NA	TIGR02188	NA	NA	NA	NA	NA
snap_masked-NODE_322_length_21663_cov_12.822483-processed-gene-0.4-mRNA-1	NA	PTHR43200:SF2;PTHR43200	NA	NA	IPR020583	NA	PF00459	NA	GO:0046854	SSF56655	NA	cd01517	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	NA	PS00629	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1771_length_3527_cov_11.830882-processed-gene-0.1-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR10572;PTHR10572:SF2	TMhelix	NA	IPR002202	NA	PF13323;PF12349;PF00368	PS50065;PS50156	GO:0004420;GO:0015936;GO:0050662;GO:0055114;GO:0008299;GO:0016021;GO:0050661;GO:0016616	SSF55035;SSF56542	PR00071	cd00643	G3DSA:3.30.70.420;G3DSA:3.90.770.10;G3DSA:1.10.3270.10	NA	KEGG: 00900+1.1.1.34|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PS00066	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_220_length_27316_cov_12.506197-snap-gene-0.14-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_249_length_25644_cov_11.822040-snap-gene-0.33-mRNA-1	NA	PTHR12124:SF47;PTHR12124	NA	mobidb-lite	IPR002562	SM00474;SM00341	PF01612;PF00570;PF08066	PS50967	GO:0003676;GO:0006139;GO:0008408;GO:0005622;GO:0000176;GO:0006396;GO:0000166;GO:0003824;GO:0044237	SSF53098;SSF47819	NA	cd06147	G3DSA:3.30.420.500;G3DSA:1.10.150.80	Coil	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_134_length_33169_cov_12.594667-snap-gene-0.12-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR10048;PTHR10048:SF15	NA	NA	IPR036940	SM00146;SM00145	PF00613;PF00454	PS51545;PS50290	GO:0016301;GO:0046854;GO:0048015	SSF48371;SSF56112	NA	cd05167	G3DSA:1.10.1070.11;G3DSA:1.25.40.70;G3DSA:3.30.1010.10	NA	NA	PS00915;PS00916	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_522_length_15714_cov_13.026112-augustus-gene-0.18-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR31313;PTHR31313:SF4	NA	mobidb-lite	IPR036864	SM00066;SM00906	PF00172;PF04082	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	cd12148;cd00067	G3DSA:4.10.240.10	NA	NA	PS00463	NA	NA	NA	NA	NA	PD016347	NA	NA
maker-NODE_842_length_10328_cov_12.159494-augustus-gene-0.13-mRNA-1	NA	PTHR28184	NA	mobidb-lite	IPR024629	NA	PF12829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_412_length_18389_cov_12.366663-processed-gene-0.17-mRNA-1	NA	PTHR22602	NA	NA	IPR028896	NA	PF01571	NA	GO:0005515	SSF103025	NA	NA	G3DSA:3.30.70.1400;G3DSA:3.30.1360.120	NA	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	NA	PIRSF006487	NA	TIGR03317	NA	NA	NA	NA	NA
augustus_masked-NODE_491_length_16313_cov_12.399296-processed-gene-0.7-mRNA-1	NA	PTHR13179	NA	mobidb-lite	IPR000591	SM00049	PF12257;PF00610	PS50186	GO:0035556	SSF46785	NA	cd04449	G3DSA:1.10.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1626_length_4264_cov_8.747643-augustus-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR10809;PTHR10809:SF6	TMhelix	mobidb-lite	IPR000535	NA	PF00635	PS50202	GO:0005789	SSF49354	NA	NA	G3DSA:2.60.40.10	Coil	NA	NA	PIRSF019693	NA	NA	NA	NA	NA	NA	NA
maker-NODE_304_length_22164_cov_12.112084-snap-gene-0.22-mRNA-1	NA	PTHR11632:SF5;PTHR11632	NA	mobidb-lite	IPR036871	NA	PF12825;PF12828	PS50195	GO:0035091	SSF64268	NA	NA	G3DSA:3.30.1520.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_905_length_9536_cov_8.956106-snap-gene-0.9-mRNA-1	NA	PTHR28047:SF5;PTHR28047	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.12500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_96207_cov_12.765279-augustus-gene-0.89-mRNA-1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR10340;PTHR10340:SF34	NA	NA	IPR029052	NA	PF00149	PS50015	GO:0004767;GO:0006685;GO:0016787	SSF56300	NA	cd00842	G3DSA:3.60.21.10	Coil	Reactome: R-HSA-1660662	NA	PIRSF000948	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-noTM
maker-NODE_676_length_12612_cov_11.496516-augustus-gene-0.6-mRNA-1	NA	PTHR19375;PTHR19375:SF331	NA	mobidb-lite	IPR013126	NA	PF00012	NA		SSF53067	PR00301	cd10232	G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:3.30.30.30	NA	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_49187_cov_11.487525-augustus-gene-0.42-mRNA-1	NA	PTHR11223;PTHR11223:SF2	NA	mobidb-lite	IPR016024	SM00913;SM01102	PF03810;PF08389;PF18784;PF18777;PF18787;PF08767	PS50166	GO:0006886;GO:0008536;GO:0005049	SSF48371	NA	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_411_length_18418_cov_11.580340-augustus-gene-0.29-mRNA-1	NA	PTHR11748;PTHR11748:SF83	NA	mobidb-lite	IPR006094	NA	PF01565;PF02913	PS51387	GO:0016491;GO:0050660;GO:0055114;GO:0003824;GO:0071949	SSF55103;SSF56176	NA	NA	G3DSA:3.30.43.10;G3DSA:3.30.70.2740;G3DSA:1.10.45.10;G3DSA:3.30.465.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_43333_cov_10.810998-augustus-gene-0.1-mRNA-1	NA	PTHR11875:SF7;PTHR11875	NA	mobidb-lite	IPR037231	NA	PF00956	NA	GO:0005634;GO:0006334	SSF143113	NA	NA	G3DSA:3.30.1120.90	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_42314_cov_12.727452-snap-gene-0.24-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2262_length_1661_cov_7.331160-snap-gene-0.0-mRNA-1	NA	PTHR13286;PTHR13286:SF6	NA	mobidb-lite	IPR024145	NA	PF13867	NA	GO:0005515	NA	NA	NA	G3DSA:1.10.720.110	NA	Reactome: R-HSA-3214815|Reactome: R-HSA-427413	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_127_length_33861_cov_11.807524-processed-gene-0.6-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23502;PTHR23502:SF7	TMhelix	mobidb-lite	IPR020846	NA	PF07690	PS50850	GO:0016021;GO:0055085;GO:0005215	SSF103473	NA	cd06174	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	PS00216	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1143_length_7269_cov_11.141977-augustus-gene-0.1-mRNA-1	NA	PTHR23138:SF120;PTHR23138	NA	mobidb-lite	IPR000156	SM00160	PF00638	PS50196	GO:0046907	SSF50729	NA	cd13179	G3DSA:2.30.29.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_191_length_28644_cov_12.236526-snap-gene-0.6-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR39608:SF1;PTHR39608	TMhelix	NA	IPR008253	NA	PF01284	NA	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_308_length_22029_cov_13.156059-augustus-gene-0.31-mRNA-1	NA	PTHR43721;PTHR43721:SF12	NA	NA	IPR033720	NA	PF03144;PF00009;PF03143	PS51722	GO:0003746;GO:0005525;GO:0005622;GO:0006414;GO:0003924	SSF50447;SSF50465;SSF52540	PR00315	cd03697;cd03707;cd01884	G3DSA:2.40.30.10;G3DSA:3.40.50.300	NA	Reactome: R-HSA-5389840	PS00301	NA	MF_00118_B	TIGR00485;TIGR00231	NA	NA	NA	NA	NA
maker-NODE_635_length_13231_cov_12.307234-snap-gene-0.17-mRNA-1	NA	PTHR13677;PTHR13677:SF3	NA	mobidb-lite	IPR037516	NA	PF08616;PF07792	PS50211	GO:0017112	NA	NA	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_126_length_33873_cov_12.879719-augustus-gene-0.11-mRNA-1	NA	PTHR10902;PTHR10902:SF0	NA	NA	IPR038661	NA	PF01247	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	SSF50447	NA	NA	G3DSA:2.40.10.190	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	MF_00573	NA	NA	NA	PD012670	NA	NA
maker-NODE_159_length_31190_cov_11.549786-augustus-gene-0.9-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	mobidb-lite	IPR018830	NA	PF10361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_319_length_21687_cov_11.680148-snap-gene-0.0-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	IPR036291	NA	PF08643	NA	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_671_length_12721_cov_12.526044-augustus-gene-0.14-mRNA-1	NA	PTHR12378;PTHR12378:SF10	NA	mobidb-lite	IPR008580	SM01179	PF05903	NA	NA	NA	NA	NA	G3DSA:3.90.1720.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_32212_cov_12.944491-augustus-gene-0.41-mRNA-1	NA	PTHR43999	NA	mobidb-lite	IPR001623	SM00271	PF00226;PF16717	PS50076		SSF46565	NA	cd06257	G3DSA:1.10.8.840;G3DSA:1.10.287.110	Coil	Reactome: R-HSA-3371453	PS00636	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_499_length_16032_cov_12.191072-processed-gene-0.16-mRNA-1	NA	PTHR44149;PTHR44149:SF1	NA	mobidb-lite	IPR002885	NA	PF13041	PS51375	GO:0005515	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_891_length_9791_cov_9.977546-augustus-gene-0.7-mRNA-1	NA	PTHR11850:SF195;PTHR11850	NA	mobidb-lite	IPR013087	SM00389;SM00355	PF03221;PF05920	PS50157;PS50071;PS51253	GO:0003676;GO:0003677;GO:0006355	SSF46689	NA	cd00086	G3DSA:1.10.10.60	Coil	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_64037_cov_12.066171-processed-gene-0.27-mRNA-1	NA	NA	NA	mobidb-lite	IPR018392	NA	PF14555	NA	NA	NA	NA	cd00118	G3DSA:1.10.8.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_790_length_11120_cov_10.850177-processed-gene-0.3-mRNA-1	NA	PTHR12496;PTHR12496:SF0	NA	mobidb-lite	IPR025714	NA	PF13679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_97_length_37691_cov_13.625413-snap-gene-0.7-mRNA-1	NA	PTHR12802:SF41;PTHR12802	NA	mobidb-lite	IPR009057	SM00717	PF16495;PF00249;PF04433	PS50934;PS51293	GO:0003677;GO:0005515	SSF46689	NA	cd02336;cd00167	G3DSA:1.10.10.10;G3DSA:1.10.10.60	Coil	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_472_length_16631_cov_10.668747-snap-gene-0.9-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR31944:SF55;PTHR31944	NA	mobidb-lite	IPR007219	SM00906	PF04082	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_411_length_18418_cov_11.580340-processed-gene-0.0-mRNA-1	NA	PTHR12280;PTHR12280:SF20	NA	mobidb-lite	IPR004567	NA	PF03630	NA	GO:0004594;GO:0005524;GO:0015937	SSF53067	NA	NA	G3DSA:3.30.420.510;G3DSA:3.30.420.40	NA	KEGG: 00770+2.7.1.33|MetaCyc: PWY-3961|Reactome: R-HSA-196783	NA	NA	NA	TIGR00555	NA	NA	NA	NA	NA
maker-NODE_1424_length_5301_cov_11.758214-snap-gene-0.1-mRNA-1	NA	PTHR10336:SF36;PTHR10336	NA	mobidb-lite	IPR001711	SM00239;SM00148;SM00149	PF00387;PF00168;PF00388	PS50008;PS50004;PS50007	GO:0004435;GO:0006629;GO:0007165;GO:0035556;GO:0008081	SSF50729;SSF47473;SSF49562;SSF51695	PR00390	cd13360;cd00275;cd08598	G3DSA:3.20.20.190;G3DSA:2.60.40.150;G3DSA:2.30.29.30	NA	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|Reactome: R-HSA-1855204	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1543_length_4640_cov_8.381786-processed-gene-0.2-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR10050:SF46;PTHR10050	TMhelix	mobidb-lite	IPR036300	SM00472	PF02815;PF16192;PF02366	PS50919	GO:0016020;GO:0000030;GO:0006493	SSF82109	NA	NA	G3DSA:2.80.10.50	NA	KEGG: 00514+2.4.1.109|KEGG: 00515+2.4.1.109|MetaCyc: PWY-7921|MetaCyc: PWY-7922|MetaCyc: PWY-7979|Reactome: R-HSA-5173105	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1025_length_8345_cov_12.131297-snap-gene-0.2-mRNA-1	NA	PTHR42791:SF8;PTHR42791	NA	NA	IPR016181	NA	PF13673	PS51186	NA	SSF55729	NA	cd04301	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_102_length_36237_cov_13.171891-augustus-gene-0.1-mRNA-1	NA	PTHR42690	NA	mobidb-lite	IPR000634	NA	PF00291;PF14821	NA	GO:0006520;GO:0030170	SSF53686	NA	cd01560	G3DSA:3.40.50.1100;G3DSA:3.90.1380.10	Coil	NA	PS00165	NA	NA	TIGR00260	NA	NA	NA	NA	NA
augustus_masked-NODE_827_length_10599_cov_11.111345-processed-gene-0.10-mRNA-1	NA	PTHR17630;PTHR17630:SF43	NA	mobidb-lite	IPR029058	NA	NA	NA	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_133_length_33255_cov_10.883543-snap-gene-0.7-mRNA-1	NA	PTHR11361:SF34;PTHR11361	NA	mobidb-lite	IPR007695	SM00534;SM00533	PF01624;PF00488;PF05192;PF05188	NA	GO:0005524;GO:0006298;GO:0030983	SSF48334;SSF55271;SSF53150;SSF52540	NA	NA	G3DSA:1.10.1420.10;G3DSA:3.40.50.300;G3DSA:3.30.420.110;G3DSA:3.40.1170.10	Coil	Reactome: R-HSA-5632928	PS00486	PIRSF037677	NA	NA	NA	NA	NA	NA	NA
maker-NODE_86_length_39074_cov_11.052328-snap-gene-0.16-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	IPR008721	NA	PF05460	NA	GO:0003677;GO:0005664;GO:0006260	NA	NA	NA	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA	NA
