Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
snap_masked-NODE_33_length_209019_cov_42.717519-processed-gene-0.13-mRNA-1	NA	IPR021582	NA	mobidb-lite	NA	NA	NA	NA	PF11489	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_34_length_208333_cov_45.525086-processed-gene-1.13-mRNA-1	NA	IPR029018	SSF55545;SSF51445	NA	NA	PTHR39207	GO:0005576;GO:0045493;GO:0046559	NA	PF07477;PF03648;PF07488	NA	G3DSA:3.30.379.10;G3DSA:3.90.1330.10;G3DSA:3.20.20.80	NA	NA	NA	NA	cd02795	NA	NA	NA	PIRSF029900	NA	NA	NA	NA
maker-NODE_6_length_459376_cov_47.460123-augustus-gene-3.45-mRNA-1	TMhelix	NA	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_153173_cov_41.472374-snap-gene-0.11-mRNA-1	NA	IPR007676	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR21049;PTHR21049:SF0	GO:0004579;GO:0005783;GO:0006486;GO:0016021	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	PF04597	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
snap_masked-NODE_52_length_160205_cov_44.697666-processed-gene-0.93-mRNA-1	NA	IPR004489	SSF46548;SSF54292	NA	NA	PTHR11921;PTHR11921:SF29	GO:0006099;GO:0016491;GO:0055114;GO:0051536;GO:0009055;GO:0051537	KEGG: 00020+1.3.5.1|KEGG: 00190+1.3.5.1|KEGG: 00650+1.3.5.1|KEGG: 00720+1.3.5.1|MetaCyc: PWY-3781|MetaCyc: PWY-4302|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7279|Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF13534;PF13085	TIGR00384	G3DSA:1.10.1060.10;G3DSA:3.10.20.30	NA	PS51379;PS51085	NA	NA	cd00207	PS00197;PS00198	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_68_length_139726_cov_48.335411-processed-gene-0.62-mRNA-1	NA	IPR024337	NA	mobidb-lite	NA	PTHR21027		Reactome: R-HSA-6784531	PF12928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_243189_cov_46.787314-augustus-gene-1.71-mRNA-1	NA	IPR000890	SSF53067	NA	NA	PTHR21060;PTHR21060:SF15	GO:0005622;GO:0016301;GO:0016310;GO:0016774;GO:0006082	KEGG: 00430+2.7.2.1|KEGG: 00620+2.7.2.1|KEGG: 00640+2.7.2.1|KEGG: 00680+2.7.2.1|KEGG: 00720+2.7.2.1|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-8015	PF00871	TIGR00016	G3DSA:3.30.420.40	NA	NA	NA	NA	NA	PS01075;PS01076	PR00471	SignalP-TM	PIRSF000722	MF_00020	NA	NA	NA
augustus_masked-NODE_143_length_43561_cov_45.243634-processed-gene-0.27-mRNA-1	NA	IPR022024	NA	mobidb-lite	NA	PTHR34693:SF2;PTHR34693	NA	NA	PF12223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_473_length_4273_cov_27.652677-snap-gene-0.1-mRNA-1	NA	IPR000994	SSF53092;SSF55920	NA	NA	PTHR43763	GO:0016787;GO:0070006	NA	PF00557;PF01321;PF16188;PF16189	NA	G3DSA:3.90.230.10;G3DSA:3.40.350.10	Coil	NA	NA	NA	cd01085	PS00491	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_280240_cov_48.570655-snap-gene-0.32-mRNA-1	NA	IPR002483	SSF101233	mobidb-lite	NA	PTHR18806;PTHR18806:SF4	GO:0006397	NA	PF01480	NA	G3DSA:1.20.1390.10	Coil	PS51025	SM00311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_485698_cov_44.640333-processed-gene-3.69-mRNA-1	TMhelix	IPR032800	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR31145:SF2;PTHR31145	NA	NA	PF06011;PF14558	NA	NA	NA	NA	SM01320	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_4_length_485698_cov_44.640333-snap-gene-0.47-mRNA-1	NA	IPR001199	SSF55856;SSF56425;SSF51905	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR43400:SF1;PTHR43400	GO:0000104;GO:0055114	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF00173;PF00890	TIGR01813	G3DSA:3.90.700.10;G3DSA:3.50.50.60;G3DSA:3.10.120.10	NA	PS50255	SM01117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_66_length_142711_cov_43.938107-processed-gene-0.38-mRNA-1	NA	IPR005024	NA	mobidb-lite	NA	PTHR22761:SF10;PTHR22761	GO:0007034	NA	PF03357	NA	G3DSA:1.10.287.1060	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_106_length_81601_cov_44.466517-processed-gene-0.54-mRNA-1	NA	IPR014001	SSF52540	mobidb-lite	NA	PTHR12131;PTHR12131:SF7	GO:0003723;GO:0003724;GO:0006401;GO:0003676;GO:0005524	NA	PF13234;PF00271;PF08148;PF00270	NA	G3DSA:1.20.1500.20;G3DSA:3.40.50.300;G3DSA:2.40.30.300;G3DSA:1.10.3380.30	Coil	PS51194;PS51192	SM00487;SM00490;SM01142	NA	cd00046;cd13154;cd00079	NA	NA	NA	PIRSF005198	NA	NA	NA	NA
maker-NODE_2_length_510603_cov_44.643932-snap-gene-3.80-mRNA-1	TMhelix	IPR005829	SSF103473	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23502;PTHR23502:SF7	GO:0005215;GO:0016021;GO:0055085	NA	PF07690	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	PS00216	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_26_length_237870_cov_47.987125-processed-gene-0.9-mRNA-1	NA	IPR012340	SSF50249	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	G3DSA:2.40.50.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_106_length_81601_cov_44.466517-processed-gene-0.10-mRNA-1	NA	IPR036864	SSF57701	mobidb-lite	NA	PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_70_length_138904_cov_47.584902-processed-gene-0.3-mRNA-1	NA	IPR010591	NA	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR13126	GO:0005739;GO:0065003	NA	PF06644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_15_length_322022_cov_47.826453-processed-gene-2.15-mRNA-1	NA	IPR018999	SSF52540	mobidb-lite	NA	PTHR10887:SF388;PTHR10887	GO:0000184;GO:0003677;GO:0004386;GO:0005524;GO:0005737;GO:0008270;GO:0016787	Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF13086;PF13087;PF09416;PF18141;PF04851	NA	G3DSA:3.40.50.300;G3DSA:2.40.30.230	NA	NA	SM00487	NA	cd00046	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_150837_cov_45.855736-augustus-gene-0.99-mRNA-1	NA	IPR011987	SSF48371	NA	NA	PTHR10698:SF0;PTHR10698	GO:0000221;GO:0015991;GO:0046961	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PF11698;PF03224	NA	G3DSA:1.25.10.10;G3DSA:1.25.40.150	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF032184	NA	NA	NA	NA
snap_masked-NODE_1_length_655175_cov_46.306011-processed-gene-3.36-mRNA-1	NA	IPR006406	SSF54675;SSF51690	NA	NA	PTHR11098:SF1;PTHR11098	GO:0004516;GO:0019357;GO:0004514;GO:0009435	KEGG: 00760+6.3.4.21|MetaCyc: PWY-5381	PF17767;PF04095	TIGR01514	G3DSA:3.20.140.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000484	NA	NA	NA	NA
augustus_masked-NODE_7_length_440057_cov_47.711181-processed-gene-1.8-mRNA-1	NA	IPR029226	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PF14856	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
snap_masked-NODE_27_length_234181_cov_45.442107-processed-gene-1.45-mRNA-1	NA	IPR005122	SSF52141	mobidb-lite	NA	PTHR11264:SF0;PTHR11264	GO:0004844;GO:0006281;GO:0006284;GO:0016799	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110357	PF03167	TIGR00628	G3DSA:3.40.470.10	NA	NA	SM00986;SM00987	NA	cd10027	PS00130	NA	NA	NA	MF_00148	NA	NA	NA
maker-NODE_39_length_192889_cov_46.993655-snap-gene-0.21-mRNA-1	NA	IPR010107	SSF53383	mobidb-lite	NA	PTHR43321;PTHR43321:SF6	GO:0004351;GO:0006536;GO:0030170;GO:0016831;GO:0019752;GO:0003824	KEGG: 00250+4.1.1.15|KEGG: 00410+4.1.1.15|KEGG: 00430+4.1.1.15|KEGG: 00650+4.1.1.15|MetaCyc: PWY-4321	PF00282	TIGR01788	G3DSA:3.90.1150.160;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_42_length_188626_cov_46.042069-snap-gene-0.9-mRNA-1	NA	IPR000195	SSF47923	mobidb-lite	NA	PTHR22957:SF263;PTHR22957	NA	NA	PF00566	NA	G3DSA:1.10.472.80	NA	PS50086	SM00164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_244105_cov_46.328526-processed-gene-0.54-mRNA-1	NA	IPR000717	NA	mobidb-lite	NA	PTHR15350:SF5;PTHR15350	NA	NA	PF01399	NA	G3DSA:1.25.40.570	Coil	PS50250	SM00088;SM00753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_382122_cov_47.985369-snap-gene-2.113-mRNA-1	NA	IPR032698	SSF81383;SSF141255	NA	NA	PTHR31350;PTHR31350:SF11	GO:0005515;GO:0003677	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	PF13369;PF12937;PF08755	NA	G3DSA:1.20.1280.50	NA	PS50181	SM00256;SM00992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_655175_cov_46.306011-processed-gene-0.37-mRNA-1	NA	IPR039358	SSF64268	mobidb-lite	NA	PTHR10555;PTHR10555:SF136	GO:0015031;GO:0030904;GO:0042147;GO:0035091	NA	PF09325;PF00787	NA	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	NA	NA	SM00312	NA	cd06891	NA	NA	NA	PIRSF011791	NA	NA	NA	NA
snap_masked-NODE_138_length_47642_cov_39.636515-processed-gene-0.17-mRNA-1	NA	IPR003084	SSF52768	NA	NA	PTHR10625;PTHR10625:SF132	GO:0004407;GO:0016575	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-3214815	PF00850	NA	G3DSA:3.40.800.20	Coil	NA	NA	NA	NA	NA	PR01271;PR01270	NA	PIRSF037913	NA	NA	NA	NA
augustus_masked-NODE_7_length_440057_cov_47.711181-processed-gene-1.23-mRNA-1	NA	NA	SSF49344	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	G3DSA:2.60.40.1190	NA	NA	NA	SignalP-noTM	cd09620	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_21_length_253681_cov_46.912366-augustus-gene-0.31-mRNA-1	NA	IPR008775	SSF51197	NA	NA	PTHR20883;PTHR20883:SF8	NA	NA	PF05721	NA	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_117_length_72263_cov_44.037013-snap-gene-0.22-mRNA-1	NA	IPR001138	SSF57701	mobidb-lite	NA	PTHR31313:SF51;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_71_length_130280_cov_45.546595-processed-gene-0.81-mRNA-1	TMhelix	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_128_length_57135_cov_47.381683-snap-gene-0.34-mRNA-1	NA	IPR001138	SSF57701	mobidb-lite	NA	PTHR31313:SF25;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_253474_cov_42.751148-processed-gene-0.53-mRNA-1	NA	IPR032378	SSF90229	mobidb-lite	NA	PTHR12681;PTHR12681:SF0	GO:0046872	NA	PF16543;PF00642	NA	NA	Coil	PS50103	SM00356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_655175_cov_46.306011-processed-gene-2.85-mRNA-1	TMhelix	IPR008949	SSF48576	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11626	GO:0004310;GO:0006696;GO:0051996;GO:0008610;GO:0016021;GO:0016765;GO:0009058;GO:0016740	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PF00494	TIGR01559	G3DSA:1.10.600.10	NA	NA	NA	NA	cd00683	PS01044	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01018
augustus_masked-NODE_96_length_97337_cov_46.673624-processed-gene-0.67-mRNA-1	NA	IPR036423	SSF49329	NA	NA	PTHR10003;PTHR10003:SF34	GO:0006801;GO:0046872;GO:0004784;GO:0055114	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	PF00080	NA	G3DSA:2.60.40.200	NA	NA	NA	NA	cd00305	PS00332;PS00087	PR00068	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_394649_cov_48.195036-processed-gene-1.17-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_200296_cov_45.924529-snap-gene-0.0-mRNA-1	NA	IPR017884	SSF46689	mobidb-lite	NA	PTHR13992:SF7;PTHR13992	GO:0003677	NA	NA	NA	G3DSA:1.20.58.1880;G3DSA:1.10.10.60	Coil	PS51293	SM00717	NA	cd00167	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_39_length_192889_cov_46.993655-processed-gene-0.59-mRNA-1	NA	IPR003593	SSF52540	NA	NA	PTHR23073;PTHR23073:SF12	GO:0005524;GO:0036402;GO:0005737;GO:0016787;GO:0030163	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF16450;PF00004;PF17862	TIGR01242	G3DSA:2.40.50.140;G3DSA:3.40.50.300;G3DSA:1.10.8.60	Coil	NA	SM00382	NA	cd00009	PS00674	NA	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_89951_cov_46.513738-snap-gene-0.78-mRNA-1	NA	IPR008709	SSF48371	mobidb-lite	NA	PTHR13109	NA	NA	PF05536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_115_length_74214_cov_42.856358-augustus-gene-0.22-mRNA-1	TMhelix	IPR009311	NA	mobidb-lite	NA	PTHR16932;PTHR16932:SF18	GO:0016021	NA	PF06140	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_150837_cov_45.855736-snap-gene-0.52-mRNA-1	NA	IPR016024	SSF48371;SSF56112	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR10048:SF15;PTHR10048	GO:0016301;GO:0046854;GO:0048015	NA	PF00613;PF00454	NA	G3DSA:1.25.40.70;G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	NA	PS51545;PS50290	SM00146;SM00145	NA	cd05167	PS00915;PS00916	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_53_length_157893_cov_44.883574-processed-gene-0.71-mRNA-1	NA	IPR014729	SSF50677;SSF52374;SSF47323	NA	NA	PTHR42780	GO:0002161;GO:0006418;GO:0000166;GO:0004812;GO:0005524;GO:0004822;GO:0006428;GO:0000049	KEGG: 00970+6.1.1.5	PF00133;PF08264	TIGR00392	G3DSA:3.40.50.620;G3DSA:3.90.740.10;G3DSA:1.10.730.10	Coil	NA	NA	NA	cd00818;cd07961	PS00178	PR00984	NA	NA	MF_02003	NA	NA	NA
maker-NODE_10_length_382122_cov_47.985369-snap-gene-2.105-mRNA-1	NA	IPR003960	SSF52540	mobidb-lite	NA	PTHR23074;PTHR23074:SF86	GO:0005524	NA	PF17862;PF09336;PF00004	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	SM00382	NA	cd00009	PS00674	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_459376_cov_47.460123-processed-gene-3.89-mRNA-1	NA	IPR012676	SSF81271;SSF52540	NA	NA	PTHR43127:SF2;PTHR43127	GO:0005525	KEGG: 00970+6.1.1.3	PF16897;PF02824;PF01926	NA	G3DSA:3.10.20.30;G3DSA:3.40.50.300	NA	PS51710	NA	NA	cd01666;cd01896	PS00905	PR00326	NA	NA	NA	NA	NA	NA
snap_masked-NODE_102_length_84987_cov_44.818513-processed-gene-0.35-mRNA-1	TMhelix	NA	NA	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_12_length_365688_cov_47.560864-snap-gene-2.85-mRNA-1	NA	IPR009060	SSF46934;SSF54236;SSF102848	mobidb-lite	NA	PTHR23333;PTHR23333:SF20	GO:0005515	NA	PF00789;PF08059;PF14555	NA	G3DSA:1.10.8.10;G3DSA:3.10.20.90;G3DSA:3.30.420.210	NA	PS50033;PS51399	SM00553	NA	cd14348	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_459376_cov_47.460123-snap-gene-2.6-mRNA-1	TMhelix	IPR007262	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12050;PTHR12050:SF0	NA	NA	PF04133	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_177098_cov_44.865243-snap-gene-0.97-mRNA-1	NA	IPR001138	SSF57701	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31263;PTHR31263:SF23	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172;PF11951	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066	NA	cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_485167_cov_46.599687-processed-gene-0.44-mRNA-1	NA	IPR013126	SSF53067	mobidb-lite	NA	PTHR19375;PTHR19375:SF331		Reactome: R-HSA-3371453	PF00012	NA	G3DSA:3.30.420.40;G3DSA:3.30.30.30;G3DSA:3.90.640.10	NA	NA	NA	NA	NA	NA	PR00301	NA	NA	NA	NA	NA	NA
maker-NODE_139_length_46852_cov_36.648732-snap-gene-0.8-mRNA-1	NA	IPR032677	SSF142695	mobidb-lite	NA	PTHR21327;PTHR21327:SF16		KEGG: 00740+3.5.4.25|KEGG: 00790+3.5.4.25|MetaCyc: PWY-6168|MetaCyc: PWY-7539|MetaCyc: PWY-7991	PF00925;PF12471	NA	G3DSA:3.40.50.10990	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_57_length_155057_cov_47.339650-processed-gene-0.78-mRNA-1	NA	IPR007461	NA	mobidb-lite	NA	PTHR15629;PTHR15629:SF8	NA	NA	PF04366	NA	NA	NA	NA	NA	NA	cd11524	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_59_length_151286_cov_48.523409-snap-gene-0.134-mRNA-1	NA	IPR009057	SSF46689	mobidb-lite	NA	PTHR10641:SF950;PTHR10641	GO:0003677	NA	PF13921	NA	G3DSA:1.10.10.60	Coil	PS51294;PS50090	SM00717	NA	cd00167	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_159_length_34896_cov_46.704191-snap-gene-0.29-mRNA-1	NA	IPR000198	SSF48350	NA	NA	PTHR23176;PTHR23176:SF100	GO:0007165	Reactome: R-HSA-194840	PF00620	NA	G3DSA:1.10.555.10	NA	PS50238	NA	NA	cd00159	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_36_length_200612_cov_47.596648-processed-gene-1.103-mRNA-1	NA	IPR037817	NA	mobidb-lite	NA	PTHR12228;PTHR12228:SF0	GO:0005669;GO:0006367	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF04658	NA	NA	Coil	NA	SM01370	NA	cd08047	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_234181_cov_45.442107-processed-gene-1.9-mRNA-1	NA	IPR000467	NA	mobidb-lite	NA	PTHR23149;PTHR23149:SF15	GO:0003676	NA	NA	NA	NA	Coil	PS50174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_20_length_253829_cov_47.498589-processed-gene-0.54-mRNA-1	NA	NA	SSF57997	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.5.340	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_243189_cov_46.787314-processed-gene-0.56-mRNA-1	NA	IPR009292	NA	mobidb-lite	NA	PTHR21738	GO:0000469	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF06102	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_118422_cov_45.835462-augustus-gene-0.53-mRNA-1	NA	IPR021109	SSF50630	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR13683:SF230;PTHR13683	GO:0004190;GO:0006508	NA	PF00026	NA	G3DSA:2.40.70.10	NA	PS51767	NA	NA	NA	PS00141	PR00792	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_304008_cov_47.216986-processed-gene-1.76-mRNA-1	NA	IPR016135	SSF54495	NA	NA	PTHR24067;PTHR24067:SF154		Reactome: R-HSA-983168	PF00179	NA	G3DSA:3.10.110.10	NA	PS50127	SM00212	NA	cd00195	PS00183	NA	NA	NA	NA	NA	NA	NA
