Gene	interpro	Pfam	MobiDBLite	SMART	Gene3D	SUPERFAMILY	PRINTS	GO	CDD	PIRSF	Coils	PATHWAY	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	SFLD
ETR99902.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01385.1	IPR016181	NA	NA	NA	NA	SSF55729	NA	GO:0008080	NA	NA	NA	NA	PS51186	NA	NA	NA	NA
ETS00167.1	IPR029058	PF00561	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03702.1	IPR027911	PF15377	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS04725.1	IPR001179	PF00254	mobidb-lite	NA	G3DSA:3.10.50.40	SSF54534	NA	GO:0003755	NA	NA	NA	NA	PS50059	NA	NA	NA	NA
ETS01303.1	IPR000277	PF01053	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	GO:0019346;GO:0030170;GO:0003824	cd00614	PIRSF001434	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	NA	NA	NA	NA
ETS03660.1	IPR036915	PF08613	mobidb-lite	NA	G3DSA:1.10.472.10	SSF47954	NA	GO:0000079;GO:0019901	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05208.1	IPR025974	PF11699;PF15624	mobidb-lite	NA	G3DSA:2.60.120.10	SSF51182	NA		NA	NA	Coil	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA
ETS02634.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99119.1	IPR036188	PF00732;PF05199	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.560.10	SSF51905;SSF54373	NA	GO:0016614;GO:0050660;GO:0055114	NA	PIRSF000137	NA	Reactome: R-HSA-6798163	NA	PS00623	NA	NA	NA
ETS01656.1	IPR009071	PF00505	NA	SM00398	G3DSA:1.10.30.10	SSF47095	NA	NA	NA	NA	NA	NA	PS50118	NA	NA	NA	NA
ETR98487.1	IPR021765	PF11807	mobidb-lite	NA	NA	NA	NA	GO:0043386	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02565.1	IPR000836	PF00156	NA	NA	G3DSA:3.40.50.2020	SSF53271	NA	GO:0009116	cd06223	NA	Coil	NA	NA	NA	NA	NA	NA
ETR99239.1	IPR029058	PF00975	NA	NA	NA	SSF53474	NA	GO:0009058;GO:0016788	NA	NA	NA	Reactome: R-HSA-75105	NA	NA	NA	NA	NA
ETS02230.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02587.1	IPR015416	PF09337;PF00583	mobidb-lite	NA	G3DSA:3.40.630.30;G3DSA:1.10.340.70	SSF55729	NA	GO:0008080	NA	NA	NA	NA	PS51186	NA	NA	NA	NA
ETS03118.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97298.1	IPR006694	PF04116	NA	NA	NA	NA	NA	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99429.1	IPR036796	PF03946;PF00298	NA	SM00649	G3DSA:1.10.10.250;G3DSA:3.30.1550.10	SSF54747;SSF46906	NA	GO:0003735;GO:0005840;GO:0006412	cd00349	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00359	NA	MF_00736	NA
ETS01676.1	IPR020811	PF03952;PF00113	NA	SM01192;SM01193	G3DSA:3.20.20.120;G3DSA:3.30.390.10	SSF51604;SSF54826	PR00148	GO:0000015;GO:0000287;GO:0004634;GO:0006096	cd03313	PIRSF001400	NA	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004	NA	PS00164	TIGR01060	MF_00318	SFLDS00001;SFLDF00002
ETS03831.1	NA	NA	NA	NA	NA	SSF52047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97623.1	IPR001138	PF00172	NA	SM00066	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067;cd12148	NA	NA	NA	PS50048	PS00463	NA	NA	NA
ETS01966.1	IPR006977	PF04893	mobidb-lite	NA	NA	NA	NA	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01291.1	IPR033770	PF17215;PF00773;PF17849;PF17216;PF13638	NA	SM00670;SM00955	G3DSA:2.40.50.140;G3DSA:2.40.50.700;G3DSA:2.40.50.690;G3DSA:3.40.50.1010	SSF50249;SSF88723	NA	GO:0003723;GO:0004540	cd09862	NA	NA	NA	NA	PS01175	NA	NA	NA
ETR99918.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05174.1	IPR029044	PF08407;PF01644	mobidb-lite	NA	NA	SSF53448	NA	GO:0004100;GO:0006031	cd04190	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NA	NA
ETS00488.1	IPR001202	PF00397	mobidb-lite	SM00456	G3DSA:2.20.70.10	SSF51045	NA	GO:0005515	NA	NA	Coil	NA	PS50020	NA	NA	NA	NA
ETS07228.1	IPR013658	PF08450	NA	NA	G3DSA:2.120.10.30	SSF63829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98897.1	IPR037123	PF02769;PF01071;PF02844;PF02843;PF00586	NA	SM01210;SM01209	G3DSA:3.90.600.10;G3DSA:3.30.1330.10;G3DSA:3.30.470.20;G3DSA:3.40.50.20;G3DSA:3.90.650.10;G3DSA:3.30.1490.20	SSF51246;SSF55326;SSF52440;SSF56059;SSF56042	NA	GO:0004637;GO:0009113;GO:0004641;GO:0006189;GO:0005524;GO:0046872	cd02196	NA	NA	KEGG: 00230+6.3.4.13|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	PS50975	PS00184	TIGR00877;TIGR00878	MF_00138;MF_00741	NA
ETS06717.1	IPR000182	PF00583	NA	NA	G3DSA:3.40.630.30	SSF55729	NA	GO:0008080	cd04301	NA	NA	NA	PS51186	NA	NA	NA	NA
ETR97357.1	IPR003480	PF02458	NA	NA	G3DSA:3.30.559.10	NA	NA	GO:0016747	NA	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA
ETS03180.1	IPR036291	PF13460	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS04551.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05648.1	IPR000504	PF00076	mobidb-lite	SM00360	G3DSA:3.30.70.330	SSF54928	NA	GO:0003676	cd12306	NA	Coil	NA	PS50102	NA	NA	NA	NA
ETS06831.1	IPR028116	PF14832	NA	NA	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99372.1	IPR001209	PF00253	NA	NA	G3DSA:4.10.830.10	SSF57716	NA	GO:0003735;GO:0005840;GO:0006412	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97118.1	IPR024084	PF00180	NA	SM01329	G3DSA:3.40.718.10	SSF53659	NA	GO:0016616;GO:0055114;GO:0003862;GO:0009098	NA	NA	NA	Reactome: R-HSA-71403	NA	NA	TIGR00169	NA	NA
ETR99869.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02788.1	IPR003959	PF00004	mobidb-lite	NA	G3DSA:3.40.50.300	SSF52540	NA	GO:0005524	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS03744.1	IPR020683	PF12796	NA	SM00248	G3DSA:1.25.40.20	SSF48403	NA	GO:0005515	NA	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA
ETS02170.1	IPR016093	PF16192;PF02815;PF02366	NA	SM00472	G3DSA:2.80.10.50	SSF82109	NA	GO:0016020;GO:0000030;GO:0006493	NA	NA	NA	KEGG: 00514+2.4.1.109|KEGG: 00515+2.4.1.109|MetaCyc: PWY-7921|MetaCyc: PWY-7922|MetaCyc: PWY-7979|Reactome: R-HSA-5083629|Reactome: R-HSA-5083633|Reactome: R-HSA-5173105	PS50919	NA	NA	NA	NA
ETS00198.1	IPR001263	PF11522;PF00454	mobidb-lite	SM00146	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10	SSF48371;SSF56112	NA	GO:0016301;GO:0016773	cd05168	NA	NA	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	PS51545;PS50290	PS00915;PS00916	NA	NA	NA
ETS02970.1	IPR013087	PF17682;PF09734	mobidb-lite	SM00355	G3DSA:3.30.160.60;G3DSA:3.30.200.160	SSF57667	NA	GO:0003676	NA	NA	Coil	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	PS50157	PS00028	NA	NA	NA
ETR97443.1	IPR027417	PF00271;PF00270	mobidb-lite	SM00490;SM00487	G3DSA:3.40.50.300	SSF52540	NA	GO:0003676;GO:0005524	cd18787;cd17946	NA	NA	NA	PS51195;PS51194;PS51192	PS00039	NA	NA	NA
ETS02629.1	IPR001578	PF01088	mobidb-lite	NA	G3DSA:3.40.532.10	SSF54001	PR00707	GO:0004843;GO:0006511	cd09617	NA	NA	Reactome: R-HSA-5689603	NA	NA	NA	NA	NA
ETS04675.1	IPR002161	PF01174	NA	NA	G3DSA:3.40.50.880	SSF52317	NA	GO:0004359;GO:0042819;GO:0042823	cd01749	PIRSF005639	NA	KEGG: 00220+3.5.1.2|KEGG: 00250+3.5.1.2|KEGG: 00471+3.5.1.2|KEGG: 00750+4.3.3.6|MetaCyc: PWY-5921|MetaCyc: PWY-6466	PS51130	PS01236	TIGR03800	MF_01615	NA
ETR99286.1	IPR008775	PF05721	mobidb-lite	NA	G3DSA:2.60.120.620	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01336.1	IPR042098	PF02668	NA	NA	G3DSA:3.60.130.10	SSF51197	NA	GO:0016491;GO:0055114	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA
ETR99262.1	IPR017905	PF04777	NA	NA	G3DSA:1.20.120.310	SSF69000	NA	GO:0016972;GO:0055114	NA	NA	NA	MetaCyc: PWY-7533	PS51324	NA	NA	NA	NA
ETS02033.1	IPR024320	PF09924;PF00152	mobidb-lite	NA	G3DSA:2.40.50.140;G3DSA:3.30.930.10	SSF50249;SSF55681	PR01042	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004815;GO:0005737;GO:0006422	cd04320;cd00776	NA	NA	Reactome: R-HSA-2408522|Reactome: R-HSA-379716	PS50862	NA	TIGR00458	MF_02075	NA
ETS00879.1	IPR006811	PF04722	NA	NA	G3DSA:3.40.50.2300	NA	NA	GO:0004721;GO:0005634;GO:0006397	NA	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16|Reactome: R-HSA-6807505	NA	NA	NA	NA	NA
ETS05447.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01757.1	IPR029044	PF03142	mobidb-lite	NA	G3DSA:3.90.550.10	SSF53448	NA	NA	cd04190	NA	NA	NA	NA	NA	NA	NA	NA
ETS02869.1	IPR012469	PF07958	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS07139.1	IPR034786	NA	mobidb-lite	NA	G3DSA:3.40.50.1970	SSF56796	NA	GO:0018506	cd08177	NA	NA	KEGG: 00361+1.3.1.32|KEGG: 00362+1.3.1.32|KEGG: 00364+1.3.1.32|KEGG: 00623+1.3.1.32|MetaCyc: PWY-5487|MetaCyc: PWY-5488|MetaCyc: PWY-6041|MetaCyc: PWY-6084|MetaCyc: PWY-6087|MetaCyc: PWY-6089|MetaCyc: PWY-6093|MetaCyc: PWY-6094|MetaCyc: PWY-6107|MetaCyc: PWY-6178|MetaCyc: PWY-6193|MetaCyc: PWY-6200|MetaCyc: PWY-7002|MetaCyc: PWY-7081|MetaCyc: PWY-7772|MetaCyc: PWY-7773	NA	NA	NA	NA	NA
ETS00322.1	IPR014368	NA	NA	NA	NA	NA	NA	GO:0004129;GO:0005746;GO:0022904;GO:0055114	NA	PIRSF000283	NA	KEGG: 00190+1.9.3.1|MetaCyc: PWY-3781|MetaCyc: PWY-4521|MetaCyc: PWY-6692|MetaCyc: PWY-7279	NA	NA	NA	NA	NA
ETR98000.1	IPR020846	PF07690	mobidb-lite	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17352	NA	NA	NA	PS50850	NA	NA	NA	NA
ETS03419.1	IPR000289	PF01200	NA	NA	G3DSA:2.40.50.140	SSF50249	NA	GO:0003735;GO:0005840;GO:0006412	cd04457	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00961	NA	MF_00292	NA
ETS04825.1	IPR007219	PF04082	mobidb-lite	SM00906	NA	SSF57701	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	cd12148;cd00067	NA	NA	NA	NA	NA	NA	NA	NA
ETR96906.1	IPR007224	PF04090	mobidb-lite	NA	NA	NA	NA	GO:0001164;GO:0001181;GO:0006361	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS04617.1	IPR007484	PF04389	NA	NA	G3DSA:3.40.630.10	SSF53187	NA	NA	cd03879	NA	NA	NA	NA	NA	NA	NA	NA
ETS01040.1	NA	NA	mobidb-lite	NA	NA	SSF57716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07012.1	IPR030671	PF03911	mobidb-lite	NA	NA	NA	NA	GO:0005784;GO:0006886	NA	PIRSF006398	NA	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-9609523	NA	NA	NA	NA	NA
ETS00147.1	IPR001680	PF00400	mobidb-lite	SM00320	NA	SSF50978	NA	GO:0005515	cd16448	NA	NA	NA	PS50082;PS50089;PS50294	NA	NA	NA	NA
ETS00116.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS06670.1	IPR000683	PF01408	NA	NA	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF55347;SSF51735	NA	GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02150.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99211.1	IPR017850	PF01663	NA	NA	G3DSA:3.40.720.10	SSF53649	NA	GO:0003824;GO:0006506;GO:0051377	cd16023	NA	Coil	Reactome: R-HSA-162710	NA	NA	NA	NA	NA
ETS02662.1	IPR002067	PF00153	NA	NA	G3DSA:1.50.40.10	SSF103506	PR00926	GO:0005347;GO:0055085	NA	NA	NA	NA	PS50920	NA	NA	NA	NA
ETR98946.1	IPR005756	PF16906;PF00467	mobidb-lite	SM00739	G3DSA:2.30.30.30	SSF50104	NA	GO:0003735;GO:0006412;GO:0015934;GO:0005840	cd06089	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS01108	TIGR01080	NA	NA
ETS07082.1	IPR035994	PF01048	NA	NA	NA	SSF53167	NA	GO:0003824;GO:0009116	cd09008	NA	NA	NA	NA	NA	NA	NA	NA
ETS00073.1	IPR019021	PF09462	mobidb-lite	NA	NA	NA	NA	GO:0005634;GO:0006281;GO:0006974;GO:0031297	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99012.1	IPR006166	PF02732	NA	SM00891	G3DSA:3.40.50.10130;G3DSA:1.10.10.10;G3DSA:1.10.150.110	SSF52980;SSF47802	NA	GO:0003677;GO:0004518	NA	NA	NA	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA
ETS03504.1	IPR020904	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	PR00081	GO:0016491	NA	NA	NA	NA	NA	PS00061	NA	NA	NA
ETR99079.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS04511.1	IPR023486	PF00382;PF08271	NA	SM00385	G3DSA:1.10.472.170;G3DSA:1.10.472.10	SSF57783;SSF47954	PR00685	GO:0017025;GO:0006355;GO:0070897	cd00043	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PS51134	PS00782	NA	NA	NA
ETS02310.1	IPR036465	PF14624;PF00092;PF14623	mobidb-lite	SM00327	G3DSA:3.40.50.410	SSF51294;SSF53300	NA		NA	NA	NA	Reactome: R-HSA-373080|Reactome: R-HSA-5358346|Reactome: R-HSA-5362798|Reactome: R-HSA-5632681|Reactome: R-HSA-5632684|Reactome: R-HSA-5635838|Reactome: R-HSA-5658034	PS50234	NA	NA	NA	NA
ETS05118.1	IPR000904	PF01369;PF12783	mobidb-lite	SM00222	G3DSA:1.10.1000.11;G3DSA:1.10.220.20	SSF48371;SSF48425	NA	GO:0005086;GO:0032012	cd00171	NA	NA	NA	PS50190	NA	NA	NA	NA
ETS04348.1	IPR000210	NA	mobidb-lite	NA	G3DSA:3.30.710.10	SSF54695	NA	GO:0005515	cd18186	NA	NA	NA	PS50097	NA	NA	NA	NA
ETS07123.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98357.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99575.1	IPR029063	PF13649	NA	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA
ETS06660.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS00127.1	IPR037143	PF01648	NA	NA	G3DSA:3.90.470.20	SSF56214	NA	GO:0000287;GO:0008897	NA	NA	NA	KEGG: 00770+2.7.8.7|MetaCyc: PWY-6012|MetaCyc: PWY-6012-1|MetaCyc: PWY-6289|Reactome: R-HSA-199220	NA	NA	NA	NA	NA
ETR98585.1	IPR015424	PF02347	NA	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	GO:0004375;GO:0006546;GO:0055114;GO:0003824;GO:0006544	cd00613	NA	NA	KEGG: 00260+1.4.4.2|Reactome: R-HSA-6783984	NA	NA	TIGR00461	NA	NA
ETS05140.1	IPR005570	PF03870	NA	SM00658	G3DSA:2.40.50.140	SSF50249	NA	GO:0006351	NA	PIRSF000779	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA
ETS06319.1	IPR018966	PF09359;PF02656	mobidb-lite	NA	G3DSA:2.40.320.20	NA	NA	NA	cd07751;cd14480	NA	NA	NA	PS51382	NA	NA	NA	NA
ETS03277.1	IPR001830	PF00982	mobidb-lite	NA	G3DSA:3.40.50.2000	SSF53756	NA	GO:0003824;GO:0005992	cd03788	NA	NA	KEGG: 00500+2.4.1.15	NA	NA	NA	NA	NA
ETS01367.1	IPR010730	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07148.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97970.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00096.1	IPR008271	PF00069	mobidb-lite	SM00220	G3DSA:1.10.510.10	SSF56112	NA	GO:0004672;GO:0006468;GO:0005524	cd14125	NA	NA	NA	PS50011	PS00108;PS00107	NA	NA	NA
ETS04798.1	IPR024792	PF02115	mobidb-lite	NA	G3DSA:2.70.50.30	SSF81296	PR00492	GO:0005094;GO:0005737	NA	NA	NA	Reactome: R-HSA-194840	NA	NA	NA	NA	NA
ETR96804.1	IPR000026	PF00545	NA	NA	G3DSA:3.10.450.30	SSF53933	NA	GO:0003723;GO:0004521;GO:0004540	NA	PIRSF037430	NA	NA	NA	NA	NA	NA	NA
ETS05573.1	IPR008932	PF16320;PF00542	NA	NA	G3DSA:1.20.5.710;G3DSA:3.30.1390.10	SSF54736;SSF48300	NA	GO:0003735;GO:0005840;GO:0006412	cd00387	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA
ETS06991.1	IPR005711	PF00333;PF03719	mobidb-lite	NA	G3DSA:3.30.160.770;G3DSA:3.30.230.10	SSF54768;SSF54211	NA	GO:0003735;GO:0006412;GO:0015935;GO:0003723;GO:0005840	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-3214858|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-8876725|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS50881	PS00585	TIGR01020	NA	NA
ETR99125.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR98562.1	IPR000675	PF01083	NA	SM01110	G3DSA:3.40.50.1820	SSF53474	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99576.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00754.1	IPR022673	PF03727;PF00349	NA	NA	G3DSA:3.40.367.20;G3DSA:3.30.420.40	SSF53067	PR00475	GO:0005524;GO:0005975;GO:0016773;GO:0001678;GO:0004396;GO:0005536	NA	NA	NA	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	PS51748	NA	NA	NA	NA
ETS02408.1	IPR017252	PF00400	mobidb-lite	SM00320	G3DSA:2.130.10.10;G3DSA:1.20.960.30	SSF50978;SSF109925	PR00320	GO:0005515	cd00200	PIRSF037647	Coil	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-5663220|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8854518	PS50896;PS50082;PS50294	PS00678	NA	MF_03141	NA
ETS00579.1	IPR008217	PF01988	NA	NA	NA	NA	NA	GO:0005384;GO:0030026	cd02435	NA	NA	NA	NA	NA	NA	NA	NA
ETS02875.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	cd14688	NA	NA	NA	NA	NA	NA	NA	NA
ETS04856.1	IPR008271	PF00069;PF06479	mobidb-lite	SM00220;SM00580	G3DSA:1.20.1440.180;G3DSA:2.130.10.10;G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF50998;SSF56112	NA	GO:0004672;GO:0006468;GO:0005524;GO:0004540;GO:0006397;GO:0005515	cd10422;cd09769	NA	Coil	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PS51392;PS50011	PS00108;PS00107	NA	NA	NA
ETS01294.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99664.1	IPR011009	NA	mobidb-lite	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01791.1	NA	NA	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
