Gene	interpro	GO	ProSiteProfiles	MobiDBLite	Pfam	PATHWAY	SMART	PANTHER	Coils	Phobius	TMHMM	ProSitePatterns	CDD	PRINTS	Gene3D	SUPERFAMILY	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	SFLD	Hamap	PIRSF	ProDom
augustus_masked-NQYR01000005.1-processed-gene-11.16-mRNA-1	IPR029035	GO:0003723;GO:0006400;GO:0003824;GO:0030976;GO:0000287	PS51165	NA	PF02775;PF00205;PF02776;PF02926	Reactome: R-HSA-6790901	SM00981	PTHR43452:SF6;PTHR43452	NA	NA	NA	NA	cd11717;cd02005;cd07038	NA	G3DSA:3.30.2300.10;G3DSA:3.40.50.970;G3DSA:3.40.50.1220	SSF52467;SSF143437;SSF52518	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000014.1-processed-gene-8.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-15.18-mRNA-1	IPR015174	GO:0016070;GO:0000339;GO:0005846;GO:0045292;GO:0051028	NA	mobidb-lite	PF09090;PF09088	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167242|Reactome: R-HSA-191859|Reactome: R-HSA-674695|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72187|Reactome: R-HSA-72203|Reactome: R-HSA-77588|Reactome: R-HSA-77595|Reactome: R-HSA-8851708|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PTHR12412	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.180	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000018.1-processed-gene-1.12-mRNA-1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	mobidb-lite	PF04082	NA	SM00906	PTHR31944	Coil	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-4.59-mRNA-1	IPR039143	GO:0004343;GO:0006048	NA	mobidb-lite	NA	Reactome: R-HSA-446210	NA	PTHR13355:SF8;PTHR13355	NA	NA	NA	NA	cd04301	NA	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-4.47-mRNA-1	IPR015720	NA	PS50866	NA	PF01105	NA	SM01190	PTHR22811;PTHR22811:SF46	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	SSF101576	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-13.44-mRNA-1	IPR011249	GO:0003824;GO:0046872	NA	NA	PF05193;PF00675	NA	NA	PTHR43690;PTHR43690:SF3	NA	NA	NA	NA	NA	NA	G3DSA:3.30.830.10	SSF63411	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-6.12-mRNA-1	IPR029063	NA	NA	NA	PF13847	NA	NA	PTHR43464;PTHR43464:SF13	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-39.10-mRNA-1	IPR007361	NA	NA	NA	PF04248	NA	NA	PTHR34310:SF5;PTHR34310	NA	NA	NA	NA	NA	NA	G3DSA:2.170.150.40	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000013.1-augustus-gene-0.2-mRNA-1	IPR004000	GO:0006338;GO:0016514;GO:0016586	NA	mobidb-lite	PF00022	NA	SM00268	PTHR11937;PTHR11937:SF231	NA	NA	NA	NA	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.60	SSF53067	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-16.6-mRNA-1	IPR007275	GO:0003723	PS50882	mobidb-lite	PF04146	NA	NA	PTHR12357:SF3;PTHR12357	Coil	NA	NA	NA	NA	NA	G3DSA:3.10.590.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000015.1-augustus-gene-1.17-mRNA-1	IPR006689	GO:0005525	PS51417	NA	PF00025	NA	SM00178;SM00177	PTHR11711;PTHR11711:SF26	NA	NA	NA	NA	cd04154	PR00328	G3DSA:3.40.50.300	SSF52540	TIGR00231	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-17.7-mRNA-1	IPR001849	NA	PS50003	mobidb-lite	NA	NA	SM00233	PTHR31941;PTHR31941:SF1	NA	NA	NA	NA	NA	NA	G3DSA:2.30.29.30	SSF50729	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-25.21-mRNA-1	IPR029063	NA	PS51560	mobidb-lite	PF10294	NA	NA	PTHR14614:SF10;PTHR14614	Coil	NA	NA	NA	NA	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	MF_03223	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-6.34-mRNA-1	IPR029044	GO:0016757	NA	NA	PF01501	NA	NA	PTHR11183:SF3;PTHR11183	NA	NA	NA	NA	NA	NA	G3DSA:3.90.550.10	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-13.33-mRNA-1	IPR002504	GO:0003951;GO:0006741;GO:0019674	NA	mobidb-lite	PF01513	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	NA	PTHR20275;PTHR20275:SF11	Coil	NA	NA	NA	NA	NA	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	SSF111331	NA	NA	NA	NA	NA	MF_00361	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-23.3-mRNA-1	IPR007704	GO:0006506;GO:0016021;GO:0016758	NA	NA	PF05007	Reactome: R-HSA-162710	NA	PTHR12886	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-20.41-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-5.5-mRNA-1	IPR024990	GO:0005680	NA	mobidb-lite	PF12859	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	PTHR12827	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-29.40-mRNA-1	IPR027238	GO:0043141;GO:0031011;GO:0035267;GO:0097255;GO:0003678;GO:0005524	NA	NA	PF17856;PF06068	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	NA	PTHR11093;PTHR11093:SF2	Coil	NA	NA	NA	NA	NA	G3DSA:1.10.8.60;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000011.1-processed-gene-6.25-mRNA-1	IPR040347	GO:0034599	NA	mobidb-lite	PF08568	Reactome: R-HSA-983168	NA	PTHR28020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000007.1-augustus-gene-16.26-mRNA-1	IPR037207	GO:0051539;GO:0008137;GO:0010181;GO:0055114;GO:0016651;GO:0051287	NA	NA	PF10531;PF01512;PF10589	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	SM00928	PTHR11780;PTHR11780:SF10	NA	NA	NA	PS00644;PS00645	NA	NA	G3DSA:1.20.1440.230;G3DSA:3.10.20.600;G3DSA:3.40.50.11540	SSF142984;SSF140490;SSF142019	TIGR01959	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-4.46-mRNA-1	IPR017862	GO:0000398;GO:0005681	NA	mobidb-lite	PF02731	Reactome: R-HSA-1912408|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2173796|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054|Reactome: R-HSA-72163|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695	NA	PTHR12096	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-9.14-mRNA-1	IPR035368		NA	NA	PF17404;PF17403;PF03813;PF17406;PF17407;PF17405	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	PTHR17972	Coil	NA	NA	NA	NA	NA	G3DSA:3.30.460.10;G3DSA:1.10.1410.10;G3DSA:3.30.70.3030	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-13.37-mRNA-1	IPR032566	GO:0003677;GO:0006281;GO:0033699	NA	mobidb-lite	PF16278;PF01230	NA	NA	PTHR12486:SF4;PTHR12486	NA	NA	NA	NA	NA	NA	NA	SSF54197	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-18.3-mRNA-1	IPR029063	NA	NA	NA	PF13649	NA	NA	PTHR43464;PTHR43464:SF17	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-26.59-mRNA-1	IPR000182	NA	PS51186	mobidb-lite	PF13302	NA	NA	PTHR43792	NA	NA	NA	NA	NA	NA	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-7.22-mRNA-1	IPR011009	GO:0004672;GO:0005524;GO:0006468	PS50011	mobidb-lite	PF00069	NA	SM00220	PTHR22967:SF57;PTHR22967	Coil	NA	NA	PS00108	cd14037	NA	G3DSA:1.10.510.10	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000012.1-processed-gene-5.25-mRNA-1	IPR000626	GO:0005515;GO:0003684;GO:0006289;GO:0043161;GO:0005634	PS50053;PS50030	mobidb-lite	PF00627;PF09280;PF00240	Reactome: R-HSA-5689877|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	SM00213;SM00165;SM00727	PTHR10621:SF0;PTHR10621	NA	NA	NA	NA	cd01805;cd14281	PR01839	G3DSA:1.10.8.10;G3DSA:3.10.20.90;G3DSA:1.10.10.540	SSF46934;SSF54236;SSF101238	TIGR00601	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-23.36-mRNA-1	IPR008913	GO:0008270	PS51266	mobidb-lite	PF05495	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	PTHR21319;PTHR21319:SF6	Coil	NA	NA	NA	NA	NA	NA	SSF161219	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-5.28-mRNA-1	IPR036770	GO:0005515	PS50297;PS50088	mobidb-lite	PF00023	NA	SM00248	PTHR24133:SF25;PTHR24133	NA	NA	NA	NA	cd00204	NA	G3DSA:1.25.40.20	SSF48403	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-3.14-mRNA-1	IPR020806	GO:0031177;GO:0003824;GO:0004043;GO:0009085	PS50075	NA	PF00550;PF07993;PF00501	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	SM00823	PTHR44845;PTHR44845:SF1	NA	NA	NA	PS00455	cd05235;cd05930	NA	G3DSA:3.30.300.30;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.40.50.12780	SSF47336;SSF56801;SSF51735	TIGR01733;TIGR01746;TIGR03443	NA	NA	NA	NA	NA	PIRSF001617	NA
augustus_masked-NQYR01000001.1-processed-gene-38.22-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000014.1-augustus-gene-7.4-mRNA-1	IPR016024	GO:0030234;GO:0000502;GO:0042176	NA	mobidb-lite	PF13646;PF01851;PF18004	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	PTHR10943:SF2;PTHR10943	Coil	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	G3DSA:1.25.10.10	SSF48371	NA	NA	NA	NA	NA	NA	PIRSF015947	NA
maker-NQYR01000001.1-augustus-gene-40.1-mRNA-1	IPR036249	GO:0045454	PS51352	mobidb-lite	PF00085	NA	NA	PTHR18929;PTHR18929:SF174	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	PS00194	cd02981;cd03002	PR00421	G3DSA:3.40.30.10	SSF52833	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NQYR01000010.1-processed-gene-3.22-mRNA-1	IPR012094	GO:0000166;GO:0005524;GO:0005737;GO:0008033;GO:0016879	NA	NA	PF01171	Reactome: R-HSA-6782315	NA	PTHR43033;PTHR43033:SF4	NA	NA	NA	NA	cd01992	NA	NA	SSF52402	TIGR02432	NA	NA	NA	NA	MF_01161	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-13.38-mRNA-1	IPR000834	GO:0004181;GO:0006508;GO:0008270	NA	mobidb-lite	PF00246	NA	SM00631	PTHR11705:SF91;PTHR11705	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	PS00132	cd06248	PR00765	G3DSA:3.40.630.10	SSF53187	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-6.24-mRNA-1	IPR017438	GO:0003951;GO:0006741;GO:0019674	NA	mobidb-lite	PF01513	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	NA	PTHR20275;PTHR20275:SF0	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	SSF111331	NA	NA	NA	NA	NA	MF_00361	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-6.7-mRNA-1	IPR011013	GO:0003824;GO:0005975;GO:0030246;GO:0016853	NA	NA	PF01263	KEGG: 00010+5.1.3.3|KEGG: 00052+5.1.3.3|MetaCyc: PWY-6317	NA	PTHR10091:SF0;PTHR10091	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	PS00545	cd09019	NA	G3DSA:2.70.98.10	SSF74650	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-1.17-mRNA-1	IPR027104	GO:0000398;GO:0046540	NA	mobidb-lite	PF08572;PF06544	Reactome: R-HSA-72163	NA	PTHR14212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-6.34-mRNA-1	IPR004843	GO:0016787;GO:0004767;GO:0006685	PS50015	NA	PF00149	Reactome: R-HSA-1660662	NA	PTHR10340:SF34;PTHR10340	Coil	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	cd00842	NA	G3DSA:3.60.21.10	SSF56300	NA	SignalP-noTM	NA	NA	NA	NA	PIRSF000948	NA
augustus_masked-NQYR01000005.1-processed-gene-16.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR21535;PTHR21535:SF66	Coil	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	SSF144083	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-14.41-mRNA-1	IPR004123	GO:0000398;GO:0046540	NA	NA	PF02966	NA	SM01410	PTHR12052;PTHR12052:SF5	NA	NA	NA	NA	cd02954	NA	G3DSA:3.40.30.10	SSF52833	NA	NA	NA	NA	NA	NA	PIRSF017199	NA
maker-NQYR01000008.1-augustus-gene-14.49-mRNA-1	IPR011082		NA	NA	NA	Reactome: R-HSA-6791226	NA	PTHR15341	Coil	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-29.1-mRNA-1	IPR021622	NA	NA	mobidb-lite	PF11559	NA	NA	PTHR21736:SF12;PTHR21736	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-17.6-mRNA-1	IPR012908	GO:0016788	NA	mobidb-lite	PF07819	Reactome: R-HSA-162791	NA	PTHR15495	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000014.1-augustus-gene-10.5-mRNA-1	IPR000054	GO:0003735;GO:0005840;GO:0006412;GO:0005622	NA	NA	PF01198	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SM01380	PTHR10956	NA	NA	NA	PS01144	cd00463	NA	G3DSA:3.10.440.10	SSF54575	NA	NA	NA	NA	NA	NA	NA	PD006030
augustus_masked-NQYR01000019.1-processed-gene-0.32-mRNA-1	IPR012471	NA	NA	mobidb-lite	PF07956	NA	NA	PTHR21588;PTHR21588:SF13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-29.18-mRNA-1	IPR003213	GO:0005739	PS51808	NA	PF02297	NA	NA	PTHR11387;PTHR11387:SF2	NA	NA	NA	NA	cd00926	NA	G3DSA:1.10.10.140	SSF47694	NA	NA	NA	NA	NA	NA	PIRSF000278	PD015172
augustus_masked-NQYR01000010.1-processed-gene-4.13-mRNA-1	IPR010920	GO:0000398;GO:0005732	NA	NA	PF01423	Reactome: R-HSA-72163	SM00651	PTHR11021	NA	NA	NA	NA	cd01726	NA	G3DSA:2.30.30.100	SSF50182	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-13.13-mRNA-1	IPR009349	GO:0005634;GO:0006355;GO:0008270	NA	mobidb-lite	PF06221	NA	NA	PTHR12963:SF0;PTHR12963	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-8.3-mRNA-1	IPR002048	GO:0005509	PS50222	NA	PF13499;PF13202	NA	SM00054	PTHR23056:SF43;PTHR23056	NA	NA	NA	PS00018	cd00051	PR00450	G3DSA:1.10.238.10	SSF47473	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-38.14-mRNA-1	IPR013868	GO:0005634;GO:0031144;GO:0071630	NA	mobidb-lite	PF08559	NA	NA	PTHR28032	NA	NA	NA	NA	NA	NA	G3DSA:1.20.58.1590	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-12.1-mRNA-1	IPR006439	GO:0016787	NA	NA	PF13419	NA	NA	PTHR18901;PTHR18901:SF38	NA	NA	NA	NA	NA	NA	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	SSF56784	TIGR01509	NA	NA	NA	SFLDG01129;SFLDS00003	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-10.1-mRNA-1	IPR001086	GO:0004664;GO:0009094;GO:0004106	PS51171;PS51671	mobidb-lite	PF00800	KEGG: 00400+4.2.1.51|MetaCyc: PWY-7432	NA	PTHR21022;PTHR21022:SF0	NA	NA	NA	NA	cd13532;cd04905	NA	G3DSA:3.30.70.260	SSF55021;SSF53850	NA	NA	NA	NA	NA	NA	PIRSF001500	NA
augustus_masked-NQYR01000011.1-processed-gene-6.49-mRNA-1	IPR000403	GO:0046854;GO:0048015;GO:0016301;GO:0016773	PS50290;PS51545	mobidb-lite	PF00454;PF11522	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352	SM00146	PTHR10048:SF22;PTHR10048	NA	NA	NA	PS00916;PS00915	cd05168	NA	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10	SSF56112;SSF48371	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-3.5-mRNA-1	IPR000953	GO:0005634;GO:0006325;GO:0006355	PS51640	mobidb-lite	PF11717;PF05712	NA	NA	PTHR10880;PTHR10880:SF15	NA	NA	NA	NA	cd00024	NA	G3DSA:2.30.30.140;G3DSA:1.10.274.30	SSF54160	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000015.1-processed-gene-3.22-mRNA-1	IPR040233	NA	NA	mobidb-lite	PF09747	NA	NA	PTHR31840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000015.1-augustus-gene-1.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000002.1-processed-gene-0.29-mRNA-1	IPR001352	GO:0003723;GO:0004523;GO:0003676;GO:0016070	NA	NA	PF01351	NA	NA	PTHR10954;PTHR10954:SF7	NA	NA	NA	NA	cd07181	NA	G3DSA:3.30.420.10;G3DSA:1.10.10.460	SSF53098	TIGR00729	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-28.29-mRNA-1	IPR001452	GO:0005515;GO:0005737	PS50002;PS51021	mobidb-lite	PF03114;PF00018	NA	SM00721;SM00326	PTHR45102	Coil	NA	NA	NA	cd07599	PR00452	G3DSA:1.20.1270.60;G3DSA:2.30.30.40	SSF103657;SSF50044	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000013.1-processed-gene-0.35-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-14.8-mRNA-1	IPR018299	GO:0016791;GO:0003824	NA	NA	PF00245	KEGG: 00730+3.1.3.1|KEGG: 00790+3.1.3.1|MetaCyc: PWY-5083|MetaCyc: PWY-5491	SM00098	PTHR11596:SF5;PTHR11596	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PS00123	cd16012	PR00113	G3DSA:3.40.720.10;G3DSA:1.10.60.40	SSF53649	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-5.0-mRNA-1	IPR005301	NA	NA	NA	PF03637	NA	SM01388	PTHR22599;PTHR22599:SF20	NA	NA	NA	NA	NA	NA	NA	SSF101152	NA	NA	NA	NA	NA	NA	NA	NA
