Gene	MobiDBLite	interpro	Pfam	CDD	ProSiteProfiles	GO	SUPERFAMILY	SMART	Gene3D	PANTHER	PATHWAY	PIRSF	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	Hamap	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	TIGRFAM	ProDom	SFLD
snap_masked-NODE_21_length_125421_cov_45.048302-processed-gene-0.48-mRNA-1	NA	IPR023346	NA	NA	NA	NA	SSF53955	NA	G3DSA:1.10.530.10	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_107_length_69600_cov_36.546443-processed-gene-0.19-mRNA-1	mobidb-lite	IPR014001	PF00176;PF00271	cd00046;cd00079	PS51192;PS51194	GO:0005524	SSF52540	SM00487;SM00490	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	PTHR10799:SF798;PTHR10799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1069_length_1131_cov_1.489044-processed-gene-0.0-mRNA-1	NA	IPR016461	PF00891	NA	PS51683	GO:0008168;GO:0008171	SSF53335	NA	G3DSA:3.40.50.150	PTHR43712:SF1;PTHR43712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_448_length_18793_cov_34.971874-snap-gene-0.32-mRNA-1	mobidb-lite	IPR040150	NA	NA	NA	GO:0006606	NA	NA	NA	PTHR28063	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_119_length_64721_cov_34.638620-processed-gene-0.10-mRNA-1	mobidb-lite	IPR007219	PF04082;PF00172	cd12148;cd00067	PS50048	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SSF57701	SM00906;SM00066	G3DSA:4.10.240.10	PTHR45595;PTHR45595:SF1	NA	NA	PS00463	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_291_length_35329_cov_32.622237-processed-gene-0.11-mRNA-1	mobidb-lite	IPR015267	PF09184	NA	NA	GO:0019888;GO:0030289	NA	NA	NA	PTHR16487:SF0;PTHR16487	Reactome: R-HSA-5693607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_88_length_74578_cov_37.482626-processed-gene-0.255-mRNA-1	NA	IPR002293	PF00324	NA	NA	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	NA	G3DSA:1.20.1740.10	PTHR43341:SF4;PTHR43341	NA	PIRSF006060	PS00218	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_101512_cov_31.335296-snap-gene-0.16-mRNA-1	mobidb-lite	IPR012677	PF00076	cd12387	PS50102	GO:0003676	SSF54928	SM00360	G3DSA:3.30.70.330	PTHR23003:SF3;PTHR23003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_337_length_28896_cov_34.780354-processed-gene-0.36-mRNA-1	mobidb-lite	IPR021109	PF13975	cd00303	NA	NA	SSF50630	NA	G3DSA:2.40.70.10	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_267_length_38476_cov_37.299643-processed-gene-0.12-mRNA-1	NA	IPR016039	PF02803;PF00108	cd00829	NA	GO:0003824;GO:0016747	SSF53901	NA	G3DSA:3.40.47.10	PTHR18919;PTHR18919:SF89	NA	NA	PS00737;PS00098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_100754_cov_38.598289-augustus-gene-0.52-mRNA-1	mobidb-lite	IPR000504	PF00076	NA	PS50102	GO:0003676	SSF54928	SM00360	G3DSA:3.30.70.330	PTHR43938;PTHR43938:SF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_330_length_29910_cov_34.440318-processed-gene-0.50-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_98138_cov_37.552642-processed-gene-0.169-mRNA-1	NA	IPR018152	PF00080	cd00305	NA	GO:0004784;GO:0055114;GO:0006801;GO:0046872	SSF49329	NA	G3DSA:2.60.40.200	PTHR10003:SF34;PTHR10003	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	NA	PS00332;PS00087	NA	NA	PR00068	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_53_length_93509_cov_36.619659-processed-gene-0.48-mRNA-1	mobidb-lite	IPR013251	PF08287	NA	NA	GO:0005876;GO:0008608;GO:0042729	NA	NA	NA	PTHR28262	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_53_length_93509_cov_36.619659-processed-gene-0.29-mRNA-1	mobidb-lite	IPR013251	PF08287	NA	NA	GO:0005876;GO:0008608;GO:0042729	NA	NA	NA	PTHR28262	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_223_length_42994_cov_31.641846-augustus-gene-0.107-mRNA-1	mobidb-lite	IPR008427	PF05730	NA	NA	NA	NA	SM00747	NA	PTHR35607	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NODE_224_length_42906_cov_37.002104-snap-gene-0.96-mRNA-1	NA	IPR039852	PF08623	NA	NA	GO:0010265	SSF48371	NA	NA	PTHR12696:SF0;PTHR12696	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_592_length_9357_cov_5.884290-protein2genome-gene-0.5-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR11410	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_59669_cov_36.016862-snap-gene-0.88-mRNA-1	mobidb-lite	IPR027973	PF15375	NA	NA	NA	NA	NA	NA	PTHR28096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_225_length_42815_cov_39.489248-augustus-gene-0.71-mRNA-1	NA	IPR015422	PF00155	cd06454	NA	GO:0003824;GO:0009058;GO:0030170;GO:0016740;GO:0003870;GO:0033014	SSF53383	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	PTHR13693:SF57;PTHR13693	KEGG: 00260+2.3.1.37|KEGG: 00860+2.3.1.37|MetaCyc: PWY-5189|MetaCyc: PWY-7536|Reactome: R-HSA-189451	NA	PS00599	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	TIGR01821	NA	NA
snap_masked-NODE_304_length_33061_cov_33.050465-processed-gene-0.37-mRNA-1	mobidb-lite	IPR002164	PF00956	NA	NA	GO:0005634;GO:0006334	SSF143113	NA	G3DSA:3.30.1120.90	PTHR11875:SF7;PTHR11875	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_171_length_52212_cov_33.807757-processed-gene-0.85-mRNA-1	NA	IPR029069	PF03061	cd03443	NA		SSF54637	NA	G3DSA:3.10.129.10	PTHR12418;PTHR12418:SF45	Reactome: R-HSA-77289	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_245_length_40660_cov_33.997804-augustus-gene-0.0-mRNA-1	NA	IPR019531	PF02466	NA	NA	NA	NA	NA	NA	PTHR15460	NA	PIRSF013674	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_210447_cov_38.566917-augustus-gene-0.214-mRNA-1	mobidb-lite	IPR018791	PF10186	NA	NA		NA	NA	NA	PTHR15157:SF5;PTHR15157	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_112_length_67154_cov_34.405881-augustus-gene-0.8-mRNA-1	NA	IPR015720	PF01105	NA	PS50866	NA	NA	SM01190	NA	PTHR22811;PTHR22811:SF14	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	Coil	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_107_length_69600_cov_36.546443-snap-gene-0.165-mRNA-1	mobidb-lite	IPR036388	PF01853;PF17772	NA	PS51726	GO:0004402;GO:0006355;GO:0016573	SSF55729	NA	G3DSA:1.10.10.10;G3DSA:3.30.60.60;G3DSA:3.40.630.30	PTHR10615:SF155;PTHR10615	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_511_length_14083_cov_31.468329-processed-gene-0.1-mRNA-1	mobidb-lite	IPR016812	PF12697	NA	NA	GO:0006482;GO:0051723	SSF53474	NA	G3DSA:3.40.50.1820	PTHR14189	Reactome: R-HSA-69273	PIRSF022950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_138_length_59445_cov_39.617182-snap-gene-0.56-mRNA-1	mobidb-lite	IPR000571	NA	NA	PS50103	GO:0046872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_116_length_65058_cov_35.206342-snap-gene-0.30-mRNA-1	mobidb-lite	IPR033809	PF02148;PF00443	cd02669	PS50271;PS50235	GO:0000245;GO:0006397;GO:0008270;GO:0016579;GO:0036459	SSF54001;SSF57850	SM00290	G3DSA:3.90.70.10;G3DSA:3.30.40.10	PTHR43985	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_91_length_73740_cov_37.654708-processed-gene-0.26-mRNA-1	NA	IPR023606	PF02515	NA	NA	GO:0003824	SSF89796	NA	G3DSA:3.40.50.10540;G3DSA:3.30.1540.10	PTHR44134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_226_length_42642_cov_33.133953-processed-gene-0.162-mRNA-1	NA	IPR004788	PF06026	cd01398	NA	GO:0004751;GO:0009052	SSF75445;SSF100950	NA	G3DSA:3.30.70.260;G3DSA:3.40.50.1360	PTHR11934	KEGG: 00030+5.3.1.6|KEGG: 00051+5.3.1.6|KEGG: 00710+5.3.1.6|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-5659996|Reactome: R-HSA-6791461|Reactome: R-HSA-71336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00021	NA	NA
maker-NODE_417_length_21469_cov_33.545919-augustus-gene-0.9-mRNA-1	mobidb-lite	IPR017046	PF13450;PF07156	NA	NA	GO:0001735;GO:0016670;GO:0030328;GO:0055114	SSF51905	NA	G3DSA:3.50.50.60	PTHR42923;PTHR42923:SF9	NA	PIRSF036292	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_188_length_49563_cov_37.940711-snap-gene-0.24-mRNA-1	mobidb-lite	IPR008851	NA	NA	NA	GO:0003677;GO:0005634;GO:0006367;GO:0032968	SSF50916	NA	NA	PTHR13011	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_668_length_6725_cov_36.511519-augustus-gene-0.1-mRNA-1	mobidb-lite	IPR000873	PF00501	NA	NA	GO:0003824	SSF56801	NA	G3DSA:3.40.50.12780	PTHR43201	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NODE_53_length_93509_cov_36.619659-snap-gene-0.9-mRNA-1	mobidb-lite	IPR011990	NA	NA	NA	GO:0005515	SSF48452	NA	NA	PTHR15696:SF17;PTHR15696	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_440_length_19171_cov_30.482199-augustus-gene-0.33-mRNA-1	NA	IPR001104	PF02544	NA	PS50244	GO:0006629;GO:0016627;GO:0003865;GO:0006488	NA	NA	NA	PTHR14624	MetaCyc: PWY-6129|Reactome: R-HSA-193048|Reactome: R-HSA-446199|Reactome: R-HSA-4755579	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_74_length_80692_cov_33.216434-processed-gene-0.2-mRNA-1	mobidb-lite	IPR029063	NA	NA	NA	NA	SSF53335	NA	NA	PTHR43591:SF12;PTHR43591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_218_length_43277_cov_37.094902-snap-gene-0.5-mRNA-1	mobidb-lite	IPR006614	PF06398	NA	NA	GO:0016021	NA	SM00693	NA	PTHR31679:SF2;PTHR31679	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_214_length_44218_cov_37.795423-augustus-gene-0.52-mRNA-1	NA	IPR002048	PF00036	cd00051	PS50222	GO:0005509	SSF47473	SM00054	G3DSA:1.10.238.10	PTHR23055:SF92;PTHR23055	NA	NA	PS00018	NA	NA	PR00450	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_116540_cov_37.667752-processed-gene-0.71-mRNA-1	mobidb-lite	IPR007317	PF04190	NA	NA	GO:0005515	NA	NA	G3DSA:1.25.40.10	PTHR12875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_117_length_64851_cov_36.582906-snap-gene-0.17-mRNA-1	mobidb-lite	IPR001012	PF00789	NA	PS50033	GO:0005515	SSF54236	SM00166	G3DSA:3.10.20.90	PTHR13020:SF42;PTHR13020	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_117_length_64851_cov_36.582906-processed-gene-0.116-mRNA-1	mobidb-lite	IPR000453	PF01264	cd07304	NA	GO:0004107;GO:0009073	SSF103263	NA	G3DSA:3.60.150.10	PTHR21085	KEGG: 00400+4.2.3.5|MetaCyc: PWY-6163	PIRSF001456	PS00788;PS00789	NA	NA	NA	NA	MF_00300	NA	NA	NA	TIGR00033	NA	NA
augustus_masked-NODE_439_length_19479_cov_32.420060-processed-gene-0.30-mRNA-1	NA	IPR008952	NA	NA	NA	GO:0016021	SSF48652	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_308_length_32499_cov_35.065736-processed-gene-0.32-mRNA-1	NA	IPR036396	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	G3DSA:1.10.630.10	PTHR24305;PTHR24305:SF35	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_171_length_52212_cov_33.807757-processed-gene-0.87-mRNA-1	mobidb-lite	IPR040106	NA	NA	NA	NA	NA	NA	NA	PTHR22934:SF24;PTHR22934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_435_length_19546_cov_37.245378-processed-gene-0.23-mRNA-1	NA	IPR012951	PF08031;PF01565	NA	PS51387	GO:0016491;GO:0050660;GO:0055114;GO:0071949	SSF56176	NA	G3DSA:3.30.465.40;G3DSA:3.40.462.20	PTHR13878:SF50;PTHR13878	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_290_length_35472_cov_39.324883-processed-gene-0.88-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38702	NA	NA	NA	NA	NA	NA	Coil	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_123_length_63690_cov_33.893381-processed-gene-0.119-mRNA-1	mobidb-lite	IPR036047	PF12937	NA	PS50181	GO:0005515	SSF81383	NA	NA	PTHR12874:SF9;PTHR12874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_241248_cov_39.503158-processed-gene-1.41-mRNA-1	NA	IPR036396	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	G3DSA:1.10.630.10	PTHR24305;PTHR24305:SF113	NA	NA	PS00086	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_158_length_55356_cov_36.171196-snap-gene-0.145-mRNA-1	mobidb-lite	IPR003593	PF17866;PF00004;PF13087;PF13086	cd00009;cd06008	NA	GO:0005524	SSF52540	SM00382	G3DSA:3.40.50.300;G3DSA:1.10.8.60	PTHR10887:SF368;PTHR10887	NA	NA	NA	NA	NA	PR00819	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_88401_cov_37.087670-snap-gene-0.20-mRNA-1	mobidb-lite	IPR006594	NA	NA	PS50896	GO:0005515	NA	NA	NA	PTHR12610;PTHR12610:SF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_138_length_59445_cov_39.617182-processed-gene-0.16-mRNA-1	NA	IPR009571	PF06687	NA	NA	GO:0005886	NA	NA	NA	PTHR28019;PTHR28019:SF2	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_149985_cov_36.007701-augustus-gene-0.403-mRNA-1	mobidb-lite	IPR013087	NA	NA	PS50157	GO:0003676	NA	SM00355	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_74591_cov_26.048413-snap-gene-0.50-mRNA-1	NA	IPR007130	PF03982	cd07987	NA	GO:0016747	SSF69593	NA	NA	PTHR12317;PTHR12317:SF0	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_505_length_14344_cov_33.071253-snap-gene-0.6-mRNA-1	mobidb-lite	IPR001356	NA	cd00086	PS50071	GO:0003677	NA	NA	NA	PTHR24326:SF485;PTHR24326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_481_length_15812_cov_32.938030-snap-gene-0.2-mRNA-1	mobidb-lite	IPR006549	PF08645;PF13671	NA	NA		SSF52540;SSF56784	NA	G3DSA:3.40.50.300;G3DSA:3.40.50.1000	PTHR12083	Reactome: R-HSA-5649702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01662;TIGR01664	NA	NA
snap_masked-NODE_340_length_28617_cov_34.509126-processed-gene-0.20-mRNA-1	mobidb-lite	IPR039913	PF08620;PF08621	NA	NA	GO:0006366	NA	NA	NA	PTHR21483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_96795_cov_43.592419-snap-gene-0.15-mRNA-1	mobidb-lite	IPR017849	PF04185	NA	NA	GO:0003824;GO:0016788	NA	NA	G3DSA:3.40.720.10	PTHR31956:SF1;PTHR31956	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NODE_89_length_74334_cov_34.873166-snap-gene-0.124-mRNA-1	mobidb-lite	IPR024146	NA	NA	NA		NA	NA	NA	PTHR14396	Reactome: R-HSA-111465|Reactome: R-HSA-176187|Reactome: R-HSA-5689880|Reactome: R-HSA-5693607	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_47_length_96103_cov_38.752626-processed-gene-0.221-mRNA-1	mobidb-lite	IPR014807	PF08695	NA	NA	NA	NA	NA	NA	PTHR28523	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_167923_cov_38.027516-snap-gene-0.1-mRNA-1	NA	IPR020846	PF00083	cd06174	PS50850	GO:0005215;GO:0016021;GO:0055085;GO:0022857	SSF103473	NA	NA	PTHR24064:SF325;PTHR24064	NA	NA	PS00217	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_74_length_80692_cov_33.216434-snap-gene-0.42-mRNA-1	mobidb-lite	IPR037104	PF00191	NA	NA	GO:0005509;GO:0005544	SSF47874	NA	G3DSA:1.10.220.10	PTHR10502:SF107;PTHR10502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_286_length_35727_cov_36.821348-snap-gene-0.61-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_221_length_43061_cov_35.045395-snap-gene-0.3-mRNA-1	mobidb-lite	IPR013483	PF13353;PF01967;PF04055;PF06463	cd01335;cd01420	NA	GO:0006777;GO:0046872;GO:0003824;GO:0051536;GO:0051539;GO:0019008	SSF55040;SSF102114	SM00729	G3DSA:3.30.70.640	PTHR22960:SF0;PTHR22960	KEGG: 00790+4.1.99.22|MetaCyc: PWY-6823|Reactome: R-HSA-947581	NA	PS01305	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	MF_01224_B	NA	NA	NA	TIGR02666;TIGR00581	NA	SFLDG01067;SFLDG01383
maker-NODE_39_length_100142_cov_40.572934-snap-gene-0.214-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_329_length_29996_cov_35.825103-processed-gene-0.45-mRNA-1	mobidb-lite	IPR039544	PF04280	NA	NA	GO:0030150;GO:0051087	SSF54427	SM00978	G3DSA:3.10.450.240	PTHR10721	Reactome: R-HSA-1268020	PIRSF037871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_301_length_33644_cov_35.358863-snap-gene-0.58-mRNA-1	mobidb-lite	IPR036047	NA	NA	NA	GO:0005515	SSF81383	NA	G3DSA:1.20.1280.50	PTHR22619;PTHR22619:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_205_length_45593_cov_34.208771-snap-gene-0.159-mRNA-1	mobidb-lite	IPR000008	PF00168	NA	NA	NA	SSF49562	SM00239	NA	PTHR24356:SF154;PTHR24356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_423_length_20728_cov_35.062667-snap-gene-0.2-mRNA-1	mobidb-lite	IPR011766	PF02775;PF02776;PF00205	cd07035;cd02002	NA	GO:0003824;GO:0030976;GO:0000287	SSF52518;SSF52467	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	PTHR18968;PTHR18968:SF135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_413_length_21819_cov_34.634197-processed-gene-0.10-mRNA-1	mobidb-lite	IPR019024	PF09468;PF17745	cd09270	NA	GO:0032299	NA	NA	NA	PTHR13383	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_190499_cov_41.442738-processed-gene-0.292-mRNA-1	NA	IPR027417	PF10609	cd02037	NA	GO:0016226;GO:0051539	SSF52540	NA	G3DSA:3.40.50.300	PTHR23264;PTHR23264:SF32	Reactome: R-HSA-2564830	NA	NA	NA	NA	NA	NA	MF_03039;MF_02040	NA	NA	NA	NA	NA	NA
