Gene	Gene3D	interpro	PIRSF	Pfam	CDD	MobiDBLite	GO	PATHWAY	SUPERFAMILY	TIGRFAM	ProSitePatterns	ProSiteProfiles	SMART	PRINTS	Coils	Hamap	SFLD
maker-WWCI01000003.1-augustus-gene-31.93-mRNA-1	G3DSA:3.30.70.330	IPR012677	NA	PF00076	cd12622;cd12619;cd12614	mobidb-lite	GO:0003676	NA	SSF54928	NA	NA	PS50102	SM00361;SM00360	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-8.47-mRNA-1	G3DSA:3.40.50.620	IPR041723	NA	PF01467	cd02174	NA	GO:0003824;GO:0009058	NA	SSF52374	TIGR00125	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-31.20-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-37.21-mRNA-1	G3DSA:1.10.260.40	IPR001387	NA	PF08523;PF01381	cd00093	mobidb-lite	GO:0003677	NA	SSF47413	NA	NA	PS50943	SM00530	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-11.29-mRNA-1	G3DSA:1.10.287.160;G3DSA:3.30.60.20	IPR036274	NA	PF02185;PF00130	cd00029;cd08689;cd11620	mobidb-lite	GO:0007165;GO:0035556;GO:0004697;GO:0009272	KEGG: 04070+2.7.11.13	SSF46585;SSF57889;SSF49562	NA	PS00479	PS51860;PS50081	SM00742;SM00239;SM00109	NA	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-17.5-mRNA-1	G3DSA:1.20.1270.10;G3DSA:3.30.30.30;G3DSA:2.60.34.10;G3DSA:3.90.640.10;G3DSA:3.30.420.40	IPR029048	NA	PF00012	cd10228	mobidb-lite		Reactome: R-HSA-3371453	SSF100920;SSF100934;SSF53067	NA	NA	NA	NA	PR00301	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-16.56-mRNA-1	NA	IPR001509	NA	PF01370	NA	NA	GO:0003824;GO:0050662	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-3.0-mRNA-1	G3DSA:3.30.60.10;G3DSA:3.20.20.370	IPR001002	NA	PF00187;PF01522	cd11618;cd10951;cd00035	NA	GO:0008061;GO:0005975;GO:0016810;GO:0003824	NA	SSF57016;SSF88713	NA	PS00026	PS51677;PS50941	SM00270	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-4.104-mRNA-1	G3DSA:3.20.20.60	IPR040442	NA	PF03328	NA	NA	GO:0003824	NA	SSF51621	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-snap-gene-31.81-mRNA-1	NA	IPR035979	NA	NA	cd12261	mobidb-lite	GO:0003676	NA	SSF54928	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-37.46-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-70.16-mRNA-1	G3DSA:1.20.1250.20	IPR005828	NA	PF00083	cd17356	NA	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	SSF103473	TIGR00879	PS00216;PS00217	PS50850	NA	PR00171	NA	NA	NA
maker-WWCI01000004.1-snap-gene-16.92-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000004.1-augustus-gene-20.54-mRNA-1	G3DSA:1.50.10.10	IPR001382	NA	PF01532	NA	NA	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	SSF48225	NA	NA	NA	NA	PR00747	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-72.81-mRNA-1	G3DSA:3.30.465.10	IPR036318	NA	PF01565	NA	NA	GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	SSF56176	NA	NA	PS51387	NA	NA	NA	NA	NA
maker-WWCI01000001.1-augustus-gene-35.14-mRNA-1	G3DSA:3.30.70.2740;G3DSA:1.10.45.10;G3DSA:3.30.465.40	IPR016164	NA	PF02913;PF01565	NA	mobidb-lite	GO:0003824;GO:0050660;GO:0071949;GO:0016491;GO:0055114	NA	SSF55103;SSF56176	NA	NA	PS51387	NA	NA	Coil	NA	NA
maker-WWCI01000006.1-snap-gene-15.89-mRNA-1	NA	IPR027973	NA	PF15375	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-38.8-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-augustus-gene-47.87-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172;PF04082	cd12148;cd00067	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	SSF57701	NA	PS00463	PS50048	SM00906;SM00066	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-38.38-mRNA-1	G3DSA:3.30.70.80;G3DSA:3.40.50.200	IPR010259	NA	PF05922;PF00082	cd04077	NA	GO:0004252;GO:0006508	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	SSF52743	NA	PS00137;PS00138	NA	NA	PR00723	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-7.52-mRNA-1	G3DSA:2.30.110.10	IPR002563	NA	PF01613	NA	mobidb-lite	GO:0010181;GO:0048037	NA	SSF50475	NA	NA	NA	SM00903	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-34.55-mRNA-1	G3DSA:1.10.287.110;G3DSA:3.30.160.60	IPR013087	NA	PF00226;PF12171	cd06257	mobidb-lite	GO:0003676;GO:0008270	NA	SSF46565;SSF57667	NA	PS00028;PS00636	PS50157;PS50076	SM00451;SM00271;SM00355	PR00625	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-14.32-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000005.1-augustus-gene-25.8-mRNA-1	G3DSA:3.60.15.10	IPR001279	NA	PF16661;PF10996;PF13299;PF07521	cd16293	mobidb-lite		Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-77595	SSF56281	NA	NA	NA	SM01027	NA	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-39.0-mRNA-1	G3DSA:3.40.50.150	IPR025714	NA	PF13847	cd02440	NA	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-3.33-mRNA-1	G3DSA:3.60.21.10	IPR029052	NA	NA	NA	NA	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-24.94-mRNA-1	G3DSA:1.25.10.10	IPR001494	NA	PF03810;PF08389	NA	NA	GO:0006886;GO:0008536	NA	SSF48371	NA	NA	PS50166	SM00913	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-0.38-mRNA-1	NA	IPR011032	NA	NA	NA	NA	NA	NA	SSF50129	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-26.21-mRNA-1	G3DSA:1.25.40.570	IPR040780	NA	PF18503;PF18055;PF01399	NA	mobidb-lite		Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	SSF46785	NA	NA	PS50250	SM00753;SM00088	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-50.60-mRNA-1	NA	IPR001594	NA	PF01529	NA	mobidb-lite	GO:0016409	NA	NA	NA	NA	PS50216	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-17.48-mRNA-1	NA	IPR032436	NA	PF16201;PF11707	NA	mobidb-lite	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-8.1-mRNA-1	G3DSA:3.30.40.10;G3DSA:1.25.40.90	IPR003903	PIRSF036956	PF02809;PF00790;PF01363	cd16979;cd15735	mobidb-lite	GO:0006886;GO:0046872	Reactome: R-HSA-182971|Reactome: R-HSA-432720|Reactome: R-HSA-5689880|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360|Reactome: R-HSA-917729	SSF57903;SSF48464	NA	NA	PS50178;PS50179;PS50330	SM00064;SM00726;SM00288	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-46.86-mRNA-1	NA	IPR011431	NA	PF07543	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-53.3-mRNA-1	G3DSA:3.50.50.60	IPR036188	NA	PF01494	NA	NA	GO:0071949	NA	SSF51905	NA	NA	NA	NA	PR00420	NA	NA	NA
maker-WWCI01000007.1-augustus-gene-18.23-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:2.40.40.20;G3DSA:3.10.330.10	IPR029067	NA	PF17862;PF00004;PF02933	cd00009	mobidb-lite	GO:0005524	NA	SSF54585;SSF52540;SSF50692	NA	PS00674	NA	SM00382;SM01072	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-63.2-mRNA-1	G3DSA:1.20.1720.10	IPR036259	NA	PF07690	cd17323	NA	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-WWCI01000001.1-augustus-gene-18.48-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172;PF04082	cd12148;cd00067	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	SSF57701	NA	PS00463	PS50048	SM00066;SM00906	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-46.64-mRNA-1	G3DSA:3.40.532.10	IPR001578	NA	PF01088	cd09616	NA	GO:0004843;GO:0006511	Reactome: R-HSA-5689603	SSF54001	NA	PS00140	NA	NA	PR00707	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-17.75-mRNA-1	G3DSA:3.50.50.100	IPR036188	NA	PF07992	NA	NA	GO:0016491;GO:0055114	NA	SSF51905	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-6.60-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.90.180.10	IPR013149	NA	PF00107;PF08240	cd08276	NA	GO:0055114;GO:0016491	NA	SSF50129;SSF51735	NA	NA	NA	SM00829	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-17.30-mRNA-1	G3DSA:3.40.50.720	IPR036291	NA	PF03435	NA	NA	GO:0016491;GO:0055114	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-34.15-mRNA-1	NA	IPR013881	NA	PF08572;PF06544	NA	mobidb-lite		Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-33.1-mRNA-1	G3DSA:1.10.472.10	IPR036915	NA	NA	cd00043	mobidb-lite	NA	NA	SSF47954	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-32.43-mRNA-1	G3DSA:1.50.10.100	IPR008397	NA	PF05426	NA	NA	GO:0016829;GO:0042597	KEGG: 00051+4.2.2.3|MetaCyc: PWY-6986	SSF48230	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-40.0-mRNA-1	G3DSA:1.20.5.170	IPR004827	NA	PF00170	cd14687	mobidb-lite	GO:0003700;GO:0006355	NA	SSF57959	NA	PS00036	PS50217	SM00338	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-59.11-mRNA-1	G3DSA:3.40.50.1820	IPR029058	NA	PF02089	NA	NA	GO:0098599	Reactome: R-HSA-75105	SSF53474	NA	NA	NA	NA	PR00414	NA	NA	NA
maker-WWCI01000005.1-snap-gene-48.75-mRNA-1	G3DSA:3.10.350.10	IPR018392	NA	NA	cd00118	mobidb-lite	NA	NA	NA	NA	NA	PS51782	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-8.24-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-10.9-mRNA-1	NA	IPR012936	NA	PF07970;PF13850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-59.39-mRNA-1	G3DSA:3.30.40.10	IPR001841	NA	PF13639	cd16491	mobidb-lite		MetaCyc: PWY-7511|Reactome: R-HSA-983168	SSF57850;SSF48371	NA	NA	PS50089	SM00184;SM01197	NA	Coil	NA	NA
snap_masked-WWCI01000005.1-processed-gene-9.90-mRNA-1	G3DSA:2.40.50.140	IPR018856	NA	PF10451	cd03524	mobidb-lite	NA	NA	SSF50249	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000001.1-processed-gene-17.35-mRNA-1	G3DSA:1.20.140.20	IPR003594	NA	PF02518;PF10436	cd16929	NA	GO:0016310;GO:0016772	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	SSF55874;SSF69012	NA	NA	PS50109	SM00387	PR00344	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-12.38-mRNA-1	NA	IPR003492	NA	PF02487	cd06174	mobidb-lite	GO:0016020	NA	SSF103473	NA	NA	NA	NA	PR01315	Coil	NA	NA
maker-WWCI01000007.1-snap-gene-3.22-mRNA-1	G3DSA:3.40.630.10	IPR007484	NA	PF04389	cd03879	NA	NA	NA	SSF53187	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-27.80-mRNA-1	G3DSA:3.40.50.10480	IPR007109	NA	PF04427	NA	NA	NA	NA	SSF52954	NA	NA	PS50833	SM00879	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-30.10-mRNA-1	NA	IPR009571	NA	PF06687	NA	NA	GO:0005886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-42.3-mRNA-1	G3DSA:3.20.20.140;G3DSA:2.30.40.10	IPR032466	NA	PF01979	NA	NA	GO:0016810;GO:0016787	NA	SSF51556;SSF51338	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-20.60-mRNA-1	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	IPR011527	NA	PF00664;PF00005	cd03253;cd18583	mobidb-lite	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	SSF90123;SSF52540	NA	PS00211	PS50929;PS50893	SM00382	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-58.38-mRNA-1	G3DSA:1.10.472.80;G3DSA:1.10.8.270	IPR000195	NA	PF00566	NA	mobidb-lite	NA	NA	SSF47923	NA	NA	PS50086	SM00164	NA	NA	NA	NA
maker-WWCI01000006.1-snap-gene-12.3-mRNA-1	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-30.79-mRNA-1	G3DSA:3.30.830.10	IPR011249	NA	PF05193;PF00675	NA	NA	GO:0003824;GO:0046872;GO:0004222;GO:0006508	NA	SSF63411	NA	PS00143	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-20.16-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000006.1-augustus-gene-61.84-mRNA-1	G3DSA:2.60.120.260	IPR008979	NA	NA	NA	NA	NA	NA	SSF49785	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-5.36-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-30.2-mRNA-1	G3DSA:2.60.40.10	IPR003961	NA	PF00041	cd00063	mobidb-lite	GO:0005515	NA	SSF49265	NA	NA	PS50853	SM00060	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-46.41-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000007.1-snap-gene-21.47-mRNA-1	G3DSA:1.20.5.170	IPR004827	NA	PF07716	cd14705	mobidb-lite	GO:0003700;GO:0006355	NA	SSF57959	NA	PS00036	PS50217	SM00338	NA	Coil	NA	NA
snap_masked-WWCI01000007.1-processed-gene-11.30-mRNA-1	G3DSA:3.90.1300.10	IPR023631	NA	PF01425	NA	NA		KEGG: 00970+6.3.5.7	SSF75304	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-11.84-mRNA-1	NA	IPR007128	NA	PF03980	NA	mobidb-lite	GO:0000818	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-45.77-mRNA-1	G3DSA:3.20.20.70	IPR013785	NA	PF00724	cd02933	NA	GO:0003824;GO:0010181;GO:0016491;GO:0055114	NA	SSF51395	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-13.20-mRNA-1	G3DSA:3.50.7.10;G3DSA:3.30.260.10;G3DSA:1.10.560.10	IPR027409	NA	PF00118	cd03335	NA	GO:0005524;GO:0006457;GO:0051082	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	SSF52029;SSF48592;SSF54849	TIGR02340	PS00750;PS00995	NA	NA	PR00304	NA	NA	NA
maker-WWCI01000007.1-augustus-gene-0.14-mRNA-1	G3DSA:1.10.630.10	IPR002403	NA	PF00067	NA	NA	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SSF48264	NA	NA	NA	NA	PR00465	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-4.62-mRNA-1	G3DSA:3.90.180.10;G3DSA:3.40.50.720	IPR013154	NA	PF13602;PF08240	cd05289	NA	GO:0055114;GO:0016491	NA	SSF51735;SSF50129	NA	NA	NA	SM00829	NA	NA	NA	NA
snap_masked-WWCI01000003.1-processed-gene-9.20-mRNA-1	G3DSA:2.60.120.330	IPR026992	NA	PF14226	NA	NA	NA	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-12.21-mRNA-1	NA	IPR006694	NA	PF04116	NA	mobidb-lite	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-12.9-mRNA-1	NA	IPR021858	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-24.56-mRNA-1	G3DSA:3.30.450.50;G3DSA:1.20.5.110	IPR010908	NA	PF00957;PF13774	cd14824;cd15867	NA	GO:0016021;GO:0016192	Reactome: R-HSA-204005	SSF64356;SSF58038	NA	NA	PS50859;PS50892	SM01270	PR00219	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-21.81-mRNA-1	G3DSA:1.20.1250.20	IPR005828	NA	PF00083	cd17356	NA	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	SSF103473	TIGR00879	PS00216;PS00217	PS50850	NA	PR00171	NA	NA	NA
maker-WWCI01000002.1-snap-gene-62.77-mRNA-1	G3DSA:3.40.50.150	IPR016461	NA	PF00891	cd02440	NA	GO:0008168;GO:0008171	NA	SSF53335;SSF46785	NA	NA	PS51683	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-14.86-mRNA-1	G3DSA:3.40.50.720	IPR036291	NA	PF13460	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-1.76-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-42.67-mRNA-1	G3DSA:3.40.50.2000	IPR007235	NA	PF04101	cd03785	NA	GO:0016758	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471|Reactome: R-HSA-446193|Reactome: R-HSA-5633231	SSF53756	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-28.15-mRNA-1	G3DSA:1.25.10.10	IPR016024	NA	NA	NA	mobidb-lite	GO:0003723	NA	SSF48371	NA	NA	NA	SM00025	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-12.65-mRNA-1	G3DSA:3.20.20.70	IPR035587	NA	PF01207	cd02801	mobidb-lite	GO:0003824;GO:0008033;GO:0017150;GO:0050660;GO:0055114	NA	SSF51395	NA	PS01136	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-2.4-mRNA-1	G3DSA:1.10.10.10	IPR036388	NA	PF01035	cd06445	mobidb-lite	GO:0003824;GO:0006281	Reactome: R-HSA-5657655	SSF46767	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-19.0-mRNA-1	G3DSA:4.10.240.10	IPR007219	NA	PF04082	cd00067;cd12148	mobidb-lite	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	SSF57701	NA	NA	PS50048	SM00066;SM00906	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-52.2-mRNA-1	G3DSA:3.30.60.10;G3DSA:3.20.20.80;G3DSA:3.10.50.10	IPR029070	NA	PF00187;PF00704	cd00035	mobidb-lite	GO:0008061;GO:0005975	NA	SSF54556;SSF51445;SSF57016	NA	PS00026	PS50941	SM00636;SM00270	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-19.7-mRNA-1	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR011009	PIRSF000654	PF00069	cd14007	mobidb-lite	GO:0005524;GO:0004672;GO:0006468	NA	SSF56112	NA	PS00107;PS00108	PS50011	SM00220	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-22.38-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000005.1-augustus-gene-37.30-mRNA-1	G3DSA:1.25.10.10	IPR011989	NA	PF13513;PF03810	NA	mobidb-lite	GO:0006886;GO:0008536	NA	SSF48371	NA	NA	PS50166	SM00913	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-20.79-mRNA-1	NA	IPR008979	NA	PF08547	NA	mobidb-lite		Reactome: R-HSA-6799198	SSF49785	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-48.26-mRNA-1	G3DSA:2.20.70.10	IPR001202	NA	PF00397	NA	mobidb-lite	GO:0005515	NA	SSF51045	NA	NA	PS50020	SM00456	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-42.26-mRNA-1	G3DSA:1.20.1280.50	IPR001810	NA	PF12937;PF07393	NA	NA	GO:0005515;GO:0005737;GO:0006887;GO:0048278	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	SSF81383	NA	NA	PS50181	SM00256	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-20.44-mRNA-1	G3DSA:3.40.50.150	IPR029063	NA	PF13489	cd02440	mobidb-lite	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-26.87-mRNA-1	G3DSA:3.40.30.10	IPR036249	NA	PF00085	cd02961	mobidb-lite	GO:0045454	NA	SSF52833	NA	PS00194	PS51352	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-36.39-mRNA-1	NA	IPR019416	NA	PF10309	NA	mobidb-lite	GO:0000340;GO:0003729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-15.8-mRNA-1	G3DSA:3.90.1170.10;G3DSA:2.20.25.330	IPR001197	PIRSF005590	PF00252	cd01433	NA	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SSF54686	TIGR00279	PS01257	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-59.12-mRNA-1	G3DSA:3.20.20.80	IPR006046	PIRSF001024	PF00128	cd11319	NA	GO:0003824;GO:0005975;GO:0043169;GO:0004556;GO:0005509	KEGG: 00500+3.2.1.1|Reactome: R-HSA-189085	SSF51445;SSF51011	NA	NA	NA	SM00642	PR00110	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-5.90-mRNA-1	G3DSA:2.60.110.10;G3DSA:3.30.920.50	IPR037176	NA	PF16483	cd09220	NA		KEGG: 00500+3.2.1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
