Gene	MobiDBLite	Phobius	interpro	Pfam	TMHMM	PANTHER	GO	Coils	Gene3D	CDD	PATHWAY	SUPERFAMILY	ProSiteProfiles	SFLD	PRINTS	TIGRFAM	ProSitePatterns	SMART	PIRSF	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom
maker-scaffold2-snap-gene-2.246-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-scaffold248-snap-gene-0.52-mRNA-1	mobidb-lite	NA	IPR001163	PF01423	NA	PTHR10553;PTHR10553:SF5	GO:0000398;GO:0000956	NA	G3DSA:2.30.30.100	cd01729	Reactome: R-HSA-430039|Reactome: R-HSA-72163	SSF50182	NA	NA	NA	NA	NA	SM00651	PIRSF037188	NA	NA	NA	NA	NA
augustus_masked-scaffold36-processed-gene-0.337-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold66-augustus-gene-0.291-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR027537	PF10296	TMhelix	PTHR13466:SF5;PTHR13466	GO:0007005;GO:0032865;GO:0008289	NA	NA	NA	NA	NA	PS51847	NA	NA	NA	NA	NA	NA	MF_03103	NA	NA	NA	NA
augustus_masked-scaffold93-processed-gene-0.7-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR029044	PF03142	TMhelix	PTHR22914:SF10;PTHR22914	GO:0016758	NA	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold25-processed-gene-0.16-mRNA-1	mobidb-lite	NA	IPR000169	PF00648;PF04108	NA	PTHR28005	GO:0004198;GO:0005622;GO:0006508;GO:0006914	Coil	G3DSA:3.90.70.10	NA	Reactome: R-HSA-1474228	SSF54001	PS50203	NA	PR00704	NA	PS00139	SM00230	NA	NA	NA	NA	NA	NA
maker-scaffold100-snap-gene-0.15-mRNA-1	mobidb-lite	NA	IPR006683	PF03061	NA	PTHR31793;PTHR31793:SF20		NA	G3DSA:3.10.129.10	cd00586	Reactome: R-HSA-77289	SSF54637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold10-augustus-gene-1.96-mRNA-1	mobidb-lite	NA	IPR006073	PF08153;PF01926	NA	PTHR11089:SF9;PTHR11089	GO:0005525;GO:0005730	Coil	G3DSA:1.10.1580.10;G3DSA:3.40.50.300	cd01858	NA	SSF52540	PS51721	NA	PR00326	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold164-augustus-gene-0.134-mRNA-1	mobidb-lite	NA	IPR024771	PF12752	NA	PTHR15672:SF8;PTHR15672	GO:0003676	NA	NA	NA	NA	SSF82708	PS51673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold15-processed-gene-1.85-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR029636	NA	TMhelix	PTHR32085	GO:0006113;GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold35-processed-gene-0.86-mRNA-1	mobidb-lite	NA	IPR034455	NA	NA	PTHR39145	GO:0031083	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold42-processed-gene-0.57-mRNA-1	mobidb-lite	NA	IPR008936	PF00616	NA	PTHR10194;PTHR10194:SF126	GO:0007165;GO:0043087	NA	G3DSA:1.10.506.10	cd05137	Reactome: R-HSA-5658442|Reactome: R-HSA-6802949	SSF50729;SSF48350;SSF49562	PS50018	NA	NA	NA	PS00509	SM00323	NA	NA	NA	NA	NA	NA
maker-scaffold212-augustus-gene-0.5-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold119-snap-gene-0.17-mRNA-1	mobidb-lite	NA	IPR007185	PF04042;PF18018	NA	PTHR10416	GO:0003677;GO:0003887;GO:0006260	NA	G3DSA:2.40.50.430;G3DSA:3.60.21.50	NA	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold156-augustus-gene-0.145-mRNA-1	mobidb-lite	NA	IPR036291	NA	NA	PTHR24320;PTHR24320:SF106	NA	NA	G3DSA:3.40.50.720	NA	NA	SSF51735	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold172-snap-gene-0.159-mRNA-1	mobidb-lite	NA	IPR003653	PF02902	NA	PTHR44655	GO:0006508;GO:0008234	Coil	G3DSA:1.10.418.20;G3DSA:3.40.395.10	NA	NA	SSF54001	PS50600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold49-processed-gene-0.152-mRNA-1	mobidb-lite	NA	IPR011993	PF06395;PF00621;PF15411;PF00564	NA	PTHR22826;PTHR22826:SF133	GO:0005085;GO:0035556;GO:0005515;GO:0005089;GO:0035023	NA	G3DSA:2.30.29.30;G3DSA:1.20.900.10;G3DSA:3.10.20.90	cd05992;cd13246;cd00160	Reactome: R-HSA-193648|Reactome: R-HSA-194840|Reactome: R-HSA-416482	SSF48065;SSF50729;SSF54277	PS51745;PS50010	NA	NA	NA	PS00741	SM00233;SM00325	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold26-processed-gene-0.358-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR018811	PF10306	TMhelix	PTHR28002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold260-snap-gene-0.18-mRNA-1	mobidb-lite	NA	IPR022812	PF00350;PF02212	NA	PTHR11566:SF137;PTHR11566	GO:0005525;GO:0003924	Coil	G3DSA:3.40.50.300	cd08771	NA	SSF52540	PS51718;PS51388	NA	PR00195	NA	NA	SM00053	NA	NA	NA	NA	NA	NA
maker-scaffold20-snap-gene-0.0-mRNA-1	NA	NA	IPR002171	PF03947;PF00181	NA	PTHR13691;PTHR13691:SF16	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:2.40.50.140;G3DSA:2.30.30.30;G3DSA:4.10.950.10	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SSF50249;SSF50104	NA	NA	NA	NA	PS00467	SM01383;SM01382	PIRSF002158	NA	NA	NA	NA	NA
maker-scaffold169-snap-gene-0.5-mRNA-1	mobidb-lite	NA	IPR024704	PF02463;PF06470	NA	PTHR43939:SF1;PTHR43939	GO:0005515;GO:0005524;GO:0005694;GO:0051276	Coil	G3DSA:1.20.1060.20;G3DSA:3.40.50.300;G3DSA:1.20.5.340;G3DSA:3.30.70.1620	cd03274	NA	SSF57997;SSF75553;SSF52540	NA	NA	NA	NA	NA	SM00968	PIRSF005719	NA	NA	NA	NA	NA
augustus_masked-scaffold2-processed-gene-1.85-mRNA-1	NA	NA	IPR013087	NA	NA	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00028	SM00355	NA	NA	NA	NA	NA	NA
maker-scaffold12-snap-gene-0.203-mRNA-1	mobidb-lite	NA	IPR013655	PF08447;PF08446;PF13426;PF00320	NA	PTHR24351;PTHR24351:SF160	GO:0005515;GO:0006355;GO:0008270;GO:0043565	Coil	G3DSA:3.30.50.10;G3DSA:3.30.450.20	cd00202;cd00130	Reactome: R-HSA-383280	SSF57716;SSF55785	PS50114;PS50112	NA	NA	TIGR00229	PS00344	SM00091;SM00401;SM00086	NA	NA	NA	NA	NA	NA
maker-scaffold5-snap-gene-1.249-mRNA-1	NA	NA	IPR003613	PF13414;PF04564	NA	PTHR44284	GO:0004842;GO:0016567;GO:0005515	NA	G3DSA:3.30.40.10;G3DSA:1.25.40.10	NA	MetaCyc: PWY-7511	SSF57850;SSF48452	PS51698;PS50293;PS50005	NA	NA	NA	NA	SM00504;SM00028	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold117-processed-gene-0.40-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold44-processed-gene-0.5-mRNA-1	mobidb-lite	NA	IPR036612	PF17903	NA	PTHR12581	GO:0003723;GO:0003676	NA	G3DSA:3.30.1370.10	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	SSF54791	NA	NA	NA	NA	NA	SM00322	PIRSF006515	NA	NA	NA	NA	NA
augustus_masked-scaffold120-processed-gene-0.63-mRNA-1	mobidb-lite	NA	IPR036526	PF00795	NA	PTHR23088:SF6;PTHR23088	GO:0006807	NA	G3DSA:3.60.110.10	cd07197	NA	SSF56317	PS50263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold50-processed-gene-0.19-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR017853	PF11790	NA	PTHR34154:SF2;PTHR34154	NA	NA	G3DSA:3.20.20.80	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold26-snap-gene-0.224-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR012879	PF07946	TMhelix	PTHR12883	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold58-processed-gene-0.18-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR002293	PF13520	TMhelix	PTHR11785:SF382;PTHR11785	GO:0016020;GO:0022857;GO:0055085	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
maker-scaffold7-snap-gene-1.19-mRNA-1	mobidb-lite	NA	IPR000195	PF00566	NA	PTHR22957;PTHR22957:SF263	NA	NA	G3DSA:1.10.472.80	NA	NA	SSF47923	PS50086	NA	NA	NA	NA	SM00164	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold12-processed-gene-0.242-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
maker-scaffold156-snap-gene-0.148-mRNA-1	mobidb-lite	NA	IPR033140	PF07859	NA	PTHR43494;PTHR43494:SF10	GO:0016787	NA	G3DSA:3.40.50.1820	NA	Reactome: R-HSA-163560	SSF53474	NA	NA	NA	NA	PS01174;PS01173	NA	NA	NA	NA	NA	NA	NA
maker-scaffold90-augustus-gene-0.0-mRNA-1	mobidb-lite	NA	IPR020472	PF04494;PF00400	NA	PTHR19879:SF1;PTHR19879	GO:0005515;GO:0005669	NA	G3DSA:2.130.10.10;G3DSA:1.25.40.500	cd08044;cd00200	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	SSF50978;SSF160897	PS50082;PS50294	NA	PR00320	NA	PS00678	SM00320	NA	NA	NA	NA	NA	NA
maker-scaffold9-augustus-gene-0.9-mRNA-1	NA	NA	IPR011032	PF08240;PF00107	NA	PTHR42813;PTHR42813:SF2	GO:0008270;GO:0016491;GO:0055114	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	cd08284	Reactome: R-HSA-71384	SSF50129;SSF51735	NA	NA	NA	NA	PS00059	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold157-processed-gene-0.104-mRNA-1	NA	NA	IPR011129	PF00313	NA	PTHR11544;PTHR11544:SF57	GO:0003676	NA	G3DSA:2.40.50.140	cd04458	NA	SSF50249	NA	NA	PR00050	NA	PS00352	SM00357	PIRSF002599	NA	NA	NA	NA	NA
augustus_masked-scaffold61-processed-gene-0.149-mRNA-1	NA	NA	IPR036866	PF00753	NA	PTHR23131	NA	NA	G3DSA:3.60.15.10	cd07722	NA	SSF56281	NA	NA	NA	NA	NA	SM00849	NA	NA	NA	NA	NA	NA
maker-scaffold320-augustus-gene-0.1-mRNA-1	mobidb-lite	NA	IPR013175	PF08193	NA	PTHR28061	GO:0006338;GO:0031011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
snap_masked-scaffold89-processed-gene-0.191-mRNA-1	NA	NA	IPR015912	PF00365	NA	PTHR13697;PTHR13697:SF18	GO:0003872;GO:0006096;GO:0005524;GO:0005737;GO:0006002	NA	G3DSA:3.40.50.460;G3DSA:3.40.50.450	NA	KEGG: 00010+2.7.1.11|KEGG: 00030+2.7.1.11|KEGG: 00051+2.7.1.11|KEGG: 00052+2.7.1.11|KEGG: 00680+2.7.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1861|MetaCyc: PWY-5484|MetaCyc: PWY-7385|Reactome: R-HSA-70171	SSF53784	NA	NA	PR00476	TIGR02478	PS00433	NA	PIRSF000533	MF_03184	NA	NA	NA	NA
snap_masked-scaffold33-processed-gene-0.17-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR033909	PF00268	TMhelix	PTHR23409;PTHR23409:SF20	GO:0009263;GO:0016491;GO:0055114	NA	G3DSA:1.10.620.20	cd01049	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943	SSF47240	NA	NA	NA	NA	PS00368	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold27-processed-gene-0.76-mRNA-1	NA	NA	IPR020843	NA	NA	PTHR43981:SF2;PTHR43981	GO:0016491	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	cd08290	NA	SSF51735;SSF50129	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA
maker-scaffold17-snap-gene-0.203-mRNA-1	NA	NA	IPR004000	PF00022	NA	PTHR11937;PTHR11937:SF47	GO:0005634;GO:0006338	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	NA	SSF53067	NA	NA	NA	NA	NA	SM00268	NA	NA	NA	NA	NA	NA
maker-scaffold131-augustus-gene-0.20-mRNA-1	mobidb-lite	NA	IPR001240	PF00117;PF00697;PF00218	NA	PTHR43418:SF4;PTHR43418	GO:0004640;GO:0006568;GO:0003824;GO:0004425;GO:0004049	NA	G3DSA:3.40.50.880;G3DSA:3.20.20.70	cd00405;cd01743;cd00331	KEGG: 00400+5.3.1.24	SSF51366;SSF52317	PS51273	NA	PR00096;PR00097	TIGR00566	PS00614	NA	PIRSF001382	MF_00135	NA	NA	NA	NA
augustus_masked-scaffold99-processed-gene-0.3-mRNA-1	mobidb-lite	NA	NA	NA	NA	PTHR39463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold84-augustus-gene-0.6-mRNA-1	NA	NA	IPR008929	PF05426	NA	NA	GO:0016829;GO:0042597	Coil	G3DSA:1.50.10.100	NA	Reactome: R-HSA-2022923	SSF48230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold2-snap-gene-3.115-mRNA-1	mobidb-lite	NA	IPR024752	PF12776	NA	PTHR31704;PTHR31704:SF64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold268-snap-gene-0.6-mRNA-1	mobidb-lite	NA	IPR000719	PF00069;PF00498	NA	PTHR44167	GO:0004672;GO:0005524;GO:0006468;GO:0005515	Coil	G3DSA:1.10.510.10;G3DSA:2.60.200.20	cd00060	NA	SSF56112;SSF49879	PS50011;PS50006	NA	NA	NA	PS00108	SM00240;SM00220	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold17-processed-gene-1.239-mRNA-1	NA	NA	IPR021133	PF08771;PF02985;PF02259;PF11865;PF00454	NA	PTHR11139:SF9;PTHR11139	GO:0044877;GO:0004674;GO:0016301;GO:0005515	Coil	G3DSA:1.20.120.150;G3DSA:1.25.10.10;G3DSA:3.30.1010.10	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1257604|Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-3371571|Reactome: R-HSA-380972|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5628897|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757|Reactome: R-HSA-8943724	SSF48371;SSF56112;SSF47212	PS50077;PS50290;PS51189	NA	NA	NA	PS00915	SM01346;SM01345	NA	NA	NA	NA	NA	NA
maker-scaffold226-snap-gene-0.5-mRNA-1	mobidb-lite	NA	IPR029063	PF02475	NA	PTHR23245:SF36;PTHR23245	GO:0009019;GO:0030488	NA	G3DSA:3.30.300.110	NA	Reactome: R-HSA-6782861	SSF53335	PS51684	NA	NA	NA	NA	NA	NA	MF_03152	NA	NA	NA	NA
maker-scaffold43-snap-gene-0.284-mRNA-1	mobidb-lite	NA	IPR011948	PF03031	NA	PTHR12210:SF29;PTHR12210	GO:0016791	NA	G3DSA:3.40.50.1000	cd07521	NA	SSF56784	PS50969	NA	NA	TIGR02251	NA	SM00577	NA	NA	NA	NA	NA	NA
maker-scaffold172-snap-gene-0.157-mRNA-1	mobidb-lite	NA	IPR001650	PF00271;PF00270	NA	PTHR24031:SF332;PTHR24031	GO:0003676;GO:0005524	NA	G3DSA:3.40.50.300	cd00079;cd00268	NA	SSF52540	PS51195;PS51194;PS51192	NA	NA	NA	PS00039	SM00490;SM00487	NA	NA	NA	NA	NA	NA
maker-scaffold17-snap-gene-0.208-mRNA-1	NA	NA	IPR029510	PF00171	NA	PTHR11699:SF198;PTHR11699	GO:0016491;GO:0055114;GO:0016620	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	SSF53720	NA	NA	NA	NA	PS00687;PS00070	NA	NA	NA	NA	NA	NA	NA
maker-scaffold174-snap-gene-0.10-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	IPR006195	PF03129;PF13393	TMhelix	PTHR11476	GO:0005737	Coil	G3DSA:3.40.50.800;G3DSA:3.30.930.10	cd00859;cd00773	KEGG: 00970+6.1.1.21	SSF55681;SSF52954	PS50862	NA	NA	NA	NA	NA	PIRSF001549	NA	SignalP-TM	SignalP-TM	NA	NA
maker-scaffold102-augustus-gene-0.222-mRNA-1	NA	NA	IPR002222	PF00203	NA	PTHR11880;PTHR11880:SF8	GO:0003735;GO:0005840;GO:0006412	NA	G3DSA:3.30.860.10	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SSF54570	NA	NA	PR00975	NA	NA	NA	PIRSF002144	MF_00531	NA	NA	NA	NA
augustus_masked-scaffold218-processed-gene-0.109-mRNA-1	mobidb-lite	NA	IPR018800	PF10253	NA	PTHR13621		NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold132-processed-gene-0.30-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR017986	PF00400;PF04003	TMhelix	PTHR19853:SF0;PTHR19853	GO:0005515	NA	G3DSA:2.130.10.10	cd00200	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	SSF50978	PS50294;PS50082	NA	PR00320	NA	PS00678	SM00320	NA	NA	NA	NA	NA	NA
snap_masked-scaffold2-processed-gene-3.42-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR019412	PF10300	TMhelix	PTHR31859;PTHR31859:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold342-processed-gene-0.2-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PF18142	TMhelix	PTHR38793:SF3;PTHR38793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold43-processed-gene-0.200-mRNA-1	mobidb-lite	NA	IPR002738	PF01876	NA	PTHR13031	GO:0004540;GO:0008033;GO:0003824	NA	G3DSA:3.20.20.140	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	SSF89550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD016938
augustus_masked-scaffold114-processed-gene-0.30-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR004203	PF02936	TMhelix	PTHR10707:SF10;PTHR10707	GO:0004129	NA	G3DSA:1.10.442.10	cd00922	NA	SSF81406	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold152-snap-gene-0.3-mRNA-1	mobidb-lite	NA	IPR000156	PF00638;PF13634	NA	PTHR38697	GO:0046907	NA	G3DSA:2.30.29.30	cd13170	NA	SSF50729	PS50196	NA	NA	NA	NA	SM00160	NA	NA	NA	NA	NA	NA
maker-scaffold59-augustus-gene-0.19-mRNA-1	mobidb-lite	NA	IPR008978	PF04969;PF04968	NA	PTHR12621;PTHR12621:SF9	NA	NA	G3DSA:2.60.40.790	cd06466	NA	SSF49764	PS51401;PS51203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold686-snap-gene-0.3-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold195-augustus-gene-0.15-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR21535;PTHR21535:SF66	NA	Coil	G3DSA:1.20.58.340	NA	NA	SSF144083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold41-processed-gene-0.292-mRNA-1	mobidb-lite	NA	IPR002320	PF00587;PF03129	NA	PTHR11451:SF40;PTHR11451	GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0000166;GO:0004812;GO:0006418	NA	G3DSA:3.40.50.800;G3DSA:3.30.930.10	cd00771	KEGG: 00970+6.1.1.3	SSF52954;SSF55681	PS50862	NA	PR01047	TIGR00418	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold83-augustus-gene-0.9-mRNA-1	mobidb-lite	NA	IPR019384	PF10257	NA	PTHR21705;PTHR21705:SF5	GO:0005515;GO:0007165	Coil	NA	NA	NA	SSF48371	PS50017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold232-augustus-gene-0.9-mRNA-1	NA	NA	IPR004160	PF03143;PF00009;PF03144	NA	PTHR23115;PTHR23115:SF228	GO:0003924;GO:0005525;GO:0003746;GO:0006414	NA	G3DSA:3.40.50.300;G3DSA:2.40.30.10	cd03705;cd01883;cd03693	Reactome: R-HSA-156842	SSF50465;SSF52540;SSF50447	PS51722	NA	PR00315	TIGR00483	PS00301	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold13-processed-gene-0.40-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR005351	PF03669	TMhelix	PTHR28038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold118-processed-gene-0.15-mRNA-1	mobidb-lite	NA	IPR036322	PF00400	NA	PTHR22850;PTHR22850:SF130	GO:0005515	NA	NA	NA	NA	SSF50978;SSF50969	PS50294;PS50082	NA	PR00320	NA	PS00678	SM00320	NA	NA	NA	NA	NA	NA
maker-scaffold72-snap-gene-0.66-mRNA-1	mobidb-lite	NA	IPR007219	PF04082;PF00172	NA	PTHR31313:SF42;PTHR31313	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	G3DSA:4.10.240.10	cd12148;cd14653;cd00067	NA	SSF57701	PS50048	NA	NA	NA	PS00463	SM00906;SM00066	NA	NA	NA	NA	NA	NA
