Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
maker-RZGP01000005.1-augustus-gene-1.112-mRNA-1	IPR036249	SSF52833	PTHR12452;PTHR12452:SF0	G3DSA:3.40.30.10	PS51354	GO:0009055;GO:0015035;GO:0045454	NA	NA	PF06110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000008.1-processed-gene-8.165-mRNA-1	IPR012334	SSF51126	PTHR31375;PTHR31375:SF6	G3DSA:2.160.20.10	NA	NA	NA	NA	PF12708	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000009.1-snap-gene-3.305-mRNA-1	IPR019835	SSF47592	PTHR13844;PTHR13844:SF7	G3DSA:1.10.245.10	NA	GO:0005515	NA	NA	PF02201	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	mobidb-lite	SM00151	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000004.1-processed-gene-17.18-mRNA-1	NA	NA	PTHR38793:SF3;PTHR38793	NA	NA	NA	NA	NA	PF18142	NA	NA	NA	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-16.9-mRNA-1	IPR000467	NA	PTHR13288	NA	PS50174	GO:0003676	NA	NA	PF01585	NA	NA	NA	NA	NA	mobidb-lite	SM00443	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-40.163-mRNA-1	IPR001680	SSF52540;SSF50978	PTHR22847;PTHR22847:SF600	G3DSA:2.130.10.10	PS50082;PS50294	GO:0005515	NA	cd00200	PF00400	PS00678	NA	NA	NA	Coil	NA	SM00320	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000006.1-processed-gene-10.40-mRNA-1	IPR007203	NA	PTHR12665;PTHR12665:SF7	NA	NA	GO:0005789;GO:0016021	NA	NA	PF04061	NA	Reactome: R-HSA-1660661	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PIRSF018147	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-15.25-mRNA-1	IPR002151	SSF48452;SSF52540	PTHR19959;PTHR19959:SF205	G3DSA:3.40.50.300;G3DSA:1.25.40.10	NA	GO:0003777;GO:0005871;GO:0043531;GO:0005515	NA	NA	PF00931;PF13424;PF13374	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-5625970|Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PR00381	NA	NA
maker-RZGP01000002.1-snap-gene-26.5-mRNA-1	IPR001752	SSF52540	PTHR24115;PTHR24115:SF105	G3DSA:3.40.850.10	PS50067	GO:0003777;GO:0005524;GO:0007018;GO:0008017	NA	cd01364	PF00225;PF13931	PS00411	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	Coil	mobidb-lite	SM00129	NA	NA	NA	NA	NA	PR00380	NA	NA
snap_masked-RZGP01000008.1-processed-gene-47.17-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA
maker-RZGP01000002.1-snap-gene-60.145-mRNA-1	IPR036420	SSF52113	PTHR13561;PTHR13561:SF36	G3DSA:3.40.50.10190	PS50172	NA	NA	cd00027	PF16770;PF00533;PF12738	NA	NA	NA	NA	NA	mobidb-lite	SM00292	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-18.37-mRNA-1	IPR015257	NA	PTHR22504;PTHR22504:SF0	G3DSA:3.40.1000.50	NA	GO:0016480	NA	NA	PF09174	NA	Reactome: R-HSA-8943724	NA	NA	NA	mobidb-lite	NA	NA	NA	PIRSF037240	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-23.34-mRNA-1	IPR008942	SSF48464	PTHR12276:SF45;PTHR12276	G3DSA:1.25.40.90	PS50942	NA	NA	cd03571	PF01417	NA	NA	NA	NA	Coil	mobidb-lite	SM00273	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-augustus-gene-50.147-mRNA-1	IPR001901	SSF103456	PTHR12309:SF20;PTHR12309	G3DSA:1.20.5.820	NA	GO:0006605;GO:0006886;GO:0016020;GO:0015031;GO:0015450	NA	NA	PF00584	PS01067	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	TIGR00327	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	MF_00422	NA
snap_masked-RZGP01000005.1-processed-gene-19.9-mRNA-1	IPR008011	NA	NA	NA	NA	NA	NA	NA	PF05347	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-31.204-mRNA-1	IPR002509	SSF88713	PTHR10587	G3DSA:3.20.20.370	PS51677	GO:0005975;GO:0016810;GO:0003824	NA	cd10958	PF01522	NA	NA	NA	NA	Coil	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000008.1-processed-gene-43.111-mRNA-1	IPR011032	SSF50129;SSF51735	PTHR45033:SF2;PTHR45033	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	GO:0016491;GO:0055114	NA	cd08276	PF08240;PF00107	NA	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-37.83-mRNA-1	IPR002204	SSF48179;SSF51735	PTHR22981;PTHR22981:SF7	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	NA	GO:0016491;GO:0055114;GO:0051287;GO:0050661;GO:0008442	NA	NA	PF14833;PF03446	PS00895	Reactome: R-HSA-70895	NA	TIGR01692	NA	NA	NA	NA	NA	PIRSF000103	NA	NA	NA	NA	NA
snap_masked-RZGP01000011.1-processed-gene-1.49-mRNA-1	IPR013875	NA	PTHR28021	NA	NA	NA	NA	NA	PF08566	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-42.12-mRNA-1	IPR019510	NA	PTHR13360	G3DSA:3.90.1140.10	NA		NA	NA	PF10469	NA	Reactome: R-HSA-112126	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-73.32-mRNA-1	IPR010730	NA	PTHR10622:SF10;PTHR10622	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-16.7-mRNA-1	IPR007219	NA	PTHR31944;PTHR31944:SF32	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	cd12148	PF04082	NA	NA	NA	NA	Coil	mobidb-lite	SM00906	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000004.1-processed-gene-4.193-mRNA-1	IPR011009	SSF56112	PTHR21310:SF13;PTHR21310	NA	NA	NA	NA	NA	PF01636	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000001.1-processed-gene-12.108-mRNA-1	IPR020683	SSF48403	PTHR43928	G3DSA:1.25.40.20	PS50297;PS50088	GO:0005515	NA	cd00204	PF12796	NA	NA	NA	NA	NA	NA	SM00248	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-9.7-mRNA-1	IPR036864	SSF57701	PTHR45582	G3DSA:4.10.240.10	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	cd12148;cd00067	PF00172;PF04082	NA	NA	NA	NA	Coil	mobidb-lite	SM00066;SM00906	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-29.160-mRNA-1	IPR036188	SSF51905	PTHR13789;PTHR13789:SF174	G3DSA:3.50.50.60	NA	GO:0071949	NA	NA	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00420	NA	NA
maker-RZGP01000003.1-snap-gene-4.10-mRNA-1	IPR001985	SSF56276	PTHR11570:SF0;PTHR11570	G3DSA:3.60.90.10	NA	GO:0004014;GO:0006597;GO:0008295	NA	NA	PF01536	NA	KEGG: 00270+4.1.1.50|KEGG: 00330+4.1.1.50|MetaCyc: PWY-6834|Reactome: R-HSA-351202	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-73.42-mRNA-1	IPR005197	NA	PTHR43173:SF10;PTHR43173	G3DSA:3.20.20.80	NA	GO:0016787	NA	cd11577	PF03659	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000002.1-snap-gene-15.175-mRNA-1	NA	NA	PTHR21535;PTHR21535:SF85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-4.166-mRNA-1	NA	NA	PTHR35043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-50.85-mRNA-1	NA	NA	PTHR38111:SF1;PTHR38111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-39.19-mRNA-1	NA	NA	PTHR33048:SF2;PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-13.188-mRNA-1	IPR000222	SSF81606	PTHR13832;PTHR13832:SF503	NA	PS51746	GO:0043169;GO:0004722;GO:0006470;GO:0003824	NA	cd00143	PF00481	PS01032	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	SM00332	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-13.197-mRNA-1	IPR014105	SSF51905	PTHR43734;PTHR43734:SF1	G3DSA:3.50.50.60	NA	GO:0016117;GO:0055114;GO:0016491	NA	NA	PF01593	PS00982	NA	NA	TIGR02734	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00419	NA	NA
maker-RZGP01000009.1-snap-gene-3.302-mRNA-1	IPR001260	SSF102886	PTHR10755;PTHR10755:SF0	G3DSA:3.40.1500.10	NA	GO:0004109;GO:0006779;GO:0055114	NA	NA	PF01218	NA	KEGG: 00860+1.3.3.3|MetaCyc: PWY-7159|Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	PR00073	NA	NA
maker-RZGP01000005.1-snap-gene-43.31-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-21.212-mRNA-1	IPR014031	SSF52151;SSF53901;SSF56214;SSF51735	PTHR10982	G3DSA:3.90.25.70;G3DSA:3.90.470.20;G3DSA:3.40.47.10	PS50075	GO:0000287;GO:0006633;GO:0008897;GO:0003824;GO:0004312;GO:0042759	NA	cd00828;cd08950	PF02801;PF18325;PF18314;PF00109;PF01648	PS00606	KEGG: 00770+2.7.8.7|MetaCyc: PWY-6012|MetaCyc: PWY-6012-1|MetaCyc: PWY-6289	NA	TIGR00556	Coil	mobidb-lite	NA	NA	NA	PIRSF000454	NA	NA	NA	MF_00101	PD004282
maker-RZGP01000003.1-snap-gene-45.43-mRNA-1	IPR001227	SSF47336;SSF52151;SSF55048;SSF50129;SSF51735;SSF53901;SSF53335	PTHR43775;PTHR43775:SF10	G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:3.40.50.720;G3DSA:3.10.129.110;G3DSA:3.90.180.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.150	PS50075	GO:0016740;GO:0016491;GO:0003824;GO:0031177;GO:0055114	NA	cd00833;cd05195;cd02440	PF14765;PF00550;PF16197;PF08242;PF02801;PF13602;PF00109;PF00698;PF08240;PF08659	PS00012;PS00606	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	mobidb-lite	SM00827;SM00829;SM00822;SM00826;SM00825;SM00823	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-19.132-mRNA-1	IPR029184	NA	PTHR38422	NA	NA	GO:0016573;GO:0033255	NA	NA	PF15460	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000011.1-processed-gene-6.62-mRNA-1	IPR036396	SSF48264	PTHR24305:SF46;PTHR24305	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	PR00385;PR00463	NA	NA
maker-RZGP01000007.1-augustus-gene-31.211-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-27.79-mRNA-1	IPR006634	NA	PTHR13439;PTHR13439:SF0	NA	PS50922	GO:0016021	NA	NA	PF03798	NA	NA	NA	NA	NA	NA	SM00724	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-23.155-mRNA-1	IPR003593	SSF52540	PTHR43788;PTHR43788:SF2	G3DSA:3.40.50.300;G3DSA:2.40.30.270	NA	GO:0003677;GO:0005524	NA	cd00046	PF13087;PF13086	NA	NA	NA	TIGR00376	Coil	mobidb-lite	SM00382;SM00487	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000001.1-processed-gene-7.80-mRNA-1	IPR003737	SSF102588	PTHR12993:SF11;PTHR12993	G3DSA:3.40.50.10320	NA	GO:0000225;GO:0006506	NA	NA	PF02585	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-28.110-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-43.6-mRNA-1	IPR011387	SSF82171	PTHR13227	G3DSA:2.130.10.10	NA	GO:0003743;GO:0006413;GO:0005515	NA	NA	PF08662	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	PIRSF017222	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-61.14-mRNA-1	IPR014016	SSF52540	PTHR11070:SF7;PTHR11070	G3DSA:3.40.50.300;G3DSA:1.10.10.160;G3DSA:1.10.486.10	PS51198;PS51217	GO:0005524;GO:0016787;GO:0003677;GO:0004003	NA	NA	PF00580;PF13361	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-35.130-mRNA-1	IPR025261	NA	PTHR13199;PTHR13199:SF11	NA	NA	NA	NA	NA	PF13889;PF13915	NA	NA	NA	NA	NA	mobidb-lite	SM01177	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-16.9-mRNA-1	IPR036259	SSF103473	PTHR43702;PTHR43702:SF6	G3DSA:1.20.1250.20	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-38.42-mRNA-1	IPR000719	SSF56112	PTHR11909;PTHR11909:SF7	G3DSA:1.10.510.10	PS50011	GO:0004672;GO:0005524;GO:0006468	NA	cd14019	PF00069	PS00108	NA	NA	NA	NA	mobidb-lite	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-1.75-mRNA-1	IPR036962	SSF51445;SSF52279	PTHR42721:SF3;PTHR42721	G3DSA:3.20.20.300;G3DSA:3.40.50.1700	NA	GO:0004553;GO:0005975	NA	NA	PF01915;PF00933	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-64.87-mRNA-1	IPR009081	SSF53901;SSF55048;SSF53335;SSF52151;SSF50129;SSF51735;SSF47336	PTHR43775:SF10;PTHR43775	G3DSA:3.10.129.110;G3DSA:3.30.70.3290;G3DSA:1.10.1200.10;G3DSA:3.40.366.10;G3DSA:3.90.180.10;G3DSA:3.40.47.10;G3DSA:3.40.50.150;G3DSA:3.40.50.720;G3DSA:3.30.70.250	PS50075	GO:0003824;GO:0016491;GO:0016740;GO:0031177	NA	cd02440;cd00833;cd05195	PF00550;PF00109;PF14765;PF00698;PF02801;PF16197;PF13602;PF08659;PF08242	PS00012	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	mobidb-lite	SM00825;SM00822;SM00829;SM00826;SM00823;SM00827	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-15.7-mRNA-1	IPR029063	SSF53335	PTHR14614;PTHR14614:SF63	G3DSA:3.40.50.150	NA	NA	NA	NA	PF10294	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	MF_03198	NA
augustus_masked-RZGP01000006.1-processed-gene-19.5-mRNA-1	IPR036629	SSF69047	PTHR40460	NA	NA	NA	NA	NA	PF05532	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-13.192-mRNA-1	IPR010301	NA	PTHR13026:SF0;PTHR13026	NA	NA	GO:0006364;GO:0030688	NA	NA	PF05997	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000006.1-processed-gene-24.27-mRNA-1	IPR036396	SSF48264	PTHR24287;PTHR24287:SF5	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	PS00086	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00463;PR00385	NA	NA
maker-RZGP01000005.1-snap-gene-8.117-mRNA-1	IPR020683	SSF48403	PTHR42652;PTHR42652:SF2	G3DSA:1.25.40.20	PS50088;PS50297	GO:0005515	NA	cd00204	PF12796;PF13637	NA	NA	NA	NA	NA	mobidb-lite	SM00248	NA	NA	NA	NA	NA	PR01415	NA	NA
maker-RZGP01000005.1-snap-gene-27.167-mRNA-1	IPR027417	SSF52540	PTHR11825;PTHR11825:SF40	G3DSA:3.40.50.300	NA	NA	NA	NA	PF13469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-24.11-mRNA-1	IPR000890	SSF53067	PTHR21060:SF15;PTHR21060	G3DSA:3.30.420.40	NA	GO:0005622;GO:0016301;GO:0016310;GO:0016774;GO:0006082	NA	NA	PF00871	PS01075;PS01076	KEGG: 00430+2.7.2.1|KEGG: 00620+2.7.2.1|KEGG: 00640+2.7.2.1|KEGG: 00680+2.7.2.1|KEGG: 00720+2.7.2.1|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-8015	NA	TIGR00016	NA	NA	NA	NA	NA	PIRSF000722	NA	NA	PR00471	MF_00020	NA
maker-RZGP01000008.1-snap-gene-19.190-mRNA-1	IPR011009	SSF56112	PTHR22971;PTHR22971:SF0	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	GO:0004672;GO:0005524;GO:0006468	NA	cd00130;cd14004	PF00069	PS00108	NA	NA	NA	NA	mobidb-lite	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-47.14-mRNA-1	IPR023210	SSF51430	PTHR43625:SF21;PTHR43625	G3DSA:3.20.20.100	NA	GO:0016491;GO:0055114	NA	cd06660	PF00248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00069	NA	NA
maker-RZGP01000001.1-snap-gene-5.144-mRNA-1	IPR014001	SSF52540;SSF57850	PTHR10799;PTHR10799:SF779	G3DSA:1.20.120.850;G3DSA:3.40.50.300;G3DSA:3.40.50.10810;G3DSA:3.30.40.10	PS51192;PS51194;PS50089	GO:0003676;GO:0008270;GO:0016818;GO:0005524	NA	cd00046;cd00079;cd16572	PF00271;PF00176;PF08797	NA	Reactome: R-HSA-8866654	NA	NA	NA	mobidb-lite	SM00490;SM00910;SM00487	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-16.16-mRNA-1	IPR036028	SSF50044;SSF50729;SSF47769	PTHR12844	G3DSA:2.30.30.40;G3DSA:1.10.150.50	PS50002;PS50105;PS50003	GO:0005515	NA	cd13316;cd09535	PF07647;PF00169;PF00018	NA	NA	NA	NA	NA	mobidb-lite	SM00233;SM00454;SM00326	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-32.2-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-73.2-mRNA-1	IPR013320	SSF49899	PTHR34002	G3DSA:2.60.120.180	NA	GO:0004553;GO:0000272;GO:0008810	NA	NA	PF01670	NA	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000004.1-processed-gene-8.95-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-29.175-mRNA-1	NA	NA	PTHR42078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-13.130-mRNA-1	IPR027417	SSF52540	PTHR22942:SF24;PTHR22942	G3DSA:3.40.50.300	PS50162	GO:0003677;GO:0005524;GO:0006281;GO:0008094	NA	NA	PF08423	NA	Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-51.2-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA
