Gene	interpro	SMART	CDD	SUPERFAMILY	Pfam	GO	ProSiteProfiles	MobiDBLite	Coils	PANTHER	ProSitePatterns	Gene3D	PATHWAY	TIGRFAM	PRINTS	TMHMM	Phobius	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	Hamap	ProDom
KOS19140.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19308.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR40978:SF2;PTHR40978	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
KOS19604.1	IPR001841	SM00184	cd16527	SSF57850	PF13639;PF04757	GO:0005515;GO:0005779;GO:0007031;GO:0008270;GO:0016558	PS50089	mobidb-lite	NA	PTHR23350:SF0;PTHR23350	PS00518	G3DSA:3.30.40.10	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS21931.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	PTHR22952;PTHR22952:SF344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22313.1	IPR027417	SM00175;SM00173;SM00176;SM00174	cd01869	SSF52540	PF00071	GO:0003924;GO:0005525	PS51419	mobidb-lite	NA	PTHR24073:SF465;PTHR24073	NA	G3DSA:3.40.50.300	NA	TIGR00231	PR00449	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20766.1	IPR011059	NA	cd01309	SSF51556;SSF51338	PF07969	GO:0016810	NA	NA	NA	PTHR43668;PTHR43668:SF3	NA	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17152.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21355.1	IPR000195	SM00164	NA	SSF47923	PF00566	NA	PS50086	mobidb-lite	NA	PTHR22957;PTHR22957:SF34	NA	G3DSA:1.10.8.270;G3DSA:1.10.472.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22928.1	IPR036249	NA	cd02947	SSF52833	PF00085	GO:0006662;GO:0015035;GO:0045454	PS51352	NA	NA	PTHR10438;PTHR10438:SF360	PS00194	G3DSA:3.40.30.10	NA	TIGR01068	PR00421	NA	NA	PIRSF000077	NA	NA	NA	NA	NA	NA
KOS16994.1	IPR028565	NA	cd09250	SSF49447;SSF64356	PF01217;PF00928	GO:0006886;GO:0016192;GO:0030131	PS51072	NA	NA	PTHR10529;PTHR10529:SF262	PS00990;PS00991	G3DSA:3.30.450.60;G3DSA:2.60.40.1170	NA	NA	PR00314	NA	NA	PIRSF005992	NA	NA	NA	NA	NA	NA
KOS20850.1	IPR007219	SM00906	cd12148	NA	PF04082	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	mobidb-lite	NA	PTHR31001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17226.1	IPR011035	NA	NA	SSF50715;SSF52374	PF03950;PF00749	GO:0006412;GO:0000166;GO:0004812;GO:0005524;GO:0005737;GO:0006418;GO:0004818;GO:0006424;GO:0043039	NA	NA	NA	PTHR43097:SF5;PTHR43097	PS00178	G3DSA:2.40.240.10;G3DSA:1.20.1050.10;G3DSA:3.40.50.620	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	TIGR00463	PR00987	NA	NA	NA	NA	NA	NA	NA	MF_02076	NA
KOS20711.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20913.1	IPR039754	NA	NA	NA	PF08159	GO:0006364;GO:0005634	NA	mobidb-lite	Coil	PTHR12202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18424.1	IPR020892	NA	cd01926	SSF50891	PF00160	GO:0003755;GO:0006457;GO:0000413	PS50072	NA	NA	PTHR11071:SF247;PTHR11071	PS00170	G3DSA:2.40.100.10	NA	NA	PR00153	NA	NA	PIRSF001467	NA	NA	NA	NA	NA	NA
KOS19000.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16617.1	IPR004307	NA	cd15904	NA	PF03073	GO:0016021	NA	NA	NA	PTHR10057;PTHR10057:SF0	NA	G3DSA:1.20.1260.100	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION	PIRSF005859	NA	NA	NA	NA	NA	NA
KOS21309.1	IPR013260	NA	NA	NA	PF08231		NA	mobidb-lite	Coil	PTHR13264	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20804.1	IPR013859	NA	NA	NA	PF08549	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21328.1	IPR000192	NA	NA	SSF53383	PF00266	GO:0003824;GO:0004648;GO:0006564	NA	NA	NA	PTHR43247;PTHR43247:SF1	NA	G3DSA:3.90.1150.10	KEGG: 00260+2.6.1.52|KEGG: 00680+2.6.1.52|KEGG: 00750+2.6.1.52|MetaCyc: PWY-8010|Reactome: R-HSA-977347	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00160	NA
KOS20112.1	IPR024146	NA	NA	SSF101447	PF09444		NA	mobidb-lite	Coil	PTHR14396	NA	NA	Reactome: R-HSA-111465|Reactome: R-HSA-176187|Reactome: R-HSA-5689880|Reactome: R-HSA-5693607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20849.1	IPR036047	NA	NA	SSF81383	NA	GO:0005515	PS50181	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20465.1	IPR032675	NA	NA	SSF52047	NA	NA	NA	mobidb-lite	Coil	PTHR24106:SF232;PTHR24106	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21568.1	IPR011545	SM00487;SM00490	cd00079;cd00268	SSF52540	PF00270;PF00271	GO:0003676;GO:0005524	PS51192;PS51195;PS51194	mobidb-lite	NA	PTHR24031;PTHR24031:SF331	PS00039	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23313.1	IPR018620	NA	NA	NA	PF09792	NA	NA	NA	NA	PTHR39613	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS18229.1	IPR007886	SM01003;SM01002	cd12188	SSF52283;SSF51735	PF05222	GO:0004754;GO:0009085	NA	NA	NA	PTHR11133;PTHR11133:SF15	NA	G3DSA:3.40.50.720	KEGG: 00300+1.5.1.7|KEGG: 00310+1.5.1.7	NA	NA	NA	NA	PIRSF018250	NA	NA	NA	NA	NA	NA
KOS22723.1	IPR007216	NA	NA	SSF81995;SSF48371	PF04078	GO:0006402;GO:0030014	NA	mobidb-lite	NA	PTHR12262:SF0;PTHR12262	NA	G3DSA:1.25.10.10	Reactome: R-HSA-429947|Reactome: R-HSA-5617472|Reactome: R-HSA-6804115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21751.1	IPR000426	SM00948	cd03752	SSF56235	PF00227;PF10584	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603	PS51475	NA	NA	PTHR11599;PTHR11599:SF13	PS00388;PS00854	G3DSA:3.60.20.10	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20921.1	IPR010754	NA	NA	NA	PF07047	NA	NA	mobidb-lite	Coil	PTHR12499:SF0;PTHR12499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16791.1	IPR014786	SM01013;SM00182	NA	SSF75632;SSF46785	PF08672;PF00888	GO:0006511;GO:0031625	PS50069	mobidb-lite	NA	PTHR11932;PTHR11932:SF5	NA	G3DSA:1.10.10.10;G3DSA:1.10.10.2620	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS23066.1	IPR000571	NA	NA	SSF90229	PF18044	GO:0046872	PS50103	mobidb-lite	Coil	PTHR24330:SF10;PTHR24330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22012.1	IPR036424	NA	NA	SSF64005	PF01255	GO:0016765;GO:0001525;GO:0019408;GO:1904423	NA	NA	NA	PTHR21528	NA	G3DSA:3.40.1180.10	Reactome: R-HSA-446199	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS20800.1	IPR004254	NA	NA	NA	PF03006	GO:0016021	NA	NA	Coil	PTHR20855:SF15;PTHR20855	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS19629.1	IPR037034	NA	cd00653	SSF64484	PF04563;PF00562;PF04561;PF06883;PF04560;PF04565	GO:0003677;GO:0003899;GO:0006351;GO:0032549;GO:0005634	NA	NA	NA	PTHR20856:SF5;PTHR20856	PS01166	G3DSA:3.90.1110.10;G3DSA:2.40.270.10;G3DSA:2.40.50.150;G3DSA:3.90.1800.10;G3DSA:3.90.1070.20	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20925.1	IPR017877	NA	NA	NA	NA	NA	PS50090	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20862.1	IPR016135	SM00212	cd00195	SSF54495	PF00179		PS50127	NA	NA	PTHR43902:SF4;PTHR43902	PS00183	G3DSA:3.10.110.10	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19826.1	IPR007219	NA	NA	NA	PF04082	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	mobidb-lite	NA	PTHR40626:SF4;PTHR40626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18655.1	IPR036915	SM01332;SM00385	cd00043	SSF47954;SSF81995	PF00134;PF02984	GO:0005634	NA	mobidb-lite	NA	PTHR10177;PTHR10177:SF348	PS00292	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21055.1	IPR004879	NA	cd02955	SSF52833;SSF48208	PF03190	GO:0003824	NA	mobidb-lite	NA	PTHR42899	NA	G3DSA:3.40.30.10;G3DSA:1.50.10.20	NA	NA	NA	NA	NA	PIRSF006402	NA	NA	NA	NA	NA	NA
KOS22544.1	IPR001412	NA	NA	SSF52374;SSF50715	PF03950;PF00749	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0005737;GO:0004819;GO:0006425;GO:0006412;GO:0043039	NA	mobidb-lite	Coil	PTHR43097:SF4;PTHR43097	PS00178	G3DSA:2.40.240.10;G3DSA:3.40.50.620	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	TIGR00440	PR00987	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21782.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	PTHR37542:SF2;PTHR37542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19653.1	IPR020565	NA	cd07914	SSF54211	PF00475	GO:0000105;GO:0004424	NA	NA	NA	PTHR23133;PTHR23133:SF2	PS00955;PS00954	G3DSA:3.30.230.40	KEGG: 00340+4.2.1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00076	NA
KOS18121.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18548.1	IPR036866	NA	cd16273	SSF56281	PF07522	NA	NA	mobidb-lite	NA	PTHR23240;PTHR23240:SF6	NA	G3DSA:3.60.15.10;G3DSA:3.40.50.12650	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS22875.1	IPR005062	NA	NA	NA	PF03399	NA	NA	mobidb-lite	NA	PTHR12436:SF4;PTHR12436	NA	G3DSA:1.25.40.990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19077.1	IPR013155	NA	cd07960	SSF52374;SSF50677;SSF47323	PF08264;PF00133	GO:0004812;GO:0006418;GO:0000166;GO:0004822;GO:0005524;GO:0006428;GO:0002161;GO:0000049	NA	NA	NA	PTHR42765;PTHR42765:SF1	NA	G3DSA:1.10.730.20;G3DSA:3.40.50.620;G3DSA:3.90.740.10	KEGG: 00970+6.1.1.5	TIGR00392	PR00984	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21191.1	IPR000509	NA	NA	NA	PF01158	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	PTHR10114:SF0;PTHR10114	PS01190	G3DSA:1.10.10.1760	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20188.1	IPR029055	NA	cd03760	SSF56235	PF00227	GO:0004298;GO:0004175;GO:0005839;GO:0051603	PS51476	NA	NA	PTHR11599:SF5;PTHR11599	PS00854	G3DSA:3.60.20.10	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	PIRSF001213	NA	NA	NA	NA	NA	NA
KOS23231.1	IPR011613	SM01065	cd05811	SSF48208;SSF49452	PF00723;PF00686	GO:0004339;GO:0005976;GO:2001070;GO:0003824;GO:0000272;GO:0030246	PS51166	NA	NA	PTHR31616:SF7;PTHR31616	PS00820	G3DSA:2.60.40.10;G3DSA:1.50.10.10	Reactome: R-HSA-70221	NA	PR00736	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PIRSF001031	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
KOS22488.1	IPR028133	NA	NA	NA	PF04912	GO:0005869;GO:0007017	NA	mobidb-lite	Coil	PTHR15346	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17743.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21832.1	IPR001406	NA	cd02569	SSF55120	PF01416	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	mobidb-lite	Coil	PTHR11142:SF5;PTHR11142	NA	G3DSA:3.30.70.660;G3DSA:3.30.70.580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00171	NA
KOS17845.1	IPR027417	SM00382	cd00009	SSF52540	PF07728;PF17865;PF17867	GO:0005524;GO:0016887	NA	NA	NA	PTHR22908:SF66;PTHR22908	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18442.1	IPR006880	SM01406	NA	NA	PF04795	GO:0031011;GO:0006338	NA	mobidb-lite	Coil	PTHR21561:SF12;PTHR21561	NA	NA	Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18957.1	IPR012501	NA	NA	NA	PF07928	GO:0042147;GO:0000938	NA	mobidb-lite	Coil	PTHR12965	NA	NA	Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20131.1	IPR001915	NA	cd07331	NA	PF01435	GO:0004222;GO:0006508	NA	NA	NA	PTHR22726	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS19669.1	IPR032259	NA	cd06558	SSF52096	PF16113	GO:0003860;GO:0003824	NA	NA	NA	PTHR43176:SF3;PTHR43176	PS00166	G3DSA:3.90.226.10	Reactome: R-HSA-70895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17884.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	PTHR13367:SF18;PTHR13367	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS19964.1	IPR004000	SM00268	NA	SSF53067	PF00022	GO:0005634;GO:0006338	NA	NA	NA	PTHR11937;PTHR11937:SF47	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18388.1	IPR000086	NA	cd02883	SSF55811	PF00293	GO:0016787	PS51462	mobidb-lite	NA	PTHR12318	NA	NA	Reactome: R-HSA-390918|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22613.1	IPR025887	NA	cd06593;cd14752	SSF51445;SSF51011;SSF74650	PF13802;PF01055	GO:0003824;GO:0005975;GO:0030246;GO:0004553	NA	NA	NA	PTHR43053;PTHR43053:SF2	NA	G3DSA:2.60.40.1760;G3DSA:3.20.20.80;G3DSA:2.60.40.1180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19033.1	IPR003333	NA	cd02440	SSF53335	PF02353	GO:0008610	NA	NA	NA	PTHR45197	NA	G3DSA:3.40.50.150	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PIRSF003085	NA	NA	NA	NA	NA	NA
KOS17684.1	IPR001841	SM00647;SM00184	cd16625	SSF57850	PF01485;PF00097	GO:0046872;GO:0004842;GO:0016567	PS50089	mobidb-lite	Coil	PTHR11685:SF204;PTHR11685	PS00518	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18829.1	IPR040357	NA	NA	NA	NA	GO:0070072	NA	mobidb-lite	Coil	PTHR31996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21826.1	IPR000719	SM00220	cd14135	SSF56112	PF00069	GO:0004672;GO:0005524;GO:0006468	PS50011	mobidb-lite	NA	PTHR24056;PTHR24056:SF45	PS00108;PS00107	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18015.1	IPR013714	NA	NA	NA	PF08507	NA	NA	NA	NA	PTHR28128	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18823.1	IPR001650	SM00490;SM00487	cd00079;cd00268	SSF52540	PF00271;PF00270	GO:0003676;GO:0005524;GO:0003743;GO:0004004	PS51194;PS51195;PS51192	NA	NA	PTHR24031;PTHR24031:SF226	PS00039	G3DSA:3.40.50.300	Reactome: R-HSA-1169408|Reactome: R-HSA-156827|Reactome: R-HSA-429947|Reactome: R-HSA-72649|Reactome: R-HSA-72662|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22611.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20690.1	IPR012340	SM00658	NA	SSF50249	PF03870	GO:0006351	NA	NA	NA	PTHR10917:SF0;PTHR10917	NA	G3DSA:2.40.50.140	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-452723|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	PIRSF000779	NA	NA	NA	NA	NA	NA
KOS22623.1	IPR010487	NA	NA	NA	PF06413	NA	NA	mobidb-lite	Coil	PTHR13475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18698.1	IPR027417	NA	NA	SSF52540	PF03029	NA	NA	mobidb-lite	Coil	PTHR21231;PTHR21231:SF7	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18785.1	IPR001680	SM00320	NA	SSF50978	NA	GO:0005515	PS50082;PS50294	mobidb-lite	NA	PTHR22847	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
