Gene	MobiDBLite	Coils	PANTHER	interpro	GO	Pfam	Gene3D	TMHMM	Phobius	ProSiteProfiles	SMART	ProSitePatterns	SUPERFAMILY	CDD	PATHWAY	SignalP_EUK	SignalP_GRAM_POSITIVE	PRINTS	TIGRFAM	PIRSF	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
maker-NQYS01000002.1-augustus-gene-36.17-mRNA-1	NA	NA	PTHR12143:SF36;PTHR12143	IPR014718	GO:0030246;GO:0003824	PF17678;PF07971	G3DSA:2.70.98.10;G3DSA:1.20.1050.60;G3DSA:1.20.1610.10;G3DSA:3.30.2080.10	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF48208	NA	NA	SignalP-noTM	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000008.1-processed-gene-3.19-mRNA-1	mobidb-lite	NA	PTHR12935;PTHR12935:SF9	IPR013024	GO:0003839	PF06094	NA	NA	NA	NA	NA	NA	SSF110857	cd06661	KEGG: 00480+4.3.2.9|MetaCyc: PWY-4041|Reactome: R-HSA-174403	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-16.30-mRNA-1	mobidb-lite	Coil	PTHR19862	IPR019775	GO:0005515	PF11816;PF00400	G3DSA:2.130.10.10	NA	NA	PS50082;PS50294	SM00320	PS00678	SSF50978	cd00200	Reactome: R-HSA-110314|Reactome: R-HSA-5689880|Reactome: R-HSA-6783310	NA	NA	PR00320	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-54.11-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-9.47-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-28.2-mRNA-1	mobidb-lite	NA	PTHR43173:SF2;PTHR43173	IPR011009	NA	PF03109	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF56112	cd13969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-29.32-mRNA-1	mobidb-lite	NA	PTHR44047;PTHR44047:SF1	IPR035979	GO:0003676;GO:0003723;GO:0005634;GO:0006397	PF00076;PF15519	G3DSA:3.30.70.330	NA	NA	PS50102	SM00360	NA	SSF54928	cd12284;cd12283;cd12285	NA	NA	NA	NA	TIGR01622	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-3.16-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-57.15-mRNA-1	mobidb-lite	NA	PTHR31145:SF2;PTHR31145	IPR032800	NA	PF06011;PF14558	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	SM01320	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-24.28-mRNA-1	mobidb-lite	NA	PTHR31633	IPR040309	GO:0000493;GO:0003723;GO:0005732;GO:0042254;GO:0001522	PF04410	G3DSA:2.40.10.230	NA	NA	NA	NA	NA	SSF50447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-2.4-mRNA-1	mobidb-lite	NA	PTHR17614:SF1;PTHR17614	IPR036236	GO:0003676	PF12171	NA	NA	NA	PS50157	NA	PS00028	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-22.28-mRNA-1	mobidb-lite	Coil	PTHR31913;PTHR31913:SF0	IPR040458	NA	PF17748;PF17747;PF08553	NA	NA	NA	NA	NA	NA	SSF50969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-24.13-mRNA-1	mobidb-lite	Coil	PTHR11361:SF122;PTHR11361	IPR000432	GO:0005524;GO:0006298;GO:0030983	PF00488;PF01624;PF05192;PF05188	G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10;G3DSA:3.30.420.110	NA	NA	NA	SM00533;SM00534	PS00486	SSF52540;SSF48334;SSF55271	NA	Reactome: R-HSA-5632928	NA	NA	NA	NA	PIRSF037677	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-1.30-mRNA-1	mobidb-lite	Coil	PTHR13140:SF684;PTHR13140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-8.9-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-8.48-mRNA-1	mobidb-lite	NA	PTHR12300:SF40;PTHR12300	IPR004345		PF03134	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Reactome: R-HSA-381753	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-14.31-mRNA-1	mobidb-lite	Coil	PTHR13270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-12.6-mRNA-1	mobidb-lite	Coil	PTHR11566;PTHR11566:SF21	IPR001401	GO:0003924;GO:0005525	PF01031;PF00350;PF02212	G3DSA:3.40.50.300;G3DSA:1.20.120.1240	NA	NA	PS51718;PS51388	SM00053;SM00302	PS00410	SSF52540	cd08771	NA	NA	NA	PR00195	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-63.12-mRNA-1	NA	NA	PTHR42821;PTHR42821:SF1	IPR020835	GO:0020037;GO:0055114;GO:0004096;GO:0006979	PF01965;PF00199;PF06628	G3DSA:1.20.1370.20;G3DSA:2.40.180.10;G3DSA:3.40.50.880	NA	NA	PS51402	SM01060	PS00437;PS00438	SSF56634;SSF52317	cd03132	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241	NA	NA	PR00067	NA	PIRSF038927	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-11.8-mRNA-1	NA	NA	PTHR31356;PTHR31356:SF4	IPR002889	GO:0071821;GO:0004601;GO:0006979;GO:0020037;GO:0055114;GO:0046982	PF01822;PF15630;PF00141	G3DSA:1.10.520.10;G3DSA:1.10.420.10;G3DSA:1.10.20.10	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PS50873;PS51212	SM00321	NA	SSF48113;SSF47113	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-6783310|Reactome: R-HSA-68877	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-31.35-mRNA-1	mobidb-lite	Coil	PTHR12983	IPR039739	GO:0046872	PF00097	G3DSA:3.30.40.10	NA	NA	PS50089	SM00184	PS00518	SSF57850	cd16536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-11.31-mRNA-1	mobidb-lite	NA	PTHR19305:SF9;PTHR19305	IPR000727	NA	NA	G3DSA:1.20.5.110	NA	NA	PS50192	SM00397	NA	SSF58038	cd15857;cd15886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-32.41-mRNA-1	mobidb-lite	NA	PTHR22942;PTHR22942:SF39	IPR033925	GO:0003677;GO:0005524;GO:0006259;GO:0008094;GO:0006281;GO:0000166;GO:0000150;GO:0000724;GO:0003690;GO:0003697;GO:1990426	PF08423;PF14520	G3DSA:1.10.150.20;G3DSA:3.40.50.300	NA	NA	PS50163;PS50162	SM00382	NA	SSF52540;SSF47794	cd01123	Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579	NA	NA	NA	TIGR02239	PIRSF005856	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-35.7-mRNA-1	mobidb-lite	Coil	PTHR10856:SF0;PTHR10856	IPR015048	GO:0005515	PF00400;PF16300;PF08953	G3DSA:2.130.10.10	NA	NA	PS50082;PS50294	SM01167;SM01166;SM00320	PS00678	SSF50978	NA	NA	NA	NA	PR00320	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-25.12-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-1.27-mRNA-1	NA	NA	PTHR11010:SF23;PTHR11010	IPR029058	GO:0006508;GO:0008236	PF05577	G3DSA:3.40.50.1820	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SSF53474	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-5.34-mRNA-1	mobidb-lite	NA	PTHR37846	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-33.31-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-37.22-mRNA-1	mobidb-lite	Coil	PTHR43016;PTHR43016:SF5	IPR011249	GO:0003824;GO:0046872	PF05193;PF00675	G3DSA:3.30.830.10	NA	NA	NA	NA	NA	SSF63411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-34.41-mRNA-1	mobidb-lite	NA	PTHR13581	IPR012423	GO:0005634;GO:0006355;GO:0043189	PF07904	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-3214847	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-32.9-mRNA-1	mobidb-lite	Coil	PTHR12707	IPR039853	NA	PF04696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-63.14-mRNA-1	NA	NA	PTHR23023:SF62;PTHR23023	IPR036188	GO:0016491;GO:0055114	PF07992	G3DSA:3.50.50.60	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF51905	NA	NA	SignalP-noTM	NA	PR00469	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-5.29-mRNA-1	NA	NA	PTHR31465:SF9;PTHR31465	IPR007568	GO:0016021	PF04479	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-22.16-mRNA-1	mobidb-lite	NA	PTHR12069	IPR006886	GO:0003899;GO:0005634;GO:0006351	PF04801	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-21.54-mRNA-1	mobidb-lite	NA	PTHR10210;PTHR10210:SF57	IPR000836	GO:0009116;GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249	PF13793;PF14572	G3DSA:3.40.50.2020	NA	NA	NA	SM01400	PS00114	SSF53271	cd06223	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	NA	NA	NA	TIGR01251	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-18.3-mRNA-1	NA	NA	PTHR11593;PTHR11593:SF10	IPR005721	GO:0003735;GO:0006412;GO:0015934;GO:0005840;GO:0005622	PF00237	G3DSA:3.90.470.10	NA	NA	NA	NA	PS00464	SSF54843	cd00336	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	TIGR01038	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-1.43-mRNA-1	mobidb-lite	Coil	PTHR22166;PTHR22166:SF12	IPR019273	GO:0071786	PF10058	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-2.6-mRNA-1	mobidb-lite	Coil	PTHR13748:SF42;PTHR13748	IPR003495	NA	PF02492	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-58.11-mRNA-1	mobidb-lite	NA	PTHR33048	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-11.38-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-21.24-mRNA-1	mobidb-lite	NA	PTHR43898:SF9;PTHR43898	IPR016135		PF00179	G3DSA:3.10.110.10	NA	NA	PS50127	SM00212	PS00183	SSF54495	cd00195	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-35.26-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-18.44-mRNA-1	NA	Coil	PTHR21256	IPR038019	GO:0000105;GO:0004399;GO:0008270;GO:0051287;GO:0055114;GO:0004635;GO:0016491;GO:0004636	PF00815;PF01503;PF01502	G3DSA:3.10.20.400;G3DSA:3.40.50.1980;G3DSA:1.10.287.1080	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	PS00611	SSF101386;SSF53720;SSF141734	cd06572;cd11546	KEGG: 00340+3.5.4.19	NA	NA	PR00083	TIGR00069;TIGR03188	PIRSF001257	NA	MF_01024	NA	PD002610
maker-NQYS01000004.1-augustus-gene-38.40-mRNA-1	NA	NA	PTHR12526:SF540;PTHR12526	IPR001296	NA	PF00534	G3DSA:3.40.50.2000	NA	NA	NA	NA	NA	SSF53756	cd03792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-8.30-mRNA-1	mobidb-lite	NA	PTHR23501:SF143;PTHR23501	IPR036259	GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50850	NA	NA	SSF103473	cd06174	NA	NA	NA	PR01036	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-0.17-mRNA-1	mobidb-lite	NA	PTHR31313:SF66;PTHR31313	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	SM00906	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-10.23-mRNA-1	mobidb-lite	NA	PTHR22794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-12.3-mRNA-1	mobidb-lite	Coil	PTHR12418:SF45;PTHR12418	IPR006683		PF03061	G3DSA:3.10.129.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	SSF54637	cd03443	Reactome: R-HSA-77289	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-18.13-mRNA-1	mobidb-lite	NA	PTHR12595;PTHR12595:SF6	IPR003162	GO:0006352;GO:0046982	PF02291	G3DSA:1.10.20.10	NA	NA	NA	NA	NA	SSF47113	cd07979	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-20.21-mRNA-1	NA	NA	PTHR13349	IPR038356	NA	PF11176	G3DSA:1.20.1440.170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-35.12-mRNA-1	mobidb-lite	Coil	PTHR21426:SF12;PTHR21426	IPR011993	GO:0000145;GO:0006887	PF16528;PF08700	G3DSA:2.30.29.30;G3DSA:1.20.58.1210;G3DSA:1.20.58.1220	NA	NA	NA	NA	NA	SSF74788	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-11.22-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-18.30-mRNA-1	mobidb-lite	NA	PTHR11834;PTHR11834:SF0	IPR038096	GO:0003700;GO:0006355	PF01285	G3DSA:1.10.10.1610	NA	NA	PS51088	SM00426	NA	NA	NA	Reactome: R-HSA-2032785|Reactome: R-HSA-8951671	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-10.13-mRNA-1	NA	NA	PTHR43285	IPR035902	GO:0016757;GO:0000162;GO:0004048	PF00591;PF02885	G3DSA:1.20.970.10;G3DSA:3.40.1030.10	NA	NA	NA	NA	NA	SSF52418;SSF47648	NA	Reactome: R-HSA-73614|Reactome: R-HSA-73621	NA	NA	NA	TIGR01245	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-10.2-mRNA-1	mobidb-lite	Coil	PTHR13992;PTHR13992:SF7	IPR009057	GO:0003677;GO:0007052;GO:0042729;GO:0072686	PF08649	G3DSA:1.10.10.60;G3DSA:1.20.58.1880	NA	NA	PS51293	SM00717	NA	SSF46689	cd00167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-20.1-mRNA-1	NA	NA	NA	IPR022771		PF07814	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	Reactome: R-HSA-2467813|Reactome: R-HSA-2468052|Reactome: R-HSA-2470946|Reactome: R-HSA-2500257	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-46.27-mRNA-1	NA	NA	PTHR12537:SF13;PTHR12537	IPR001313	GO:0003723	PF00806	G3DSA:1.25.10.10	NA	NA	PS50302;PS50303	SM00025	NA	SSF48371	cd07920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-55.2-mRNA-1	mobidb-lite	NA	PTHR28022	IPR019433	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-32.2-mRNA-1	mobidb-lite	NA	PTHR43503:SF2;PTHR43503	IPR015915	GO:0005515	PF13415	G3DSA:2.120.10.80	NA	NA	NA	NA	NA	SSF117281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-27.54-mRNA-1	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-42.14-mRNA-1	NA	NA	PTHR10457;PTHR10457:SF7	IPR036554	GO:0005524;GO:0004335;GO:0006012;GO:0046835;GO:0005737;GO:0016301;GO:0016773;GO:0005534	PF08544;PF00288;PF10509	G3DSA:3.30.70.3170;G3DSA:3.30.70.890;G3DSA:3.30.230.10	NA	NA	NA	NA	PS00627;PS00106	SSF55060;SSF54211	NA	KEGG: 00052+2.7.1.6|KEGG: 00520+2.7.1.6|MetaCyc: PWY-3821|MetaCyc: PWY-6317|MetaCyc: PWY-6527	NA	NA	PR00473;PR00959	TIGR00131	PIRSF000530	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-0.16-mRNA-1	NA	NA	NA	NA	NA	PF13668	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-5.60-mRNA-1	mobidb-lite	NA	PTHR44747	IPR038765	GO:0006511;GO:0036459;GO:0016579	PF00443	G3DSA:3.90.70.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50235	NA	PS00973;PS00972	SSF54001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-31.23-mRNA-1	mobidb-lite	NA	PTHR10887:SF388;PTHR10887	IPR018999	GO:0000184;GO:0003677;GO:0004386;GO:0005524;GO:0005737;GO:0008270;GO:0016787	PF09416;PF18141;PF13086;PF13087;PF04851	G3DSA:2.40.30.230;G3DSA:3.40.50.300	NA	NA	NA	SM00487	NA	SSF52540	cd00046	Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-17.39-mRNA-1	NA	NA	PTHR19384;PTHR19384:SF92	IPR023206	GO:0003958;GO:0055114;GO:0070330;GO:0005506;GO:0016705;GO:0020037;GO:0016491;GO:0010181	PF00667;PF00175;PF00258;PF00067	G3DSA:1.10.630.10;G3DSA:3.40.50.360;G3DSA:1.20.990.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	NA	PS50902;PS51384	NA	PS00086	SSF52218;SSF52343;SSF63380;SSF48264	cd06206	KEGG: 00071+1.14.14.1|KEGG: 00140+1.14.14.1|KEGG: 00232+1.14.14.1|KEGG: 00380+1.14.14.1|KEGG: 00590+1.14.14.1|KEGG: 00591+1.14.14.1|KEGG: 00627+1.14.14.1|KEGG: 00830+1.14.14.1|KEGG: 00980+1.14.14.1|KEGG: 00982+1.14.14.1|MetaCyc: PWY-5451|MetaCyc: PWY-5665|MetaCyc: PWY-6398|MetaCyc: PWY-6992|MetaCyc: PWY-7466|MetaCyc: PWY-7826	NA	NA	PR00385;PR00463	NA	PIRSF000209	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-4.26-mRNA-1	mobidb-lite	Coil	PTHR13301:SF78;PTHR13301	IPR004827	GO:0003700;GO:0006355	PF00170	G3DSA:1.20.5.170	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS50217	SM00338	NA	SSF57959	cd14686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-63.9-mRNA-1	mobidb-lite	Coil	PTHR35393	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
