Gene	MobiDBLite	Phobius	Gene3D	interpro	ProSiteProfiles	Pfam	PANTHER	SUPERFAMILY	CDD	GO	PATHWAY	Coils	ProDom	SMART	TMHMM	ProSitePatterns	SignalP_GRAM_NEGATIVE	SignalP_EUK	SignalP_GRAM_POSITIVE	SFLD	PRINTS	Hamap	PIRSF	TIGRFAM
maker-NQYQ01000031.1-augustus-gene-0.26-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR038872	NA	NA	PTHR41807	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000055.1-augustus-gene-0.27-mRNA-1	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.5.110;G3DSA:1.20.58.90	IPR010989	PS50192	PF09177	PTHR19957;PTHR19957:SF124	SSF47661;SSF58038	cd15851	GO:0016020;GO:0016192;GO:0048193	Reactome: R-HSA-6811440	NA	NA	SM00397	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000013.1-processed-gene-6.30-mRNA-1	mobidb-lite	NA	NA	IPR000237	PS50913	PF01465	PTHR34491	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-7.41-mRNA-1	mobidb-lite	NA	G3DSA:1.10.510.10;G3DSA:1.25.40.430	IPR011009	PS50011;PS51489	PF08171;PF00069;PF08311	PTHR14030;PTHR14030:SF4	SSF56112	cd13981	GO:0004672;GO:0006468;GO:0005524;GO:0007094	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	Coil	NA	SM00220;SM00777	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000008.1-augustus-gene-4.8-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.1440;G3DSA:3.30.1330.20;G3DSA:1.10.287.600	IPR003008	NA	PF00091;PF03953	PTHR11588:SF7;PTHR11588	SSF55307;SSF52490	cd02188	GO:0003924;GO:0000930;GO:0007020;GO:0031122;GO:0005874;GO:0007017;GO:0005525	Reactome: R-HSA-380320	Coil	NA	SM00864;SM00865	NA	PS00227	NA	NA	NA	NA	PR01161;PR01164	NA	NA	NA
maker-NQYQ01000007.1-augustus-gene-8.18-mRNA-1	NA	NA	G3DSA:2.60.40.790	IPR008978	PS51203	PF04969	PTHR12356:SF3;PTHR12356	SSF49764	cd06467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-0.15-mRNA-1	mobidb-lite	NA	NA	IPR008501	NA	PF05615	PTHR23405;PTHR23405:SF5	NA	NA	GO:0000445;GO:0006397	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000003.1-processed-gene-10.11-mRNA-1	NA	NA	NA	IPR018281	NA	PF01015	PTHR11830;PTHR11830:SF12	NA	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	SM01397	NA	PS01191	NA	NA	NA	NA	NA	MF_03122	NA	NA
augustus_masked-NQYQ01000019.1-processed-gene-3.25-mRNA-1	mobidb-lite	NA	NA	IPR000387	PS50056;PS50054	PF00782	PTHR10159;PTHR10159:SF489	SSF52799	NA	GO:0016311;GO:0016791;GO:0004725;GO:0006470;GO:0008138	NA	Coil	NA	SM00195	NA	PS00383	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000008.1-augustus-gene-5.25-mRNA-1	NA	NA	G3DSA:3.60.120.10	IPR015890	NA	PF00425;PF04715	PTHR11236;PTHR11236:SF9	SSF56322	NA	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00095	NA	NA	NA
augustus_masked-NQYQ01000010.1-processed-gene-7.2-mRNA-1	mobidb-lite	NA	G3DSA:2.130.10.10	IPR036322	PS50082;PS50294	PF00400	PTHR19923	SSF50978	cd00200	GO:0005515	NA	NA	NA	SM00320	NA	PS00678	NA	NA	NA	NA	PR00320	NA	NA	NA
augustus_masked-NQYQ01000019.1-processed-gene-4.36-mRNA-1	mobidb-lite	NA	NA	IPR040150	NA	PF08574	PTHR28063	NA	NA	GO:0006606	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-0.6-mRNA-1	NA	NA	G3DSA:3.80.10.10	IPR032675	NA	NA	NA	SSF52047	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000007.1-processed-gene-7.1-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000008.1-augustus-gene-5.34-mRNA-1	mobidb-lite	NA	G3DSA:2.40.30.10;G3DSA:4.10.960.10;G3DSA:3.30.1430.10	IPR019926	NA	PF00297	PTHR11363;PTHR11363:SF4	SSF50447	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	NA	NA	PS00474	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-12.3-mRNA-1	mobidb-lite	NA	G3DSA:3.10.20.90	IPR039751	NA	NA	PTHR12943	SSF54236	cd01769	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000042.1-augustus-gene-0.53-mRNA-1	mobidb-lite	NA	NA	IPR011333	NA	NA	PTHR13384:SF16;PTHR13384	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-1.33-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:4.10.1000.10;G3DSA:3.30.1370.110	IPR036063	PS50103;PS50828	PF08590;PF01713	PTHR13119:SF12;PTHR13119	SSF160443;SSF90229	NA	GO:0046872	NA	NA	NA	SM00356;SM01162;SM00463	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000034.1-processed-gene-1.57-mRNA-1	mobidb-lite	NA	G3DSA:3.40.830.10	IPR014436	NA	PF02900	PTHR30096	SSF53213	cd07363	GO:0008270;GO:0016701;GO:0055114;GO:0006725;GO:0008198;GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006157	NA
maker-NQYQ01000032.1-augustus-gene-1.37-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:2.60.120.460	IPR001602	NA	PF01894	PTHR30615;PTHR30615:SF10	SSF111038	NA	NA	NA	NA	NA	NA	TMhelix	PS01314	NA	NA	NA	NA	NA	NA	NA	TIGR00149
maker-NQYQ01000036.1-augustus-gene-1.7-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1280.290	IPR006603	NA	PF04193	PTHR16201;PTHR16201:SF11	NA	NA	NA	NA	Coil	NA	SM00679	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-8.20-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.330	IPR012677	PS50102	PF00076	PTHR23236;PTHR23236:SF11	SSF54928	NA	GO:0003676	NA	Coil	NA	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000035.1-augustus-gene-1.12-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000029.1-processed-gene-1.7-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.820	IPR039693	PS51479	PF04181	PTHR14732	NA	NA	GO:0008420;GO:0043175;GO:0070940	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|Reactome: R-HSA-6807505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-9.27-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR006694	NA	PF04116	PTHR11863:SF40;PTHR11863	NA	NA	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000012.1-processed-gene-3.19-mRNA-1	mobidb-lite	NA	NA	IPR027911	NA	PF15377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000012.1-processed-gene-3.37-mRNA-1	mobidb-lite	NA	G3DSA:3.20.20.100	IPR020471	NA	PF00248	PTHR11732;PTHR11732:SF206	SSF51430	cd06660	GO:0016491;GO:0055114	NA	Coil	NA	NA	NA	PS00062	NA	NA	NA	NA	PR00069	NA	NA	NA
augustus_masked-NQYQ01000014.1-processed-gene-3.7-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	G3DSA:2.40.70.10	IPR033121	PS51767	PF00026	PTHR13683;PTHR13683:SF345	SSF50630	cd06097	GO:0004190;GO:0006508	NA	NA	NA	NA	NA	PS00141	NA	SignalP-noTM	NA	NA	PR00792	NA	NA	NA
augustus_masked-NQYQ01000024.1-processed-gene-1.24-mRNA-1	mobidb-lite	NA	NA	IPR007219	NA	PF04082	PTHR31668;PTHR31668:SF4	NA	cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000012.1-processed-gene-2.3-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.630.10	IPR036264	NA	PF07687;PF01546	PTHR11014:SF16;PTHR11014	SSF55031;SSF53187	cd05674	GO:0004181;GO:0006508;GO:0008237;GO:0016787	NA	NA	NA	NA	NA	PS00758	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	PIRSF037217	NA
maker-NQYQ01000003.1-augustus-gene-11.33-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.90	IPR006569	PS51391	PF04818	PTHR12460:SF0;PTHR12460	SSF48464	NA	NA	NA	Coil	NA	SM00582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000015.1-processed-gene-1.30-mRNA-1	NA	NA	G3DSA:3.40.50.1820	IPR003140	NA	PF02230	PTHR10655:SF2;PTHR10655	SSF53474	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000052.1-processed-gene-0.5-mRNA-1	mobidb-lite	NA	G3DSA:3.40.630.30	IPR000182	PS51186	PF13302	PTHR43792	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-4.13-mRNA-1	mobidb-lite	NA	NA	IPR016024	NA	PF08161	PTHR21576:SF2;PTHR21576	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-0.14-mRNA-1	mobidb-lite	NA	NA	NA	PS51257	NA	PTHR10351:SF46;PTHR10351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000006.1-processed-gene-6.5-mRNA-1	mobidb-lite	NA	G3DSA:2.60.40.3960	IPR037525	PS51821	PF11754	PTHR33572:SF3;PTHR33572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000009.1-augustus-gene-3.14-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1740.10	IPR002293	NA	PF13520	PTHR11785;PTHR11785:SF360	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000024.1-augustus-gene-2.7-mRNA-1	NA	NA	G3DSA:1.25.40.20;G3DSA:3.30.60.90	IPR020683	PS50088;PS50297;PS50135	PF12796;PF00569	PTHR44181	SSF57850;SSF48403	cd00204;cd02249	GO:0005515;GO:0008270	NA	NA	NA	SM00248;SM00291	NA	NA	NA	NA	NA	NA	PR01415	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-16.43-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.330	IPR039119	NA	NA	PTHR12311	SSF54928	cd12263	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000010.1-processed-gene-2.44-mRNA-1	NA	NA	G3DSA:2.40.100.10	IPR002130	PS50072	PF00160	PTHR11071:SF147;PTHR11071	SSF50891	NA	GO:0000413;GO:0003755;GO:0006457	NA	NA	NA	NA	NA	PS00170	NA	NA	NA	NA	PR00153	NA	PIRSF001467	NA
maker-NQYQ01000058.1-augustus-gene-0.3-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR021134	NA	PF01062	PTHR33281:SF10;PTHR33281	NA	NA		Reactome: R-HSA-2672351	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-15.24-mRNA-1	mobidb-lite	NA	G3DSA:1.20.920.10;G3DSA:3.30.710.10	IPR001487	PS50014;PS50097	PF00651;PF00439	PTHR22880	SSF47370;SSF54695	NA	GO:0005515	NA	NA	NA	SM00297	NA	NA	NA	NA	NA	NA	PR00503	NA	NA	NA
maker-NQYQ01000012.1-augustus-gene-0.24-mRNA-1	mobidb-lite	NA	G3DSA:2.160.20.10	IPR011050	NA	PF00544	PTHR31683;PTHR31683:SF35	SSF51126	NA	NA	NA	NA	NA	SM00656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000002.1-processed-gene-16.2-mRNA-1	mobidb-lite	NA	NA	IPR024325	NA	PF12927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000004.1-processed-gene-8.22-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	IPR019409	NA	PF10293;PF10359;PF10351;PF10305;PF10344;PF10347	PTHR15678	NA	NA	NA	NA	Coil	NA	SM01214;SM01216;SM01215	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-10.15-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.300;G3DSA:3.10.400.10;G3DSA:3.40.50.620	IPR002650	NA	PF01747;PF14306;PF01583	PTHR42700	SSF88697;SSF52374;SSF52540	cd00517;cd02027	GO:0000103;GO:0004781;GO:0004020;GO:0005524;GO:0000096	KEGG: 00230+2.7.7.4|KEGG: 00261+2.7.7.4|KEGG: 00450+2.7.7.4|KEGG: 00920+2.7.7.4|MetaCyc: PWY-5278|MetaCyc: PWY-5340|MetaCyc: PWY-6683|MetaCyc: PWY-6932|Reactome: R-HSA-174362|Reactome: R-HSA-2408550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03106	NA	TIGR00339;TIGR00455
augustus_masked-NQYQ01000025.1-processed-gene-1.30-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR004254	NA	PF03006	PTHR20855;PTHR20855:SF52	NA	NA	GO:0016021	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000048.1-processed-gene-0.19-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000005.1-processed-gene-8.19-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	IPR018466	NA	PF10342	PTHR40633	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-8.14-mRNA-1	NA	NA	G3DSA:1.10.15.30;G3DSA:3.30.1390.20	IPR035808	NA	PF00327;PF08079	PTHR11524:SF16;PTHR11524	SSF55129	cd01657	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01310
maker-NQYQ01000001.1-augustus-gene-19.8-mRNA-1	mobidb-lite	NA	G3DSA:3.30.1370.10	IPR036612	PS50084	PF00013	PTHR10627:SF39;PTHR10627	SSF54791	cd02394;cd00105	GO:0003723;GO:0003676	NA	NA	NA	SM00322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000021.1-processed-gene-1.12-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000017.1-augustus-gene-3.33-mRNA-1	mobidb-lite	NA	G3DSA:3.30.1140.40	IPR005334	NA	PF03645	PTHR21255:SF4;PTHR21255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-10.20-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.20.10	IPR038662	NA	PF00137	PTHR10031:SF13;PTHR10031	SSF81333	NA	GO:0015078;GO:0015986;GO:0045263;GO:0015991;GO:0033177	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	TMhelix	PS00605	NA	NA	SignalP-TM	NA	PR00124	MF_01396	NA	NA
augustus_masked-NQYQ01000014.1-processed-gene-5.2-mRNA-1	mobidb-lite	NA	NA	IPR013641	NA	PF08433	PTHR12435	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000012.1-processed-gene-2.9-mRNA-1	NA	NA	G3DSA:1.10.472.10	NA	NA	NA	PTHR15615:SF41;PTHR15615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000044.1-processed-gene-0.24-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000016.1-augustus-gene-5.41-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1050.60;G3DSA:1.20.1610.10;G3DSA:3.30.2080.10;G3DSA:2.70.98.10	IPR005887	NA	PF07971;PF17678	PTHR12143;PTHR12143:SF25	SSF48208	NA	GO:0003824;GO:0030246	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	TIGR01180
augustus_masked-NQYQ01000015.1-processed-gene-5.59-mRNA-1	mobidb-lite	NA	G3DSA:4.10.240.10	IPR001138	PS50048	PF00172	PTHR36206;PTHR36206:SF3	SSF57701	cd12148;cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	SM00066	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000044.1-processed-gene-0.22-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	PS50850	PF07690	PTHR23504;PTHR23504:SF39	SSF103473	cd06174	GO:0016021;GO:0055085;GO:0005215	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	PR01035	NA	NA	NA
maker-NQYQ01000016.1-augustus-gene-0.20-mRNA-1	mobidb-lite	NA	NA	IPR005607	PS50858	PF03909	PTHR16019:SF5;PTHR16019	SSF140383	NA	NA	NA	Coil	NA	SM00751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000038.1-augustus-gene-1.0-mRNA-1	NA	NA	G3DSA:2.130.10.10	IPR017986	PS50294;PS50082	PF00400	PTHR10971;PTHR10971:SF5	SSF50978	NA	GO:0005515	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000011.1-processed-gene-1.17-mRNA-1	mobidb-lite	NA	G3DSA:4.10.860.10;G3DSA:1.25.40.860	IPR000717	PS50250	PF01399	PTHR14005	NA	NA	GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	Coil	NA	SM00088;SM00753	NA	NA	NA	NA	NA	NA	NA	MF_03000	NA	NA
augustus_masked-NQYQ01000003.1-processed-gene-15.22-mRNA-1	mobidb-lite	NA	NA	IPR016899	PS51562	PF03291	PTHR12189:SF2;PTHR12189	SSF53335	NA	GO:0004482;GO:0005634;GO:0006370	MetaCyc: PWY-7375|Reactome: R-HSA-167160|Reactome: R-HSA-72086|Reactome: R-HSA-77075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028762	NA
maker-NQYQ01000005.1-augustus-gene-11.30-mRNA-1	mobidb-lite	NA	G3DSA:1.50.40.10;G3DSA:1.10.238.10	IPR002048	PS50222;PS50920	PF00153;PF00036;PF13499	PTHR24089;PTHR24089:SF57	SSF47473;SSF103506	cd00051	GO:0005509;GO:0022857;GO:0055085	NA	NA	NA	SM00054	NA	PS00018	NA	NA	NA	NA	PR00926	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-11.18-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	IPR006598	NA	NA	PTHR12203:SF22;PTHR12203	SSF81995	NA	NA	NA	NA	NA	SM00672	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000014.1-processed-gene-6.27-mRNA-1	NA	NA	G3DSA:3.40.50.300	IPR027417	PS51417	PF00025	PTHR11711:SF19;PTHR11711	SSF52540	NA	GO:0005525	NA	NA	NA	SM00177;SM00178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-3.12-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	G3DSA:2.160.10.10	IPR029044	NA	NA	PTHR22572:SF93;PTHR22572	SSF53448	cd04652	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-15.38-mRNA-1	mobidb-lite	NA	NA	IPR033338	NA	PF15402;PF15577;PF08317	PTHR28260	NA	NA	NA	NA	Coil	NA	SM01315;SM00787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000034.1-processed-gene-1.31-mRNA-1	mobidb-lite	NA	NA	IPR013859	NA	PF08549	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000033.1-processed-gene-0.19-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.5.110	IPR001388	PS50892	PF00957	PTHR21136;PTHR21136:SF4	SSF58038	NA	GO:0016021;GO:0016192	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	PR00219	NA	PIRSF005409	NA
maker-NQYQ01000040.1-augustus-gene-0.15-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.620	IPR014729	NA	PF01467	PTHR10739:SF13;PTHR10739	SSF52374	cd02174	GO:0003824;GO:0009058	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	TIGR00125
maker-NQYQ01000008.1-augustus-gene-1.41-mRNA-1	mobidb-lite	NA	G3DSA:1.20.5.210	IPR004205	NA	PF02939	PTHR12119	SSF81508	NA	GO:0008121	Reactome: R-HSA-611105	NA	PD331499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-4.22-mRNA-1	NA	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR000719	PS50011	PF00069	PTHR24347;PTHR24347:SF246	SSF56112	cd05117	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	SM00220	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	PIRSF000654	NA
