Gene	interpro	GO	PATHWAY	Pfam	MobiDBLite	Gene3D	PANTHER	Coils	ProSiteProfiles	SMART	ProSitePatterns	CDD	SUPERFAMILY	Phobius	TMHMM	PRINTS	ProDom	TIGRFAM	Hamap	SignalP_GRAM_POSITIVE	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD
maker-NODE_168_length_81702_cov_37.389237-augustus-gene-0.7-mRNA-1	IPR019821	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PF00225	mobidb-lite	G3DSA:3.40.850.10	PTHR24115:SF9;PTHR24115	Coil	PS50067	SM00129	PS00411	cd01369	SSF52540	NA	NA	PR00380	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_306261_cov_32.721181-augustus-gene-2.0-mRNA-1	IPR018827	NA	NA	PF10355	mobidb-lite	NA	PTHR31685:SF3;PTHR31685	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_176_length_77934_cov_42.834385-augustus-gene-0.10-mRNA-1	IPR013087	GO:0003676	NA	NA	mobidb-lite	G3DSA:3.30.160.60	PTHR23057	NA	PS50157	SM00355	PS00028	NA	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_231395_cov_40.853784-augustus-gene-1.34-mRNA-1	IPR019460	GO:0000045;GO:0000422	Reactome: R-HSA-1632852	PF10377;PF15272	mobidb-lite	NA	PTHR13222	Coil	NA	NA	NA	NA	SSF57997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_317028_cov_42.556145-augustus-gene-1.3-mRNA-1	IPR037647	NA	NA	NA	mobidb-lite	NA	PTHR15410	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_93_length_138598_cov_44.456897-processed-gene-0.8-mRNA-1	IPR023419		Reactome: R-HSA-2453864|Reactome: R-HSA-2453902|Reactome: R-HSA-3000171|Reactome: R-HSA-6798695|Reactome: R-HSA-975634|Reactome: R-HSA-977225	PF00576	mobidb-lite	G3DSA:2.60.40.180	PTHR10395;PTHR10395:SF7	NA	NA	NA	PS00769;PS00768	NA	SSF49472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_293_length_37911_cov_40.815663-augustus-gene-0.9-mRNA-1	IPR012302	GO:0051287;GO:0004471;GO:0055114;GO:0004470	NA	PF00390;PF03949	NA	G3DSA:3.40.50.10380;G3DSA:3.40.50.720	PTHR23406:SF40;PTHR23406	NA	NA	SM00919;SM01274	NA	cd05312	SSF51735;SSF53223	NA	NA	PR00072	NA	NA	NA	NA	PIRSF000106	NA	NA	NA
augustus_masked-NODE_37_length_221904_cov_46.595508-processed-gene-0.28-mRNA-1	IPR005343		Reactome: R-HSA-6804756	PF03715	mobidb-lite	NA	PTHR12687:SF4;PTHR12687	Coil	NA	NA	NA	NA	SSF48371	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_544021_cov_44.932404-augustus-gene-4.1-mRNA-1	IPR025784	NA	NA	PF10294	mobidb-lite	G3DSA:3.40.50.150	PTHR40470	Coil	PS51560	NA	NA	NA	SSF51197;SSF53335	NA	NA	NA	NA	NA	MF_03223	NA	NA	NA	NA	NA
augustus_masked-NODE_135_length_99411_cov_45.956206-processed-gene-0.8-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	cd12087	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_346_length_26125_cov_47.760789-augustus-gene-0.6-mRNA-1	IPR001680	GO:0005515;GO:0031929;GO:0031931;GO:0031932;GO:0032008	Reactome: R-HSA-1257604|Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-3371571|Reactome: R-HSA-380972|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5628897|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757|Reactome: R-HSA-8943724	PF00400	NA	G3DSA:2.130.10.10	PTHR19842:SF0;PTHR19842	NA	PS50082;PS50294	SM00320	PS00678	cd00200	SSF50978	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_45_length_207916_cov_30.728152-processed-gene-1.9-mRNA-1	IPR006218	GO:0009058;GO:0003849;GO:0009073;GO:0003824	KEGG: 00540+2.5.1.55|MetaCyc: PWY-1269|MetaCyc: PWY-7674	PF00793	mobidb-lite	G3DSA:3.20.20.70	PTHR21225;PTHR21225:SF8	NA	NA	NA	NA	NA	SSF51569	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	TIGR00034	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_124630_cov_43.228300-processed-gene-0.7-mRNA-1	IPR001902	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	Reactome: R-HSA-427601	PF01740;PF00916	mobidb-lite	G3DSA:3.30.750.24	PTHR11814;PTHR11814:SF80	NA	PS50801	NA	PS01130	cd07042	SSF52091	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	TIGR00815	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_181680_cov_47.276316-processed-gene-0.21-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	PTHR42111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_189_length_73036_cov_42.910354-augustus-gene-0.2-mRNA-1	IPR036412	GO:0000166;GO:0006812;GO:0016021;GO:0016887	Reactome: R-HSA-936837	PF00702;PF00122	NA	G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:3.40.1110.10	PTHR24093:SF82;PTHR24093	Coil	NA	NA	PS00154	cd07543	SSF56784;SSF81660;SSF81653;SSF81665	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00119	NA	TIGR01657;TIGR01494	NA	NA	NA	NA	NA	SFLDS00003;SFLDF00027
augustus_masked-NODE_79_length_154138_cov_46.235938-processed-gene-0.34-mRNA-1	IPR039948	GO:0006511	Reactome: R-HSA-112382|Reactome: R-HSA-1234176|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-180585|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-75955|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-983168	PF03931	NA	G3DSA:3.30.710.10	PTHR20648:SF0;PTHR20648	NA	NA	SM00512	NA	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_277465_cov_41.047130-augustus-gene-1.2-mRNA-1	IPR001494	GO:0006886;GO:0008536;GO:0005049	NA	PF03810;PF18787;PF08767;PF08389;PF18784;PF18777	mobidb-lite	G3DSA:1.25.10.10	PTHR11223:SF2;PTHR11223	Coil	PS50166	SM01102;SM00913	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_120_length_113434_cov_39.137026-processed-gene-0.10-mRNA-1	IPR011990	GO:0005515;GO:0000398;GO:0005634;GO:0006396	Reactome: R-HSA-72163|Reactome: R-HSA-72165	PF13432;PF06424	mobidb-lite	G3DSA:1.25.40.10	PTHR11246;PTHR11246:SF1	Coil	PS50293	SM00386;SM00028	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_445051_cov_35.338130-augustus-gene-1.2-mRNA-1	IPR004177	GO:0046872	NA	PF02862	mobidb-lite	NA	PTHR23509:SF6;PTHR23509	NA	PS51043	SM01127	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_426693_cov_41.447760-augustus-gene-3.17-mRNA-1	IPR009145	GO:0000398;GO:0003723;GO:0089701;GO:0046872;GO:0003676	NA	PF00642	mobidb-lite	G3DSA:3.30.70.330	PTHR12620;PTHR12620:SF8	NA	PS50103;PS50102	SM00356	NA	cd12538	SSF54928	NA	NA	PR01848	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_248_length_51411_cov_34.022834-processed-gene-0.2-mRNA-1	IPR022812	GO:0005525;GO:0003924	NA	PF00350;PF01031	NA	G3DSA:3.40.50.300	PTHR11566:SF129;PTHR11566	NA	PS51388	SM00053	NA	cd08771	SSF52540	NA	NA	PR00195	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_277966_cov_46.276628-processed-gene-0.17-mRNA-1	IPR039876		Reactome: R-HSA-6798695	PF10252	mobidb-lite	NA	PTHR22055	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_162_length_83891_cov_44.416217-processed-gene-0.29-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_136_length_99142_cov_40.933535-processed-gene-0.18-mRNA-1	IPR016477		Reactome: R-HSA-163841	PF03881	mobidb-lite	G3DSA:3.90.1200.10	PTHR12149;PTHR12149:SF8	NA	NA	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_174_length_79196_cov_34.054016-augustus-gene-0.3-mRNA-1	IPR023584	GO:0006412	Reactome: R-HSA-5419276	PF01765	mobidb-lite	NA	PTHR20982	Coil	NA	NA	NA	NA	SSF55194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_386774_cov_43.091587-processed-gene-2.21-mRNA-1	IPR024077	GO:0004222;GO:0006508;GO:0008237	NA	PF01432	NA	G3DSA:1.10.1370.10;G3DSA:1.20.1050.40;G3DSA:3.40.390.10	PTHR11804:SF40;PTHR11804	NA	NA	NA	NA	cd06455	SSF55486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_105_length_125599_cov_46.022985-processed-gene-0.13-mRNA-1	IPR014758	GO:0000166;GO:0004825;GO:0005524;GO:0006431;GO:0004812;GO:0006418	KEGG: 00450+6.1.1.10|KEGG: 00970+6.1.1.10	PF09334	mobidb-lite	G3DSA:1.10.730.10;G3DSA:3.40.50.620;G3DSA:2.20.28.20	PTHR11946;PTHR11946:SF86	Coil	NA	NA	PS00178	cd07957;cd00814	SSF57770;SSF52374;SSF47323	NA	NA	PR01041	NA	TIGR00398	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_384_length_19482_cov_42.121571-processed-gene-0.3-mRNA-1	IPR040167	GO:0003700;GO:0006357	NA	PF04516	mobidb-lite	NA	PTHR11037:SF20;PTHR11037	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_796642_cov_41.286555-augustus-gene-6.59-mRNA-1	IPR011989	GO:0000796;GO:0007076	Reactome: R-HSA-2514853	PF12719	mobidb-lite	G3DSA:1.25.10.10	PTHR14418:SF5;PTHR14418	Coil	NA	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_21_length_277966_cov_46.276628-processed-gene-1.29-mRNA-1	IPR013922	GO:0000079;GO:0019901	NA	PF08613	mobidb-lite	G3DSA:1.10.472.10	PTHR15615:SF32;PTHR15615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_255_length_49486_cov_41.312223-augustus-gene-0.13-mRNA-1	IPR001452	GO:0005515;GO:0005777;GO:0016021;GO:0016560	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	PF07653;PF04088	mobidb-lite	G3DSA:2.30.30.40	PTHR19332;PTHR19332:SF1	NA	PS50002	SM00326	NA	cd11771	SSF50044	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_187_length_73439_cov_37.678293-processed-gene-0.8-mRNA-1	IPR001347	GO:0097367;GO:1901135	NA	PF01380	NA	G3DSA:3.40.50.10490	PTHR38418	NA	PS51464	NA	NA	cd05014	SSF53697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_249_length_51115_cov_44.764180-processed-gene-0.5-mRNA-1	IPR040241	NA	NA	PF06011;PF14558	mobidb-lite	NA	PTHR31145:SF2;PTHR31145	NA	NA	SM01320	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_32_length_231395_cov_40.853784-processed-gene-0.5-mRNA-1	IPR011330	GO:0003824;GO:0005975;GO:0016810	NA	PF01522	NA	G3DSA:3.20.20.370	PTHR10587	NA	PS51677	NA	NA	cd10958	SSF88713	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_255_length_49486_cov_41.312223-processed-gene-0.0-mRNA-1	IPR007667	NA	NA	PF04588	NA	NA	PTHR28018:SF7;PTHR28018	NA	PS51503	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_184469_cov_44.921499-augustus-gene-0.4-mRNA-1	IPR023395	GO:0005509;GO:0022857;GO:0055085	NA	PF00036;PF13499;PF00153	mobidb-lite	G3DSA:1.50.40.10;G3DSA:1.10.238.10	PTHR24089:SF57;PTHR24089	NA	PS50222;PS50920	SM00054	PS00018	cd00051	SSF103506;SSF47473	NA	NA	PR00926	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_202_length_67546_cov_44.313710-augustus-gene-0.14-mRNA-1	IPR006941	GO:0003676;GO:0004535;GO:0030014	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	PF04857	mobidb-lite	G3DSA:3.30.420.10	PTHR10797:SF0;PTHR10797	NA	NA	NA	NA	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_147_length_91275_cov_43.332064-processed-gene-0.18-mRNA-1	IPR001650	GO:0005524	NA	PF00271;PF12054;PF00176	mobidb-lite	G3DSA:1.25.10.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	PTHR10799;PTHR10799:SF814	NA	PS51192;PS51194	SM00490;SM00487	NA	cd00046;cd00079	SSF52540;SSF48371	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_143_length_93032_cov_40.948991-augustus-gene-0.0-mRNA-1	IPR035967	GO:0003723;GO:0006396	Reactome: R-HSA-72163	PF01805;PF12230	mobidb-lite	G3DSA:1.10.10.790	PTHR15316:SF1;PTHR15316	Coil	PS50128	SM00648	NA	NA	SSF109905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_386774_cov_43.091587-augustus-gene-2.36-mRNA-1	IPR005599	GO:0016757;GO:0000030	KEGG: 00510+2.4.1.259+2.4.1.261|KEGG: 00513+2.4.1.261|Reactome: R-HSA-446193|Reactome: R-HSA-4720454	PF03901	mobidb-lite	NA	PTHR22760;PTHR22760:SF2	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_173_length_79251_cov_42.623553-processed-gene-0.12-mRNA-1	IPR018464	GO:0000776;GO:0034508	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	PF09496	mobidb-lite	NA	PTHR14582	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_386774_cov_43.091587-processed-gene-2.23-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	PTHR38122	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_58_length_179608_cov_39.851433-augustus-gene-0.0-mRNA-1	IPR020617	GO:0016747;GO:0003824	NA	PF02803;PF00108	NA	G3DSA:3.40.47.10	PTHR18919:SF81;PTHR18919	NA	NA	NA	PS00098;PS00099	cd00751	SSF53901	NA	NA	NA	NA	TIGR01930	NA	NA	PIRSF000429	NA	NA	NA
augustus_masked-NODE_128_length_104544_cov_42.496088-processed-gene-0.19-mRNA-1	IPR036259	GO:0005337;GO:0016021;GO:1901642	Reactome: R-HSA-83936	PF01733	mobidb-lite	NA	PTHR10332:SF10;PTHR10332	NA	NA	NA	NA	NA	SSF103473	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	PR01130	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_104_length_127302_cov_34.329113-augustus-gene-0.2-mRNA-1	IPR003892	GO:0005515	NA	PF02845	mobidb-lite	G3DSA:1.10.8.10	PTHR16461	NA	PS51140	SM00546	NA	cd14372	SSF46934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_277966_cov_46.276628-augustus-gene-1.48-mRNA-1	IPR001216	GO:0006535;GO:0004122;GO:0005737;GO:0019343	KEGG: 00260+4.2.1.22|KEGG: 00270+4.2.1.22|MetaCyc: PWY-801	PF00291;PF00571	NA	G3DSA:3.40.50.1100;G3DSA:3.10.580.10	PTHR10314:SF134;PTHR10314	NA	PS51371	SM00116	PS00901	cd01561	SSF54631;SSF53686	NA	NA	NA	NA	TIGR01137	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_150_length_89774_cov_44.401464-processed-gene-0.18-mRNA-1	IPR001680	GO:0005515	NA	PF00400	mobidb-lite	NA	PTHR19857;PTHR19857:SF8	NA	PS50082;PS50294	SM00320	PS00678	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_286098_cov_42.192198-augustus-gene-1.34-mRNA-1	IPR008991	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	mobidb-lite	NA	PTHR12903;PTHR12903:SF0	Coil	NA	NA	NA	NA	SSF50104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_117_length_114927_cov_40.293998-augustus-gene-0.21-mRNA-1	IPR000640	GO:0005525;GO:0003924	NA	PF00679;PF03144;PF14492;PF00009	NA	G3DSA:3.30.230.10;G3DSA:3.30.70.240;G3DSA:3.30.70.870	PTHR42908:SF3;PTHR42908	Coil	PS51722	SM00838	NA	cd16268;cd01681;cd16261;cd04096;cd01885	SSF54980;SSF52540;SSF50447;SSF54211	NA	NA	PR00315	NA	TIGR00231	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_184649_cov_45.277224-augustus-gene-0.57-mRNA-1	IPR011990	GO:0005515;GO:0032126;GO:0070941	NA	NA	mobidb-lite	G3DSA:1.25.40.10;G3DSA:3.40.50.300	PTHR10039;PTHR10039:SF6	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_277465_cov_41.047130-augustus-gene-0.3-mRNA-1	IPR025212		Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	PF13094	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_286098_cov_42.192198-processed-gene-1.22-mRNA-1	IPR005225	GO:0005525;GO:0005622;GO:0007264;GO:0003924	Reactome: R-HSA-194840	PF00071	NA	G3DSA:3.40.50.300	PTHR24072;PTHR24072:SF181	NA	PS51420	SM00173;SM00174;SM00175	NA	NA	SSF52540	NA	NA	PR00449	NA	TIGR00231	NA	NA	NA	NA	NA	NA
maker-NODE_478_length_6165_cov_35.197416-augustus-gene-0.3-mRNA-1	IPR011032	GO:0055114	NA	PF16884;PF00107	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PTHR43205:SF7;PTHR43205	NA	NA	NA	NA	cd05288	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_544021_cov_44.932404-augustus-gene-2.3-mRNA-1	IPR008930	GO:0003824;GO:0005965;GO:0018343	KEGG: 00900+2.5.1.58|Reactome: R-HSA-2514859	PF00432	mobidb-lite	NA	PTHR11774;PTHR11774:SF6	NA	NA	NA	NA	cd02893	SSF48239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_796642_cov_41.286555-processed-gene-0.3-mRNA-1	IPR011990	GO:0005515	NA	NA	mobidb-lite	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_179608_cov_39.851433-augustus-gene-0.13-mRNA-1	IPR009445	NA	NA	PF06417	mobidb-lite	NA	PTHR19315	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	PIRSF017207	NA	NA	NA
augustus_masked-NODE_32_length_231395_cov_40.853784-processed-gene-1.9-mRNA-1	IPR001214	GO:0005515	NA	PF00856	NA	NA	NA	NA	PS50280	NA	NA	NA	SSF82199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_434743_cov_44.004834-processed-gene-0.9-mRNA-1	IPR003817	GO:0004609;GO:0008654;GO:0005739	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	PF02666	mobidb-lite	NA	PTHR10067:SF6;PTHR10067	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	TIGR00163	MF_03208	NA	NA	NA	NA	NA
augustus_masked-NODE_37_length_221904_cov_46.595508-processed-gene-0.22-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	PTHR42032	Coil	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_353_length_24780_cov_46.798807-processed-gene-0.0-mRNA-1	IPR002042	GO:0004846;GO:0006144;GO:0055114	KEGG: 00230+1.7.3.3|KEGG: 00232+1.7.3.3|MetaCyc: PWY-5691	PF01014	NA	G3DSA:3.10.270.10	PTHR42874	NA	NA	NA	PS00366	NA	SSF55620	NA	NA	PR00093	PD003367	TIGR03383	NA	NA	PIRSF000241	NA	NA	NA
augustus_masked-NODE_21_length_277966_cov_46.276628-processed-gene-0.19-mRNA-1	IPR001223	GO:0005975	NA	PF00704	NA	G3DSA:3.20.20.80	PTHR11177;PTHR11177:SF165	NA	NA	NA	NA	cd02877	SSF51445	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_152_length_89039_cov_48.121019-augustus-gene-0.0-mRNA-1	IPR011706	GO:0005507;GO:0016491;GO:0055114	NA	PF07731;PF07732;PF00394	NA	G3DSA:2.60.40.420	PTHR11709;PTHR11709:SF145	NA	NA	NA	PS00079;PS00080	cd13901;cd13880;cd13854	SSF49503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_92_length_138825_cov_44.010375-augustus-gene-0.10-mRNA-1	IPR009305	NA	NA	PF06127	NA	NA	PTHR28026:SF4;PTHR28026	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_179608_cov_39.851433-augustus-gene-0.14-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	PTHR33604	Coil	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_222_length_60719_cov_47.140563-augustus-gene-0.11-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_344_length_26423_cov_42.484180-processed-gene-0.4-mRNA-1	IPR019183	NA	NA	PF09797	mobidb-lite	NA	PTHR22767;PTHR22767:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_155_length_86923_cov_44.801800-processed-gene-0.22-mRNA-1	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021;GO:0003677;GO:0003918;GO:0005524;GO:0006265	NA	PF00324	mobidb-lite	G3DSA:1.20.1740.10	PTHR43341	NA	NA	NA	PS00218	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	PR01159	NA	NA	NA	NA	PIRSF006060	NA	NA	NA
