Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
snap_masked-scaffold17-processed-gene-0.223-mRNA-1	NA	NA	IPR021827	GO:0005643	PF11894	NA	NA	PTHR31344:SF0;PTHR31344	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold27-processed-gene-0.303-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold40-augustus-gene-0.17-mRNA-1	mobidb-lite	NA	IPR007320	GO:0005737	PF04194	NA	NA	PTHR12298;PTHR12298:SF18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold52-processed-gene-0.155-mRNA-1	mobidb-lite	NA	IPR015943	GO:0005515	PF00646;PF00400	NA	SSF81383;SSF50978	PTHR44007;PTHR44007:SF3	G3DSA:2.130.10.10;G3DSA:1.20.1280.50	PS00678	PR00320	SM00256;SM00320	PS50181;PS50082;PS50294	cd00200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold413-processed-gene-0.0-mRNA-1	NA	NA	IPR014710	GO:0045735;GO:0033609	PF00190	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	SSF51182	PTHR31238:SF37;PTHR31238	G3DSA:2.60.120.10	NA	NA	SM00835	NA	NA	NA	TIGR03404	KEGG: 00630+4.1.1.2|MetaCyc: PWY-6698	NA	NA	NA	NA	NA	SignalP-noTM	NA
snap_masked-scaffold190-processed-gene-0.14-mRNA-1	NA	NA	IPR000711	GO:0015986;GO:0046933;GO:0016020	PF00213	NA	SSF47928	PTHR11910;PTHR11910:SF1	G3DSA:1.10.520.20	PS00389	PR00125	NA	NA	NA	NA	TIGR01145	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	MF_01416	NA	NA	SignalP-TM	SignalP-noTM	NA	NA
snap_masked-scaffold416-processed-gene-0.38-mRNA-1	mobidb-lite	NA	IPR001650	GO:0003676;GO:0005524;GO:0004386	PF00271;PF00270;PF07717;PF04408	NA	SSF52540	PTHR18934:SF190;PTHR18934	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	NA	NA	SM00490;SM00847;SM00487	PS51192;PS51194	cd00046;cd00079	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold27-processed-gene-0.295-mRNA-1	mobidb-lite	TMhelix	IPR021822	NA	PF11885	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR36205;PTHR36205:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold114-processed-gene-0.128-mRNA-1	NA	NA	IPR001849	NA	PF16746;PF16016	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF50729;SSF103657	PTHR14248;PTHR14248:SF18	G3DSA:1.20.1270.60;G3DSA:2.30.29.30	NA	NA	SM00233	PS50003;PS51778	cd13280;cd07609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold69-snap-gene-0.76-mRNA-1	mobidb-lite	TMhelix	IPR036259	GO:0016021;GO:0055085	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	PTHR11360;PTHR11360:SF224	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold401-snap-gene-0.1-mRNA-1	mobidb-lite	NA	IPR011333	NA	NA	NA	SSF54695	PTHR26379:SF194;PTHR26379	G3DSA:3.30.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold9-snap-gene-0.277-mRNA-1	mobidb-lite	NA	IPR001900	GO:0003723;GO:0004540	PF17877;PF00773;PF17849	NA	SSF50249	PTHR23355;PTHR23355:SF9	G3DSA:2.40.50.700;G3DSA:2.40.50.140;G3DSA:2.40.50.690	NA	NA	SM00955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold18-snap-gene-0.242-mRNA-1	mobidb-lite	NA	IPR000408	NA	PF00415	NA	SSF50985	PTHR22870:SF179;PTHR22870	G3DSA:2.130.10.30	PS00626;PS00625	PR00633	NA	PS50012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold48-processed-gene-0.261-mRNA-1	mobidb-lite	NA	IPR001754	GO:0004590;GO:0006207;GO:0003824	PF00215	NA	SSF51366	PTHR19278;PTHR19278:SF39	G3DSA:3.20.20.70	PS00156	NA	SM00934	NA	cd04725	NA	NA	KEGG: 00240+4.1.1.23|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791|Reactome: R-HSA-500753	NA	NA	NA	NA	NA	NA	NA
maker-scaffold91-snap-gene-0.38-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold154-snap-gene-0.95-mRNA-1	mobidb-lite	NA	IPR001025	GO:0003682;GO:0005524	PF00004;PF17872;PF01426	NA	SSF82061;SSF52540	PTHR10763:SF23;PTHR10763	G3DSA:2.30.30.490;G3DSA:3.40.50.300;G3DSA:1.10.8.1280	NA	NA	SM00382	PS51038	cd00009	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-539107|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
maker-scaffold336-snap-gene-0.2-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-scaffold185-augustus-gene-0.77-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR22938;PTHR22938:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold31-snap-gene-0.202-mRNA-1	mobidb-lite	NA	IPR036887	GO:0003677	NA	NA	SSF54616	PTHR24157:SF0;PTHR24157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold600-snap-gene-0.3-mRNA-1	mobidb-lite	TMhelix	IPR015915	GO:0005515	PF13854	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF50965	PTHR23244;PTHR23244:SF346	G3DSA:2.120.10.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold190-snap-gene-0.23-mRNA-1	NA	NA	IPR029057	GO:0009116	PF14681	NA	SSF53271	PTHR10285:SF90;PTHR10285	G3DSA:3.40.50.2020	NA	NA	NA	NA	cd06223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold149-processed-gene-0.11-mRNA-1	mobidb-lite	TMhelix	IPR030386	GO:0005525	PF05879	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF52540	PTHR14187:SF52;PTHR14187	G3DSA:3.40.50.300	NA	NA	NA	PS51715	cd01851	Coil	NA	NA	MF_03109	NA	NA	NA	NA	NA	NA
snap_masked-scaffold110-processed-gene-0.4-mRNA-1	NA	NA	IPR000218	GO:0003735;GO:0005840;GO:0006412;GO:0015934	PF00238	NA	SSF50193	PTHR11761;PTHR11761:SF3	G3DSA:2.40.150.20	PS00049	NA	SM01374	NA	NA	NA	TIGR01067	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	MF_01367	NA	NA	NA	NA	NA	NA
maker-scaffold139-snap-gene-0.0-mRNA-1	mobidb-lite	NA	IPR029058	GO:0016787	PF07859	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF53474	PTHR23025:SF3;PTHR23025	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold130-snap-gene-0.34-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold16-augustus-gene-0.132-mRNA-1	NA	NA	IPR029058	GO:0016787	PF01738	NA	SSF53474	PTHR17630:SF43;PTHR17630	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold376-snap-gene-0.4-mRNA-1	NA	NA	IPR002637	GO:0009143;GO:0047429	PF01725	NA	SSF52972	PTHR11067	G3DSA:3.90.950.10	NA	NA	NA	NA	NA	NA	NA	KEGG: 00230+3.6.1.66|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold11-processed-gene-0.198-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold78-processed-gene-0.184-mRNA-1	NA	NA	IPR011012	GO:0008565;GO:0030122;GO:0015031	PF01217	NA	SSF64356	PTHR11753:SF6;PTHR11753	G3DSA:3.30.450.60	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-167590|Reactome: R-HSA-177504|Reactome: R-HSA-182218|Reactome: R-HSA-2132295|Reactome: R-HSA-3928665|Reactome: R-HSA-416993|Reactome: R-HSA-437239|Reactome: R-HSA-5099900|Reactome: R-HSA-5140745|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8866427|Reactome: R-HSA-8964038	NA	NA	PIRSF015588	NA	NA	NA	NA
maker-scaffold3-augustus-gene-1.14-mRNA-1	NA	NA	IPR004304	GO:0016811	PF03069	NA	SSF141130	PTHR31891:SF1;PTHR31891	G3DSA:2.60.120.580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold319-processed-gene-0.35-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR40978;PTHR40978:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold2-snap-gene-0.7-mRNA-1	NA	NA	IPR002129	GO:0016831;GO:0019752;GO:0030170	PF00282	NA	SSF53383	PTHR42735;PTHR42735:SF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold239-snap-gene-0.1-mRNA-1	NA	TMhelix	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	PF00083	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR23500:SF50;PTHR23500	G3DSA:1.20.1250.20	PS00216;PS00217	PR00171	NA	PS50850	cd06174	NA	TIGR00879	Reactome: R-HSA-189200	NA	NA	NA	NA	NA	NA	NA
maker-scaffold91-snap-gene-0.45-mRNA-1	mobidb-lite	NA	IPR002155	GO:0016747;GO:0003824	PF02803;PF00108	NA	SSF53901	PTHR43853;PTHR43853:SF5	G3DSA:3.40.47.10	PS00099;PS00737	NA	NA	NA	cd00751	Coil	TIGR01930	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold38-processed-gene-0.181-mRNA-1	NA	NA	IPR029057	GO:0009116;GO:0004588;GO:0006221	PF00156	NA	SSF53271	PTHR19278:SF36;PTHR19278	G3DSA:3.40.50.2020	NA	NA	NA	NA	cd06223	NA	TIGR00336	KEGG: 00240+2.4.2.10|KEGG: 00983+2.4.2.10|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791|Reactome: R-HSA-500753	MF_01208	NA	NA	NA	NA	NA	NA
maker-scaffold163-augustus-gene-0.30-mRNA-1	NA	NA	IPR020550	GO:0046854;GO:0008934;GO:0046855	PF00459	NA	SSF56655	PTHR20854:SF4;PTHR20854	G3DSA:3.30.540.10;G3DSA:3.40.190.80	PS00630;PS00629	PR00377	NA	NA	cd01639	NA	NA	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	NA	NA	NA	NA	NA	NA	NA
maker-scaffold465-snap-gene-0.2-mRNA-1	NA	NA	IPR004023	GO:0008380;GO:0035145;GO:0005634	PF02792	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF89817	PTHR12638	G3DSA:3.30.1560.10	NA	NA	NA	NA	cd11295	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold490-processed-gene-0.26-mRNA-1	NA	TMhelix	IPR023395	GO:0022857	PF00153	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103506	PTHR24089:SF438;PTHR24089	G3DSA:1.50.40.10	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold90-processed-gene-0.127-mRNA-1	NA	NA	IPR012677	GO:0003676	NA	NA	SSF54928	PTHR13976	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold77-augustus-gene-0.98-mRNA-1	mobidb-lite	NA	IPR003593	GO:0000808;GO:0003677;GO:0005634;GO:0006260	PF14629;PF00628;PF13191	NA	SSF52540;SSF57903	PTHR12087	G3DSA:3.40.50.300;G3DSA:3.30.40.10	NA	NA	SM00382;SM00249	PS50016	cd15492;cd00009	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold8-processed-gene-0.222-mRNA-1	NA	TMhelix	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold580-processed-gene-0.8-mRNA-1	NA	TMhelix	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	PTHR23033;PTHR23033:SF34	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold303-processed-gene-0.46-mRNA-1	mobidb-lite	NA	IPR006845		PF04757	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR44415	NA	NA	NA	NA	NA	cd16526	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-scaffold717-snap-gene-0.7-mRNA-1	mobidb-lite	NA	IPR013922	GO:0000079;GO:0019901	PF08613	NA	NA	PTHR15615;PTHR15615:SF36	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold9-augustus-gene-0.239-mRNA-1	mobidb-lite	NA	IPR010816	NA	PF07217	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	PTHR14905;PTHR14905:SF11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
maker-scaffold172-snap-gene-0.19-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold299-processed-gene-0.6-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold325-processed-gene-0.3-mRNA-1	NA	NA	IPR011008	NA	PF00561	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF54909;SSF53474	PTHR43039:SF3;PTHR43039	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold13-snap-gene-0.11-mRNA-1	NA	NA	IPR023600	GO:0004326;GO:0005524;GO:0009396;GO:0009058;GO:0016874	PF08245	NA	SSF53623;SSF53244	PTHR11136:SF4;PTHR11136	G3DSA:3.90.190.20;G3DSA:3.40.1190.10	PS01011;PS01012	NA	NA	NA	NA	Coil	TIGR01499	KEGG: 00790+6.3.2.17|MetaCyc: PWY-2161|Reactome: R-HSA-196757	NA	NA	PIRSF038895	NA	NA	NA	NA
maker-scaffold473-snap-gene-0.1-mRNA-1	NA	NA	IPR009057	GO:0003677;GO:0006355	PF05920	NA	SSF46689	PTHR11850	G3DSA:1.10.10.60	NA	NA	SM00389	PS50071	cd00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold8-snap-gene-0.39-mRNA-1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0016787	PF07859;PF11951;PF00172	NA	SSF53474;SSF57701	PTHR23024:SF103;PTHR23024	G3DSA:4.10.240.10;G3DSA:3.40.50.1820	PS00463	NA	SM00066	PS50048	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold122-processed-gene-0.1-mRNA-1	NA	TMhelix	IPR040241	NA	PF06011	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR31145;PTHR31145:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold4-processed-gene-0.91-mRNA-1	NA	NA	IPR003819	GO:0016491;GO:0055114	PF02668	NA	SSF51197	PTHR10696:SF30;PTHR10696	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold105-processed-gene-0.94-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR31313;PTHR31313:SF45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold97-processed-gene-0.16-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold48-processed-gene-0.234-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold18-processed-gene-0.91-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold276-snap-gene-0.88-mRNA-1	mobidb-lite	TMhelix	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF02535	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR11040;PTHR11040:SF60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold51-processed-gene-0.42-mRNA-1	NA	TMhelix	IPR036259	GO:0016021;GO:0055085	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR23520	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold393-processed-gene-0.5-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold52-processed-gene-0.146-mRNA-1	mobidb-lite	NA	IPR036236	GO:0008270;GO:0003676;GO:0000398	PF06220	NA	SSF57667	PTHR13173	NA	NA	NA	SM00451	NA	NA	Coil	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA
maker-scaffold178-augustus-gene-0.1-mRNA-1	NA	NA	IPR000101	GO:0006751;GO:0036374	PF01019	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	SSF56235	PTHR11686;PTHR11686:SF9	G3DSA:1.10.246.130;G3DSA:3.60.20.40	NA	PR01210	NA	NA	NA	NA	NA	KEGG: 00430+2.3.2.2|KEGG: 00460+2.3.2.2|KEGG: 00480+2.3.2.2+3.4.19.13|MetaCyc: PWY-4041|MetaCyc: PWY-4061|MetaCyc: PWY-5826|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7559|MetaCyc: PWY-8001	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
augustus_masked-scaffold6-processed-gene-0.251-mRNA-1	NA	NA	IPR029058	GO:0016787	PF07859	NA	SSF53474	PTHR23024:SF248;PTHR23024	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold367-snap-gene-0.3-mRNA-1	mobidb-lite	NA	IPR009072	GO:0046982;GO:0005669;GO:0006352;GO:0000124;GO:0046695	PF03847	NA	SSF47113	PTHR12264:SF21;PTHR12264	G3DSA:1.10.20.10	NA	NA	NA	NA	cd07981	Coil	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-3214847|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	PD012998
maker-scaffold21-augustus-gene-0.16-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold170-processed-gene-0.91-mRNA-1	NA	TMhelix	IPR009571	GO:0005886	PF06687	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR28019:SF3;PTHR28019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold87-snap-gene-0.140-mRNA-1	mobidb-lite	NA	IPR004274	GO:0016791	PF03031	NA	SSF56784	PTHR12210:SF29;PTHR12210	G3DSA:3.40.50.1000	NA	NA	SM00577	PS50969	cd07521	NA	TIGR02251	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold512-processed-gene-0.17-mRNA-1	mobidb-lite	NA	IPR036910	NA	PF00505	NA	SSF47095	PTHR10270:SF246;PTHR10270	G3DSA:1.10.30.10	NA	NA	SM00398	PS50118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold212-snap-gene-0.4-mRNA-1	mobidb-lite	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold293-augustus-gene-0.2-mRNA-1	NA	TMhelix	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF48264	PTHR24305:SF92;PTHR24305	G3DSA:1.10.630.10	PS00086	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold39-processed-gene-0.106-mRNA-1	mobidb-lite	NA	IPR038187	GO:0005854	PF01849	NA	NA	PTHR21713	G3DSA:2.20.70.30;G3DSA:1.10.8.10	NA	NA	SM01407	PS51151	cd14358	NA	NA	NA	NA	NA	PIRSF015901	NA	NA	NA	NA
maker-scaffold243-snap-gene-0.119-mRNA-1	mobidb-lite	NA	IPR018805	NA	PF10287;PF10290	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	PTHR31737;PTHR31737:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
maker-scaffold195-snap-gene-0.74-mRNA-1	mobidb-lite	NA	IPR002562	GO:0003676;GO:0006139;GO:0008408;GO:0005622;GO:0000166;GO:0003824;GO:0044237;GO:0000176;GO:0006396	PF01612;PF08066;PF00570	NA	SSF53098;SSF47819	PTHR12124:SF47;PTHR12124	G3DSA:1.10.150.80;G3DSA:3.30.420.500	NA	NA	SM00474;SM00341	PS50967	cd06147	Coil	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
