Gene	interpro	GO	SUPERFAMILY	Pfam	PANTHER	Gene3D	SignalP_GRAM_POSITIVE	CDD	MobiDBLite	SMART	ProSiteProfiles	Phobius	ProSitePatterns	Coils	TMHMM	PATHWAY	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	TIGRFAM	Hamap	ProDom	PIRSF	SFLD
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-3.22-mRNA-1	IPR017877	GO:0003677	SSF46689	PF13921;PF07529	PTHR10799:SF599;PTHR10799	G3DSA:1.10.10.60	NA	cd00167	mobidb-lite	SM00717;SM00573	PS50090;PS51204	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_410206_cov_63.795695-augustus-gene-3.17-mRNA-1	IPR001680	GO:0005515;GO:0010997;GO:0097027;GO:1904668	SSF50978	PF00400;PF12894	PTHR19918	G3DSA:2.130.10.10	NA	NA	mobidb-lite	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_68_length_116773_cov_66.470886-processed-gene-0.20-mRNA-1	IPR002068	NA	SSF49764	PF00011	PTHR43670:SF5;PTHR43670	G3DSA:2.60.40.790	NA	cd06464	mobidb-lite	NA	PS01031	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_277357_cov_64.339956-augustus-gene-1.14-mRNA-1	NA	NA	NA	NA	PTHR39601:SF2;PTHR39601	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_245411_cov_62.928797-augustus-gene-0.4-mRNA-1	IPR019382	GO:0003743;GO:0005737;GO:0005852	NA	PF10255	PTHR13242:SF0;PTHR13242	NA	NA	NA	NA	NA	PS50250	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	MF_03011	NA	NA	NA
augustus_masked-NODE_101_length_48865_cov_59.438549-processed-gene-0.0-mRNA-1	IPR020843	GO:0016491;GO:0003824;GO:0031177;GO:0016740;GO:0055114	SSF50129;SSF52151;SSF53901;SSF47336;SSF51735	PF00550;PF00698;PF16197;PF08659;PF02801;PF08240	PTHR43775:SF10;PTHR43775	G3DSA:1.10.1200.10;G3DSA:3.30.70.3290;G3DSA:3.90.180.10;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.40.47.10	NA	cd05274;cd05195	NA	SM00829;SM00827;SM00822;SM00823	PS50075	NA	PS00012	NA	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_285491_cov_61.729170-augustus-gene-0.33-mRNA-1	IPR013906	GO:0003743;GO:0005737;GO:0005852	NA	PF08597	PTHR21681	G3DSA:1.10.246.60	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	MF_03009	NA	NA	NA
maker-NODE_23_length_388669_cov_60.231074-augustus-gene-2.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_285618_cov_58.526770-processed-gene-0.32-mRNA-1	IPR022495	GO:0004674;GO:0004672;GO:0006468;GO:0005524	SSF56112	PF06293	PTHR12209	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	NA	SM00220	PS50011	NA	PS00109	NA	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	NA	NA	NA	TIGR03724	NA	NA	NA	NA
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-4.10-mRNA-1	NA	NA	NA	NA	PTHR15549	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_390111_cov_61.126862-augustus-gene-2.22-mRNA-1	NA	NA	NA	NA	PTHR36460	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_355571_cov_60.543135-processed-gene-2.57-mRNA-1	IPR001810	GO:0005515	SSF81383	PF13369;PF12937	PTHR31350:SF11;PTHR31350	G3DSA:1.20.1280.50	NA	NA	NA	SM00256	PS50181	NA	NA	NA	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_390111_cov_61.126862-augustus-gene-1.40-mRNA-1	IPR037238	NA	SSF143990	PF08719	PTHR45334	G3DSA:1.10.357.40	NA	cd15457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR02464	NA	NA	NA	NA
augustus_masked-NODE_17_length_449563_cov_64.535306-processed-gene-2.16-mRNA-1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	PF00067	PTHR24305;PTHR24305:SF148	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_645185_cov_64.840346-augustus-gene-2.43-mRNA-1	IPR027409	GO:0005524;GO:0006457;GO:0051082	SSF52029;SSF48592;SSF54849	PF00118	PTHR11353:SF78;PTHR11353	G3DSA:1.10.560.10;G3DSA:3.50.7.10	NA	cd03341	NA	NA	NA	NA	PS00750	NA	NA	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	PR00304	NA	NA	TIGR02346	NA	NA	NA	NA
augustus_masked-NODE_32_length_290623_cov_59.405479-processed-gene-0.0-mRNA-1	IPR004640	GO:0001671;GO:0051087;GO:0097428;GO:0051259	SSF46565;SSF47144	PF07743	PTHR14021:SF15;PTHR14021	G3DSA:1.10.287.110;G3DSA:1.20.1280.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	NA	NA	NA	TIGR00714	NA	NA	NA	NA
maker-NODE_6_length_849364_cov_61.265323-augustus-gene-1.32-mRNA-1	IPR036291	NA	SSF51735	PF13561	PTHR43296;PTHR43296:SF3	G3DSA:3.40.50.720	NA	cd05369	NA	NA	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_410206_cov_63.795695-processed-gene-0.2-mRNA-1	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	SSF48264	PF00067	PTHR24305;PTHR24305:SF149	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	PS00086	NA	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_536238_cov_57.715738-processed-gene-1.34-mRNA-1	IPR007206	NA	SSF48371	PF04064;PF04063	PTHR13387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_77_length_88129_cov_63.340322-augustus-gene-0.12-mRNA-1	IPR021013	GO:0070072	NA	PF11712	PTHR31394	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_410206_cov_63.795695-processed-gene-2.18-mRNA-1	IPR022343	GO:0004930;GO:0007186;GO:0016021;GO:0004888;GO:0007166	SSF81321	PF00002	PTHR23112:SF22;PTHR23112	G3DSA:1.20.1070.10	NA	NA	NA	NA	PS50261	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	PR02001	NA	NA	NA	NA	NA	NA	NA
maker-NODE_56_length_178877_cov_57.256297-augustus-gene-0.37-mRNA-1	IPR013763	NA	SSF47954	PF16899;PF00134	PTHR10026:SF8;PTHR10026	G3DSA:1.10.472.10	NA	cd00043	mobidb-lite	SM00385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-5.21-mRNA-1	IPR027417	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SSF52540;SSF90123	PF00664;PF00005	PTHR24223	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	cd03250;cd03244	NA	SM00382	PS50893;PS50929	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS00211	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_309253_cov_63.563806-augustus-gene-2.67-mRNA-1	IPR036910	NA	SSF47095	NA	NA	G3DSA:1.10.30.10	SignalP-TM	cd01390	mobidb-lite	SM00398	PS50118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_260034_cov_65.474450-augustus-gene-1.81-mRNA-1	IPR021133	NA	SSF48371	PF13646	PTHR10648:SF4;PTHR10648	G3DSA:1.25.10.10	NA	NA	NA	NA	PS50077	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_437960_cov_63.438948-processed-gene-3.36-mRNA-1	IPR000340	GO:0008138;GO:0016311;GO:0004725;GO:0016791	SSF53474;SSF52799	PF00782;PF12697	PTHR10367:SF6;PTHR10367	G3DSA:3.90.190.10;G3DSA:3.40.50.1820	NA	NA	NA	NA	PS50056	NA	PS00383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_868829_cov_62.810630-augustus-gene-3.30-mRNA-1	IPR017785	GO:0008484;GO:0003824	SSF53649	PF00884;PF12411	PTHR10342:SF261;PTHR10342	G3DSA:3.40.720.10	NA	cd16032	NA	NA	NA	NA	PS00149	NA	NA	NA	NA	NA	NA	TIGR03417	NA	NA	NA	NA
maker-NODE_30_length_301663_cov_62.554438-augustus-gene-2.30-mRNA-1	IPR036188	GO:0071949	SSF51905	PF01494	PTHR13789	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_73_length_101209_cov_54.810481-processed-gene-0.10-mRNA-1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	PF00172	NA	G3DSA:4.10.240.10	NA	cd00067	mobidb-lite	SM00066	PS50048	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_309253_cov_63.563806-processed-gene-0.4-mRNA-1	IPR020846	GO:0016021;GO:0055085	SSF103473	PF07690	PTHR23511:SF5;PTHR23511	G3DSA:1.20.1250.20	NA	cd06174	mobidb-lite	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_619819_cov_63.830454-augustus-gene-5.39-mRNA-1	IPR001965	GO:0045322;GO:0048188	SSF57903	PF00628	PTHR12321:SF99;PTHR12321	G3DSA:3.30.40.10	NA	cd15552	mobidb-lite	SM00249	PS50016	NA	PS01359	Coil	NA	Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_69_length_112865_cov_56.706621-processed-gene-0.10-mRNA-1	NA	NA	NA	NA	PTHR42047	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-6.5-mRNA-1	IPR001736	GO:0003824	SSF56024	PF13091	PTHR21248:SF11;PTHR21248	G3DSA:3.30.870.10	NA	cd00138	NA	NA	PS50035	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	Reactome: R-HSA-1483148	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_981360_cov_65.668740-augustus-gene-7.39-mRNA-1	IPR003764	GO:0006044;GO:0008448;GO:0016810;GO:0016787	SSF51338;SSF51556	PF01979	PTHR11113:SF14;PTHR11113	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	cd00854	NA	NA	NA	NA	NA	NA	NA	KEGG: 00052+3.5.1.25|KEGG: 00520+3.5.1.25|MetaCyc: PWY-6906|MetaCyc: PWY-7077|MetaCyc: PWY-7395|Reactome: R-HSA-446210	NA	NA	NA	TIGR00221	NA	NA	PIRSF038994	NA
maker-NODE_83_length_79604_cov_67.059124-augustus-gene-0.5-mRNA-1	IPR001163	GO:0000398;GO:0005688;GO:0046540	SSF50182	PF01423	PTHR15588:SF9;PTHR15588	G3DSA:2.30.30.100	NA	cd01727	NA	SM00651	NA	NA	NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-5.0-mRNA-1	IPR000198	GO:0007165	SSF48350	PF00620	PTHR15228;PTHR15228:SF25	G3DSA:1.10.555.10	NA	cd04396	mobidb-lite	SM00324	PS50238	NA	NA	NA	NA	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1091443_cov_63.945247-augustus-gene-9.21-mRNA-1	IPR013866	GO:0016021;GO:0030148;GO:0042284;GO:0006629	NA	PF08557;PF00487	PTHR12879;PTHR12879:SF8	NA	NA	cd03508	NA	SM01269	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	KEGG: 00600+1.14.19.17|MetaCyc: PWY-5129|Reactome: R-HSA-1660661	NA	NA	NA	NA	NA	NA	PIRSF017228	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-0.9-mRNA-1	IPR001303	NA	SSF53639	PF00596	PTHR10672;PTHR10672:SF25	G3DSA:3.40.225.10	NA	NA	NA	SM01007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_391651_cov_54.823929-augustus-gene-2.18-mRNA-1	IPR007865	GO:0004177;GO:0030145	SSF55920;SSF53092	PF05195;PF00557	PTHR43226;PTHR43226:SF3	G3DSA:3.40.350.10;G3DSA:3.90.230.10	NA	cd01087	NA	SM01011	NA	NA	PS00491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_65_length_123868_cov_60.030467-processed-gene-0.5-mRNA-1	IPR015424	GO:0003824;GO:0009058;GO:0030170	SSF53383	PF00155	PTHR13693:SF77;PTHR13693	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-5.41-mRNA-1	IPR001940	GO:0004252;GO:0006508;GO:0005515	SSF50156;SSF50494	PF12812;PF13365	PTHR22939;PTHR22939:SF66	G3DSA:2.30.42.10;G3DSA:2.40.10.120	NA	cd00987	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PR00834	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_388669_cov_60.231074-processed-gene-2.65-mRNA-1	IPR007704	GO:0006506;GO:0016021;GO:0016758	NA	PF05007	PTHR12886	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	TMhelix	Reactome: R-HSA-162710	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_221422_cov_64.839789-augustus-gene-0.13-mRNA-1	IPR001606	GO:0003677;GO:0006355	SSF48371;SSF46774	PF01388	PTHR13964;PTHR13964:SF38	G3DSA:1.10.150.60;G3DSA:3.30.160.60	NA	NA	mobidb-lite	SM00501;SM01014	PS51011;PS51526	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-3.33-mRNA-1	IPR008506	NA	NA	PF05620	PTHR13505	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-1.12-mRNA-1	IPR039295	GO:0005034;GO:0005887;GO:0007232	NA	NA	PTHR35778	NA	SignalP-TM	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NODE_12_length_536238_cov_57.715738-augustus-gene-1.20-mRNA-1	IPR036224	GO:0005634;GO:0006260	SSF158573	PF05916	PTHR12772	G3DSA:3.40.5.50;G3DSA:1.20.58.1020	NA	cd11712	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-176974	NA	NA	NA	NA	NA	NA	PIRSF028998	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-1.28-mRNA-1	IPR029063	GO:0008168	SSF53335	NA	PTHR22807:SF4;PTHR22807	G3DSA:3.30.70.1170	NA	NA	mobidb-lite	NA	PS51686	NA	NA	Coil	NA	NA	PR02008	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_925979_cov_65.326036-processed-gene-4.28-mRNA-1	IPR006640	NA	NA	PF10263	PTHR21220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_981360_cov_65.668740-augustus-gene-1.0-mRNA-1	IPR013087	GO:0003676;GO:0003700	NA	NA	PTHR23225:SF2;PTHR23225	G3DSA:3.30.160.60	NA	NA	mobidb-lite	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_77_length_88129_cov_63.340322-augustus-gene-0.2-mRNA-1	IPR011583	GO:0008061;GO:0005975;GO:0004553	SSF54556;SSF51445	PF00704	PTHR11177;PTHR11177:SF303	G3DSA:3.20.20.80;G3DSA:3.10.50.10	SignalP-TM	cd06548	NA	SM00636	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PS01095	NA	TMhelix	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_285491_cov_61.729170-processed-gene-0.5-mRNA-1	IPR007130	GO:0016747	SSF69593	PF03982	PTHR12317:SF0;PTHR12317	NA	NA	cd07987	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_244374_cov_61.795191-augustus-gene-1.70-mRNA-1	IPR014001	GO:0003676;GO:0005524	SSF52540	PF00271;PF00270;PF13959	PTHR24031;PTHR24031:SF54	G3DSA:3.40.50.300	NA	cd00268;cd00079	mobidb-lite	SM00487;SM01178;SM00490	PS51192;PS51194;PS51195	NA	PS00039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_388669_cov_60.231074-augustus-gene-2.30-mRNA-1	IPR038988	GO:0033255;GO:0016573	NA	PF15460	PTHR38422	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_925979_cov_65.326036-processed-gene-8.13-mRNA-1	IPR001783		SSF63380	PF00677	PTHR21098;PTHR21098:SF0	G3DSA:2.40.30.20	NA	cd00402	NA	NA	PS51177	NA	NA	NA	NA	KEGG: 00740+2.5.1.9|MetaCyc: PWY-6167|MetaCyc: PWY-6168	NA	NA	NA	TIGR00187	NA	NA	PIRSF000498	NA
augustus_masked-NODE_35_length_281661_cov_61.178106-processed-gene-1.61-mRNA-1	IPR024657	GO:0005515;GO:0018024;GO:0034968;GO:0048188	SSF82199	PF11764;PF00856	PTHR22884;PTHR22884:SF462	G3DSA:2.170.270.10	NA	NA	mobidb-lite	SM00508;SM00317;SM01291	PS50280;PS50868	NA	NA	NA	NA	KEGG: 00310+2.1.1.43|Reactome: R-HSA-3214841|Reactome: R-HSA-8936459	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_388669_cov_60.231074-processed-gene-2.81-mRNA-1	IPR001683	GO:0035091	SSF64268	PF00787	PTHR10555;PTHR10555:SF208	G3DSA:3.30.1520.10	NA	NA	mobidb-lite	NA	PS50195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_391651_cov_54.823929-processed-gene-2.55-mRNA-1	IPR029058	GO:0006629	SSF53474	PF01764	PTHR21493:SF232;PTHR21493	G3DSA:3.40.50.1820	SignalP-TM	cd00519	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	Reactome: R-HSA-426048	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_925979_cov_65.326036-processed-gene-0.12-mRNA-1	IPR021463	NA	NA	PF11312	NA	NA	SignalP-TM	NA	NA	NA	PS51257	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_281661_cov_61.178106-processed-gene-0.13-mRNA-1	IPR002893	NA	SSF48371;SSF144232	PF01753	PTHR12197;PTHR12197:SF168	G3DSA:3.30.60.180	NA	NA	mobidb-lite	NA	PS50865	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_536238_cov_57.715738-processed-gene-3.25-mRNA-1	IPR001253	GO:0003743;GO:0006413;GO:0003723;GO:0016791	SSF50249;SSF56784	PF01176;PF12710	PTHR32440:SF21;PTHR32440	G3DSA:3.40.50.1000;G3DSA:2.40.50.140;G3DSA:3.90.1470.20	NA	NA	mobidb-lite	SM00652	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01488;TIGR01489	NA	NA	NA	NA
augustus_masked-NODE_108_length_44645_cov_66.303068-processed-gene-0.5-mRNA-1	IPR018198	GO:0003879;GO:0000105;GO:0005737	SSF53850	PF01634	PTHR21403:SF0;PTHR21403	G3DSA:3.40.190.10	NA	NA	NA	NA	NA	NA	PS01316	NA	NA	KEGG: 00340+2.4.2.17	NA	NA	NA	TIGR00070	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-1.10-mRNA-1	IPR021858	NA	NA	PF11951	PTHR12526:SF531;PTHR12526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_263057_cov_61.801365-augustus-gene-1.14-mRNA-1	IPR011035	GO:0006412;GO:0004812;GO:0005524;GO:0043039;GO:0000166;GO:0004818;GO:0005737;GO:0006424;GO:0006418	SSF50715;SSF47616;SSF52374	PF00749;PF03950	PTHR43097:SF5;PTHR43097	G3DSA:2.40.240.10;G3DSA:3.40.50.620;G3DSA:1.20.1050.10	NA	NA	mobidb-lite	NA	NA	NA	PS00178	NA	NA	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	PR00987	NA	NA	TIGR00463	MF_02076	NA	NA	NA
augustus_masked-NODE_7_length_845801_cov_64.679335-processed-gene-7.61-mRNA-1	IPR013506	GO:0003677;GO:0003918;GO:0005524;GO:0006265;GO:0006259	SSF54211;SSF55874;SSF56719	PF00204;PF16898;PF02518;PF01751;PF00521	PTHR10169;PTHR10169:SF38	G3DSA:3.30.1360.40;G3DSA:3.30.1490.30;G3DSA:3.90.199.10;G3DSA:3.40.50.670;G3DSA:1.10.268.10;G3DSA:3.30.230.10;G3DSA:3.30.565.10	NA	cd03365;cd00075;cd03481;cd00187	mobidb-lite	SM00434;SM00433	PS50880	NA	NA	Coil	NA	Reactome: R-HSA-4615885	PR00418;PR01158	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_868829_cov_62.810630-processed-gene-0.7-mRNA-1	IPR001005	GO:0003677	SSF46689	PF00249	PTHR23246;PTHR23246:SF12	G3DSA:1.10.10.60	NA	cd00167	mobidb-lite	NA	PS50090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_712399_cov_64.450715-processed-gene-1.18-mRNA-1	IPR036440	GO:0016787	SSF53182;SSF56784	PF13419;PF01470	PTHR43481:SF4;PTHR43481	G3DSA:3.40.50.1000;G3DSA:3.40.630.20;G3DSA:1.10.150.240	NA	cd07527	NA	NA	NA	NA	NA	NA	NA	MetaCyc: PWY-7942	NA	NA	NA	TIGR01509	NA	NA	NA	SFLDG01129;SFLDG01135
augustus_masked-NODE_14_length_515982_cov_63.869335-processed-gene-4.46-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
