Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
augustus_masked-NODE_60_length_127260_cov_57.881667-processed-gene-0.167-mRNA-1	PTHR43481;PTHR43481:SF4	NA	IPR023214	GO:0016787	NA	PF13419	NA	NA	NA	NA	NA	G3DSA:3.40.50.1000	SSF56784	NA	NA	NA	NA	TIGR01509	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_236980_cov_57.581306-snap-gene-0.181-mRNA-1	PTHR43888;PTHR43888:SF12	NA	IPR036410	GO:0031072;GO:0051082;GO:0006457;GO:0005524;GO:0009408	NA	PF00684;PF00226;PF01556	NA	mobidb-lite	NA	PS00636	cd10719;cd06257;cd10747	G3DSA:2.10.230.10;G3DSA:1.10.287.110;G3DSA:2.60.260.20	SSF57938;SSF46565;SSF49493	PS50076;PS51188	SM00271	PR00625	NA	NA	NA	NA	NA	MF_01152	NA	NA
maker-NODE_11_length_511883_cov_58.263260-augustus-gene-2.181-mRNA-1	PTHR11014;PTHR11014:SF16	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR036264	GO:0004181;GO:0016787	NA	PF07687;PF01546	NA	NA	NA	NA	cd05674	G3DSA:3.40.630.10	SSF55031;SSF53187	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	PIRSF037217	NA
maker-NODE_20_length_387202_cov_58.679540-snap-gene-2.574-mRNA-1	PTHR18947	NA	IPR008636	NA	NA	PF05622	NA	NA	Coil	NA	NA	G3DSA:1.10.418.10	SSF116907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_8_length_558485_cov_55.498657-processed-gene-2.137-mRNA-1	PTHR12131;PTHR12131:SF1	NA	IPR001650	GO:0016817	NA	PF00271;PF18147;PF12513	NA	mobidb-lite	NA	NA	cd00046;cd00079	G3DSA:3.40.50.300;G3DSA:1.20.58.1080;G3DSA:1.20.272.40	SSF52540	PS51194;PS51192	SM00490	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-3.48-mRNA-1	PTHR13789;PTHR13789:SF205	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	IPR002938	GO:0071949;GO:0004502;GO:0006569;GO:0019805	KEGG: 00380+1.14.13.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7765|Reactome: R-HSA-71240	PF01494	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	SSF51905	NA	NA	PR00420	NA	NA	NA	NA	NA	MF_01971	NA	NA
maker-NODE_24_length_361226_cov_55.322806-augustus-gene-1.13-mRNA-1	PTHR10639;PTHR10639:SF7	NA	IPR000996	GO:0005198;GO:0006886;GO:0016192;GO:0030130;GO:0030132	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-432720|Reactome: R-HSA-5099900|Reactome: R-HSA-5140745|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	PF01086	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_409824_cov_57.109259-processed-gene-2.178-mRNA-1	PTHR14089;PTHR14089:SF2	NA	IPR000571	GO:0046872;GO:0003676;GO:0003723;GO:0000398;GO:0000387;GO:0017070;GO:0036002;GO:0045292	Reactome: R-HSA-72163	PF16131;PF00076	NA	mobidb-lite	NA	NA	cd12360	G3DSA:3.30.70.330	SSF54928	PS50103;PS50102	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_344838_cov_59.331504-processed-gene-2.91-mRNA-1	PTHR12385:SF73;PTHR12385	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR007603		Reactome: R-HSA-1483191|Reactome: R-HSA-425366	PF04515	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_345928_cov_56.170083-processed-gene-2.285-mRNA-1	PTHR13270	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_56_length_143953_cov_48.658316-processed-gene-0.212-mRNA-1	PTHR24012:SF491;PTHR24012	NA	IPR035979	GO:0003676;GO:0003723	NA	PF00658;PF00076	NA	mobidb-lite	Coil	NA	cd12378;cd12379;cd12380;cd12381	G3DSA:3.30.70.330;G3DSA:1.10.1900.10	SSF54928;SSF63570	PS50102;PS51309	SM00361;SM00360;SM00517	NA	NA	TIGR01628	NA	NA	NA	NA	NA	NA
maker-NODE_59_length_127638_cov_50.623397-snap-gene-0.204-mRNA-1	PTHR31944	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	NA	mobidb-lite	NA	PS00463	cd00067;cd12148	G3DSA:4.10.240.10	SSF57701	PS50048	SM00066	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_434291_cov_56.144257-snap-gene-2.20-mRNA-1	NA	NA	IPR011990	GO:0005515	NA	NA	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_752009_cov_57.006766-processed-gene-5.42-mRNA-1	PTHR14596;PTHR14596:SF64	NA	IPR013087	GO:0003676	NA	PF00096	NA	mobidb-lite	Coil	PS00028	NA	G3DSA:3.30.160.60	SSF57667	PS50157	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_330426_cov_57.138596-snap-gene-2.3-mRNA-1	PTHR24031:SF54;PTHR24031	NA	IPR000629	GO:0003676;GO:0005524	NA	PF13959;PF00271;PF00270	NA	mobidb-lite	Coil	PS00039	cd00268;cd00079	G3DSA:3.40.50.300	SSF52540	PS51192;PS51194	SM01178;SM00490;SM00487	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_29_length_304748_cov_57.569130-processed-gene-2.1-mRNA-1	PTHR10837:SF8;PTHR10837	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	IPR036556	GO:0004668;GO:0005509;GO:0005737;GO:0018101	MetaCyc: PWY-4921|Reactome: R-HSA-3247509	PF03068	NA	mobidb-lite	NA	NA	NA	G3DSA:3.75.10.10	SSF110083;SSF55909	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_53_length_149878_cov_57.089161-snap-gene-0.368-mRNA-1	PTHR11040:SF87;PTHR11040	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PF02535	TMhelix	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_160537_cov_57.630279-snap-gene-0.96-mRNA-1	PTHR23235	NA	IPR013087	GO:0003676	NA	PF00096	NA	mobidb-lite	Coil	NA	NA	G3DSA:3.30.160.60	SSF57667	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_764473_cov_58.504620-processed-gene-1.230-mRNA-1	PTHR19443:SF16;PTHR19443	NA	IPR022672	GO:0005524;GO:0005975;GO:0016773;GO:0004396;GO:0006096;GO:0001678;GO:0005536	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	PF00349;PF03727	NA	NA	NA	PS00378	cd00012	G3DSA:3.40.367.20;G3DSA:3.30.420.40	SSF53067	PS51748	NA	PR00475	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_304748_cov_57.569130-protein2genome-gene-0.97-mRNA-1	PTHR24279:SF85;PTHR24279	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037;GO:0004497	NA	PF00067	TMhelix	NA	NA	PS00086	NA	G3DSA:1.10.630.10	SSF48264	NA	NA	PR00465	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_9_length_540689_cov_55.537295-processed-gene-4.76-mRNA-1	PTHR24056;PTHR24056:SF92	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	mobidb-lite	NA	PS00108	NA	G3DSA:3.30.200.20	SSF56112	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_307899_cov_56.759910-snap-gene-0.35-mRNA-1	PTHR43677:SF4;PTHR43677	NA	IPR020843	GO:0016491;GO:0055114;GO:0008270	NA	PF00107	NA	NA	NA	PS01162	cd08241	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF51735;SSF50129	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_387202_cov_58.679540-snap-gene-2.542-mRNA-1	PTHR13884;PTHR13884:SF8	NA	IPR027417	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-4.55-mRNA-1	PTHR12203;PTHR12203:SF57	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	IPR006598	NA	NA	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_51_length_158936_cov_54.945186-snap-gene-0.1-mRNA-1	PTHR18929	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR011679	GO:0005783;GO:0016853;GO:0045454	NA	PF07749;PF00085	NA	NA	NA	PS00194	cd00238;cd02998	G3DSA:1.20.1150.12;G3DSA:3.40.30.10	SSF52833;SSF47933	PS51352	NA	PR00421	NA	TIGR01126	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_8_length_558485_cov_55.498657-snap-gene-1.189-mRNA-1	PTHR12755:SF6;PTHR12755	NA	IPR038239	GO:0005849;GO:0031124	Reactome: R-HSA-109688|Reactome: R-HSA-6784531|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	PF16573;PF16575;PF06807	NA	NA	NA	NA	cd00009	G3DSA:2.60.120.1030;G3DSA:3.30.70.2410;G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	MF_03035	NA	NA
maker-NODE_12_length_504385_cov_59.758304-augustus-gene-1.185-mRNA-1	PTHR10606;PTHR10606:SF44	NA	IPR003094	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-70171	PF00300;PF01591	NA	NA	NA	PS00175	cd07067	G3DSA:3.40.50.300;G3DSA:3.40.50.1240	SSF53254;SSF52540	NA	SM00855	PR00991	NA	NA	NA	NA	NA	NA	PIRSF000709	NA
maker-NODE_40_length_236980_cov_57.581306-snap-gene-1.176-mRNA-1	PTHR21148:SF12;PTHR21148	NA	IPR001200	NA	NA	PF02114	NA	mobidb-lite	NA	NA	cd02987	G3DSA:3.40.30.10	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_639344_cov_58.481605-snap-gene-5.250-mRNA-1	PTHR13286:SF6;PTHR13286	NA	IPR024145	GO:0005515	Reactome: R-HSA-3214815|Reactome: R-HSA-427413	PF13867	NA	mobidb-lite	NA	NA	NA	G3DSA:1.10.720.110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_540689_cov_55.537295-snap-gene-0.48-mRNA-1	PTHR35392;PTHR35392:SF3	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	mobidb-lite	Coil	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-13.111-mRNA-1	PTHR24305;PTHR24305:SF35	SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	NA	Coil	NA	NA	G3DSA:1.10.630.10	SSF48264	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_387202_cov_58.679540-snap-gene-0.19-mRNA-1	PTHR18916	NA	IPR036859	GO:0005515	NA	PF14560;PF01302	NA	NA	NA	NA	NA	G3DSA:2.30.30.190;G3DSA:3.10.20.90	SSF54236;SSF74924	PS50245	SM01052	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_237138_cov_60.081954-snap-gene-1.356-mRNA-1	PTHR15241	NA	IPR035979	GO:0003676	NA	PF00076	NA	mobidb-lite	NA	NA	NA	G3DSA:3.30.70.330	SSF54928	PS50102	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_330426_cov_57.138596-snap-gene-0.11-mRNA-1	PTHR42877:SF5;PTHR42877	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PF00743	TMhelix	NA	NA	NA	NA	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_266141_cov_58.906685-augustus-gene-1.11-mRNA-1	PTHR16099	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	IPR000086	GO:0016787	NA	PF00293	NA	NA	NA	NA	cd04678	G3DSA:3.90.79.10	SSF55811	PS51462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_473568_cov_57.795694-snap-gene-3.23-mRNA-1	PTHR10288;PTHR10288:SF222	NA	IPR036612	GO:0003723;GO:0003676	NA	PF00013	NA	mobidb-lite	NA	NA	cd02396;cd00105	G3DSA:3.30.1370.10	SSF54791	PS50084	SM00322	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_126088_cov_56.581196-processed-gene-0.51-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_196090_cov_50.533157-snap-gene-0.3-mRNA-1	PTHR44127	NA	IPR007201	NA	NA	PF04059	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_276436_cov_60.070273-processed-gene-1.15-mRNA-1	PTHR12687;PTHR12687:SF4	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR005343		Reactome: R-HSA-6804756	PF03715	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_330426_cov_57.138596-processed-gene-2.315-mRNA-1	PTHR10625:SF175;PTHR10625	NA	IPR000286		Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	PF00850	NA	mobidb-lite	Coil	NA	cd09998	G3DSA:3.40.800.20	SSF52768	NA	NA	PR01270	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-5.180-mRNA-1	PTHR22734;PTHR22734:SF3	NA	IPR007109	NA	NA	PF04427	NA	mobidb-lite	NA	NA	NA	NA	SSF52954	PS50833	SM00879	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_558485_cov_55.498657-protein2genome-gene-4.325-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_8_length_558485_cov_55.498657-processed-gene-2.123-mRNA-1	PTHR13619	NA	IPR015222	GO:0004605;GO:0032049	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	PF09139	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028840	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-6.30-mRNA-1	PTHR10292;PTHR10292:SF1	NA	IPR016024	GO:0005198;GO:0006886;GO:0016192;GO:0030130;GO:0030132;GO:0005515;GO:0032051;GO:0048268;GO:0071439	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	PF13838;PF00637;PF01394	NA	mobidb-lite	Coil	NA	NA	G3DSA:2.130.10.110;G3DSA:1.25.40.10;G3DSA:1.25.40.730	SSF48371;SSF50989	PS50236	SM00299	NA	NA	NA	NA	NA	NA	NA	PIRSF002290	NA
snap_masked-NODE_14_length_434291_cov_56.144257-processed-gene-2.217-mRNA-1	PTHR11727:SF7;PTHR11727	NA	IPR016024	GO:0000179;GO:0006364;GO:0000154;GO:0008649	NA	PF00398	NA	mobidb-lite	NA	NA	cd02440	G3DSA:1.10.8.480;G3DSA:3.40.50.150	SSF48371;SSF53335	PS51689	SM00650	NA	NA	TIGR00755	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_426026_cov_57.133846-processed-gene-1.248-mRNA-1	PTHR32332;PTHR32332:SF23	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	IPR025313	GO:0018580;GO:0055114;GO:0003824;GO:0003676;GO:0005524	NA	PF13959;PF03060;PF00271;PF00270	NA	mobidb-lite	Coil	PS00039	cd00079;cd00268;cd04730	G3DSA:3.20.20.70;G3DSA:3.40.50.300	SSF52540;SSF51412	PS51192;PS51195;PS51194	SM01178;SM00490;SM00487	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_752009_cov_57.006766-snap-gene-6.471-mRNA-1	PTHR21054	NA	IPR001229	NA	NA	PF12044;PF01419	NA	mobidb-lite	NA	NA	NA	G3DSA:2.100.10.30	SSF51101	PS51752	SM00915	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_511883_cov_58.263260-snap-gene-2.150-mRNA-1	PTHR34861;PTHR34861:SF6	NA	IPR037175	GO:0004061;GO:0019441	KEGG: 00380+3.5.1.9|KEGG: 00630+3.5.1.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7733|MetaCyc: PWY-7734|MetaCyc: PWY-7765	PF04199	NA	NA	NA	NA	NA	G3DSA:3.50.30.50	SSF102198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_504385_cov_59.758304-snap-gene-1.165-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_639344_cov_58.481605-processed-gene-5.32-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_409824_cov_57.109259-snap-gene-3.166-mRNA-1	PTHR11177:SF327;PTHR11177	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR038607	NA	NA	PF09423	TMhelix	mobidb-lite	Coil	NA	cd07389	G3DSA:3.60.21.70	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_134238_cov_49.218110-processed-gene-0.12-mRNA-1	PTHR13239:SF4;PTHR13239	NA	IPR021819	NA	NA	PF11882;PF07923	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SM01292;SM01293	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_399495_cov_56.963753-processed-gene-0.117-mRNA-1	PTHR14430:SF0;PTHR14430	NA	IPR009449	GO:0005085	Reactome: R-HSA-8876198	PF06428	NA	mobidb-lite	Coil	NA	NA	NA	SSF144284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_563164_cov_57.757710-snap-gene-1.203-mRNA-1	PTHR23002;PTHR23002:SF84	NA	IPR001878	GO:0003676;GO:0008270	NA	PF00098	NA	NA	NA	NA	NA	G3DSA:4.10.60.10	SSF57756	PS50158	SM00343	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_20_length_387202_cov_58.679540-processed-gene-2.41-mRNA-1	NA	NA	IPR008011	NA	NA	PF05347	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_116360_cov_53.310523-augustus-gene-0.190-mRNA-1	PTHR31313:SF66;PTHR31313	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	TMhelix	NA	NA	NA	cd12148	NA	NA	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-0.214-mRNA-1	PTHR21367	NA	IPR007472	GO:0004057;GO:0016598	MetaCyc: PWY-7802	PF04377;PF04376	NA	mobidb-lite	NA	NA	NA	NA	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037207	NA
maker-NODE_5_length_639344_cov_58.481605-snap-gene-4.180-mRNA-1	PTHR11685;PTHR11685:SF126	NA	IPR013083	GO:0004842;GO:0016567	NA	PF01485	NA	mobidb-lite	NA	PS00518	NA	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	SSF57850	PS50089	SM00647	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-2.53-mRNA-1	PTHR34586;PTHR34586:SF3	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR036908	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.40.40.10	SSF50685	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_53_length_149878_cov_57.089161-processed-gene-0.3-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_57_length_138242_cov_55.970148-processed-gene-0.328-mRNA-1	PTHR18929;PTHR18929:SF132	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	IPR017937	GO:0045454;GO:0003756;GO:0016853	NA	PF13848;PF00085	NA	mobidb-lite	NA	PS00194	cd02961;cd02995;cd02982;cd02981	G3DSA:3.40.30.10	SSF52833	PS51352	NA	PR00421	NA	TIGR01130;TIGR01126	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_66_length_112180_cov_60.511151-snap-gene-0.230-mRNA-1	NA	NA	IPR010309		MetaCyc: PWY-7511|Reactome: R-HSA-6798695|Reactome: R-HSA-983168	PF06012;PF06025	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_604053_cov_57.456056-augustus-gene-5.166-mRNA-1	PTHR17920;PTHR17920:SF3	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR007941	NA	NA	PF05277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_414607_cov_57.056676-processed-gene-3.202-mRNA-1	PTHR12606;PTHR12606:SF1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR038765	GO:0006508;GO:0008234	NA	PF02902	TMhelix	NA	Coil	NA	NA	G3DSA:3.40.395.10	SSF54001	PS50600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-6.217-mRNA-1	PTHR24054;PTHR24054:SF33	NA	IPR008271	GO:0004672;GO:0006468;GO:0005524	NA	PF00069	NA	NA	NA	PS00108;PS00107	cd14132	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA	NA
