Gene	interpro	GO	PATHWAY	TIGRFAM	PRINTS	SUPERFAMILY	PANTHER	Gene3D	PIRSF	Hamap	Pfam	ProSitePatterns	CDD	MobiDBLite	SFLD	SMART	ProSiteProfiles	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Coils	SignalP_EUK	ProDom
OPB40075.1	IPR021858	NA	NA	NA	NA	NA	PTHR37534;PTHR37534:SF4	NA	NA	NA	PF11951	NA	cd12148	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38205.1	IPR004827	GO:0003700;GO:0006355	NA	NA	NA	SSF57959	PTHR19304;PTHR19304:SF26	G3DSA:1.20.5.170	NA	NA	PF00170	PS00036	NA	mobidb-lite	NA	SM00338	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43643.1	IPR000683	GO:0016491	NA	NA	NA	SSF55347;SSF51735	PTHR43708;PTHR43708:SF1	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43402.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	NA	SSF57701	PTHR31944	G3DSA:4.10.240.10	NA	NA	PF04082;PF00172	PS00463	cd12148;cd00067	mobidb-lite	NA	SM00066;SM00906	PS50048	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB46609.1	IPR003903	GO:0005634;GO:0006281;GO:0008081	Reactome: R-HSA-5693571	NA	NA	SSF56024	PTHR12415;PTHR12415:SF2	G3DSA:3.30.870.10	NA	NA	PF06087	NA	cd09122	mobidb-lite	NA	NA	PS50330	NA	NA	NA	NA	NA	NA	NA
OPB43490.1	IPR001308	GO:0009055;GO:0050660	Reactome: R-HSA-611105	NA	NA	SSF52467;SSF52402	PTHR43153:SF1;PTHR43153	G3DSA:3.40.50.1220;G3DSA:3.40.50.620	PIRSF000089	NA	PF01012;PF00766	PS00696	cd01715	NA	NA	SM00893	NA	NA	NA	NA	NA	NA	NA	NA
OPB45262.1	IPR001765	GO:0004089;GO:0008270	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	NA	NA	SSF53056	PTHR43175:SF2;PTHR43175	G3DSA:3.40.1050.10	NA	NA	PF00484	NA	cd03379	NA	NA	SM00947	NA	NA	NA	NA	NA	NA	NA	NA
OPB42575.1	IPR013087	GO:0003676	NA	NA	NA	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	PS00028	NA	mobidb-lite	NA	SM00355	NA	NA	NA	NA	NA	NA	NA	NA
OPB46453.1	IPR029058	NA	NA	NA	NA	SSF53474	PTHR11559;PTHR11559:SF356	G3DSA:3.40.50.1820	NA	NA	PF00135	PS00122	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
OPB44787.1	IPR008030		Reactome: R-HSA-70635	NA	NA	SSF51735	PTHR43349	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	PF05368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46115.1	IPR002818		Reactome: R-HSA-3899300	NA	NA	SSF52317	PTHR43824;PTHR43824:SF3	G3DSA:3.40.50.880	NA	NA	PF01965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39288.1	IPR001047	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR00307	NA	NA	PTHR10394;PTHR10394:SF3	G3DSA:2.40.10.450	NA	NA	PF01201	NA	cd11380	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46294.1	IPR029062		Reactome: R-HSA-3899300	NA	NA	SSF52317	PTHR43130:SF7;PTHR43130	G3DSA:3.40.50.880	NA	NA	PF01965	NA	cd03139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39498.1	IPR036629	NA	NA	NA	NA	SSF69047	PTHR40460	G3DSA:1.10.1470.10	NA	NA	PF05532	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37675.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB45942.1	IPR012919	NA	NA	NA	NA	NA	PTHR12953:SF0;PTHR12953	G3DSA:2.60.120.260	NA	NA	PF07738	NA	NA	mobidb-lite	NA	NA	PS51469	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	SignalP-noTM	SignalP-TM	Coil	SignalP-noTM	NA
OPB44907.1	IPR016024	NA	NA	NA	NA	SSF48371	PTHR21705:SF5;PTHR21705	NA	NA	NA	PF10257	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB37769.1	IPR000555	GO:0005515	NA	NA	NA	SSF102712	PTHR10410:SF5;PTHR10410	G3DSA:3.40.140.10	NA	NA	PF01398;PF13012	NA	cd08069	mobidb-lite	NA	SM00232	PS50249	NA	NA	NA	NA	NA	NA	NA
OPB46232.1	IPR027538	GO:0043529;GO:0071816	NA	NA	NA	NA	PTHR11760:SF21;PTHR11760	G3DSA:1.10.287.660	NA	MF_03113	PF04420	NA	NA	mobidb-lite	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	Coil	SignalP-noTM	NA
OPB43447.1	IPR004404	GO:0004160;GO:0009082;GO:0003824	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	TIGR00110	NA	SSF52016;SSF143975	PTHR21000;PTHR21000:SF13	G3DSA:3.50.30.80	NA	NA	PF00920	PS00887;PS00886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40772.1	IPR018108	GO:0022857	NA	NA	NA	SSF103506	PTHR24089:SF285;PTHR24089	G3DSA:1.50.40.10	NA	NA	PF00153	NA	NA	NA	NA	NA	PS50920	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36605.1	IPR001563	GO:0004185;GO:0006508	NA	NA	PR00724	SSF53474	PTHR11802;PTHR11802:SF113	G3DSA:3.40.50.1820;G3DSA:1.10.287.410	NA	NA	PF00450	PS00131	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
OPB43673.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	SSF57701	PTHR38791	G3DSA:4.10.240.10	NA	NA	PF00172	NA	cd00067	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA
OPB37411.1	IPR001055	GO:0009055;GO:0051537;GO:0051536	Reactome: R-HSA-1362409|Reactome: R-HSA-196108|Reactome: R-HSA-211976|Reactome: R-HSA-2395516|Reactome: R-HSA-5579026	NA	PR00355	SSF54292	PTHR23426;PTHR23426:SF25	G3DSA:3.10.20.30	NA	NA	PF00111	PS00814	cd00207	NA	NA	NA	PS51085	NA	NA	NA	SignalP-TM	NA	NA	NA
OPB42792.1	IPR013216	GO:0008168	NA	NA	NA	SSF53335	PTHR44942	G3DSA:3.40.50.150	NA	NA	PF08241	NA	cd02440	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42985.1	IPR015342	GO:0005524;GO:0005777;GO:0007031;GO:0005778;GO:0006625;GO:0042623	Reactome: R-HSA-9033241	NA	NA	SSF52540;SSF50692;SSF54585	PTHR23077:SF12;PTHR23077	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:3.10.330.10	NA	NA	PF09262;PF17862;PF00004	PS00674	cd00009	mobidb-lite	NA	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
OPB41767.1	IPR039569		Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241|Reactome: R-HSA-9033500	NA	NA	SSF54637	PTHR28152:SF2;PTHR28152	G3DSA:3.10.129.10	NA	NA	PF13452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44146.1	IPR000133	GO:0006621;GO:0016021;GO:0046923	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	PR00660	NA	PTHR10585:SF30;PTHR10585	NA	NA	NA	PF00810	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39242.1	IPR003674	GO:0004576;GO:0006486;GO:0016020	NA	NA	NA	NA	PTHR13872;PTHR13872:SF38	G3DSA:3.40.50.12610	NA	NA	PF02516	NA	NA	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB40273.1	IPR037217	GO:0019441;GO:0020037;GO:0046872	KEGG: 00380+1.13.11.11|Reactome: R-HSA-71240	NA	NA	SSF140959	PTHR28657:SF10;PTHR28657	G3DSA:1.20.58.480	NA	NA	PF01231	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB36432.1	IPR036188	GO:0071949	NA	NA	PR00420	SSF54373;SSF51905	PTHR13789;PTHR13789:SF172	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	NA	PF01494;PF13450	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB47019.1	IPR022233		Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	PTHR13251	NA	NA	NA	PF12584	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37691.1	IPR010259	GO:0004252;GO:0006508	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	PR00723	SSF52743;SSF54897	PTHR43806:SF25;PTHR43806	G3DSA:3.30.70.80;G3DSA:3.40.50.200	NA	NA	PF05922;PF00082	PS00136;PS00138;PS00137	cd04077	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB36956.1	IPR036291		Reactome: R-HSA-70635	NA	NA	SSF51735	PTHR12126;PTHR12126:SF7	G3DSA:3.40.50.720	NA	NA	PF05368	NA	cd05271	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-TM	NA	NA	NA
OPB40381.1	IPR036291		Reactome: R-HSA-70635	NA	NA	SSF51735	PTHR14194;PTHR14194:SF98	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	PF05368	NA	cd05259	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA
OPB42104.1	IPR006157	GO:0004150;GO:0006760	KEGG: 00790+4.1.2.25|MetaCyc: PWY-6147|MetaCyc: PWY-6148|MetaCyc: PWY-6797|MetaCyc: PWY-7539	NA	NA	SSF55620	NA	G3DSA:3.30.1130.10	NA	NA	PF02152	NA	NA	NA	NA	SM00905	NA	NA	NA	NA	NA	NA	NA	NA
OPB39060.1	IPR019388	GO:0005789;GO:0019915	Reactome: R-HSA-8964572	NA	NA	NA	PTHR23129:SF0;PTHR23129	NA	NA	NA	PF10261	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB46778.1	IPR007138	NA	NA	NA	NA	SSF54909	NA	G3DSA:3.30.70.100	NA	NA	PF03992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39291.1	IPR032675	GO:0005515	NA	NA	NA	SSF52075	PTHR44393	G3DSA:3.80.10.10	NA	NA	PF13855;PF10428	NA	NA	mobidb-lite	NA	SM00364;SM00369	PS51450	NA	NA	NA	NA	Coil	NA	NA
OPB42726.1	IPR036866	NA	NA	NA	NA	SSF56281	PTHR23200:SF56;PTHR23200	G3DSA:3.60.15.10	NA	NA	PF00753	NA	cd07730	NA	NA	SM00849	NA	NA	NA	NA	NA	NA	NA	NA
OPB46448.1	IPR036291	GO:0003824;GO:0050662	NA	NA	NA	SSF51735	PTHR43349;PTHR43349:SF6	G3DSA:3.40.50.720	NA	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38990.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB36372.1	IPR036881	GO:0004553;GO:0005975	NA	NA	NA	SSF51445;SSF55729	PTHR30480;PTHR30480:SF8	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:3.40.630.30	NA	NA	PF00933	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB43310.1	NA	NA	NA	NA	NA	NA	PTHR34403;PTHR34403:SF3	G3DSA:2.160.10.10	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40173.1	NA	NA	NA	NA	NA	SSF56801	PTHR43272;PTHR43272:SF11	G3DSA:3.40.50.12780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB43100.1	IPR001790	GO:0005622;GO:0042254;GO:0000027	NA	NA	NA	SSF160369	PTHR21141:SF37;PTHR21141	G3DSA:3.90.105.20;G3DSA:3.30.70.1730	NA	NA	PF17777;PF00466	NA	cd05796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37443.1	IPR015720	NA	NA	NA	NA	NA	PTHR22811;PTHR22811:SF14	NA	NA	NA	PF01105	NA	NA	NA	NA	SM01190	PS50866	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	Coil	SignalP-noTM	NA
OPB37925.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB46283.1	IPR039653	GO:0016021;GO:0016765	Reactome: R-HSA-1268020|Reactome: R-HSA-2142789	NA	NA	NA	PTHR11048:SF17;PTHR11048	NA	NA	NA	PF01040	NA	cd13965	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36086.1	IPR000172	GO:0016614;GO:0050660;GO:0055114	Reactome: R-HSA-6798163	NA	NA	SSF54373;SSF51905	PTHR11552:SF191;PTHR11552	G3DSA:3.30.560.10;G3DSA:3.50.50.60	PIRSF000137	NA	PF00732;PF05199	PS00624	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB43122.1	IPR012974		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	SSF89124	PTHR10894:SF1;PTHR10894	G3DSA:1.10.287.660;G3DSA:1.10.150.460;G3DSA:1.10.246.90	NA	NA	PF08156;PF01798	NA	NA	mobidb-lite	NA	SM00931	PS51358	NA	NA	NA	NA	NA	NA	NA
OPB44246.1	IPR007915	GO:0006487;GO:0034998	NA	NA	NA	NA	NA	NA	NA	NA	PF05251	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB42671.1	IPR017956	GO:0003677	NA	NA	PR00929	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37806.1	IPR002347	NA	NA	NA	NA	SSF51735	PTHR43669;PTHR43669:SF4	G3DSA:3.40.50.720	NA	NA	PF00106	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA
OPB40987.1	IPR011032	GO:0055114;GO:0016491	NA	NA	NA	SSF50129;SSF51735	PTHR44013;PTHR44013:SF1	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	PF08240;PF13602	NA	cd05289	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
OPB41937.1	IPR026893	GO:0016311;GO:0016791;GO:0004725	NA	NA	NA	SSF52799	PTHR31126;PTHR31126:SF1	G3DSA:3.90.190.10	NA	NA	PF13350	PS00383	NA	NA	NA	NA	PS50056	NA	NA	NA	NA	NA	NA	NA
OPB46284.1	IPR012132	GO:0016614;GO:0050660;GO:0055114	Reactome: R-HSA-6798163	NA	NA	SSF51905;SSF54373	PTHR11552:SF193;PTHR11552	G3DSA:3.50.50.60;G3DSA:3.30.560.10	PIRSF000137	NA	PF05199;PF00732	PS00624	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA
OPB44064.1	IPR029063	NA	NA	NA	NA	SSF53335	PTHR43591;PTHR43591:SF10	G3DSA:3.40.50.150	NA	NA	PF13489	NA	cd02440	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40774.1	NA	NA	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB43443.1	IPR004841	GO:0016020;GO:0055085	NA	NA	NA	NA	PTHR43341;PTHR43341:SF23	G3DSA:1.20.1740.10	NA	NA	PF00324	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB37355.1	NA	NA	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB46197.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	PTHR31313;PTHR31313:SF74	NA	NA	NA	PF04082	NA	cd12148	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB39387.1	IPR001965		Reactome: R-HSA-3214847	NA	NA	SSF57903	PTHR13793;PTHR13793:SF107	G3DSA:3.30.40.10	NA	NA	PF10513;PF13832;PF13831	PS01359	cd15670;cd15492	mobidb-lite	NA	SM00249	PS50016;PS51805	NA	NA	NA	NA	Coil	NA	NA
OPB42048.1	IPR016024		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	SSF48371	PTHR17695	NA	NA	NA	PF07539	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41280.1	IPR002328	GO:0008270;GO:0016491;GO:0055114	Reactome: R-HSA-71384	NA	NA	SSF50129;SSF51735	PTHR42940;PTHR42940:SF2	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	PF08240;PF00107	PS00059	cd08297	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
OPB46716.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	NA	NA	PR01415	SSF52540;SSF48403;SSF53167	PTHR24151:SF8;PTHR24151	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	NA	PF00023;PF01048;PF12796	NA	cd00204	NA	NA	SM00248	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
OPB42901.1	IPR018996		Reactome: R-HSA-2993913|Reactome: R-HSA-2995383|Reactome: R-HSA-4419969	NA	NA	NA	PTHR13428:SF7;PTHR13428	NA	NA	NA	PF09402;PF12949	NA	cd12935	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB40714.1	IPR036849	GO:0009063	NA	NA	NA	SSF54826;SSF51604	PTHR43287	G3DSA:3.20.20.120;G3DSA:3.30.390.10	NA	NA	PF02746;PF13378	PS00908	cd03316	NA	SFLDG00179;SFLDS00001	SM00922	NA	NA	NA	NA	NA	NA	NA	NA
OPB36149.1	IPR004841	GO:0016020;GO:0055085	NA	NA	NA	NA	PTHR43341:SF9;PTHR43341	G3DSA:1.20.1740.10	NA	NA	PF00324	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB38328.1	IPR024675	GO:0003676;GO:0003743;GO:0005737;GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	SSF54928	PTHR10352:SF0;PTHR10352	G3DSA:3.30.70.330	PIRSF037949	MF_03006	PF00076;PF12353	NA	cd12933;cd12408	mobidb-lite	NA	SM00360	PS50102	NA	NA	NA	NA	NA	NA	NA
OPB46389.1	IPR005814	GO:0008483;GO:0030170;GO:0003824;GO:0000287;GO:0004141;GO:0005524;GO:0009102	KEGG: 00780+6.3.3.3|MetaCyc: PWY-7380	TIGR00347	NA	SSF52540;SSF53383	PTHR42684;PTHR42684:SF3	G3DSA:3.40.50.300;G3DSA:3.40.640.10	NA	MF_00336	PF00202;PF13500	PS00600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39605.1	IPR013087	GO:0003676	NA	NA	NA	SSF57667	PTHR24390;PTHR24390:SF46	G3DSA:3.30.160.60	NA	NA	PF00096	PS00028	NA	mobidb-lite	NA	SM00355	PS50157	NA	NA	NA	NA	NA	NA	NA
OPB35930.1	IPR016135	GO:0006464;GO:0015031	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	NA	NA	SSF54495;SSF140111	PTHR23306	G3DSA:3.10.110.10	NA	NA	PF09454;PF05743	NA	NA	mobidb-lite	NA	NA	PS51322;PS51312	NA	NA	NA	NA	NA	NA	NA
OPB44521.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23502:SF23;PTHR23502	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB41578.1	IPR011576	GO:0048037	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	NA	NA	SSF50475	PTHR28040	G3DSA:2.30.110.10	NA	NA	PF01243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40007.1	IPR036784	GO:0004672	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	SSF69012;SSF55874	PTHR11947;PTHR11947:SF25	G3DSA:3.30.565.10;G3DSA:1.20.140.20	NA	NA	PF10436;PF02518	NA	cd00075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41116.1	IPR002347	NA	NA	NA	PR00081	SSF51735	PTHR24320:SF106;PTHR24320	G3DSA:3.40.50.720	NA	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40413.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	PTHR31944;PTHR31944:SF67	NA	NA	NA	PF04082	NA	cd12148	NA	NA	SM00906	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
OPB41386.1	IPR027417	GO:0005524	NA	NA	PR00819	SSF52540	PTHR43392	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	PF17866;PF00004	NA	cd00009	mobidb-lite	NA	SM00382	NA	NA	NA	NA	NA	Coil	NA	NA
