Gene	interpro	ProSitePatterns	Coils	SUPERFAMILY	GO	Pfam	PANTHER	MobiDBLite	Phobius	TMHMM	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	CDD	Hamap	Gene3D	PRINTS	PATHWAY	ProSiteProfiles	ProDom	SMART	PIRSF	TIGRFAM	SFLD
PTB40342.1	IPR002915	NA	NA	SSF51569	GO:0016829;GO:0004139;GO:0005737;GO:0009264;GO:0003824	PF01791	PTHR10889;PTHR10889:SF1	NA	NA	NA	NA	NA	NA	cd00959	MF_00114	G3DSA:3.20.20.70	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-71336	NA	NA	SM01133	PIRSF001357	TIGR00126	NA
PTB36370.1	IPR009450	NA	NA	NA	GO:0006506;GO:0016021;GO:0017176	PF06432	PTHR12982	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA
PTB36092.1	IPR003439	PS00211	NA	SSF90123;SSF52540	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	PTHR24221:SF400;PTHR24221	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd03249	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	PS50929;PS50893	NA	SM00382	NA	NA	NA
PTB44314.1	IPR036462	NA	NA	SSF56529;SSF63433	GO:0004334;GO:0009072;GO:0003824	PF09298;PF01557	PTHR43069:SF3;PTHR43069	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.30.230;G3DSA:3.90.850.10	NA	KEGG: 00350+3.7.1.2|KEGG: 00643+3.7.1.2|Reactome: R-HSA-71182	NA	NA	NA	NA	TIGR01266	NA
PTB38196.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37335.1	IPR040424	NA	NA	NA	NA	NA	PTHR39267	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.190.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB37687.1	IPR001223	NA	NA	SSF51445	GO:0005975;GO:0008061	PF00704	PTHR11177;PTHR11177:SF182	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	G3DSA:3.20.20.80;G3DSA:3.10.50.10	NA	NA	NA	NA	SM00636	NA	NA	NA
PTB38216.1	IPR001138	PS00463	Coil	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	PTHR31944;PTHR31944:SF119	mobidb-lite	NA	NA	NA	NA	NA	cd12148;cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00906;SM00066	NA	NA	NA
PTB35567.1	IPR029061	NA	NA	SSF52518;SSF52467	GO:0030976;GO:0016831;GO:0003824;GO:0000287	PF02776;PF02775;PF00205	PTHR43452;PTHR43452:SF6	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd07038	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	NA	NA	NA	NA	NA	PIRSF036565	NA	NA
PTB42943.1	IPR024055	NA	NA	SSF50249;SSF110993;SSF116742	GO:0003676;GO:0003723;GO:0003743	PF07541;PF00575	PTHR10602	mobidb-lite	NA	NA	NA	NA	NA	cd04452	NA	G3DSA:3.30.70.1130;G3DSA:1.10.150.190;G3DSA:2.40.50.140	NA	Reactome: R-HSA-156827|Reactome: R-HSA-381042|Reactome: R-HSA-382556|Reactome: R-HSA-72649|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72731	PS50126	NA	SM00316	NA	NA	NA
PTB42374.1	IPR019341	NA	Coil	NA	NA	PF10199	PTHR14659	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.11960	NA	NA	NA	NA	NA	NA	NA	NA
PTB47052.1	IPR030668	PS01330	NA	SSF53335	GO:0006595;GO:0003824	PF01564;PF17284	PTHR11558:SF11;PTHR11558	NA	NA	NA	NA	NA	NA	cd02440	MF_00198	G3DSA:3.40.50.150;G3DSA:2.30.140.10	NA	KEGG: 00270+2.5.1.16|KEGG: 00330+2.5.1.16|KEGG: 00410+2.5.1.16|KEGG: 00480+2.5.1.16|Reactome: R-HSA-351202	PS51006	NA	NA	PIRSF000502	TIGR00417	NA
PTB38441.1	IPR025977	NA	NA	SSF48371	GO:0000796;GO:0007076	PF12719	PTHR14418:SF5;PTHR14418	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	NA	Reactome: R-HSA-2514853	NA	NA	NA	NA	NA	NA
PTB40623.1	IPR039712	NA	Coil	SSF50729	NA	PF15406	PTHR42073	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.29.30	NA	NA	PS50003	NA	NA	NA	NA	NA
PTB46945.1	IPR013083	NA	NA	SSF57903	GO:0046872	PF01363	PTHR13510:SF43;PTHR13510	mobidb-lite	NA	NA	NA	NA	NA	cd15760	NA	G3DSA:3.30.40.10	NA	NA	PS50178	NA	SM00064	NA	NA	NA
PTB36633.1	IPR027417	NA	Coil	SSF52540	GO:0005524	PF17866;PF13086;PF13087;PF00004	PTHR10887:SF368;PTHR10887	mobidb-lite	NA	NA	NA	NA	NA	cd00009;cd06008	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60	PR00819	NA	NA	NA	SM00382	NA	NA	NA
PTB45748.1	IPR025602	NA	Coil	NA	NA	PF13862	PTHR13261	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028983	NA	NA
PTB41813.1	IPR028163	NA	NA	NA		PF14661	NA	mobidb-lite	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA
PTB34980.1	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	SignalP-TM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45819.1	IPR014730	PS01065	NA	SSF52402	GO:0009055	PF01012	PTHR21294:SF8;PTHR21294	NA	NA	NA	NA	NA	NA	cd01714	NA	G3DSA:3.40.50.620	NA	Reactome: R-HSA-611105	NA	NA	SM00893	PIRSF000090	NA	NA
PTB38540.1	IPR008030	NA	NA	SSF51735		PF05368	PTHR14194:SF98;PTHR14194	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA
PTB46921.1	NA	NA	Coil	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37588.1	IPR002347	NA	NA	SSF51735	NA	PF00106	PTHR24320:SF144;PTHR24320	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	PR00081	NA	NA	NA	NA	NA	NA	NA
PTB45437.1	IPR005061	NA	NA	NA	GO:0015031	PF03398	PTHR12161;PTHR12161:SF5	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.1260.60	NA	Reactome: R-HSA-6798695	NA	NA	NA	NA	NA	NA
PTB42388.1	IPR036864	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31313;PTHR31313:SF43	NA	NA	NA	NA	NA	NA	cd00067;cd12148	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB43414.1	IPR027417	NA	NA	SSF52540	NA	NA	PTHR11089:SF63;PTHR11089	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44673.1	IPR014052	NA	NA	SSF56747	GO:0003896;GO:0006269	PF01896	PTHR10536	NA	NA	NA	NA	NA	NA	cd00525;cd04860	NA	G3DSA:3.90.920.30	NA	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	NA	TIGR00335	NA
PTB44249.1	IPR011333	NA	Coil	SSF54695	GO:0005515	PF00651	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS50097	NA	NA	NA	NA	NA
PTB37472.1	IPR000679	PS00344	Coil	SSF57716;SSF55785	GO:0006355;GO:0008270;GO:0043565;GO:0005515;GO:0003700	PF00320;PF08447	PTHR10071:SF286;PTHR10071	mobidb-lite	NA	NA	NA	NA	NA	cd00202;cd00130	NA	G3DSA:3.30.50.10;G3DSA:3.30.450.20	NA	Reactome: R-HSA-383280	PS50112;PS50114	NA	SM00401;SM00091	NA	TIGR00229	NA
PTB39710.1	IPR016024	NA	Coil	SSF48371	GO:0042254	PF03914	PTHR12048	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37202.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31313	mobidb-lite	NA	NA	NA	NA	NA	cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB36267.1	IPR036265	NA	NA	SSF54197	NA	PF11969	PTHR12486;PTHR12486:SF5	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.428.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB47143.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39444.1	IPR040184	NA	Coil	NA	GO:0003690;GO:0003697;GO:0006270;GO:0005634;GO:0006260	PF09329	PTHR13454	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.40.50.140	NA	Reactome: R-HSA-176187|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA
PTB43752.1	IPR017853	NA	NA	SSF51445;SSF49303;SSF49785	GO:0004553;GO:0005975	PF17753;PF00703;PF17786	PTHR43730	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.80;G3DSA:2.60.40.10;G3DSA:2.60.120.260	NA	Reactome: R-HSA-2024096|Reactome: R-HSA-2160916|Reactome: R-HSA-2206292|Reactome: R-HSA-6798695	NA	NA	NA	NA	NA	NA
PTB36401.1	IPR001578	NA	NA	SSF54001	GO:0004843;GO:0005622;GO:0006511	PF01088	PTHR10589;PTHR10589:SF17	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	cd09616	NA	G3DSA:3.40.532.10	PR00707	Reactome: R-HSA-5689603	NA	NA	NA	NA	NA	NA
PTB35874.1	IPR001128	NA	Coil	SSF48264	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	PTHR24281	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-noTM	NA	NA	G3DSA:1.10.630.10	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA
PTB43951.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	SignalP-TM	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43492.1	IPR038903	NA	NA	NA	GO:0005576;GO:0019863	NA	PTHR42039	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39150.1	IPR007219	PS00463	NA	SSF57701	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	PTHR19444:SF21;PTHR19444	mobidb-lite	NA	NA	SignalP-TM	NA	NA	cd00067;cd12148	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00906;SM00066	NA	NA	NA
PTB43634.1	IPR017986	NA	NA	SSF69322;SSF82171;SSF52540;SSF50978	GO:0005515	PF05729;PF00400	PTHR22847	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	NA	PS50294;PS50082	NA	SM00320	NA	NA	NA
PTB37430.1	IPR000719	PS00107;PS00108	Coil	SSF56112	GO:0004672;GO:0005524;GO:0006468	PF00069	PTHR24058;PTHR24058:SF17	mobidb-lite	NA	NA	NA	NA	NA	cd14212	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	PS50011	NA	SM00220	NA	NA	NA
PTB35351.1	IPR030400	NA	NA	SSF54897;SSF52743	GO:0006508;GO:0008236;GO:0004252	PF09286	PTHR14218;PTHR14218:SF19	mobidb-lite	NA	NA	NA	NA	NA	cd04056;cd11377	NA	NA	NA	Reactome: R-HSA-381038	PS51695	NA	SM00944	NA	NA	NA
PTB46055.1	IPR036188	NA	NA	SSF51905	NA	PF13738	PTHR43098;PTHR43098:SF6	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA
PTB41730.1	IPR015894	NA	NA	SSF52540	GO:0003924;GO:0005525	PF02263	PTHR10751	mobidb-lite	NA	NA	SignalP-TM	NA	NA	NA	NA	G3DSA:2.170.15.10;G3DSA:3.30.412.10;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
PTB38631.1	IPR037238	NA	NA	SSF143990	NA	PF08719	PTHR45334	NA	NA	NA	NA	NA	NA	cd15457	NA	G3DSA:1.10.357.40	NA	NA	NA	NA	NA	NA	TIGR02464	NA
PTB45745.1	IPR006186	PS00125	NA	SSF56300	GO:0016787	PF00149	PTHR11668:SF22;PTHR11668	mobidb-lite	NA	NA	NA	NA	NA	cd07415	NA	NA	PR00114	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	SM00156	PIRSF033096	NA	NA
PTB35609.1	IPR019734	NA	NA	SSF48452	GO:0005515	PF07719	PTHR22904	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	PS50293;PS50005	NA	SM00028	NA	NA	NA
PTB41201.1	IPR002347	NA	NA	SSF51735	NA	PF13561	PTHR43618;PTHR43618:SF7	NA	NA	NA	NA	NA	NA	cd05233	NA	G3DSA:3.40.50.720	PR00081	NA	NA	NA	NA	NA	NA	NA
PTB35470.1	IPR028124	NA	Coil	NA	NA	PF15477	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39734.1	IPR000286	NA	Coil	SSF52768	GO:0004407;GO:0016575	PF00850	PTHR10625:SF132;PTHR10625	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.800.20	PR01270;PR01271	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	NA	PIRSF037913	NA	NA
PTB40305.1	IPR006650	PS00485	NA	SSF51556	GO:0009168;GO:0019239;GO:0000034;GO:0006146	PF00962	PTHR43114:SF2;PTHR43114	NA	NA	NA	NA	NA	NA	NA	MF_01962	G3DSA:3.20.20.140	NA	Reactome: R-HSA-74217	NA	NA	NA	NA	TIGR01430	NA
PTB37632.1	IPR000845	NA	NA	SSF53167;SSF48403	GO:0003824;GO:0009116;GO:0005515	PF01048;PF13637	PTHR21234:SF16;PTHR21234	NA	NA	NA	NA	NA	NA	cd00204	NA	G3DSA:1.25.40.20	NA	NA	PS50297;PS50088	NA	SM00248	NA	NA	NA
PTB40405.1	IPR007111	PS00678	NA	SSF52540;SSF50978	GO:0005515	PF05729;PF00400	PTHR22847:SF600;PTHR22847	NA	NA	NA	NA	NA	NA	cd00200	NA	G3DSA:2.130.10.10;G3DSA:3.40.50.300	PR00320	NA	PS50082;PS50837;PS50294	NA	SM00320	NA	NA	NA
PTB43197.1	IPR039104	NA	NA	SSF100950	GO:0005975;GO:0006098;GO:0017057	PF01182	PTHR11054;PTHR11054:SF1	NA	NA	NA	NA	NA	NA	cd01400	NA	G3DSA:3.40.50.1360	NA	KEGG: 00030+3.1.1.31|MetaCyc: PWY-8004|Reactome: R-HSA-71336	NA	NA	NA	NA	TIGR01198	NA
PTB36478.1	IPR036259	NA	NA	SSF103473	GO:0016020;GO:0022857;GO:0055085	PF00854	PTHR11654;PTHR11654:SF118	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-427975	NA	NA	NA	NA	NA	NA
PTB43282.1	IPR038765	PS00973;PS00972	NA	SSF54001;SSF143791	GO:0006511;GO:0036459;GO:0016579;GO:0004843	PF00443;PF06337	PTHR43913	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.90.70.10;G3DSA:3.30.2230.10	NA	Reactome: R-HSA-5689880	PS51283;PS50235	NA	SM00695	NA	NA	NA
PTB43515.1	IPR036259	NA	NA	SSF103473	GO:0016021;GO:0022857;GO:0055085	PF00083	PTHR23508;PTHR23508:SF10	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB38269.1	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46616.1	IPR000938	PS00845	NA	SSF74924;SSF52058	GO:0005515	PF01302	PTHR15140:SF6;PTHR15140	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.30.190;G3DSA:3.80.10.10	NA	NA	PS51450;PS50245	NA	SM01052	NA	NA	NA
PTB40715.1	IPR000253	NA	NA	SSF49879	GO:0005515;GO:0006302;GO:0007095;GO:0030870	PF00498;PF16508	PTHR12162	mobidb-lite	NA	NA	NA	NA	NA	cd00060;cd00027	NA	G3DSA:3.40.50.10980;G3DSA:3.40.50.10190;G3DSA:2.60.200.20	NA	Reactome: R-HSA-2559586|Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693548|Reactome: R-HSA-5693554|Reactome: R-HSA-5693565|Reactome: R-HSA-5693568|Reactome: R-HSA-5693571|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-912446	PS50006	NA	SM00240	NA	NA	NA
PTB47193.1	IPR000210	NA	NA	SSF54695	GO:0005515	PF00651	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	G3DSA:3.30.710.10	NA	NA	PS50097	NA	SM00225	NA	NA	NA
PTB46053.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41145.1	IPR004821	NA	Coil	SSF52374	GO:0003824;GO:0009058	PF01467	PTHR10739:SF23;PTHR10739	NA	NA	NA	NA	NA	NA	cd02174	NA	G3DSA:3.40.50.620	NA	NA	NA	NA	NA	NA	TIGR00125	NA
PTB37145.1	IPR002347	NA	NA	SSF51735	NA	PF00106	PTHR43976:SF12;PTHR43976	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
PTB36629.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43627.1	IPR011333	NA	NA	SSF54695	GO:0005515	PF00651	PTHR26379:SF222;PTHR26379	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS50097	NA	NA	NA	NA	NA
PTB37769.1	IPR008183	NA	NA	SSF74650	GO:0005975;GO:0016853;GO:0003824;GO:0030246	PF01263	PTHR11122;PTHR11122:SF13	NA	NA	NA	NA	NA	NA	cd09020	NA	G3DSA:2.70.98.10	NA	KEGG: 00010+5.1.3.15	NA	NA	NA	PIRSF016020	NA	NA
PTB42795.1	IPR006630	NA	NA	SSF46785;SSF54928	GO:0003676;GO:0003723;GO:0005634;GO:0006396;GO:1990904	PF05383;PF00076	PTHR22792:SF100;PTHR22792	mobidb-lite	NA	NA	NA	NA	NA	cd08029;cd12291	NA	G3DSA:3.30.70.330;G3DSA:1.10.10.10	PR00302	NA	PS50961;PS50102	NA	SM00360;SM00715	NA	NA	NA
PTB46814.1	IPR001356	PS00027	Coil	SSF46689	GO:0003677;GO:0006355;GO:0043565	PF00046	PTHR24341:SF6;PTHR24341	mobidb-lite	NA	NA	NA	NA	NA	cd00086	NA	G3DSA:1.10.10.60	NA	NA	PS50071	NA	SM00389	NA	NA	NA
PTB36515.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36120.1	IPR032465	NA	NA	SSF51556	GO:0016831;GO:0016787	PF04909	PTHR21240;PTHR21240:SF3	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.140	NA	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA
PTB45495.1	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44339.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42760.1	IPR000542	PS00439;PS00440	NA	SSF52777	GO:0016746	PF00755	PTHR22589;PTHR22589:SF67	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.559.40;G3DSA:3.30.559.70	NA	NA	NA	NA	NA	NA	NA	NA
PTB41538.1	IPR019775	PS00678	NA	SSF50978	GO:0005515	PF00400	PTHR19857:SF8;PTHR19857	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.130.10.10	NA	NA	PS50082;PS50294	NA	SM00320	NA	NA	NA
PTB46174.1	NA	NA	Coil	NA	NA	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39769.1	IPR032451	NA	Coil	SSF46689	GO:0005515;GO:0003677	PF16495;PF04433;PF00249	PTHR12802;PTHR12802:SF41	mobidb-lite	NA	NA	NA	NA	NA	cd02336;cd00167	NA	G3DSA:1.10.10.60;G3DSA:1.10.10.10	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	PS50934;PS51293	NA	SM00717	NA	NA	NA
PTB36438.1	IPR007905	NA	NA	NA	GO:0016021;GO:0016125;GO:0047750	PF05241	PTHR14207;PTHR14207:SF0	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	PS51751	NA	NA	NA	NA	NA
PTB44110.1	IPR003764	NA	NA	SSF51338;SSF51556	GO:0006044;GO:0008448;GO:0016787;GO:0016810	PF01979	PTHR11113:SF14;PTHR11113	NA	NA	NA	NA	NA	NA	cd00854	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	KEGG: 00052+3.5.1.25|KEGG: 00520+3.5.1.25|MetaCyc: PWY-6906|MetaCyc: PWY-7077|MetaCyc: PWY-7395|Reactome: R-HSA-446210	NA	NA	NA	PIRSF038994	TIGR00221	NA
PTB43190.1	IPR001678	NA	NA	SSF53335	GO:0008168	PF01189	PTHR22807:SF4;PTHR22807	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.1170	PR02008	NA	PS51686	NA	NA	NA	NA	NA
PTB42418.1	IPR018392	NA	NA	SSF54106	NA	PF01476	PTHR34997	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	cd00118	NA	G3DSA:3.10.350.10	NA	NA	PS51782	NA	SM00257	NA	NA	NA
PTB42817.1	NA	NA	NA	NA	NA	NA	PTHR28012	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35902.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
