Gene	Phobius	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	CDD	TMHMM	Coils	MobiDBLite	PATHWAY	ProSitePatterns	SMART	Gene3D	PIRSF	PRINTS	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
EGR45657.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	IPR036188	SSF51905	PTHR13789;PTHR13789:SF251	GO:0071949	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
EGR50999.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR002110	SSF48403	PTHR34706;PTHR34706:SF2	GO:0005515	NA	PS50088;PS50297	cd00204	NA	NA	NA	NA	NA	SM00248	G3DSA:1.25.40.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47318.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	IPR005819	NA	NA	GO:0000786;GO:0003677;GO:0006334	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	PR00624	NA	NA	NA	NA	NA	NA	NA
EGR44767.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR001138	NA	PTHR35392;PTHR35392:SF3	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS50048	cd00067	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52543.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR012578	NA	PTHR28003	NA	PF08058	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49348.1	NA	IPR014851	SSF52540	PTHR23070;PTHR23070:SF11	GO:0034551;GO:0005524	PF08740;PF00004	NA	cd00009	NA	NA	mobidb-lite	Reactome: R-HSA-1268020	PS00674	SM00382;SM01024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49109.1	NA	IPR022210	NA	NA	NA	PF12550	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48342.1	NA	IPR036427	SSF47370	PTHR16062;PTHR16062:SF15	GO:0005515;GO:0003682;GO:0006338;GO:0016586	PF00439;PF01426	PS51038;PS50014	cd04369;cd04717	NA	Coil	mobidb-lite	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	PS00633	SM00439;SM00297	G3DSA:2.30.30.490;G3DSA:1.20.920.10	NA	PR00503	NA	NA	NA	NA	NA	NA	NA
EGR47331.1	NA	IPR001623	SSF46565	PTHR44144	NA	PF00226	PS50076	cd06257	NA	Coil	mobidb-lite	NA	PS00636	SM00271	G3DSA:1.10.287.110	NA	PR00625	NA	NA	NA	NA	NA	NA	NA
EGR50548.1	NA	IPR000286	SSF52768	PTHR10625;PTHR10625:SF132	GO:0004407;GO:0016575	PF00850	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	G3DSA:3.40.800.20	PIRSF037913	PR01270;PR01271	NA	NA	NA	NA	NA	NA	NA
EGR49809.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49997.1	NA	IPR031669	SSF49265;SSF52113	PTHR13561;PTHR13561:SF43	GO:0046983;GO:0005515	PF16893;PF16892;PF00533	PS50172;PS50853	cd13945;cd00063;cd00027	NA	NA	mobidb-lite	NA	NA	SM00292	G3DSA:2.40.50.890;G3DSA:3.40.50.10190;G3DSA:2.60.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49965.1	NA	IPR002921	SSF53474	PTHR21493;PTHR21493:SF164	GO:0006629	PF01764	NA	cd00519	NA	NA	mobidb-lite	Reactome: R-HSA-426048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51326.1	NA	IPR007219	SSF57701	PTHR19444;PTHR19444:SF21	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082	NA	cd00067;cd12148	NA	NA	mobidb-lite	NA	NA	SM00906	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR48866.1	NA	IPR009018	SSF54762	PTHR12013	GO:0006614;GO:0008312;GO:0048500;GO:0005786;GO:0030942	PF02290	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-1799339	NA	NA	G3DSA:3.30.720.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48153.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR029058	SSF53474	PTHR23025:SF3;PTHR23025	GO:0016787	PF07859	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52620.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR000802	NA	PTHR43302:SF5;PTHR43302	GO:0015105;GO:0015700;GO:0016021	PF02040	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49301.1	NA	IPR000182	SSF55729	PTHR13538;PTHR13538:SF5	NA	PF13673	PS51186	cd04301	NA	NA	NA	NA	NA	NA	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52423.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR002872	SSF51730	PTHR13914;PTHR13914:SF6	GO:0004657;GO:0006562	PF01619	NA	NA	NA	NA	NA	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	NA	G3DSA:3.20.20.220	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
EGR51409.1	NA	IPR001680	SSF50978	PTHR19848	GO:0005515	PF00400	PS50082;PS50294	cd00200	NA	Coil	NA	NA	PS00678	SM00320	G3DSA:2.130.10.10	NA	PR00320	NA	NA	NA	NA	NA	NA	NA
EGR52573.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49867.1	NA	IPR015889	SSF49482	PTHR33711:SF6;PTHR33711	GO:0005506;GO:0016702;GO:0055114;GO:0009712;GO:0018576;GO:0003824;GO:0006725;GO:0008199	PF04444;PF00775	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51074.1	NA	IPR000058	SSF118310	PTHR14677:SF20;PTHR14677	GO:0008270	PF01428	PS51039	NA	NA	NA	NA	NA	NA	SM00154	G3DSA:4.10.1110.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46255.1	NA	IPR001138	SSF57701	PTHR19444;PTHR19444:SF21	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	PS50048	cd00067;cd12148	NA	NA	mobidb-lite	NA	PS00463	SM00066;SM00906	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51650.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50384.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	TMhelix	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51262.1	NA	IPR027417	SSF52540	PTHR24071:SF15;PTHR24071	GO:0003924;GO:0005525;GO:0006913	PF00071	PS51418	cd00877	NA	NA	NA	Reactome: R-HSA-165054|Reactome: R-HSA-1655829|Reactome: R-HSA-168333|Reactome: R-HSA-180746|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	SM00176;SM00173;SM00174;SM00175	G3DSA:3.40.50.300	NA	PR00627	TIGR00231	NA	NA	NA	NA	NA	NA
EGR47358.1	NA	IPR035979	SSF54928;SSF63570	PTHR24012:SF491;PTHR24012	GO:0003676;GO:0003723	PF00658;PF00076	PS50102;PS51309	cd12378;cd12379;cd12380;cd12381	NA	Coil	mobidb-lite	NA	NA	SM00517;SM00360;SM00361	G3DSA:1.10.1900.10;G3DSA:3.30.70.330	NA	NA	TIGR01628	NA	NA	NA	NA	NA	NA
EGR46724.1	NA	IPR012677	SSF54928	PTHR44063;PTHR44063:SF1	GO:0003676	PF00076	PS50102	cd12339	NA	NA	mobidb-lite	NA	NA	SM00360	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46419.1	NA	IPR003265	SSF48150	PTHR10359:SF18;PTHR10359	GO:0006284;GO:0003824;GO:0006281	PF00730	NA	cd00056	NA	NA	NA	Reactome: R-HSA-110357	NA	SM00478	G3DSA:1.10.340.30;G3DSA:1.10.1670.10	PIRSF001435	NA	NA	NA	NA	NA	NA	NA	NA
EGR50962.1	NA	IPR032675	SSF74924;SSF52058	PTHR15140;PTHR15140:SF6	GO:0005515	PF01302	PS50245;PS51450	NA	NA	NA	mobidb-lite	NA	PS00845	SM01052;SM00364	G3DSA:3.80.10.10;G3DSA:2.30.30.190	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45406.1	NA	IPR005097	SSF51735;SSF55347	PTHR11133;PTHR11133:SF14	GO:0016491;GO:0055114	PF03435;PF16653	NA	NA	NA	NA	NA	Reactome: R-HSA-71064	NA	NA	G3DSA:3.30.360.10;G3DSA:1.10.1870.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49792.1	NA	IPR036871	SSF64268	PTHR10555;PTHR10555:SF145	GO:0035091	PF00787	PS50195	cd07295	NA	NA	NA	NA	NA	SM00312	G3DSA:3.30.1520.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48875.1	NA	IPR021154	SSF50447	PTHR23237;PTHR23237:SF6	GO:0001522;GO:0031429;GO:0042254	PF04410	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-6790901	NA	NA	G3DSA:2.40.10.230	NA	NA	NA	NA	NA	NA	NA	NA	PD020235
EGR47696.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR011701	SSF103473	PTHR23504:SF6;PTHR23504	GO:0016021;GO:0055085;GO:0005215	PF07690	PS50850	cd06174	TMhelix	NA	NA	NA	NA	NA	NA	NA	PR01035	NA	NA	NA	NA	NA	NA	NA
EGR46525.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR008506	NA	PTHR13505	NA	PF05620	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52608.1	NA	IPR032387	SSF56801	PTHR43347:SF3;PTHR43347	GO:0003824	PF16177;PF13193;PF00501	NA	NA	TMhelix	NA	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	PS00455	NA	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48712.1	NA	IPR013087	SSF57667	PTHR44280	GO:0003676	PF00096	PS50157	NA	NA	NA	mobidb-lite	NA	PS00028	SM00355	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46349.1	NA	IPR011009	SSF56112	PTHR24343	GO:0004672;GO:0005524;GO:0006468	PF00069	PS50011	NA	NA	NA	mobidb-lite	NA	PS00108	SM00220	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50687.1	NA	IPR027417	SSF52540	PTHR23077:SF91;PTHR23077	GO:0005524	PF00004	NA	cd00009	NA	NA	mobidb-lite	NA	NA	SM00382	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51255.1	NA	IPR029056	SSF53613	PTHR10534	GO:0008478;GO:0009443	PF08543	NA	cd01173	NA	NA	NA	KEGG: 00750+2.7.1.35|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-6798695|Reactome: R-HSA-964975	NA	NA	G3DSA:3.40.1190.20	NA	NA	TIGR00687	NA	NA	NA	NA	NA	NA
EGR50653.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49342.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR032456	NA	PTHR10120;PTHR10120:SF24	GO:0004222;GO:0006508;GO:0008233;GO:0071586	PF16491;PF01435	NA	cd07343	TMhelix	NA	mobidb-lite	KEGG: 00900+3.4.24.84	NA	NA	G3DSA:3.30.2010.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47876.1	NA	IPR000760	SSF56655	PTHR20854;PTHR20854:SF4	GO:0046854;GO:0008934;GO:0046855	PF00459	NA	cd01639	NA	NA	NA	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	PS00630;PS00629	NA	G3DSA:3.30.540.10;G3DSA:3.40.190.80	NA	PR00377	NA	NA	NA	NA	NA	NA	NA
EGR48463.1	NA	IPR001680	SSF50978	PTHR19919:SF0;PTHR19919	GO:0005515	PF00400	PS50082;PS50294	NA	NA	NA	mobidb-lite	NA	PS00678	SM00320	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50903.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	PTHR42032	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48471.1	NA	IPR003593	SSF52540	PTHR23077;PTHR23077:SF91	GO:0005524	PF00004	NA	cd00009	NA	NA	mobidb-lite	NA	NA	SM00382	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52127.1	NA	IPR023398	SSF55418	PTHR11960;PTHR11960:SF6	GO:0003723;GO:0003743;GO:0005737;GO:0006413	PF01652	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:3.30.760.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49862.1	NA	IPR036864	SSF57701	PTHR31944:SF127;PTHR31944	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	PS50048	cd12148;cd00067	NA	NA	mobidb-lite	NA	NA	SM00906;SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50291.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR44348.1	NA	IPR036213	SSF49758;SSF54001	PTHR10183;PTHR10183:SF22	GO:0004198;GO:0005622;GO:0006508	PF01067;PF00648	PS50203	cd00044	NA	Coil	NA	Reactome: R-HSA-1474228	NA	SM00720;SM00230	G3DSA:3.90.70.10;G3DSA:2.60.120.380	NA	PR00704	NA	NA	NA	NA	NA	NA	NA
EGR44199.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	IPR024535	SSF51126	PTHR31375;PTHR31375:SF53	NA	PF12708	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.160.20.10	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR49072.1	NA	IPR006571	NA	PTHR23354;PTHR23354:SF62	NA	PF07534	NA	NA	NA	NA	mobidb-lite	NA	NA	SM00584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50572.1	NA	IPR001138	SSF57701	PTHR31313:SF42;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	PS50048	cd12148;cd00067;cd14653	NA	NA	mobidb-lite	NA	PS00463	SM00066;SM00906	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47109.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	IPR009011	NA	PTHR15414		PF07915	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-382556|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5678895	NA	NA	G3DSA:2.70.130.10	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
EGR51814.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	IPR002241	SSF51011;SSF51445	PTHR11452;PTHR11452:SF12	GO:0004553;GO:0005975;GO:0003824;GO:0004557	PF17801;PF16499	NA	cd14792	NA	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	PS00512	NA	G3DSA:3.20.20.70;G3DSA:2.60.40.1180	NA	PR00740;PR00748	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
EGR45168.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR002293	NA	PTHR11785:SF382;PTHR11785	GO:0016020;GO:0022857;GO:0055085	PF13520	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	G3DSA:1.20.1740.10	PIRSF006060	NA	NA	NA	NA	NA	NA	NA	NA
EGR51777.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	IPR011058	SSF51322	NA	NA	PF08881	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.60.10	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR46006.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	PTHR37013	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46359.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50953.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR53046.1	NA	IPR005225	SSF52540	PTHR24072;PTHR24072:SF181	GO:0005525;GO:0003924;GO:0005622;GO:0007264	PF00071	PS51420	cd01870	NA	NA	NA	Reactome: R-HSA-194840	NA	SM00175;SM00176;SM00174;SM00173	G3DSA:3.40.50.300	NA	PR00449	TIGR00231	NA	NA	NA	NA	NA	NA
EGR50915.1	NA	IPR001926	SSF53686	PTHR10314;PTHR10314:SF159	GO:0006535	PF00291	NA	cd01561	NA	NA	NA	NA	PS00901	NA	G3DSA:3.40.50.1100	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48428.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR020846	SSF103473	PTHR23501;PTHR23501:SF102	GO:0016021;GO:0055085	PF07690	PS50850	cd06174	TMhelix	NA	mobidb-lite	NA	NA	NA	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	PR01036	NA	NA	NA	NA	NA	NA	NA
EGR45717.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	IPR021109	SSF50630	PTHR13683:SF345;PTHR13683	GO:0004190;GO:0006508	PF00026	PS51767	cd06097	NA	NA	NA	NA	PS00141	NA	G3DSA:2.40.70.10	NA	PR00792	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR49956.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	IPR036890	SSF52172;SSF55781;SSF47384;SSF55874	PTHR43719;PTHR43719:SF11	GO:0000155;GO:0007165;GO:0000160;GO:0016310;GO:0016772	PF00072;PF02518;PF00512	PS50110;PS50109	cd00082;cd00156;cd00075	NA	NA	mobidb-lite	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	SM00388;SM00387;SM00448	G3DSA:3.30.565.10;G3DSA:1.10.287.130;G3DSA:3.40.50.2300	NA	PR00344	NA	NA	NA	NA	NA	NA	NA
EGR44438.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52313.1	NA	IPR003169	SSF55277	PTHR13138	GO:0005515;GO:0005682	PF02213	PS50829	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-72163	NA	NA	G3DSA:3.30.1490.40	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52761.1	NA	IPR007854	NA	PTHR13484:SF0;PTHR13484	GO:0005847;GO:0098789	PF05182	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45918.1	NA	IPR034605	SSF69322	PTHR15528;PTHR15528:SF11	GO:0003712;GO:0008134;GO:0005515	NA	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-2151201	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47485.1	TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	IPR033121	SSF50630	PTHR13683:SF529;PTHR13683	GO:0004190;GO:0006508	PF00026	PS51767	cd05471	TMhelix	NA	mobidb-lite	NA	NA	NA	G3DSA:2.40.70.10	NA	PR00792	NA	NA	SignalP-noTM	NA	NA	NA	NA
EGR47589.1	NA	IPR011989	SSF48371	PTHR10997:SF7;PTHR10997	GO:0006886;GO:0008536	PF03810	PS50166	NA	NA	Coil	NA	NA	NA	SM00913	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50439.1	NA	IPR000571	SSF160443;SSF90229	PTHR13119;PTHR13119:SF12	GO:0046872	PF01713;PF08590	PS50103;PS50828	NA	NA	NA	mobidb-lite	NA	NA	SM00356;SM00463;SM01162	G3DSA:4.10.1000.10;G3DSA:3.30.1370.110	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48585.1	NA	IPR016901	SSF49785	PTHR12936	GO:0005680;GO:0031145	PF03256	PS51284	cd08366	NA	NA	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	SM01337	G3DSA:2.60.120.260	PIRSF028841	NA	NA	NA	NA	NA	NA	NA	NA
EGR44163.1	NA	IPR002110	SSF48403	PTHR42652	GO:0005515	PF12796	PS50297;PS50088	cd00204	NA	NA	NA	NA	NA	SM00248	G3DSA:1.25.40.20;G3DSA:1.25.40.960	NA	PR01415	NA	NA	NA	NA	NA	NA	NA
EGR46232.1	NA	IPR027524	NA	PTHR10410:SF3;PTHR10410	GO:0003743;GO:0005737;GO:0005852;GO:0005515	PF01398	PS50249	cd08065	NA	Coil	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	SM00232	G3DSA:3.40.140.10	NA	NA	NA	NA	NA	NA	MF_03007	NA	NA
EGR51871.1	NA	IPR012132	SSF54373;SSF51905	PTHR11552;PTHR11552:SF193	GO:0016614;GO:0050660;GO:0055114	PF00732;PF05199	NA	NA	NA	NA	NA	Reactome: R-HSA-6798163	PS00624	NA	G3DSA:3.50.50.60;G3DSA:3.30.560.10	PIRSF000137	NA	NA	NA	NA	NA	NA	NA	NA
EGR46755.1	NA	IPR001138	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PS50048	cd00067	NA	NA	mobidb-lite	NA	NA	SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49047.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR002067	SSF103506	PTHR24089:SF289;PTHR24089	GO:0022857;GO:0055085	PF00153	PS50920	NA	NA	Coil	mobidb-lite	NA	NA	NA	G3DSA:1.50.40.10	NA	PR00926	NA	NA	NA	NA	NA	NA	NA
