Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB56167.1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB57138.1	IPR002872	PF01619	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	SSF51730	NA	PTHR13914:SF6;PTHR13914	mobidb-lite	G3DSA:3.20.20.220	NA	GO:0004657;GO:0006562	NA	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB53978.1	IPR007484	PF04389	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	SSF53187	NA	PTHR12147;PTHR12147:SF21	NA	G3DSA:3.40.630.10	NA	NA	NA	NA	NA	NA	cd03879	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB59138.1	IPR036291	PF05368	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE	SSF51735	NA	PTHR14194:SF84;PTHR14194	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA		NA	Reactome: R-HSA-70635	NA	NA	cd05259	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59411.1	IPR000891	PF00682;PF02874;PF00006	NA	SSF51569;SSF52540	NA	PTHR43389	mobidb-lite	G3DSA:3.20.20.70;G3DSA:3.40.50.12240	Coil	GO:0003824;GO:0046034;GO:1902600;GO:0015991;GO:0033180;GO:0005524	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	PS00152	cd07938;cd01135	PS50991	SignalP-TM	NA	MF_00310	TIGR01040	NA	NA	NA	NA
PTB51535.1	IPR008271	PF00069	NA	SSF56112	NA	PTHR11909:SF298;PTHR11909	mobidb-lite	G3DSA:1.10.510.10	NA	GO:0004672;GO:0006468;GO:0005524	SM00220	NA	NA	PS00108;PS00107	cd14125	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB60427.1	IPR013783	PF00703;PF02836;PF02837	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	SSF51445;SSF49785;SSF49303	NA	PTHR42931	NA	G3DSA:3.20.20.80;G3DSA:2.60.40.10;G3DSA:2.60.120.260	NA	GO:0004553;GO:0005975	NA	Reactome: R-HSA-2024096|Reactome: R-HSA-2160916|Reactome: R-HSA-2206292|Reactome: R-HSA-6798695	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB54897.1	IPR001199	PF00173;PF00890	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF56425;SSF55856;SSF51905	TMhelix	PTHR43400;PTHR43400:SF1	NA	G3DSA:3.50.50.60;G3DSA:3.10.120.10;G3DSA:3.90.700.10	NA	GO:0000104;GO:0055114	SM01117	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PR00363	NA	NA	PS50255	NA	NA	NA	TIGR01813	NA	NA	NA	NA
PTB56791.1	IPR001138	PF04082;PF00172	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF57701	NA	PTHR31944	mobidb-lite	G3DSA:4.10.240.10	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00066	NA	NA	PS00463	cd12148;cd00067	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB56795.1	IPR036910	PF00505	NA	SSF47095	NA	PTHR10270:SF243;PTHR10270	NA	G3DSA:1.10.30.10	NA	NA	SM00398	NA	NA	NA	NA	PS50118	NA	NA	NA	NA	NA	NA	NA	NA
PTB60203.1	IPR013694	PF08487;PF13768	NA	SSF53300	NA	PTHR10338;PTHR10338:SF110	mobidb-lite	G3DSA:3.40.50.410	NA	GO:0000786;GO:0003677	SM00327;SM00609	NA	PR00622	PS00322	NA	PS51468;PS50234	NA	NA	NA	NA	NA	NA	NA	NA
PTB54203.1	IPR039896	PF07808	NA	NA	NA	PTHR12765	mobidb-lite	NA	Coil	GO:0007094;GO:0005634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47646.1	IPR036226	PF00305	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	SSF48484	NA	PTHR11771	NA	G3DSA:1.20.245.10;G3DSA:3.10.450.60	NA	GO:0016702;GO:0046872;GO:0055114	NA	NA	NA	NA	NA	PS51393	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB57463.1	NA	NA	NA	NA	NA	PTHR42068	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59981.1	IPR013815	PF01071;PF02843;PF02844	NA	SSF52440;SSF56059;SSF51246	NA	PTHR43472	NA	G3DSA:3.30.1490.20;G3DSA:3.90.600.10;G3DSA:3.40.50.20;G3DSA:3.30.470.20	NA	GO:0005524;GO:0004637;GO:0009113;GO:0046872	SM01209;SM01210	KEGG: 00230+6.3.4.13|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	NA	PS00184	NA	PS50975	NA	NA	MF_00138	TIGR00877	NA	NA	NA	NA
PTB53473.1	IPR029753	PF02826;PF00389	NA	SSF52283;SSF51735	NA	PTHR10996;PTHR10996:SF206	NA	G3DSA:3.40.50.720	NA	GO:0051287;GO:0055114;GO:0016616	NA	NA	NA	PS00670;PS00065;PS00671	cd12168	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58907.1	IPR000192	PF00266	NA	SSF53383	NA	PTHR21152:SF31;PTHR21152	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	GO:0003824	NA	KEGG: 00440+2.6.1.37|MetaCyc: PWY-6832|Reactome: R-HSA-389661|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	PIRSF000524	NA	NA	NA	NA	NA	NA
PTB48654.1	IPR010730	PF06985	NA	NA	NA	PTHR10622;PTHR10622:SF10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48520.1	IPR003593	PF00004	NA	SSF52540	NA	PTHR23389;PTHR23389:SF19	mobidb-lite	NA	NA	GO:0005524	SM00382	NA	NA	NA	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58540.1	IPR021858	PF11951	NA	NA	NA	PTHR38111:SF2;PTHR38111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50848.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54774.1	IPR036908	NA	NA	SSF50685	NA	PTHR34586:SF6;PTHR34586	NA	G3DSA:2.40.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55634.1	IPR000717	PF01399;PF08375	NA	SSF46785	NA	PTHR10758;PTHR10758:SF2	mobidb-lite	G3DSA:1.25.40.570	Coil	GO:0030234;GO:0000502;GO:0042176	SM00088;SM00753	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	PS50250	NA	NA	NA	NA	NA	NA	NA	NA
PTB50630.1	IPR016292	PF06441	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF53474	NA	PTHR21661;PTHR21661:SF35	NA	G3DSA:3.40.50.1820	NA	GO:0033961;GO:0003824	NA	Reactome: R-HSA-211945	PR00412	NA	NA	NA	NA	PIRSF001112	NA	NA	SignalP-noTM	NA	NA	NA
PTB60796.1	IPR004827	PF11905	NA	SSF57959	NA	PTHR38116	mobidb-lite	G3DSA:1.20.5.170	Coil	GO:0003700;GO:0006355	NA	NA	NA	PS00036	cd14688	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49717.1	IPR029058	PF00561;PF08386	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF53474	NA	PTHR43487:SF2;PTHR43487	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB54647.1	IPR036291	PF00106	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	SSF51735	NA	PTHR24320:SF80;PTHR24320	NA	G3DSA:3.40.50.720	NA	GO:0016491	NA	NA	PR00081	PS00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57072.1	IPR027443	PF03171	NA	SSF51197	NA	PTHR10209:SF144;PTHR10209	NA	G3DSA:2.60.120.330	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	PS51471	NA	NA	NA	NA	NA	NA	NA	NA
PTB58417.1	IPR036291	PF02737;PF00725	NA	SSF51735;SSF48179	NA	PTHR43145;PTHR43145:SF1	NA	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	NA	GO:0003857;GO:0006631;GO:0016491;GO:0055114;GO:0070403	NA	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00120+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002	NA	NA	NA	NA	NA	PIRSF000105	NA	NA	NA	NA	NA	NA
PTB51442.1	IPR024732	PF12972;PF12971;PF05089	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	SSF51445	NA	PTHR12872;PTHR12872:SF1	NA	G3DSA:3.20.20.80;G3DSA:3.30.379.10;G3DSA:1.20.120.670	NA		NA	KEGG: 00531+3.2.1.50|Reactome: R-HSA-2024096|Reactome: R-HSA-2206282	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB60566.1	IPR021100	PF12326	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PTHR28147	NA	NA	NA	GO:0005789;GO:0034599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60469.1	IPR001163	PF01423	NA	SSF50182	NA	PTHR10553:SF5;PTHR10553	mobidb-lite	G3DSA:2.30.30.100	NA	GO:0000398;GO:0000956	SM00651	Reactome: R-HSA-430039|Reactome: R-HSA-72163	NA	NA	cd01729	NA	NA	PIRSF037188	NA	NA	NA	NA	NA	NA
PTB58481.1	IPR004045	PF00043;PF02798	NA	SSF52833;SSF47616	NA	PTHR44051:SF3;PTHR44051	NA	G3DSA:1.20.1050.130	NA	GO:0005515	NA	NA	NA	NA	NA	PS50404;PS50405	NA	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358	NA
PTB57973.1	IPR021109	PF00026	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	SSF50630	NA	PTHR13683;PTHR13683:SF326	mobidb-lite	G3DSA:2.40.70.10	NA	GO:0004190;GO:0006508	NA	NA	PR00792	NA	NA	PS51767	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB58623.1	IPR014929	PF08825;PF00899	NA	SSF69572	NA	PTHR10953:SF6;PTHR10953	NA	G3DSA:1.10.10.520;G3DSA:3.10.290.20;G3DSA:3.40.50.720	NA	GO:0005524;GO:0016881;GO:0045116;GO:0019781;GO:0008641	SM01181	Reactome: R-HSA-5607761|Reactome: R-HSA-5676590|Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	cd01488	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52565.1	IPR004274	PF03031	NA	SSF56784	NA	PTHR12210:SF68;PTHR12210	NA	G3DSA:3.40.50.1000	Coil	NA	SM00577	NA	NA	NA	NA	PS50969	NA	NA	NA	NA	NA	NA	NA	NA
PTB50008.1	IPR006568	PF04046;PF04037	NA	NA	NA	PTHR12785;PTHR12785:SF6	mobidb-lite	NA	Coil	GO:0005634	SM00581	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51744.1	IPR001398	PF01187	NA	SSF55331	NA	PTHR11954;PTHR11954:SF6	mobidb-lite	G3DSA:3.30.429.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD004816
PTB54363.1	IPR000717	PF01399;PF10602	NA	SSF46785	NA	PTHR14145;PTHR14145:SF2	NA	G3DSA:1.25.40.570	NA	GO:0000338;GO:0008180	SM00088;SM00753	Reactome: R-HSA-8951664	NA	NA	NA	PS50250	NA	NA	NA	NA	NA	NA	NA	NA
PTB53438.1	IPR002401	PF00067	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF48264	TMhelix	PTHR24305:SF113;PTHR24305	NA	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51661.1	IPR011012	PF04628	NA	SSF64356	NA	PTHR12403:SF1;PTHR12403	NA	G3DSA:3.30.450.70	NA	GO:0005622;GO:0006888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59802.1	IPR002314	PF00587;PF03129	NA	SSF52954;SSF55681	NA	PTHR42753;PTHR42753:SF3	NA	G3DSA:3.40.50.800;G3DSA:3.30.930.10	NA	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004827;GO:0005737;GO:0006433	NA	KEGG: 00970+6.1.1.15|Reactome: R-HSA-379726	PR01046	NA	cd00861;cd00779	PS50862	NA	NA	NA	NA	NA	NA	NA	NA
PTB58298.1	IPR022784	PF09135	NA	NA	NA	PTHR28280	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56031.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47320.1	IPR008928	PF03663	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SSF48208	NA	PTHR12145:SF25;PTHR12145	NA	G3DSA:1.50.10.20	NA	GO:0003824	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA
PTB53224.1	IPR012878	PF07944	NA	NA	NA	PTHR31151:SF10;PTHR31151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58318.1	IPR029044	PF13632	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF53448	TMhelix	PTHR43867;PTHR43867:SF2	NA	G3DSA:3.90.550.10	NA		NA	Reactome: R-HSA-913709	NA	NA	cd06421	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52504.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49572.1	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
PTB55071.1	IPR019410	PF10294	NA	SSF53335	NA	PTHR14614:SF38;PTHR14614	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60487.1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49335.1	IPR018200	PF00443	NA	SSF57850;SSF54001	NA	PTHR43961;PTHR43961:SF2	NA	G3DSA:3.90.70.10;G3DSA:3.30.40.10	NA	GO:0006511;GO:0036459;GO:0016579;GO:0004843;GO:0016578	NA	NA	NA	PS00973	cd02660	PS50235	NA	NA	NA	NA	NA	NA	NA	NA
PTB51533.1	IPR000300	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF56219	TMhelix	PTHR11200;PTHR11200:SF255	mobidb-lite	NA	NA	GO:0046856	SM00128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54892.1	NA	NA	NA	SSF57845	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47487.1	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB52560.1	IPR020347	NA	NA	NA	NA	PTHR28173	NA	NA	NA	GO:0000172;GO:0005655;GO:0006379;GO:0008033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50945.1	IPR040050	NA	NA	SSF57667	NA	PTHR13278	mobidb-lite	NA	Coil	GO:0003676;GO:0005681;GO:0008270	NA	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47729.1	IPR029062	PF01965	NA	SSF52317	NA	PTHR43824;PTHR43824:SF3	NA	G3DSA:3.40.50.880	NA		NA	Reactome: R-HSA-3899300	NA	NA	cd03141	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53650.1	IPR011050	PF12708	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	SSF51126	NA	PTHR31375:SF53;PTHR31375	NA	G3DSA:2.160.20.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB56455.1	IPR036291	PF00106	NA	SSF51735	NA	PTHR43157:SF1;PTHR43157	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52375.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48493.1	IPR029063	PF13489	NA	SSF53335	NA	PTHR43591:SF14;PTHR43591	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48755.1	IPR029070	PF01476;PF00704	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SSF54556;SSF57016;SSF54106;SSF51445	NA	PTHR11177;PTHR11177:SF231	NA	G3DSA:3.20.20.80;G3DSA:3.10.350.10;G3DSA:3.10.50.10	NA	GO:0008061;GO:0004553;GO:0005975	SM00636;SM00257	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	PS01095	cd02878;cd00118;cd00035	PS51782	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB51262.1	IPR029058	PF00975	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF53474	NA	NA	NA	G3DSA:3.40.50.1820	NA	GO:0009058;GO:0016788	NA	Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54957.1	IPR001623	PF00226;PF14308	NA	SSF46565	NA	PTHR45006	mobidb-lite	G3DSA:1.10.287.110	Coil	NA	SM00271	NA	PR00625	PS00636	cd06257	PS50076	NA	NA	NA	NA	NA	NA	NA	NA
PTB52309.1	IPR016964	PF10914	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PTHR31204;PTHR31204:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51751	NA	PIRSF031032	NA	NA	NA	NA	NA	NA
PTB51538.1	NA	NA	NA	NA	NA	PTHR22949	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52926.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55599.1	IPR018608	PF09729	NA	NA	NA	PTHR28027;PTHR28027:SF1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60248.1	IPR000237	PF01465;PF00038	NA	NA	NA	PTHR34491	mobidb-lite	NA	Coil	NA	SM00755	NA	NA	NA	NA	PS50913	NA	NA	NA	NA	NA	NA	NA	NA
PTB54666.1	IPR000182	PF00583	NA	SSF55729	NA	PTHR23091;PTHR23091:SF282	mobidb-lite	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	cd04301	PS51186	NA	NA	NA	NA	NA	NA	NA	NA
PTB60945.1	IPR027503	PF00004;PF05362;PF02190	NA	SSF88697;SSF52540;SSF54211	NA	PTHR43718;PTHR43718:SF2	mobidb-lite	G3DSA:2.30.130.40;G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:3.30.230.10;G3DSA:1.20.58.1480	Coil	GO:0004252;GO:0006515;GO:0004176;GO:0005524;GO:0006508;GO:0030163	SM00464;SM00382	NA	PR00830	PS01046	cd00009	PS51786;PS51787	NA	NA	MF_03120	TIGR00763	NA	NA	NA	NA
PTB50588.1	IPR040062	PF00153	NA	SSF103506	NA	PTHR24089:SF469;PTHR24089	NA	G3DSA:1.50.40.10	NA	GO:0022857	NA	NA	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA
