Gene	Phobius	PRINTS	interpro	GO	ProSiteProfiles	PANTHER	TMHMM	SFLD	Gene3D	PATHWAY	TIGRFAM	CDD	SUPERFAMILY	ProSitePatterns	Pfam	MobiDBLite	SMART	Coils	PIRSF	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Hamap	ProDom
EHK50204.1	NA	NA	IPR014876	GO:0005515	PS50089	PTHR22938;PTHR22938:SF0	NA	NA	G3DSA:1.10.245.10;G3DSA:3.30.40.10;G3DSA:1.10.10.60	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	cd16615	SSF57850;SSF109715;SSF47592	NA	PF08766;PF02201	mobidb-lite	SM00151	NA	NA	NA	NA	NA	NA	NA
EHK47655.1	NA	NA	IPR016341	GO:0006886;GO:0032051;GO:0048268;GO:0071439;GO:0016192;GO:0005515;GO:0005198;GO:0030130;GO:0030132	PS50236	PTHR10292:SF1;PTHR10292	NA	NA	G3DSA:1.25.40.10;G3DSA:1.25.40.730;G3DSA:2.130.10.110	Reactome: R-HSA-190873|Reactome: R-HSA-196025|Reactome: R-HSA-3928665|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	NA	SSF48371;SSF50989	NA	PF13838;PF00637;PF01394	mobidb-lite	SM00299	NA	PIRSF002290	NA	NA	NA	NA	NA
EHK39481.1	NA	NA	IPR015800	GO:0005507;GO:0008131;GO:0009308;GO:0048038;GO:0055114	NA	PTHR10638:SF27;PTHR10638	NA	NA	G3DSA:2.70.98.20;G3DSA:3.10.450.40	KEGG: 00260+1.4.3.21|KEGG: 00350+1.4.3.21|KEGG: 00360+1.4.3.21|KEGG: 00410+1.4.3.21|KEGG: 00950+1.4.3.21|KEGG: 00960+1.4.3.21|MetaCyc: PWY-5751|Reactome: R-HSA-211945	NA	NA	SSF49998;SSF54416	PS01164	PF02727;PF01179	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50453.1	NA	PR01217	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PTHR24361;PTHR24361:SF633	NA	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	cd06609	SSF56112	NA	PF00069	mobidb-lite	SM00220	Coil	PIRSF000615	NA	NA	NA	NA	NA
EHK40993.1	NA	PR00420	IPR036188	GO:0006744;GO:0016709;GO:0050660;GO:0055114;GO:0071949;GO:0004497	NA	PTHR43876:SF7;PTHR43876	NA	NA	G3DSA:3.50.50.60	Reactome: R-HSA-2142789	TIGR01988	NA	SSF51905	PS01304	PF01494	NA	NA	NA	NA	NA	NA	SignalP-TM	MF_03193	NA
EHK47875.1	NA	PR00301	IPR013126		NA	PTHR19375:SF191;PTHR19375	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	Reactome: R-HSA-3371453	NA	cd10229	SSF53067	NA	PF00012	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42528.1	NA	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PTHR31313;PTHR31313:SF43	NA	NA	G3DSA:4.10.240.10	NA	NA	cd12148;cd00067	SSF57701	PS00463	PF04082;PF00172	NA	SM00066;SM00906	NA	NA	NA	NA	NA	NA	NA
EHK43073.1	NA	NA	IPR027665	GO:0006338;GO:0016514;GO:0016586	NA	PTHR11937:SF231;PTHR11937	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.60	NA	NA	NA	SSF53067	NA	PF00022	mobidb-lite	SM00268	NA	NA	NA	NA	NA	NA	NA
EHK48192.1	NA	NA	IPR021711	NA	NA	PTHR28014	NA	NA	NA	NA	NA	NA	NA	NA	PF11702;PF08550	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK40416.1	NA	NA	IPR007651		NA	PTHR12181:SF12;PTHR12181	NA	NA	NA	KEGG: 00561+3.1.3.4|KEGG: 00564+3.1.3.4|KEGG: 00565+3.1.3.4|KEGG: 00600+3.1.3.4|MetaCyc: PWY-6453|MetaCyc: PWY-7782|Reactome: R-HSA-1483191|Reactome: R-HSA-1483213|Reactome: R-HSA-4419969|Reactome: R-HSA-75109	NA	NA	SSF56784	NA	PF04571;PF08235	mobidb-lite	SM00775	NA	NA	NA	NA	NA	NA	NA
EHK39810.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR002048	GO:0005509;GO:0008270	PS50222;PS50135	PTHR23055;PTHR23055:SF60	NA	NA	G3DSA:1.10.238.10;G3DSA:3.30.60.90	NA	NA	cd02340;cd00051	SSF57850;SSF47473	PS00018;PS01357	PF00569	mobidb-lite	SM00054;SM00291	NA	NA	NA	NA	NA	NA	NA
EHK49442.1	NA	PR00370	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PTHR23023	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PF00743	NA	NA	NA	PIRSF000332	NA	NA	NA	NA	NA
EHK50152.1	NA	NA	IPR013149	GO:0055114;GO:0016491	NA	PTHR45033:SF2;PTHR45033	NA	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	cd08276	SSF51735;SSF50129	NA	PF00107;PF08240	NA	SM00829	NA	NA	NA	NA	NA	NA	NA
EHK48419.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00420	IPR036188	GO:0071949	NA	PTHR13789;PTHR13789:SF242	TMhelix	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	NA	NA	SSF51905;SSF54373	NA	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42941.1	NA	NA	IPR011671	GO:0008168	NA	PTHR21210	NA	NA	NA	MetaCyc: PWY-6829|Reactome: R-HSA-6782315	NA	NA	NA	NA	PF07757	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45419.1	NA	NA	IPR006994	NA	NA	PTHR22684	NA	NA	NA	NA	NA	NA	NA	NA	PF04910	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK42795.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50098.1	NA	NA	IPR024610	GO:0035267	PS50016	PTHR10333:SF88;PTHR10333	NA	NA	G3DSA:3.30.40.10	NA	NA	cd15505	SSF57903	PS01359	PF12998	mobidb-lite	SM01408;SM00249	NA	NA	NA	NA	NA	NA	NA
EHK48203.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40369.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR029058	NA	NA	PTHR17920;PTHR17920:SF3	TMhelix	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PF05277	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK47806.1	NA	NA	IPR036069	NA	NA	PTHR41774;PTHR41774:SF1	NA	NA	G3DSA:3.30.70.120	NA	NA	NA	SSF102705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47497.1	NA	PR00320	IPR015943	GO:0005515	PS50082;PS50837;PS50294	PTHR42968:SF15;PTHR42968	NA	NA	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	NA	cd00200	SSF52540;SSF50978	PS00678	PF05729;PF00400	NA	SM00320	NA	NA	NA	NA	NA	NA	NA
EHK41612.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50943.1	NA	PR00081	IPR002347	NA	NA	PTHR43391:SF27;PTHR43391	NA	NA	G3DSA:3.40.50.720	NA	NA	cd05233	SSF51735	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48765.1	NA	NA	IPR006045	GO:0045735	NA	PTHR31238	NA	NA	G3DSA:2.60.120.10	NA	NA	NA	SSF51182	NA	PF00190	NA	SM00835	NA	NA	NA	NA	NA	NA	NA
EHK47203.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PR00792	IPR034163	GO:0004190;GO:0006508	PS51767	PTHR13683:SF345;PTHR13683	TMhelix	NA	G3DSA:2.40.70.10	NA	NA	cd06097	SSF50630	PS00141	PF00026	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK44490.1	NA	NA	NA	NA	NA	PTHR28152;PTHR28152:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42236.1	NA	NA	IPR017117	GO:0000469;GO:0004521;GO:0042274	NA	PTHR12814	NA	NA	G3DSA:3.40.50.1010;G3DSA:3.30.40.120	Reactome: R-HSA-6791226	NA	cd09876	SSF144206	NA	PF17146;PF08772	mobidb-lite	NA	NA	PIRSF037125	NA	NA	NA	NA	NA
EHK44112.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	IPR001466	NA	NA	PTHR43645	NA	NA	G3DSA:3.40.710.10	NA	NA	NA	SSF56601	NA	PF00144;PF11954	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA
EHK39811.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40101.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45596.1	NA	NA	IPR001680	GO:0005515	PS50082;PS50294	PTHR19862	NA	NA	G3DSA:2.130.10.10	Reactome: R-HSA-110314|Reactome: R-HSA-5689880|Reactome: R-HSA-6783310	NA	cd00200	SSF50978	PS00678	PF00400;PF11816	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA
EHK47237.1	NA	NA	IPR036291	NA	NA	PTHR14194:SF87;PTHR14194	NA	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PF13460	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40812.1	NA	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PTHR24347;PTHR24347:SF361	NA	NA	G3DSA:1.10.510.10	NA	NA	cd05117	SSF56112	PS00107;PS00108	PF00069	mobidb-lite	SM00220	Coil	PIRSF000654	NA	NA	NA	NA	NA
EHK45241.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PR00098	IPR005479	GO:0005524;GO:0006807;GO:0046872	PS50975	PTHR11405:SF48;PTHR11405	NA	NA	G3DSA:3.40.50.20;G3DSA:3.40.50.1380;G3DSA:1.10.1030.10;G3DSA:3.30.470.20;G3DSA:3.30.1490.20	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	TIGR01369	cd01423	SSF48108;SSF56059;SSF52335;SSF52440	PS00867;PS00866	PF02786;PF02787	NA	SM01096	NA	NA	NA	NA	NA	NA	NA
EHK49849.1	NA	NA	IPR004123	GO:0000398;GO:0046540	NA	PTHR12052:SF5;PTHR12052	NA	NA	G3DSA:3.40.30.10	NA	NA	cd02954	SSF52833	NA	PF02966	NA	SM01410	NA	PIRSF017199	NA	NA	NA	NA	NA
EHK43495.1	NA	NA	IPR001356	GO:0003677;GO:0003676;GO:0006355	PS50071;PS50157	PTHR11850;PTHR11850:SF195	NA	NA	G3DSA:1.10.10.60	NA	NA	cd00086	SSF46689	PS00028	PF05920;PF03221	mobidb-lite	SM00389;SM00355	NA	NA	NA	NA	NA	NA	NA
EHK50402.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR009311	GO:0016021	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF06140	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46047.1	NA	NA	IPR010730	NA	NA	PTHR33112;PTHR33112:SF6	NA	NA	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46790.1	NA	NA	IPR006683		NA	PTHR12418;PTHR12418:SF45	NA	NA	G3DSA:3.10.129.10	Reactome: R-HSA-77289	NA	cd03443	SSF54637	NA	PF03061	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47967.1	NA	NA	IPR002035	NA	PS50234;PS50089	PTHR10166;PTHR10166:SF37	NA	NA	G3DSA:3.40.50.410;G3DSA:3.30.40.10;G3DSA:2.30.29.30	NA	NA	cd01466	SSF57850;SSF53300;SSF50729	NA	PF00092;PF15411	mobidb-lite	SM00327;SM00233	NA	NA	NA	NA	NA	NA	NA
EHK40164.1	NA	NA	IPR040062	GO:0022857	PS50920	PTHR24089;PTHR24089:SF618	NA	NA	G3DSA:1.50.40.10	NA	NA	NA	SSF103506	NA	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46118.1	NA	NA	IPR000172	GO:0016614;GO:0050660;GO:0055114	PS51257	PTHR11552;PTHR11552:SF78	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.560.10	Reactome: R-HSA-6798163	NA	NA	SSF51905;SSF54373	PS00624	PF00732;PF05199	NA	NA	NA	PIRSF000137	NA	NA	NA	NA	NA
EHK46957.1	NA	NA	IPR024079	GO:0008237;GO:0008270	NA	PTHR15910	NA	NA	G3DSA:3.40.390.10	NA	NA	cd11375	SSF55486	NA	PF07998	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43034.1	NA	NA	IPR013183		NA	PTHR28289	NA	NA	NA	Reactome: R-HSA-162658	NA	NA	NA	NA	PF08227	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44529.1	NA	NA	IPR006683		NA	PTHR31793;PTHR31793:SF20	NA	NA	G3DSA:3.10.129.10	Reactome: R-HSA-77289	NA	cd00586	SSF54637	NA	PF03061	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46466.1	NA	NA	IPR019927	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	PTHR11229	NA	NA	G3DSA:2.40.50.620;G3DSA:2.40.30.10	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR03625	NA	SSF50447	NA	PF00297	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48147.1	NA	NA	IPR008978	NA	PS01031	PTHR11527;PTHR11527:SF175	NA	NA	G3DSA:2.60.40.790	NA	NA	cd06464	SSF49764	NA	PF00011	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44108.1	NA	NA	IPR040182	GO:0000045;GO:0006914;GO:1990316	NA	PTHR13430;PTHR13430:SF4	NA	NA	G3DSA:3.30.900.10	Reactome: R-HSA-1632852	NA	NA	NA	NA	PF10033	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45031.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	IPR013097	NA	PS51502	PTHR33178:SF2;PTHR33178	NA	NA	G3DSA:3.30.70.100	NA	NA	NA	SSF54909	NA	PF07876	NA	SM00886	NA	NA	NA	NA	NA	NA	NA
EHK49463.1	NA	NA	IPR023210	NA	NA	PTHR43625:SF14;PTHR43625	NA	NA	G3DSA:3.20.20.100	NA	NA	cd06660	SSF51430	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46391.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	IPR001509	GO:0003824;GO:0050662	NA	PTHR10366;PTHR10366:SF502	NA	NA	G3DSA:3.40.50.720	NA	NA	cd05227	SSF51735	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42252.1	NA	NA	IPR001155	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	PTHR22893:SF90;PTHR22893	NA	NA	G3DSA:3.20.20.70	NA	NA	cd02933	SSF51395	NA	PF00724	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41232.1	NA	NA	IPR029058	NA	NA	PTHR11559:SF206;PTHR11559	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PS00122	PF00135	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46943.1	NA	PR00412	IPR029058	GO:0003824	NA	PTHR21661;PTHR21661:SF35	NA	NA	G3DSA:3.40.50.1820	Reactome: R-HSA-211945	NA	NA	SSF53474	NA	PF06441	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42543.1	NA	PR00723	IPR036852	GO:0004252;GO:0006508	NA	PTHR43399	NA	NA	G3DSA:3.40.50.200	NA	NA	cd00306	SSF52743	PS00138;PS00136	PF00082	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK49093.1	NA	NA	IPR029063	GO:0008168;GO:0002098;GO:0016300	NA	PTHR13069;PTHR13069:SF21	NA	NA	G3DSA:3.40.50.150	Reactome: R-HSA-6782315	NA	cd02440	SSF53335	NA	PF08241	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46165.1	NA	NA	IPR029063	NA	NA	PTHR43591;PTHR43591:SF11	NA	NA	G3DSA:3.40.50.150	NA	NA	cd02440	SSF53335	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41014.1	NA	PR00076	IPR006114	GO:0004616;GO:0006098;GO:0055114;GO:0016491;GO:0050661	NA	PTHR11811:SF43;PTHR11811	NA	NA	G3DSA:3.40.50.720;G3DSA:1.10.1040.10;G3DSA:1.20.5.320	KEGG: 00030+1.1.1.44|KEGG: 00480+1.1.1.44|Reactome: R-HSA-71336	NA	NA	SSF48179;SSF51735	NA	PF00393;PF03446	NA	SM01350	NA	PIRSF000109	NA	NA	NA	NA	NA
EHK41227.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR036259	GO:0016021;GO:0055085	PS50850	PTHR23502:SF48;PTHR23502	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44155.1	NA	NA	IPR003395	GO:0005515;GO:0005524;GO:0005694;GO:0051276	NA	PTHR43939;PTHR43939:SF1	NA	NA	G3DSA:1.20.1060.20;G3DSA:3.40.50.300;G3DSA:3.30.70.1620	NA	NA	cd03274	SSF75553;SSF52540	NA	PF02463;PF06470	mobidb-lite	SM00968	Coil	PIRSF005719	NA	NA	NA	NA	NA
EHK48801.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR027417	GO:0005515;GO:0043531	NA	PTHR43889	NA	NA	G3DSA:3.40.50.300;G3DSA:1.25.40.10	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750	NA	NA	SSF52540;SSF48452	NA	PF00931	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40533.1	NA	NA	IPR034616	GO:0003826;GO:0003863;GO:0009083;GO:0016624	NA	PTHR43380:SF1;PTHR43380	NA	NA	G3DSA:3.40.50.970	KEGG: 00280+1.2.4.4|KEGG: 00640+1.2.4.4|MetaCyc: PWY-5046|Reactome: R-HSA-389661|Reactome: R-HSA-70895	NA	cd02000	SSF52518	NA	PF00676	NA	NA	Coil	NA	NA	NA	SignalP-TM	NA	NA
EHK45742.1	NA	NA	IPR003000	GO:0070403	PS50305	PTHR43688	NA	NA	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10	NA	NA	NA	SSF52467	NA	PF02146	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41133.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR42718;PTHR42718:SF1	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50194.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PTHR11785;PTHR11785:SF369	TMhelix	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PF13520	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
EHK43688.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PTHR38791;PTHR38791:SF7	NA	NA	G3DSA:4.10.240.10	NA	NA	cd00067	SSF57701	PS00463	PF00172;PF11951	NA	SM00066	NA	NA	NA	NA	NA	NA	NA
EHK49126.1	NA	PR00412	IPR016292	GO:0033961;GO:0003824	NA	PTHR21661:SF39;PTHR21661	NA	NA	G3DSA:3.40.50.1820	Reactome: R-HSA-211945	NA	NA	SSF53474	NA	PF06441	NA	NA	NA	PIRSF001112	NA	NA	NA	NA	NA
EHK44033.1	NA	NA	IPR039298	GO:0047617	NA	PTHR21660;PTHR21660:SF28	NA	NA	G3DSA:3.10.129.10	Reactome: R-HSA-77289	TIGR00369	cd03443	SSF54637	NA	PF03061	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48372.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PR00465	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	PTHR24279:SF85;PTHR24279	TMhelix	NA	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PS00086	PF00067	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41690.1	NA	PR00320	IPR013934	GO:0006364;GO:0032040;GO:0005515	PS50082;PS50294	PTHR19854;PTHR19854:SF15	NA	NA	G3DSA:2.130.10.10	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	cd00200	SSF50978	PS00678	PF08625;PF00400	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA
EHK45079.1	NA	PR00363	IPR001199	GO:0020037	PS50255	PTHR19359;PTHR19359:SF68	NA	NA	G3DSA:3.10.120.10	NA	NA	NA	SSF55856	PS00191	PF00173	NA	SM01117	NA	NA	NA	NA	NA	NA	NA
EHK40267.1	NA	NA	IPR019340		NA	PTHR13556	NA	NA	NA	Reactome: R-HSA-3214847|Reactome: R-HSA-5689880	NA	NA	NA	NA	PF10198	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK41974.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	IPR034543	NA	NA	PTHR38425	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EHK50221.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	IPR011050	NA	NA	PTHR31375:SF53;PTHR31375	NA	NA	G3DSA:2.160.20.10	NA	NA	NA	SSF51126	NA	PF12708	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA
EHK44064.1	NA	NA	IPR000511	GO:0004408;GO:0005739	NA	PTHR12743;PTHR12743:SF3	NA	NA	NA	KEGG: 00860+4.4.1.17	NA	NA	NA	PS00822;PS00821	PF01265	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK49038.1	NA	PR00100;PR00102	IPR036901	GO:0006520;GO:0016597;GO:0016743	NA	PTHR11405:SF1;PTHR11405	NA	NA	G3DSA:3.40.50.1370	KEGG: 00220+2.1.3.3|MetaCyc: PWY-4981|MetaCyc: PWY-4984|MetaCyc: PWY-7400|Reactome: R-HSA-1268020|Reactome: R-HSA-70635	TIGR00658	NA	SSF53671	PS00097	PF00185;PF02729	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47694.1	NA	NA	IPR011827	GO:0016836	NA	PTHR43822:SF2;PTHR43822	NA	NA	G3DSA:3.20.19.10;G3DSA:3.30.499.20;G3DSA:3.30.499.10	KEGG: 00290+4.2.1.33	TIGR02087	cd01577	SSF52016;SSF53732	NA	PF00330;PF00694	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41710.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION	NA	IPR014480	GO:0008496;GO:0016052;GO:0003824	NA	PTHR12145:SF32;PTHR12145	TMhelix	NA	G3DSA:1.50.10.20	NA	NA	NA	SSF48208	NA	PF03663	NA	NA	NA	PIRSF016302	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK39450.1	NA	NA	IPR008775	NA	NA	PTHR20883:SF8;PTHR20883	NA	NA	G3DSA:2.60.120.620	NA	NA	NA	SSF51197	NA	PF05721	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45490.1	NA	PR00799	IPR000796	GO:0006520;GO:0008483;GO:0003824;GO:0009058;GO:0030170	NA	PTHR11879;PTHR11879:SF10	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	KEGG: 00220+2.6.1.1|KEGG: 00250+2.6.1.1|KEGG: 00270+2.6.1.1|KEGG: 00330+2.6.1.1|KEGG: 00350+2.6.1.1|KEGG: 00360+2.6.1.1|KEGG: 00400+2.6.1.1|KEGG: 00401+2.6.1.1|KEGG: 00710+2.6.1.1|KEGG: 00950+2.6.1.1|KEGG: 00960+2.6.1.1|MetaCyc: PWY-5913|MetaCyc: PWY-6638|MetaCyc: PWY-6642|MetaCyc: PWY-6643|MetaCyc: PWY-7115|MetaCyc: PWY-7117|MetaCyc: PWY-7383	NA	cd00609	SSF53383	PS00105	PF00155	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
