Gene	Phobius	TMHMM	MobiDBLite	interpro	GO	Pfam	TIGRFAM	PANTHER	SUPERFAMILY	Coils	Gene3D	ProDom	ProSiteProfiles	PATHWAY	ProSitePatterns	SMART	PRINTS	CDD	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	PIRSF	SignalP_GRAM_POSITIVE	Hamap
EHK16459.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR000425	GO:0015267;GO:0016020;GO:0055085	PF00230	NA	PTHR43829;PTHR43829:SF18	SSF81338	NA	G3DSA:1.20.1080.10	NA	NA	Reactome: R-HSA-432047	NA	NA	PR00783	cd00333	NA	NA	NA	NA	NA	NA
EHK27179.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR027417	GO:0005515	PF12796;PF13637;PF17100	NA	PTHR24151:SF1;PTHR24151	SSF52540;SSF48403	NA	G3DSA:1.25.40.20;G3DSA:1.25.40.960;G3DSA:3.40.50.300	NA	PS50088;PS50297	NA	NA	SM00248	NA	cd00204	NA	NA	NA	NA	NA	NA
EHK22893.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	PTHR35043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19604.1	NA	NA	NA	IPR027417	NA	PF13671	NA	NA	SSF52540	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24342.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	IPR036188	GO:0071949	PF01494	NA	PTHR13789;PTHR13789:SF147	SSF51905	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
EHK20407.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR011993	NA	PF02893;PF16016	NA	PTHR23319;PTHR23319:SF4	NA	NA	G3DSA:2.30.29.30	NA	PS51778	NA	NA	SM00568	NA	cd13220	NA	NA	NA	NA	NA	NA
EHK18052.1	NA	NA	NA	IPR001680	GO:0005515	PF05729;PF00400	NA	PTHR22847;PTHR22847:SF600	SSF50978;SSF52540	Coil	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	PS50082;PS50294;PS50837	NA	PS00678	SM00320	NA	cd00200	NA	NA	NA	NA	NA	NA
EHK16090.1	NA	NA	NA	IPR004636	GO:0006525;GO:0008483;GO:0030170;GO:0003824	PF00202	TIGR00707	PTHR11986;PTHR11986:SF79	SSF53383	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	NA	PS00600	NA	NA	cd00610	NA	NA	NA	PIRSF000521	NA	MF_01107
EHK18971.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR024671	NA	PF11700	NA	PTHR11360:SF144;PTHR11360	SSF103473	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK16518.1	NA	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	NA	PTHR45594	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066;SM00906	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA
EHK21687.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR011992	GO:0005509;GO:0016020;GO:0055085	PF00924	NA	PTHR31323:SF7;PTHR31323	SSF47473;SSF50182	Coil	NA	NA	PS50222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18515.1	NA	NA	NA	IPR017926	GO:0004642;GO:0006189	PF18076;PF18072;PF13507;PF02769	TIGR01735	PTHR10099	SSF82697;SSF109736;SSF56042;SSF55326;SSF52317	NA	G3DSA:1.10.8.750;G3DSA:3.30.1330.10;G3DSA:3.90.650.10;G3DSA:3.40.50.880	NA	PS51273	KEGG: 00230+6.3.5.3|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	NA	SM01211	NA	cd02204;cd01740	NA	NA	NA	NA	NA	MF_00419
EHK23888.1	NA	NA	mobidb-lite	IPR004827	GO:0003700;GO:0006355	PF00170;PF08601	NA	PTHR22952;PTHR22952:SF267	SSF57959;SSF111430	Coil	G3DSA:1.20.5.170;G3DSA:1.10.238.100	NA	PS50217	NA	PS00036	SM00338	NA	cd14688	NA	NA	NA	NA	NA	NA
EHK16786.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	NA	IPR011330	GO:0003824;GO:0005975;GO:0016810	PF01522	NA	PTHR10587	SSF88713	Coil	G3DSA:3.20.20.370	NA	PS51677	NA	NA	NA	NA	cd10958	NA	SignalP-TM	NA	NA	NA	NA
EHK23990.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR004813	GO:0055085	PF03169	TIGR00728	PTHR22601:SF47;PTHR22601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20336.1	NA	NA	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	PTHR31263	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067	NA	NA	NA	NA	NA	NA
EHK16433.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK24737.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25413.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18651.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20053.1	NA	NA	mobidb-lite	IPR019315		PF10159	NA	PTHR14580:SF0;PTHR14580	NA	NA	NA	NA	NA	Reactome: R-HSA-6798695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19997.1	NA	NA	mobidb-lite	IPR002347	GO:0016491	PF13561	NA	PTHR43348	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	PS00061	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA
EHK15542.1	NA	NA	NA	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	PF13640	NA	PTHR10869:SF126;PTHR10869	NA	NA	G3DSA:2.60.120.620	NA	PS51471	NA	NA	SM00702	NA	NA	NA	NA	NA	NA	NA	NA
EHK18825.1	NA	NA	mobidb-lite	IPR015928	GO:0004409;GO:0009085;GO:0051539	PF00330;PF00694	TIGR00139	PTHR43822;PTHR43822:SF2	SSF52016;SSF53732	NA	G3DSA:3.20.19.10;G3DSA:3.30.499.20;G3DSA:3.30.499.10	NA	NA	KEGG: 00290+4.2.1.33	PS01244	NA	PR00415	cd01674	NA	NA	NA	NA	NA	NA
EHK26671.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR036259	GO:0016021;GO:0055085	PF07690	NA	PTHR23294;PTHR23294:SF27	SSF103473	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK25324.1	NA	NA	mobidb-lite	IPR009088	GO:0005672;GO:0006367	PF03153	NA	PTHR12694:SF8;PTHR12694	SSF50784;SSF47396	NA	G3DSA:2.30.18.10;G3DSA:1.10.287.100	NA	NA	NA	NA	SM01371	NA	cd07976	NA	NA	NA	NA	NA	NA
EHK17646.1	NA	NA	mobidb-lite	IPR007145	GO:0000226;GO:0008017	PF03999	NA	PTHR19321;PTHR19321:SF0	NA	Coil	G3DSA:1.20.58.1520	NA	NA	Reactome: R-HSA-5625900	NA	NA	NA	cd11741	NA	NA	NA	NA	NA	NA
EHK16245.1	NA	NA	mobidb-lite	IPR036928	GO:0004040	PF01425	NA	PTHR11895;PTHR11895:SF36	SSF75304	NA	G3DSA:3.90.1300.10	NA	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	PIRSF001221	NA	NA
EHK15299.1	NA	NA	NA	IPR036705	NA	PF03747	NA	NA	SSF101478	NA	G3DSA:2.60.120.560;G3DSA:1.10.4080.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24562.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR010730	NA	PF06985	NA	PTHR33112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24152.1	NA	NA	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	PTHR31313:SF55;PTHR31313	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA
EHK23841.1	NA	NA	NA	NA	NA	NA	NA	PTHR42030	SSF54768	NA	G3DSA:3.30.160.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17097.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR014743	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PF00654	NA	PTHR11689;PTHR11689:SF65	SSF81340;SSF54631	NA	G3DSA:3.90.1280.20;G3DSA:1.10.3080.10;G3DSA:3.10.580.20	NA	PS51371	Reactome: R-HSA-2672351	NA	NA	PR00762	cd04591;cd03684	NA	NA	NA	NA	NA	NA
EHK25877.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23294.1	NA	NA	mobidb-lite	IPR013979	GO:0003743;GO:0006413;GO:0005515	PF08662	NA	PTHR13227	SSF82171	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017222	NA	NA
EHK16103.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	PTHR40626	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
EHK23219.1	NA	NA	mobidb-lite	IPR001841	GO:0046872	PF00097;PF03105	NA	PTHR23327;PTHR23327:SF25	SSF57850	Coil	G3DSA:3.30.40.10	NA	PS51382;PS50089	NA	PS00518	SM00184	NA	NA	NA	NA	NA	NA	NA	NA
EHK17188.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	mobidb-lite	NA	NA	NA	NA	PTHR38791	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
EHK19325.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR030470	GO:0008495;GO:0016021;GO:0048034;GO:0016765;GO:0006783;GO:0031966	PF01040	NA	PTHR43448:SF2;PTHR43448	NA	NA	G3DSA:1.10.357.140	NA	NA	Reactome: R-HSA-189451	PS00943	NA	NA	cd13957	NA	NA	NA	PIRSF001773	NA	MF_00154
EHK16158.1	NA	NA	mobidb-lite	IPR020683	GO:0003824;GO:0009116;GO:0005515	PF05729;PF12796	NA	PTHR24151;PTHR24151:SF8	SSF53167;SSF48403;SSF52540	NA	G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	PS50297;PS50088	NA	NA	SM00248	NA	cd00204	NA	NA	NA	NA	NA	NA
EHK15982.1	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	PTHR39219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK24444.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR022185	NA	PF12505	NA	PTHR35895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18833.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR032805	NA	PF13813	NA	PTHR31595:SF1;PTHR31595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20555.1	NA	NA	NA	IPR005176	GO:0005515	PF14555;PF03556	NA	PTHR12281;PTHR12281:SF2	SSF46934	NA	G3DSA:1.10.238.10	NA	PS51229	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24711.1	NA	NA	NA	IPR001602	NA	PF01894	TIGR00149	PTHR30615:SF10;PTHR30615	SSF111038	NA	G3DSA:2.60.120.460	NA	NA	NA	PS01314	NA	NA	NA	NA	NA	NA	PIRSF004681	NA	NA
EHK19224.1	NA	NA	mobidb-lite	IPR001810	GO:0005515	NA	NA	NA	SSF81383	NA	G3DSA:1.20.1280.50	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19208.1	NA	NA	NA	IPR002480	GO:0003849;GO:0009073	PF01474	NA	PTHR21337:SF15;PTHR21337	SSF51569	NA	NA	NA	NA	KEGG: 00400+2.5.1.54|MetaCyc: PWY-6164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19654.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK15425.1	NA	NA	mobidb-lite	IPR033656	GO:0004821;GO:0005524;GO:0006427;GO:0005737	PF03129;PF13393	TIGR00442	PTHR11476	SSF52954;SSF55681	NA	G3DSA:3.30.930.10;G3DSA:3.40.50.800	NA	PS50862	KEGG: 00970+6.1.1.21	NA	NA	NA	cd00859;cd00773	NA	NA	NA	PIRSF001549	NA	MF_00127
EHK16812.1	NA	NA	NA	IPR000938	GO:0005515	PF01302	NA	PTHR15140;PTHR15140:SF6	SSF52058;SSF74924	NA	G3DSA:3.80.10.10;G3DSA:2.30.30.190	NA	PS50245;PS51450	NA	PS00845	SM00364;SM01052	NA	NA	NA	NA	NA	NA	NA	NA
EHK18277.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22962.1	NA	NA	NA	IPR029045	GO:0003824	PF00378	NA	PTHR11941	SSF52096	NA	G3DSA:3.90.226.10	NA	NA	NA	NA	NA	NA	cd06558	NA	NA	NA	NA	NA	NA
EHK24499.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	IPR026749	NA	NA	NA	PTHR12459;PTHR12459:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26338.1	NA	NA	mobidb-lite	IPR000308	GO:0019904	PF00244	NA	PTHR18860:SF39;PTHR18860	SSF48445	NA	G3DSA:1.20.190.20	NA	NA	Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	PS00796	SM00101	PR00305	NA	NA	NA	NA	PIRSF000868	NA	NA
EHK19588.1	NA	NA	NA	IPR002347	NA	PF13561	NA	PTHR43477;PTHR43477:SF2	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK26965.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PTHR31405;PTHR31405:SF13	NA	NA	NA	NA	NA	NA	NA	SM00906	NA	cd12148	NA	NA	NA	NA	NA	NA
EHK15454.1	NA	NA	mobidb-lite	IPR029033	NA	PF00300	NA	PTHR23029;PTHR23029:SF26	SSF53254	NA	G3DSA:3.40.50.1240	NA	NA	NA	NA	SM00855	NA	cd07067	NA	NA	NA	NA	NA	NA
EHK20272.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22133.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	IPR021460	NA	PF11309	NA	PTHR35184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17922.1	NA	NA	mobidb-lite	IPR006600	GO:0003677	PF03221;PF18107	NA	NA	SSF46689	Coil	G3DSA:1.10.10.60	NA	PS51253	NA	NA	SM00674	NA	NA	NA	NA	NA	NA	NA	NA
EHK24929.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR030374		PF01564	NA	PTHR12176:SF14;PTHR12176	SSF53335	NA	G3DSA:3.40.50.150	NA	PS51006	KEGG: 00270+2.5.1.16|KEGG: 00330+2.5.1.16|KEGG: 00410+2.5.1.16|KEGG: 00480+2.5.1.16|Reactome: R-HSA-351202	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
EHK16206.1	NA	NA	mobidb-lite	IPR021833	NA	PF11905	NA	PTHR38116;PTHR38116:SF3	NA	Coil	NA	NA	NA	NA	NA	NA	NA	cd14688	NA	NA	NA	NA	NA	NA
EHK15168.1	NA	NA	NA	IPR022742	NA	PF12146	NA	PTHR11614;PTHR11614:SF87	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21247.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	IPR024655	NA	PF11790	NA	PTHR34154:SF3;PTHR34154	SSF51445	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK18583.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR021369	NA	PF11204	NA	PTHR35872;PTHR35872:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19234.1	NA	NA	mobidb-lite	IPR000994	GO:0004177;GO:0006508;GO:0008235	PF00557;PF15801	TIGR00500	PTHR43330:SF7;PTHR43330	SSF55920	NA	G3DSA:3.90.230.10	NA	NA	MetaCyc: PWY-7799|MetaCyc: PWY-7800	PS00680	NA	PR00599	cd01086	NA	NA	NA	NA	NA	MF_01974
EHK26722.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR027057	GO:0008233;GO:0071586;GO:0004222;GO:0006508	PF01435;PF16491	NA	PTHR10120;PTHR10120:SF24	NA	NA	G3DSA:3.30.2010.10	NA	NA	KEGG: 00900+3.4.24.84	NA	NA	NA	cd07343	NA	NA	NA	NA	NA	NA
EHK20623.1	NA	NA	NA	IPR036778		PF09349	NA	PTHR37987	SSF158694	Coil	G3DSA:1.10.3330.10	NA	NA	KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26048.1	NA	NA	mobidb-lite	IPR029004	NA	PF01778;PF04874	NA	PTHR23405;PTHR23405:SF4	NA	Coil	G3DSA:3.30.390.110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF003352	NA	NA
EHK19492.1	NA	NA	NA	IPR001382	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PF01532	NA	PTHR11742:SF47;PTHR11742	SSF48225	NA	G3DSA:1.50.10.10	NA	NA	NA	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA
EHK19945.1	NA	NA	mobidb-lite	IPR001789	GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772	PF00512;PF02518;PF00072	NA	PTHR43719	SSF55874;SSF55781;SSF52172;SSF47384	NA	G3DSA:3.40.50.2300;G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.30.450.40	NA	PS50110;PS50109	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	SM00388;SM00387;SM00448	PR00344	cd00156;cd00082;cd00075	NA	NA	NA	NA	NA	NA
EHK18932.1	NA	NA	NA	IPR001283	GO:0005576	PF00188	NA	PTHR10334;PTHR10334:SF312	SSF55797	NA	G3DSA:3.40.33.10	NA	NA	NA	PS01009	SM00198	PR00837	cd05380	NA	NA	NA	NA	NA	NA
EHK23414.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF11951;PF00172	NA	PTHR36206	SSF57701	Coil	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067	NA	NA	NA	NA	NA	NA
EHK24300.1	NA	NA	mobidb-lite	IPR025279	NA	PF13945	NA	PTHR31780	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23608.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR018305	GO:0005739	PF10501	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK21952.1	NA	NA	NA	IPR006047	GO:0003824;GO:0005975	PF00128	NA	PTHR10357;PTHR10357:SF194	SSF51445;SSF51011	NA	G3DSA:3.90.400.10;G3DSA:2.60.40.1180;G3DSA:3.20.20.80	NA	NA	NA	NA	SM00642	NA	cd11333	NA	NA	NA	NA	NA	NA
EHK16494.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK19327.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK24145.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	NA	PTHR31313:SF43;PTHR31313	SSF57701	Coil	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	NA	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA
EHK27180.1	NA	NA	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	PF00069	NA	PTHR24351;PTHR24351:SF169	SSF56112	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	PS51285;PS50011	NA	NA	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
EHK26736.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00664;PF00005	NA	PTHR24223	SSF90123;SSF52540	NA	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	PS50893;PS50929	NA	PS00211	SM00382	NA	cd03250	NA	NA	NA	NA	NA	NA
EHK16189.1	NA	NA	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	PTHR31845;PTHR31845:SF5	SSF57701	Coil	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA
EHK26786.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23706.1	NA	NA	NA	IPR008271	GO:0004672;GO:0006468;GO:0005524	PF00069	NA	PTHR24056:SF185;PTHR24056	SSF56112	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	PS50011	NA	PS00108;PS00107	SM00220	NA	cd07835	NA	NA	NA	NA	NA	NA
EHK20834.1	NA	NA	NA	IPR002575	NA	PF01636	NA	NA	SSF56112	NA	G3DSA:3.90.1200.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
