Gene	interpro	SUPERFAMILY	PANTHER	GO	Pfam	PATHWAY	CDD	Gene3D	TMHMM	Phobius	ProSitePatterns	PIRSF	MobiDBLite	PRINTS	SMART	ProSiteProfiles	Coils	ProDom	TIGRFAM	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	Hamap
PON22322.1	IPR026591	SSF52467	PTHR11085:SF15;PTHR11085	GO:0070403	PF02146	NA	NA	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50305	NA	NA	NA	NA	NA	NA	NA	NA
PON29378.1	IPR002687	SSF89124	PTHR13904	GO:0000244;GO:0000398;GO:0046540	PF01798;PF09785	Reactome: R-HSA-72163	NA	G3DSA:1.10.246.90;G3DSA:1.10.287.660;G3DSA:1.10.150.460	NA	NA	NA	NA	mobidb-lite	NA	SM00931	PS51358	NA	NA	NA	NA	NA	NA	NA	NA
PON29278.1	IPR015424	SSF53383	PTHR11601;PTHR11601:SF34	GO:0003824;GO:0030170;GO:0031071;GO:0044571	PF00266	KEGG: 00730+2.8.1.7|MetaCyc: PWY-7250|Reactome: R-HSA-1362409|Reactome: R-HSA-947581	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	PS00595	NA	NA	NA	NA	NA	NA	NA	TIGR02006	NA	NA	SignalP-TM	NA	MF_00331
PON24417.1	IPR036282	SSF47616;SSF52833	PTHR43900;PTHR43900:SF3	GO:0005515	PF02798	NA	cd03057	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	NA	NA	NA	NA	NA	NA	PS50404;PS50405	NA	NA	NA	SFLDS00019;SFLDG00358	NA	NA	NA	NA
PON20565.1	IPR022137	NA	PTHR40780		PF12417	Reactome: R-HSA-212436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22045.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22779.1	IPR019433	NA	PTHR28022	NA	PF10333	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PON29342.1	IPR018809	NA	PTHR28186	NA	PF10295	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28907.1	IPR000772	SSF50370;SSF48208	PTHR12145:SF14;PTHR12145	GO:0003824	PF03663;PF14200	NA	cd00161	G3DSA:2.80.10.50;G3DSA:1.50.10.20	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	PS50231	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON22194.1	IPR012580	NA	PTHR12202	GO:0005634;GO:0006364	PF08159	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON23963.1	IPR026859	NA	PTHR11352:SF3;PTHR11352	GO:0017022	PF12632	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON28340.1	IPR036871	SSF103657;SSF64268	PTHR10555;PTHR10555:SF170	GO:0035091	PF00787	NA	cd07628;cd06863	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	NA	NA	NA	NA	mobidb-lite	NA	SM00312	PS50195	Coil	NA	NA	NA	NA	NA	NA	NA
PON22448.1	IPR000198	SSF48350	PTHR23176:SF100;PTHR23176	GO:0007165	PF00620;PF00412	Reactome: R-HSA-194840	cd09395;cd00159;cd09394	G3DSA:2.10.110.10;G3DSA:1.10.555.10	NA	NA	PS00478	NA	mobidb-lite	NA	SM00132;SM00324	PS50238;PS50023	Coil	NA	NA	NA	NA	NA	NA	NA
PON24944.1	IPR036291	SSF51735	PTHR43544	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28151.1	IPR040168	NA	PTHR23326;PTHR23326:SF1	GO:0030015;GO:0005634;GO:0006355	PF04065;PF04153	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	NA	G3DSA:2.30.30.1020	NA	NA	NA	PIRSF005290	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON21762.1	IPR016024	SSF48371	PTHR12771:SF3;PTHR12771	NA	PF16457;PF04727;PF11841	NA	NA	G3DSA:1.10.8.920;G3DSA:1.25.10.10;G3DSA:2.30.29.30	NA	NA	NA	NA	mobidb-lite	NA	NA	PS51335	NA	NA	NA	NA	NA	NA	NA	NA
PON21674.1	IPR036864	SSF57701	PTHR31313:SF55;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	cd12148;cd00067	G3DSA:4.10.240.10	NA	NA	PS00463	NA	NA	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON27098.1	IPR001138	SSF57701	PTHR31313:SF43;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON25009.1	IPR036188	SSF51905	PTHR23023	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	PIRSF000332	NA	PR00370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30367.1	IPR000717	SSF46785	PTHR10758;PTHR10758:SF2	GO:0000502;GO:0030234;GO:0042176	PF08375;PF01399	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	G3DSA:1.25.40.570	NA	NA	NA	NA	mobidb-lite	NA	SM00088;SM00753	PS50250	Coil	NA	NA	NA	NA	NA	NA	NA
PON23411.1	IPR036188	SSF54373;SSF51905	PTHR13789:SF215;PTHR13789	GO:0071949	PF01494	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	mobidb-lite	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24922.1	IPR017853	SSF51011;SSF51445;SSF53756	PTHR10357:SF194;PTHR10357	GO:0003824;GO:0005975	PF13692;PF00128	NA	cd11333	G3DSA:3.90.400.10;G3DSA:3.20.20.80;G3DSA:3.40.50.2000;G3DSA:2.60.40.1180	NA	NA	NA	NA	NA	NA	SM00642	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30800.1	NA	NA	PTHR33048;PTHR33048:SF2	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28296.1	IPR011993	SSF50729;SSF144000;SSF101576	PTHR10972:SF107;PTHR10972	NA	PF15409;PF01237	NA	cd13289	G3DSA:2.30.29.30;G3DSA:1.20.120.1290;G3DSA:2.40.160.120	NA	NA	NA	NA	mobidb-lite	NA	SM00233	PS50003	Coil	NA	NA	NA	NA	NA	NA	NA
PON30900.1	IPR008253	NA	PTHR37451;PTHR37451:SF1	GO:0016020	PF01284	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30983.1	IPR025532	SSF74650	PTHR11122:SF13;PTHR11122	GO:0005975;GO:0016853;GO:0003824;GO:0030246	PF01263	KEGG: 00010+5.1.3.15	cd09020	G3DSA:2.70.98.10	NA	NA	NA	PIRSF016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29633.1	IPR036305	SSF48097	PTHR39466	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26520.1	IPR017972	SSF48264	PTHR24305;PTHR24305:SF29	GO:0016705;GO:0055114;GO:0005506;GO:0020037	PF00067	NA	NA	G3DSA:1.10.630.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS00086	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26585.1	IPR031646	NA	PTHR16166;PTHR16166:SF93	NA	PF16908;PF16909;PF06650;PF12624;PF16910	NA	NA	NA	NA	NA	NA	PIRSF037235	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON22295.1	IPR001164	SSF57863	PTHR23180:SF160;PTHR23180	GO:0005096	PF01412	NA	NA	G3DSA:3.30.40.160	NA	NA	NA	NA	mobidb-lite	PR00405	SM00105	PS50115	NA	NA	NA	NA	NA	NA	NA	NA
PON20691.1	IPR002347	SSF51735	PTHR43544	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25882.1	NA	NA	PTHR23077;PTHR23077:SF49	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON29779.1	IPR040252	SSF54928	PTHR13952:SF5;PTHR13952	GO:0000398;GO:0005685;GO:0003676;GO:0030619	PF12220;PF00076	Reactome: R-HSA-72163	cd12236	G3DSA:3.30.70.330	NA	NA	NA	NA	mobidb-lite	NA	SM00360	PS50102	NA	NA	NA	NA	NA	NA	NA	NA
PON20983.1	IPR002938	SSF54373;SSF51905	PTHR13789;PTHR13789:SF242	GO:0071949	PF01494	NA	NA	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PON26407.1	IPR012340	SSF50249;SSF75217	PTHR12150	NA	PF02598	NA	NA	G3DSA:2.40.50.140;G3DSA:3.40.1280.10	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20655.1	IPR001138	SSF57701	PTHR31313:SF69;PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	NA	PS00463	NA	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON30384.1	NA	NA	PTHR34502:SF6;PTHR34502	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON26345.1	IPR000403	SSF46785;SSF56112;SSF75632;SSF74788	PTHR11139;PTHR11139:SF72	GO:0005515;GO:0004674;GO:0006511;GO:0031625;GO:0016301	PF00454;PF02260;PF11640;PF00888;PF10557;PF02259	Reactome: R-HSA-8951664	cd05171	G3DSA:1.10.10.2620;G3DSA:1.10.10.10;G3DSA:1.10.1070.11;G3DSA:1.20.1310.10;G3DSA:3.30.1010.10	NA	NA	PS00916;PS00915	NA	mobidb-lite	NA	SM00146;SM00182;SM01342;SM01343;SM00884	PS51189;PS50069;PS50290;PS51190	Coil	NA	NA	NA	NA	NA	NA	NA
PON26606.1	IPR003010	SSF56317	PTHR23088:SF2;PTHR23088	GO:0006807;GO:0016810	PF00795	NA	cd07564	G3DSA:3.60.110.10	NA	NA	PS00921;PS00920	NA	NA	NA	NA	PS50263	NA	NA	NA	NA	NA	NA	NA	NA
PON30861.1	NA	NA	PTHR33048	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26711.1	IPR036259	SSF103473	PTHR23501;PTHR23501:SF12	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23699.1	IPR014710	SSF51182	NA	NA	NA	NA	NA	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26713.1	IPR001279	SSF56281	PTHR23200;PTHR23200:SF56	NA	PF00753	NA	cd07730	G3DSA:3.60.15.10	NA	NA	NA	NA	NA	NA	SM00849	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24046.1	IPR029045	SSF52096	PTHR43176;PTHR43176:SF3	GO:0003824;GO:0003860	PF16113	Reactome: R-HSA-70895	cd06558	G3DSA:3.90.226.10	NA	NA	PS00166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27165.1	IPR003959	SSF52540	PTHR23077;PTHR23077:SF91	GO:0005524	PF00004	NA	cd00009	G3DSA:3.40.50.300	NA	NA	NA	NA	mobidb-lite	NA	SM00382	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON29188.1	IPR018838	NA	PTHR28535	NA	PF10382	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22680.1	IPR029058	SSF53474;SSF52540	PTHR10039:SF5;PTHR10039	GO:0032126;GO:0070941	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20872.1	IPR017440	SSF52210	PTHR11117:SF2;PTHR11117	GO:0003824	PF00549	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	NA	G3DSA:3.40.50.261	NA	NA	PS00399;PS01216	NA	NA	PR01798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29604.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29289.1	IPR021622	NA	PTHR21736;PTHR21736:SF12	NA	PF11559	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON28925.1	IPR004843	SSF56300	PTHR32440:SF11;PTHR32440	GO:0016787	PF00149	NA	cd07383	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON24177.1	IPR020846	SSF103473	PTHR23501;PTHR23501:SF59	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1720.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	PR01036	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON29418.1	IPR000679	SSF57716	PTHR10071:SF228;PTHR10071	GO:0006355;GO:0008270;GO:0043565;GO:0003700	PF00320	Reactome: R-HSA-383280	cd00202	G3DSA:3.30.50.10	NA	NA	PS00344	NA	mobidb-lite	PR00619	SM00401	PS50114	Coil	NA	NA	NA	NA	NA	NA	NA
PON22941.1	IPR035979	SSF54928;SSF82708	PTHR23003;PTHR23003:SF17	GO:0003676	PF00076;PF01424	NA	cd12253	G3DSA:3.30.1370.50;G3DSA:3.30.70.330	NA	NA	NA	NA	mobidb-lite	NA	SM00360	PS50102;PS51061	Coil	NA	NA	NA	NA	NA	NA	NA
PON25807.1	IPR002478	SSF88697	PTHR22798	GO:0003723	PF17832;PF01472	NA	cd11609	G3DSA:2.30.130.10	NA	NA	NA	PIRSF005067	NA	NA	SM00359	PS50890	NA	NA	TIGR00451	NA	NA	NA	NA	NA
PON24354.1	IPR002293	NA	PTHR43341	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	PF00324	NA	NA	G3DSA:1.20.1740.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00218	PIRSF006060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22564.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21144.1	NA	NA	PTHR22949	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26838.1	IPR039037	NA	PTHR12323	GO:0006874	PF04818	Reactome: R-HSA-72163	NA	G3DSA:1.25.40.90	NA	NA	NA	NA	NA	NA	NA	PS51391	NA	NA	NA	NA	NA	NA	NA	NA
PON30768.1	IPR011990	SSF48452	PTHR22904;PTHR22904:SF488	GO:0005515	PF13424;PF17830;PF13432	NA	NA	G3DSA:1.25.40.10;G3DSA:1.10.260.100	NA	NA	NA	NA	mobidb-lite	NA	SM00028;SM00727	PS50005;PS50293	Coil	NA	NA	NA	NA	NA	NA	NA
PON21281.1	IPR002717	SSF54160;SSF55729;SSF48208	PTHR31047:SF0;PTHR31047	GO:0004402;GO:0006355;GO:0016573;GO:0003824	PF01853;PF17772;PF11717;PF06824	Reactome: R-HSA-3214847	cd04301	G3DSA:2.30.30.140;G3DSA:3.30.60.60;G3DSA:1.50.10.10;G3DSA:1.10.10.10;G3DSA:3.40.630.30	NA	NA	NA	NA	mobidb-lite	NA	SM01149	PS51726	NA	NA	NA	NA	NA	NA	NA	NA
PON26739.1	IPR031776	SSF57667	PTHR12786:SF2;PTHR12786	GO:0000398;GO:0003723;GO:0005681;GO:0003676;GO:0008270;GO:0005634	PF12171;PF11931;PF16837;PF12108	Reactome: R-HSA-72163	NA	G3DSA:3.30.160.60	NA	NA	PS00028	NA	mobidb-lite	NA	SM00451;SM00355	PS50171	NA	NA	NA	NA	NA	NA	NA	NA
PON20533.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30872.1	IPR020843	SSF51735;SSF50129	PTHR45348	GO:0016491;GO:0055114	PF08240	NA	cd08249	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22583.1	IPR023296	SSF75005;SSF49899	PTHR42812:SF2;PTHR42812	GO:0004553;GO:0005975	PF04616;PF17851	NA	cd09000	G3DSA:2.60.120.200;G3DSA:2.115.10.20	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON27599.1	IPR011990	SSF48452	PTHR22767;PTHR22767:SF2	GO:0005515	PF12569;PF13181	NA	NA	G3DSA:1.25.40.1040;G3DSA:1.25.40.1010	NA	NA	NA	PIRSF000422	mobidb-lite	NA	SM00028	PS50005;PS50293	Coil	NA	NA	NA	NA	NA	NA	NA
PON22527.1	IPR000209	SSF52743	PTHR43806	GO:0004252;GO:0006508	PF00082	NA	cd00306	G3DSA:3.40.50.200	NA	NA	NA	NA	mobidb-lite	PR00723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27676.1	IPR039191	NA	PTHR23216	GO:0005730	PF05022	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25012.1	IPR036188	SSF51905;SSF54373	PTHR11552;PTHR11552:SF123	GO:0016614;GO:0055114;GO:0050660	PF05199;PF00732	Reactome: R-HSA-6798163	NA	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	NA	PS00624	PIRSF000137	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA
PON22412.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26072.1	IPR023395	SSF103506	PTHR24089:SF357;PTHR24089	GO:0022857	PF00153	NA	NA	G3DSA:1.50.40.10	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA
PON24605.1	IPR019079	SSF56300	PTHR33393:SF10;PTHR33393	NA	PF09587	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM00854	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26288.1	IPR011993	NA	PTHR13335		PF16978;PF16979	Reactome: R-HSA-1257604|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757	NA	G3DSA:2.30.29.30;G3DSA:3.10.20.90	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25614.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON20511.1	IPR013861	SSF144091	PTHR44474;PTHR44474:SF1	GO:0006890;GO:0016021	PF08551	Reactome: R-HSA-6807878	NA	G3DSA:1.20.1540.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	SM01160	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20884.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28904.1	IPR024655	SSF51445	PTHR34154	NA	PF11790	NA	NA	G3DSA:3.20.20.80	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON21920.1	IPR011706	SSF49503	PTHR11709:SF136;PTHR11709	GO:0005507;GO:0016491;GO:0055114	PF07731;PF00394;PF07732	NA	cd13895	G3DSA:2.60.40.420	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PS00080;PS00079	NA	NA	NA	NA	NA	NA	NA	TIGR03390	NA	SignalP-noTM	NA	SignalP-noTM	NA
PON30299.1	IPR012462	SSF51197	PTHR12461;PTHR12461:SF2	NA	PF07910;PF13621	NA	NA	G3DSA:2.60.120.1660;G3DSA:3.90.70.130	NA	NA	NA	NA	mobidb-lite	NA	SM00558	PS51184	NA	NA	NA	NA	NA	NA	NA	NA
PON27050.1	IPR003511	SSF56019	PTHR11842;PTHR11842:SF10	NA	PF02301	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	PS50815	NA	NA	NA	NA	NA	NA	NA	NA
PON20446.1	IPR002076	NA	PTHR11157;PTHR11157:SF12	GO:0016021	PF01151	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|Reactome: R-HSA-75876	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
