Gene	interpro	GO	ProSiteProfiles	Phobius	SMART	TMHMM	SUPERFAMILY	Gene3D	PATHWAY	Pfam	PANTHER	CDD	Coils	ProSitePatterns	MobiDBLite	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	PIRSF	TIGRFAM	Hamap	SFLD	ProDom
PTB63945.1	IPR002474	GO:0004088;GO:0006207;GO:0006541	PS51273	NA	SM01097	NA	SSF52317;SSF52021	G3DSA:3.50.30.20;G3DSA:3.40.50.880	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PF00988;PF00117	PTHR11405:SF4;PTHR11405	cd01744	NA	NA	NA	PR00096;PR00097;PR00099	NA	NA	NA	NA	TIGR01368	MF_01209	NA	NA
PTB63500.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB65435.1	IPR002052	GO:0003676;GO:0008168;GO:0032259	NA	NA	NA	NA	SSF53335	NA	NA	NA	PTHR18895;PTHR18895:SF71	NA	NA	PS00092	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68867.1	IPR013785	GO:0003824	NA	NA	NA	NA	SSF51445	G3DSA:3.20.20.70	NA	PF05691	PTHR31268:SF13;PTHR31268	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64315.1	IPR004095	GO:0005525	PS51710	NA	NA	NA	SSF52540;SSF81271	G3DSA:3.10.20.30	KEGG: 00970+6.1.1.3	PF02824;PF01926;PF16897	PTHR43127:SF1;PTHR43127	cd01666;cd01896	Coil	PS00905	NA	PR00326	NA	NA	NA	NA	TIGR00231	NA	NA	NA
PTB64723.1	IPR018834	GO:0005515	NA	NA	NA	NA	SSF48452	G3DSA:1.25.40.10	Reactome: R-HSA-975957	PF10373	PTHR15696:SF17;PTHR15696	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68825.1	IPR018791		NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852	PF10186	PTHR15157;PTHR15157:SF13	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70970.1	IPR007900	GO:0005669;GO:0006352	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF05236	NA	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65735.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172	PTHR38111	cd00067	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67352.1	IPR036420	GO:0003689;GO:0005524;GO:0005663;GO:0006260;GO:0006281;GO:0003677	PS50172	NA	SM00292;SM00382	NA	SSF52540;SSF48019;SSF52113	G3DSA:3.40.50.300;G3DSA:3.40.50.10190;G3DSA:1.20.272.10;G3DSA:1.10.8.60	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	PF08519;PF00004;PF00533	PTHR23389:SF6;PTHR23389	cd00027;cd00009	Coil	NA	mobidb-lite	NA	NA	NA	NA	PIRSF036578	NA	NA	NA	NA
PTB62496.1	IPR001310	GO:0003824	PS51084	NA	NA	NA	SSF54197	G3DSA:3.30.428.10	NA	PF01230	PTHR23089:SF21;PTHR23089	NA	NA	PS00892	NA	PR00332	NA	NA	NA	NA	NA	NA	NA	NA
PTB70256.1	IPR039960	GO:0032592;GO:0055088	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF07950	PTHR38409	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65340.1	IPR033656	GO:0004821;GO:0005524;GO:0006427;GO:0005737	PS50862	NA	NA	NA	SSF52954;SSF55681	G3DSA:3.30.930.10;G3DSA:3.40.50.800	KEGG: 00970+6.1.1.21	PF13393;PF03129	PTHR11476	cd00859;cd00773	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF001549	TIGR00442	MF_00127	NA	NA
PTB61766.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70485.1	IPR000504	GO:0003676	PS50102	NA	SM00360	NA	SSF54928	G3DSA:3.30.70.330	NA	PF00076	PTHR10693	cd00590	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68073.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70789.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64198.1	IPR019327	NA	NA	NA	NA	NA	NA	NA	NA	PF10180	PTHR22306	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62438.1	IPR007019	NA	NA	NA	NA	NA	NA	NA	NA	PF04935;PF15459	PTHR14369	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62155.1	IPR000237	NA	PS50913	NA	NA	NA	NA	NA	NA	PF10375	PTHR18921	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68587.1	IPR011009	GO:0004672;GO:0005524;GO:0006468	PS50011	NA	NA	NA	SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	PF00069	PTHR24055	cd00180	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66074.1	IPR003440	GO:0000148;GO:0003843;GO:0006075;GO:0016020	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SM01205	TMhelix	NA	NA	KEGG: 00500+2.4.1.34|MetaCyc: PWY-6773	PF02364;PF14288	PTHR12741;PTHR12741:SF15	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69680.1	IPR001680	GO:0005515	PS50082;PS50294	NA	SM00320	NA	SSF50998;SSF50978	G3DSA:2.130.10.10	NA	PF00400	PTHR22850:SF130;PTHR22850	NA	NA	PS00678	mobidb-lite	PR00320	NA	NA	NA	NA	NA	NA	NA	NA
PTB70127.1	IPR040079	GO:0005515	PS50405;PS50404	NA	NA	NA	SSF53474;SSF52833;SSF47616	G3DSA:3.40.50.1820;G3DSA:1.20.1050.10;G3DSA:3.40.30.10;G3DSA:1.20.1440.110	NA	PF12697;PF02798;PF00043	PTHR43986	cd03044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358	NA
PTB69794.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NA	SM00066;SM00906	NA	SSF57701	G3DSA:4.10.240.10	NA	PF04082;PF00172	PTHR31313;PTHR31313:SF70	cd15485;cd12148;cd00067	Coil	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68665.1	IPR037239	NA	PS50866;PS50003	NA	SM00233	NA	SSF144000;SSF101576;SSF50729	G3DSA:2.40.160.120;G3DSA:1.20.120.1290;G3DSA:2.30.29.30	NA	PF15409;PF01237	PTHR10972;PTHR10972:SF107	cd13289	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70904.1	IPR031968	NA	PS51778	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SM00568	TMhelix	NA	G3DSA:2.30.29.30	NA	PF16016;PF02893	PTHR23319;PTHR23319:SF4	cd13220	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61505.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67922.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68188.1	IPR029063	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	SSF53335	G3DSA:3.40.50.150	NA	PF13489;PF11899	PTHR42912;PTHR42912:SF28	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63105.1	IPR008947	GO:0016788;GO:0003676;GO:0004519;GO:0006308	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	SSF48537	G3DSA:1.10.575.10	NA	PF02265	PTHR33146	cd11010	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB66368.1	IPR013087	GO:0003676	NA	NA	SM00355	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70644.1	IPR016135		PS50127	NA	SM00212	NA	SSF54495	G3DSA:3.10.110.10	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF00179	PTHR43898:SF6;PTHR43898	cd00195	NA	PS00183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64857.1	IPR002110	GO:0005515	PS50297;PS50088	NA	SM00248	NA	SSF48403;SSF52540	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	PF12796;PF05729	PTHR24151;PTHR24151:SF1	cd00204	NA	NA	NA	PR01415	NA	NA	NA	NA	NA	NA	NA	NA
PTB66218.1	IPR036853	GO:0003735;GO:0005840;GO:0006412;GO:0015934	NA	NA	SM01374	NA	SSF50193	G3DSA:2.40.150.20	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00238	PTHR11761:SF3;PTHR11761	NA	NA	PS00049	NA	NA	NA	NA	NA	NA	TIGR01067	MF_01367	NA	NA
PTB70624.1	IPR001650	GO:0003676;GO:0005524	PS51192;PS51194;PS51195	NA	SM00490;SM00487	NA	SSF52540	G3DSA:3.40.50.300	NA	PF00270;PF00271	PTHR24031:SF356;PTHR24031	cd00268;cd00079	NA	PS00039	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB66766.1	IPR002328	GO:0008270;GO:0016491;GO:0055114	NA	NA	SM00829	NA	SSF51735;SSF50129	G3DSA:3.40.50.720;G3DSA:3.90.180.10	Reactome: R-HSA-71384	PF00107;PF08240	PTHR42940;PTHR42940:SF4	cd08296	NA	PS00059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67174.1	IPR013859	NA	NA	NA	NA	NA	NA	NA	NA	PF08549	NA	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63172.1	IPR013719		NA	NA	SM01287	NA	SSF50729	G3DSA:2.30.29.30	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	PF08512	PTHR13711;PTHR13711:SF293	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66022.1	IPR018814	NA	NA	NA	NA	NA	NA	NA	NA	PF10310	PTHR28265	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70036.1	IPR036163	GO:0030001;GO:0046872	PS50846	NA	NA	NA	SSF55008	G3DSA:3.30.70.100	NA	PF00403	PTHR22814:SF172;PTHR22814	cd00371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66317.1	IPR021858	NA	NA	NA	NA	NA	NA	NA	NA	PF11951	PTHR37540	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62367.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	SM00906	NA	NA	NA	NA	PF04082	PTHR19444:SF25;PTHR19444	cd12148	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69889.1	IPR009072	GO:0046982	NA	NA	NA	NA	SSF47113	NA	NA	PF00808	PTHR11064:SF53;PTHR11064	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65665.1	IPR008927	GO:0055114;GO:0003979;GO:0016616;GO:0051287	NA	NA	SM00984	NA	SSF48179;SSF51735;SSF52413	G3DSA:3.40.50.720;G3DSA:1.20.5.100	KEGG: 00040+1.1.1.22|KEGG: 00053+1.1.1.22|KEGG: 00520+1.1.1.22|MetaCyc: PWY-7346|MetaCyc: PWY-7820|Reactome: R-HSA-173599	PF03721;PF03720;PF00984	PTHR11374;PTHR11374:SF3	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR03026	NA	NA	NA
PTB67738.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66438.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR42041	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64483.1	IPR036291	GO:0016491	NA	NA	NA	NA	SSF51735;SSF55347	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	PF01408	PTHR43377;PTHR43377:SF3	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70351.1	IPR008936	GO:0007165	PS50238;PS51741	NA	SM00324	NA	SSF48350;SSF103657	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	Reactome: R-HSA-194840	PF00620;PF00611	PTHR23176:SF0;PTHR23176	cd07652	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62117.1	IPR007568	GO:0016021	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF04479	PTHR31465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64347.1	IPR016833	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:1.20.1530.20	NA	PF13593	PTHR18640:SF5;PTHR18640	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63335.1	IPR016087	GO:0016872	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF54626	NA	NA	PF16035	PTHR28039;PTHR28039:SF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67350.1	IPR003593	GO:0003677;GO:0006260	NA	NA	SM00382	NA	SSF48019;SSF52540	G3DSA:3.40.50.300;G3DSA:1.20.272.10;G3DSA:1.10.8.60	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	PF13177	PTHR11669;PTHR11669:SF1	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68781.1	IPR037651	GO:0000812;GO:0006338;GO:0043486	NA	NA	NA	NA	NA	NA	NA	NA	PTHR28108	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69833.1	IPR039485	GO:0005788;GO:0006488;GO:0052824;GO:0016757	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	KEGG: 00510+2.4.1.260|KEGG: 00513+2.4.1.260|Reactome: R-HSA-446193|Reactome: R-HSA-4720489	PF03901	PTHR22760:SF1;PTHR22760	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB66743.1	IPR006603	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SM00679	TMhelix	NA	G3DSA:1.20.1280.290	NA	PF04193	PTHR16201:SF11;PTHR16201	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67084.1	IPR023601	GO:0000139;GO:0005801;GO:0006888;GO:0016021	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF111384	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	PF12352	PTHR21094;PTHR21094:SF0	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	PIRSF027109	NA	NA	NA	NA
PTB64310.1	IPR000717	GO:0005852	PS50250	NA	SM00753;SM00088	NA	NA	G3DSA:4.10.860.10;G3DSA:1.25.40.860	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	PF01399	PTHR14005	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	MF_03000	NA	NA
PTB66490.1	IPR024554	NA	NA	NA	NA	NA	NA	NA	NA	PF12825;PF12828	PTHR11632;PTHR11632:SF61	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68910.1	IPR011990	GO:0005515	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SSF48452	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62300.1	IPR036047	GO:0005515	NA	NA	NA	NA	SSF81383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65208.1	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62604.1	IPR013319	GO:0004553;GO:0000272;GO:0008810	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	SSF49899	G3DSA:2.60.120.180	MetaCyc: PWY-6717|MetaCyc: PWY-6784	PF01670	PTHR34002	NA	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB63990.1	IPR015871	GO:0005672;GO:0006367	NA	NA	NA	NA	SSF47396;SSF50784	G3DSA:2.30.18.10;G3DSA:1.10.287.190	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042|Reactome: R-HSA-9018519	PF02751;PF02268	PTHR10966:SF0;PTHR10966	cd10014;cd10145	NA	NA	NA	NA	NA	NA	NA	PIRSF009415	NA	NA	NA	PD009224
PTB65679.1	IPR038271	GO:0016020;GO:0022857;GO:0055085;GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SM00906	TMhelix	NA	G3DSA:1.10.4160.10	NA	PF02133;PF04082	PTHR30618:SF11;PTHR30618	cd11482;cd12148	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61579.1	IPR001180	NA	NA	NA	NA	NA	NA	NA	NA	PF00780	PTHR12673:SF144;PTHR12673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70851.1	IPR001087	GO:0016788	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	SSF52266	G3DSA:3.40.50.1110	NA	PF00657	PTHR22835:SF178;PTHR22835	cd01846	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB68309.1	IPR012334	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SSF51126	G3DSA:2.160.20.10	NA	PF12708	PTHR31375:SF53;PTHR31375	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB66269.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR39601;PTHR39601:SF1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67073.1	IPR000504	GO:0003676;GO:0000398	PS50102	NA	SM00360	NA	SSF54928	G3DSA:3.30.70.330	NA	PF00076	PTHR15608	cd12285;cd12281	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65701.1	IPR022703	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF12051	PTHR34814	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66579.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	NA	SM00220	NA	SSF56112	G3DSA:1.10.510.10	NA	PF00069	PTHR24343:SF218;PTHR24343	cd13993	Coil	PS00108	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68014.1	IPR000873	GO:0003824	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF56801	G3DSA:3.40.50.12780	NA	PF00501	PTHR43272;PTHR43272:SF11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63316.1	IPR028501	GO:0006897;GO:0005515;GO:0005737	PS51021	NA	SM00721	NA	SSF103657	G3DSA:1.20.1270.60	Reactome: R-HSA-182971|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360	PF03114	PTHR43965	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63175.1	IPR002347	GO:0016491	NA	NA	NA	NA	SSF51735	G3DSA:3.40.50.720	NA	PF00106;PF13561	PTHR42760;PTHR42760:SF10	NA	NA	PS00061	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA
PTB65788.1	IPR023606	GO:0003824	NA	NA	NA	NA	SSF89796	G3DSA:3.40.50.10540	NA	PF02515	PTHR45583;PTHR45583:SF2	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68586.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB63812.1	IPR003892	GO:0005515	PS51140	NA	SM00546	NA	SSF46934	G3DSA:1.10.8.10	NA	PF02845	PTHR16461	cd14372	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62777.1	IPR024527	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	PF12757	PTHR28298	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67168.1	IPR035969	NA	PS50086	NA	SM00164	NA	SSF47923	G3DSA:1.10.472.80	NA	PF00566	PTHR22957:SF263;PTHR22957	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68767.1	IPR020617	GO:0016747;GO:0003824	NA	NA	NA	NA	SSF53901	G3DSA:3.40.47.10	NA	PF02803;PF00108	PTHR18919:SF69;PTHR18919	cd00751	NA	PS00737;PS00099;PS00098	NA	NA	NA	NA	NA	PIRSF000429	TIGR01930	NA	NA	NA
PTB61431.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69961.1	IPR019734	GO:0005515	PS50293;PS50005	NA	SM00028	NA	SSF48452	G3DSA:1.25.40.10	NA	PF13432	PTHR12558	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61564.1	IPR017946	GO:0006629;GO:0008081	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SSF51695	G3DSA:3.20.20.190	NA	PF03009	PTHR43620:SF7;PTHR43620	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
