Gene	interpro	GO	ProSitePatterns	ProSiteProfiles	MobiDBLite	Gene3D	SUPERFAMILY	SMART	PANTHER	TMHMM	Phobius	Pfam	CDD	PATHWAY	TIGRFAM	PRINTS	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Coils	PIRSF	Hamap	SFLD	ProDom
maker-NIGB01000003.1-augustus-gene-7.5-mRNA-1	IPR027417	GO:0005525	NA	PS51417	NA	G3DSA:3.40.50.300	SSF52540	SM00178;SM00177;SM00175	PTHR11711;PTHR11711:SF293	NA	NA	PF00025	cd04159	NA	TIGR00231	PR00328	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-26.18-mRNA-1	IPR027417	GO:0016021;GO:0055085;GO:0003676;GO:0005524	NA	PS51192	mobidb-lite	G3DSA:1.20.1420.30;G3DSA:3.40.50.300;G3DSA:1.20.58.1130	SSF52540	SM00487	PTHR31503:SF14;PTHR31503	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF01699;PF00270;PF09369	cd00046	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-38.13-mRNA-1	IPR000253	GO:0005515	NA	PS50006;PS50089	mobidb-lite	G3DSA:3.30.40.10;G3DSA:2.60.200.20	SSF49879;SSF57850	SM00240;SM00184	PTHR15067	NA	NA	PF00498;PF17123	cd00060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-45.31-mRNA-1	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	mobidb-lite	G3DSA:1.20.1510.10	SSF161111;SSF160240	NA	PTHR11562:SF17;PTHR11562	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF01545	NA	Reactome: R-HSA-435368	TIGR01297	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-15.43-mRNA-1	IPR001844	GO:0005737;GO:0042026;GO:0005524;GO:0006457	PS00296	NA	NA	G3DSA:1.10.560.10;G3DSA:3.50.7.10;G3DSA:3.30.260.10	SSF52029;SSF48592	NA	PTHR11353:SF64;PTHR11353	NA	NA	PF00118	cd03344	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	TIGR02348	PR00298	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-6.4-mRNA-1	IPR036259	GO:0016021;GO:0055085	NA	NA	mobidb-lite	G3DSA:1.20.1250.20	SSF103473	NA	PTHR10924:SF6;PTHR10924	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-24.32-mRNA-1	IPR003593	GO:0005524;GO:0005777;GO:0007031;GO:0005778;GO:0006625;GO:0042623	PS00674	NA	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:3.10.330.10	SSF52540;SSF50692;SSF54585	SM00382	PTHR23077:SF12;PTHR23077	NA	NA	PF17862;PF09262;PF00004	cd00009	Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-8.23-mRNA-1	IPR006314	GO:0004601;GO:0020037;GO:0055114	NA	PS51404	NA	NA	SSF54909	NA	PTHR30521;PTHR30521:SF0	NA	NA	PF04261	NA	NA	TIGR01413	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-46.15-mRNA-1	IPR004113	GO:0003824;GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	PS51387	mobidb-lite	G3DSA:3.30.70.2740;G3DSA:3.30.465.10;G3DSA:3.30.43.10;G3DSA:1.10.45.10	SSF56176;SSF55103	NA	PTHR11748:SF83;PTHR11748	NA	NA	PF02913;PF01565	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-40.3-mRNA-1	IPR023214	GO:0003824;GO:0005992	NA	NA	NA	G3DSA:3.40.50.1000;G3DSA:3.40.50.2000;G3DSA:3.30.70.1020	SSF53756;SSF56784	NA	PTHR10788:SF6;PTHR10788	NA	NA	PF00982;PF02358	cd01627;cd03788	KEGG: 00500+2.4.1.15	TIGR01484;TIGR00685	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-6.11-mRNA-1	IPR010754	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR12499:SF0;PTHR12499	NA	NA	PF07047	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-4.11-mRNA-1	IPR007873	GO:0000030;GO:0030176	NA	NA	NA	NA	NA	NA	PTHR12646:SF0;PTHR12646	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF05208	NA	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-21.9-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-8.29-mRNA-1	IPR012677	GO:0003723;GO:0003676	NA	PS50102;PS51309	mobidb-lite	G3DSA:3.30.70.330;G3DSA:1.10.1900.10	SSF63570;SSF54928	SM00517;SM00360;SM00361	PTHR24012:SF491;PTHR24012	NA	NA	PF00658;PF00076	cd12378;cd12381;cd12380;cd12379	NA	TIGR01628	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-6.24-mRNA-1	IPR030844	GO:0000289;GO:0003723;GO:0006397;GO:0031251;GO:0046872	NA	PS50103	mobidb-lite	G3DSA:1.10.510.10	SSF56112	NA	PTHR12272	NA	NA	PF18101	cd00180	Reactome: R-HSA-429947	NA	NA	NA	NA	NA	Coil	NA	MF_03181	NA	NA
maker-NIGB01000002.1-augustus-gene-17.9-mRNA-1	IPR000133	GO:0006621;GO:0016021;GO:0046923	NA	NA	mobidb-lite	NA	NA	NA	PTHR10585:SF30;PTHR10585	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF00810	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	PR00660	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000008.1-processed-gene-0.10-mRNA-1	IPR000014	NA	NA	NA	NA	G3DSA:3.30.450.20	SSF55785	NA	PTHR24351;PTHR24351:SF160	NA	NA	PF13426	cd00130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-48.15-mRNA-1	IPR009846	GO:0000398	NA	NA	NA	NA	NA	NA	PTHR20978	NA	NA	PF07189	NA	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	NA	PIRSF037010	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-19.38-mRNA-1	IPR033507	GO:0016021	NA	PS51380;PS51382	mobidb-lite	NA	NA	NA	PTHR10783:SF4;PTHR10783	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF03105;PF03124	cd14475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-15.52-mRNA-1	IPR011333	GO:0006511;GO:0006397;GO:0016788;GO:0016787	NA	NA	mobidb-lite	G3DSA:3.30.710.10	SSF56300;SSF54695	SM00512;SM01124	PTHR12849	NA	NA	PF05011;PF00149	cd00844	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-39.0-mRNA-1	IPR028217	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR28127	NA	NA	PF14615	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-14.41-mRNA-1	IPR036388		NA	NA	NA	G3DSA:1.10.10.10	SSF46785	NA	PTHR15180	NA	NA	PF04182	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-5.24-mRNA-1	IPR013783	NA	NA	NA	mobidb-lite	G3DSA:2.60.40.10	SSF81296	NA	PTHR40625;PTHR40625:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-17.26-mRNA-1	IPR022782	GO:0005519;GO:0051125	NA	NA	mobidb-lite	G3DSA:1.20.58.1540	NA	SM00806	PTHR22741:SF10;PTHR22741	NA	NA	PF03915	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-6.33-mRNA-1	IPR013026	GO:0005515	NA	PS50293;PS50005	mobidb-lite	G3DSA:1.25.40.10	SSF48452	SM00028	PTHR12558:SF13;PTHR12558	NA	NA	PF13432;PF13181;PF12895;PF00515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-30.37-mRNA-1	IPR009072	GO:0046982	NA	NA	NA	G3DSA:1.10.20.10	SSF47113	NA	PTHR34832	NA	NA	PF00808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-8.50-mRNA-1	IPR005576	GO:0003899;GO:0006351;GO:0003676	NA	NA	NA	G3DSA:2.40.50.140;G3DSA:3.30.1490.120	SSF88798;SSF50249	NA	PTHR12709:SF4;PTHR12709	NA	NA	PF03876;PF00575	cd04462;cd04329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-49.3-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-0.8-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PS50850	mobidb-lite	G3DSA:1.20.1250.20	SSF103473	NA	PTHR23501:SF12;PTHR23501	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-28.39-mRNA-1	IPR011249	GO:0003824;GO:0046872	NA	NA	mobidb-lite	G3DSA:3.30.830.10	SSF63411	NA	PTHR43690;PTHR43690:SF2	NA	NA	PF00675;PF05193;PF16187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-26.29-mRNA-1	IPR038299	GO:0016491;GO:0055114;GO:0004368;GO:0006072;GO:0009331	NA	NA	NA	G3DSA:1.10.8.870;G3DSA:3.50.50.60;G3DSA:3.30.9.10	SSF51905;SSF54373	NA	PTHR11985:SF15;PTHR11985	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PF01266;PF16901	NA	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	NA	PR01001	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-0.25-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR14107:SF16;PTHR14107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-7.2-mRNA-1	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PS00217	PS50850	mobidb-lite	G3DSA:1.20.1250.20	SSF103473	NA	PTHR23500:SF363;PTHR23500	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF00083	cd06174	Reactome: R-HSA-189200	TIGR00879	PR00171	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-33.32-mRNA-1	IPR035959		PS01094	NA	NA	G3DSA:3.30.1330.40	SSF55298	NA	PTHR11803;PTHR11803:SF22	NA	NA	PF01042	cd00448	Reactome: R-HSA-8849175	TIGR00004	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-38.7-mRNA-1	IPR004827	GO:0003700;GO:0006355	PS00036	PS50217	mobidb-lite	G3DSA:1.20.5.170	SSF57959	SM00338	PTHR19304;PTHR19304:SF5	NA	NA	PF00170	cd14687	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000010.1-processed-gene-1.0-mRNA-1	IPR003819	GO:0016491;GO:0055114	NA	NA	NA	G3DSA:3.60.130.10	SSF51197	NA	PTHR30468:SF19;PTHR30468	NA	NA	PF02668	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-8.37-mRNA-1	IPR021851	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR35567:SF7;PTHR35567	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	PF11937	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-16.13-mRNA-1	IPR025723	GO:0005524;GO:0016887	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	PTHR10803;PTHR10803:SF3	NA	NA	PF02374	cd02035	Reactome: R-HSA-381038	TIGR00345	NA	NA	NA	NA	Coil	NA	MF_03112	NA	NA
maker-NIGB01000003.1-augustus-gene-30.31-mRNA-1	IPR006966	GO:0005779;GO:0007031	NA	NA	NA	NA	NA	NA	PTHR28080	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF04882	NA	Reactome: R-HSA-1369062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-6.35-mRNA-1	IPR018305	GO:0005739	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PF10501	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-17.50-mRNA-1	IPR023313	GO:0004100;GO:0006031;GO:0016758	PS00183	PS50127	mobidb-lite	G3DSA:3.10.110.10	SSF53448;SSF54495	SM00212	PTHR22914;PTHR22914:SF11	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF00179;PF01644;PF08407	cd04190;cd00195	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	Coil	NA	NA	NA	PD002998
maker-NIGB01000007.1-augustus-gene-11.31-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR12321;PTHR12321:SF68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-39.10-mRNA-1	IPR002995	GO:0016021	PS01339	NA	NA	NA	NA	NA	PTHR23427;PTHR23427:SF1	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF02077	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-3.43-mRNA-1	IPR001406	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	NA	mobidb-lite	G3DSA:3.30.70.580;G3DSA:3.30.70.660	SSF55120	NA	PTHR11142:SF4;PTHR11142	NA	NA	PF01416	cd02568	NA	TIGR00071	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-2.31-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-4.27-mRNA-1	IPR001680	GO:0005515	NA	PS50294;PS50082	mobidb-lite	G3DSA:2.130.10.10	SSF82171;SSF50998	SM00320	PTHR44215	NA	NA	PF00400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-9.25-mRNA-1	IPR021056	NA	NA	NA	mobidb-lite	NA	SSF101447	NA	PTHR12358;PTHR12358:SF6	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF11711	NA	NA	NA	PR01217	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000007.1-augustus-gene-9.16-mRNA-1	IPR008427	NA	NA	NA	mobidb-lite	NA	NA	SM00747	PTHR37928	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-4.26-mRNA-1	IPR010285	GO:0000723;GO:0003678;GO:0006281	NA	NA	mobidb-lite	G3DSA:3.40.50.300	SSF52540	SM00382	PTHR23274;PTHR23274:SF11	NA	NA	PF05970	cd00009	NA	NA	NA	NA	NA	NA	NA	NA	MF_03176	NA	NA
maker-NIGB01000002.1-augustus-gene-1.37-mRNA-1	IPR036400	GO:0003824;GO:0020037;GO:0016831;GO:0019752;GO:0030170	PS00191;PS00392	PS50255	NA	G3DSA:3.10.120.10;G3DSA:3.40.640.10	SSF53383;SSF55856	SM01117	PTHR43307	NA	NA	PF00282;PF00173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-9.25-mRNA-1	IPR019826	NA	PS00122	PS51257	mobidb-lite	G3DSA:3.40.50.1820	SSF53474	NA	PTHR11559:SF206;PTHR11559	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PF00135	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-41.15-mRNA-1	IPR011701	GO:0016021;GO:0055085;GO:0005215	NA	PS50850	mobidb-lite	NA	SSF103473	NA	PTHR23504:SF39;PTHR23504	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	PR01035	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-9.11-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-39.28-mRNA-1	IPR000644	NA	NA	PS51371	mobidb-lite	G3DSA:3.10.580.10	SSF54631	SM00116	PTHR13780;PTHR13780:SF47	NA	NA	PF00571	cd04627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-11.46-mRNA-1	IPR000417	GO:0004417;GO:0009228;GO:0004789;GO:0003824	NA	NA	NA	G3DSA:3.40.1190.20;G3DSA:3.20.20.70	SSF53613;SSF51391	NA	PTHR44423	NA	NA	PF02110;PF02581	cd01170;cd00564	KEGG: 00730+2.7.1.50|MetaCyc: PWY-6897|MetaCyc: PWY-7356|MetaCyc: PWY-7357	TIGR00693;TIGR00694	PR01099	NA	NA	NA	NA	NA	MF_00097;MF_00228	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-4.23-mRNA-1	IPR023468	GO:0008531;GO:0009231	NA	NA	mobidb-lite	G3DSA:2.40.30.30	SSF82114	SM00904	PTHR22749;PTHR22749:SF2	NA	NA	PF01687	NA	KEGG: 00740+2.7.1.26|MetaCyc: PWY-5523|MetaCyc: PWY-6168|MetaCyc: PWY-7863|Reactome: R-HSA-196843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000009.1-processed-gene-9.16-mRNA-1	IPR019416	GO:0000340;GO:0003729	NA	NA	mobidb-lite	NA	NA	NA	PTHR16291	NA	NA	PF10309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-0.28-mRNA-1	IPR002048	GO:0005509	NA	PS50222	NA	G3DSA:1.10.238.10	SSF47473	NA	PTHR23048:SF0;PTHR23048	NA	NA	PF13499	cd00051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-6.22-mRNA-1	IPR038769	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR38426	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-6.11-mRNA-1	IPR002838	NA	NA	NA	mobidb-lite	G3DSA:3.60.160.10	SSF51219	NA	PTHR31801	NA	NA	PF01987	NA	NA	TIGR00266	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-16.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38848	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-16.15-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-33.43-mRNA-1	IPR011993	NA	NA	PS50234	mobidb-lite	G3DSA:2.30.29.30;G3DSA:3.40.50.410	SSF53300;SSF50729	SM00327;SM00233	PTHR10166:SF37;PTHR10166	NA	NA	PF00092;PF15411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-6.30-mRNA-1	IPR005225	GO:0005525;GO:0003924	NA	PS51419	mobidb-lite	G3DSA:3.40.50.300	SSF52540	SM00175;SM00176;SM00173;SM00174	PTHR24073;PTHR24073:SF852	NA	NA	PF00071	cd01860	NA	TIGR00231	PR00449	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-37.5-mRNA-1	IPR005178	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR23423:SF10;PTHR23423	TMhelix	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PF03619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-22.39-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-24.37-mRNA-1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	NA	mobidb-lite	G3DSA:4.10.240.10	SSF57701	SM00906	PTHR31313:SF45;PTHR31313	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF04082;PF00172	cd12148;cd00067	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-18.5-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	PTHR10485;PTHR10485:SF3	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000008.1-processed-gene-6.9-mRNA-1	IPR010482	GO:0016021	NA	NA	mobidb-lite	NA	NA	SM00693	PTHR31679:SF2;PTHR31679	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF06398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-7.8-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-5.63-mRNA-1	IPR001650	GO:0005524	NA	PS51194;PS51192	mobidb-lite	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	SSF52540	SM00490;SM00487	PTHR10799:SF812;PTHR10799	NA	NA	PF00271;PF00176	cd00046;cd00079	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-35.15-mRNA-1	IPR025110	GO:0003824	PS00455	NA	NA	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	SSF56801	NA	PTHR24096;PTHR24096:SF271	NA	NA	PF13193;PF00501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-7.43-mRNA-1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS00463	PS50048	mobidb-lite	G3DSA:4.10.240.10	SSF57701	SM00066;SM00906	PTHR31313	NA	NA	PF00172;PF04082	cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-18.7-mRNA-1	IPR000092	GO:0008299	PS00723;PS00444	NA	NA	G3DSA:1.10.600.10	SSF48576	NA	PTHR12001;PTHR12001:SF44	NA	NA	PF00348	cd00685	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005	NA
