Gene	interpro	GO	Gene3D	ProSiteProfiles	Pfam	SMART	PANTHER	MobiDBLite	CDD	SUPERFAMILY	ProSitePatterns	Coils	PATHWAY	TIGRFAM	Phobius	TMHMM	Hamap	PIRSF	PRINTS	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_132_length_71667_cov_50.166942-augustus-gene-0.11-mRNA-1	IPR017853	GO:0004553;GO:0005975	NA	NA	PF00332	NA	PTHR16631:SF17;PTHR16631	mobidb-lite	NA	SSF51445	NA	NA	KEGG: 00500+3.2.1.39	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_95610_cov_44.890766-augustus-gene-0.31-mRNA-1	IPR013255		G3DSA:3.30.457.50	NA	PF08234	NA	PTHR14281:SF0;PTHR14281	NA	NA	NA	NA	Coil	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_128_length_72834_cov_48.084201-augustus-gene-0.33-mRNA-1	IPR007704	GO:0006506;GO:0016021;GO:0016758	NA	NA	PF05007	NA	PTHR12886	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_484860_cov_50.546594-processed-gene-3.40-mRNA-1	IPR001736	GO:0003824;GO:0004630;GO:0006654;GO:0048017	G3DSA:3.30.870.10	PS50035	PF00614	SM00155	PTHR18896:SF74;PTHR18896	mobidb-lite	cd09141;cd09138	SSF56024	NA	NA	Reactome: R-HSA-1483148	NA	NA	NA	NA	PIRSF009376	NA	NA	NA	NA	NA	NA
maker-NODE_177_length_55324_cov_42.704132-augustus-gene-0.3-mRNA-1	IPR006115	GO:0050661;GO:0055114;GO:0051287;GO:0016491	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	NA	PF03446;PF14833	NA	PTHR22981;PTHR22981:SF7	NA	NA	SSF51735;SSF48179	PS00895	NA	Reactome: R-HSA-70895	NA	NA	NA	NA	PIRSF000103	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_101_length_82813_cov_51.243246-processed-gene-0.4-mRNA-1	IPR013057	NA	NA	NA	PF01490	NA	PTHR22950;PTHR22950:SF54	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_197_length_48977_cov_41.831238-augustus-gene-0.9-mRNA-1	IPR006861	GO:0003723	NA	NA	PF09598	SM01233	PTHR12299:SF17;PTHR12299	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-5689880	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_201490_cov_48.986974-augustus-gene-1.4-mRNA-1	IPR024708	GO:0004096;GO:0020037;GO:0055114;GO:0006979	G3DSA:3.40.50.880;G3DSA:2.40.180.10;G3DSA:1.20.1370.20	PS51402	PF18011;PF06628;PF00199	SM01060	PTHR42821:SF3;PTHR42821	NA	cd03132	SSF56634	PS00438;PS00437	NA	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	PIRSF038927	PR00067	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
augustus_masked-NODE_44_length_135915_cov_45.295041-processed-gene-0.28-mRNA-1	IPR007175		NA	NA	PF04032	NA	NA	mobidb-lite	NA	NA	NA	Coil	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_136401_cov_48.875449-augustus-gene-0.2-mRNA-1	IPR015797	GO:0016787	NA	PS51462	PF00293	NA	PTHR12992;PTHR12992:SF0	mobidb-lite	cd03426	SSF55811	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_344_length_18537_cov_31.367409-processed-gene-0.2-mRNA-1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	G3DSA:3.20.20.80	PS51164	PF00734;PF00150	SM00236	PTHR34142:SF5;PTHR34142	mobidb-lite	NA	SSF51445;SSF57180	PS00562;PS00659	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	PD001821	NA
augustus_masked-NODE_75_length_101864_cov_47.304108-processed-gene-0.41-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_118_length_74922_cov_48.085340-processed-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_96_length_85290_cov_46.965560-augustus-gene-0.0-mRNA-1	IPR017144	GO:0016787	G3DSA:3.40.630.10;G3DSA:3.30.70.360	NA	PF01546;PF07687	NA	PTHR30575:SF0;PTHR30575	NA	cd05672	SSF55031;SSF53187	NA	NA	NA	TIGR01891	NA	NA	NA	PIRSF037226	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_210320_cov_43.855837-augustus-gene-0.4-mRNA-1	IPR039430	GO:0004798;GO:0005524;GO:0006233	G3DSA:3.40.50.300	NA	PF02223	NA	PTHR10344:SF1;PTHR10344	mobidb-lite	cd01672	SSF52540	PS01331	NA	KEGG: 00240+2.7.4.9|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7210	TIGR00041	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	MF_00165	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_135915_cov_45.295041-processed-gene-0.29-mRNA-1	IPR040141	GO:0008270	G3DSA:2.20.25.420;G3DSA:2.60.120.1040	NA	PF03367	SM00709	PTHR10876	mobidb-lite	NA	NA	NA	Coil	NA	TIGR00310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_73_length_101930_cov_48.508728-processed-gene-0.41-mRNA-1	NA	NA	NA	NA	PF08592	NA	PTHR35042:SF1;PTHR35042	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_304_length_25035_cov_47.286013-augustus-gene-0.9-mRNA-1	IPR027546	GO:0036054;GO:0036055;GO:0070403	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	PS50305	PF02146	NA	PTHR42984:SF2;PTHR42984	NA	cd01412	SSF52467	NA	Coil	Reactome: R-HSA-2151201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_234_length_39343_cov_47.181049-augustus-gene-0.2-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR15439:SF8;PTHR15439	mobidb-lite	NA	SSF57850	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_414_length_13007_cov_49.948602-processed-gene-0.2-mRNA-1	IPR004827	GO:0003700;GO:0006355	NA	NA	NA	NA	NA	mobidb-lite	cd14705	NA	PS00036	Coil	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_12_length_262446_cov_48.377925-processed-gene-1.9-mRNA-1	IPR016849	GO:0005634;GO:0010484;GO:0016573;GO:0043618;GO:0004402;GO:0006355	NA	PS51728	PF08214	SM01250	PTHR31571;PTHR31571:SF2	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-1234158|Reactome: R-HSA-1368082|Reactome: R-HSA-1912408|Reactome: R-HSA-1989781|Reactome: R-HSA-201722|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-3134973|Reactome: R-HSA-3214847|Reactome: R-HSA-3371568|Reactome: R-HSA-381340|Reactome: R-HSA-3899300|Reactome: R-HSA-400253|Reactome: R-HSA-5617472|Reactome: R-HSA-5621575|Reactome: R-HSA-8866907|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695|Reactome: R-HSA-9018519|Reactome: R-HSA-918233|Reactome: R-HSA-933541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-1.20-mRNA-1	IPR019183	GO:0003824	G3DSA:1.10.287.1130;G3DSA:1.50.10.20	PS51808	PF09797;PF00432	NA	PTHR11774:SF4;PTHR11774	mobidb-lite	NA	SSF47072;SSF48239	NA	NA	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_484860_cov_50.546594-augustus-gene-1.31-mRNA-1	IPR012255	GO:0009055	G3DSA:3.40.50.620	NA	PF01012	SM00893	PTHR21294;PTHR21294:SF8	NA	cd01714	SSF52402	PS01065	NA	Reactome: R-HSA-611105|Reactome: R-HSA-8876725	NA	NA	NA	NA	PIRSF000090	NA	NA	NA	NA	NA	NA
maker-NODE_129_length_72421_cov_47.971146-augustus-gene-0.5-mRNA-1	IPR038919	NA	NA	NA	NA	NA	PTHR31011	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_168_length_58473_cov_49.864687-processed-gene-0.6-mRNA-1	IPR036837	GO:0006812;GO:0008324;GO:0016021;GO:0055085	G3DSA:1.20.1510.10;G3DSA:3.30.70.1350	NA	PF16916;PF01545	NA	PTHR43840:SF12;PTHR43840	mobidb-lite	NA	SSF160240;SSF161111	NA	Coil	Reactome: R-HSA-435368	TIGR01297	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_142770_cov_48.989975-processed-gene-0.26-mRNA-1	IPR007259	GO:0000226;GO:0000922;GO:0005815;GO:0007020;GO:0043015	NA	NA	PF17681;PF04130	NA	PTHR19302:SF27;PTHR19302	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_79_length_95875_cov_50.363663-augustus-gene-0.46-mRNA-1	IPR039357	GO:0006629;GO:0016627	NA	PS50244	PF02544	NA	PTHR10556;PTHR10556:SF43	mobidb-lite	NA	NA	NA	Coil	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_304307_cov_47.353508-augustus-gene-2.37-mRNA-1	IPR014710	GO:0005506;GO:0016702;GO:0055114	G3DSA:2.60.120.10	NA	PF05995	NA	PTHR12918	NA	NA	SSF51182	NA	NA	KEGG: 00270+1.13.11.20|KEGG: 00430+1.13.11.20|MetaCyc: PWY-5331|Reactome: R-HSA-1614558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_88_length_89010_cov_48.931370-augustus-gene-0.15-mRNA-1	IPR018203	GO:0005092;GO:0007264	G3DSA:3.30.519.10;G3DSA:1.10.405.10;G3DSA:3.50.50.60	NA	PF00996	NA	PTHR11787:SF4;PTHR11787	mobidb-lite	NA	SSF51905	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	PIRSF037514	PR00891	NA	NA	NA	NA	NA
maker-NODE_33_length_159463_cov_46.963304-augustus-gene-0.13-mRNA-1	IPR000195	NA	G3DSA:1.10.472.80;G3DSA:1.10.8.270	PS50086	PF00566	SM00164	PTHR22957:SF289;PTHR22957	mobidb-lite	NA	SSF47923;SSF47473	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_101144_cov_42.020422-augustus-gene-0.40-mRNA-1	IPR023409	GO:0019904	G3DSA:1.20.190.20	NA	PF00244	SM00101	PTHR18860:SF39;PTHR18860	mobidb-lite	NA	SSF48445	PS00797;PS00796	NA	Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	NA	NA	NA	NA	PIRSF000868	PR00305	NA	NA	NA	NA	NA
maker-NODE_208_length_46005_cov_30.764549-augustus-gene-0.12-mRNA-1	IPR004886	NA	G3DSA:3.20.20.80	NA	PF03198	NA	PTHR31468;PTHR31468:SF5	mobidb-lite	NA	SSF51445	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-1.16-mRNA-1	IPR036282	GO:0004364;GO:0005515	G3DSA:3.40.30.130;G3DSA:1.20.1050.10	PS50405	PF13409;PF13410	NA	PTHR32419:SF6;PTHR32419	NA	cd03190	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	NA	PIRSF015753	NA	NA	NA	NA	NA	SFLDG01206;SFLDG01148
augustus_masked-NODE_10_length_272981_cov_47.056631-processed-gene-1.51-mRNA-1	IPR011431	NA	NA	NA	PF07543	NA	PTHR28199	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_203530_cov_45.273546-augustus-gene-1.20-mRNA-1	IPR019775	GO:0005515;GO:0031929;GO:0031931	G3DSA:1.25.10.10;G3DSA:2.130.10.10	PS50082;PS50294	PF14538	SM01302;SM00320	PTHR12848:SF16;PTHR12848	mobidb-lite	NA	SSF50978;SSF48371	PS00678	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-3371571|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	PR01547	NA	NA	NA	NA	NA
maker-NODE_148_length_64702_cov_49.691599-augustus-gene-0.20-mRNA-1	IPR006976	NA	NA	NA	PF04892	NA	PTHR28008	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_85896_cov_40.397626-augustus-gene-0.19-mRNA-1	IPR003107	GO:0006396;GO:0005634;GO:0006397;GO:0005515	G3DSA:1.25.40.1040	NA	PF05843	SM00386	PTHR19980	mobidb-lite	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_132195_cov_49.441704-augustus-gene-0.6-mRNA-1	IPR020846	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	PS50850	PF07690	NA	PTHR23511;PTHR23511:SF5	NA	cd06174	SSF103473	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_253_length_34842_cov_41.547688-processed-gene-0.4-mRNA-1	IPR017438	GO:0003951;GO:0016301	G3DSA:3.40.50.10330;G3DSA:2.60.200.40	PS50146	PF00781	NA	PTHR12358;PTHR12358:SF36	mobidb-lite	NA	SSF111331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_169_length_58022_cov_47.252543-augustus-gene-0.7-mRNA-1	IPR005062	NA	G3DSA:1.25.40.990	NA	PF03399	NA	PTHR12436:SF3;PTHR12436	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_182_length_54307_cov_43.435530-processed-gene-0.2-mRNA-1	IPR001012	GO:0005515	G3DSA:3.40.30.10;G3DSA:3.10.20.90;G3DSA:1.10.8.10	PS50033	PF14555;PF00789;PF13899	SM00594;SM00166	PTHR23322;PTHR23322:SF6	mobidb-lite	cd02958	SSF52833;SSF54236;SSF46934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_121438_cov_49.319732-augustus-gene-0.5-mRNA-1	IPR000420	GO:0005199;GO:0005618	NA	PS50256	PF00399	NA	PTHR23124:SF121;PTHR23124	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_111_length_78315_cov_38.383499-augustus-gene-0.19-mRNA-1	IPR027777	GO:0005869	G3DSA:2.160.10.10	NA	PF00132	NA	PTHR13072	mobidb-lite	NA	SSF51161	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_105479_cov_48.444510-augustus-gene-0.10-mRNA-1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	G3DSA:3.50.50.60	NA	PF00743	NA	PTHR23023;PTHR23023:SF101	NA	NA	SSF51905	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	PIRSF000332	PR00370	NA	NA	NA	NA	NA
augustus_masked-NODE_224_length_41005_cov_51.757009-processed-gene-0.4-mRNA-1	IPR015222	GO:0004605;GO:0032049	NA	NA	PF09139	NA	PTHR13619	mobidb-lite	NA	NA	NA	NA	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	NA	NA	NA	NA	PIRSF028840	NA	NA	NA	NA	NA	NA
maker-NODE_138_length_70455_cov_43.281837-augustus-gene-0.2-mRNA-1	IPR036457	GO:0004722;GO:0006470;GO:0003824;GO:0043169	G3DSA:3.60.40.10	PS51746	PF00481	SM00332	PTHR13832:SF321;PTHR13832	mobidb-lite	cd00143	SSF81606	PS01032	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_106_length_80061_cov_40.109665-augustus-gene-0.26-mRNA-1	IPR013931	GO:0006979	NA	NA	PF08622;PF17187	NA	PTHR10484;PTHR10484:SF13	NA	NA	SSF159245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_164047_cov_50.852452-processed-gene-0.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_262446_cov_48.377925-augustus-gene-1.78-mRNA-1	IPR036523	GO:0016787	G3DSA:3.40.1210.10	NA	PF01975	NA	PTHR30457;PTHR30457:SF0	NA	NA	SSF64167	NA	NA	KEGG: 00230+3.1.3.5|KEGG: 00240+3.1.3.5|KEGG: 00760+3.1.3.5|MetaCyc: PWY-5381|MetaCyc: PWY-5695|MetaCyc: PWY-6596|MetaCyc: PWY-6606|MetaCyc: PWY-6607|MetaCyc: PWY-6608|MetaCyc: PWY-7185|MetaCyc: PWY-7821	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_661_length_5677_cov_41.184685-processed-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_154_length_62645_cov_42.849579-augustus-gene-0.21-mRNA-1	IPR017916	GO:0006464;GO:0015031	G3DSA:3.10.110.10	PS51312;PS51322	PF09454;PF05743	NA	PTHR23306;PTHR23306:SF3	mobidb-lite	NA	SSF140111;SSF54495	NA	Coil	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_233_length_39506_cov_34.411692-augustus-gene-0.10-mRNA-1	IPR004294	GO:0016702;GO:0055114	NA	NA	PF03055	NA	PTHR10543;PTHR10543:SF24	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_203_length_47776_cov_47.225146-augustus-gene-0.3-mRNA-1	IPR019035	GO:0003712;GO:0006357;GO:0016592	NA	NA	PF09497	SM01281	PTHR13992;PTHR13992:SF40	mobidb-lite	NA	SSF48371	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_146_length_66472_cov_43.561384-processed-gene-0.3-mRNA-1	IPR029021	GO:0006470;GO:0008138;GO:0016311;GO:0004725;GO:0016791	NA	PS50054;PS50056	PF00782	SM00195	PTHR10159:SF489;PTHR10159	mobidb-lite	NA	SSF52799	PS00383	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_170_length_57744_cov_45.492910-augustus-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_373113_cov_48.026344-augustus-gene-1.39-mRNA-1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	G3DSA:1.10.630.10	NA	PF00067	NA	PTHR24279;PTHR24279:SF87	NA	NA	SSF48264	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	PR00465	NA	NA	NA	NA	NA
maker-NODE_119_length_74643_cov_45.456560-augustus-gene-0.1-mRNA-1	IPR007129	NA	NA	NA	PF03981	NA	PTHR12184;PTHR12184:SF1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_69_length_104462_cov_46.534902-processed-gene-0.11-mRNA-1	IPR036249	NA	G3DSA:3.40.30.10	NA	PF05768	NA	PTHR33558	NA	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_84858_cov_48.024855-augustus-gene-0.33-mRNA-1	IPR017896	GO:0016020;GO:0016651;GO:0051539;GO:0055114	G3DSA:3.30.70.3270	PS51379	PF12838	NA	PTHR10849;PTHR10849:SF20	mobidb-lite	NA	SSF54862	PS00198	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	TIGR01971	NA	NA	MF_01351	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_282_length_29875_cov_38.680214-augustus-gene-0.0-mRNA-1	IPR034308	NA	G3DSA:3.50.30.30;G3DSA:3.40.630.10;G3DSA:1.20.930.40	NA	PF04389;PF02225;PF04253	NA	PTHR10404:SF64;PTHR10404	NA	cd02121;cd08022	SSF53187;SSF52025;SSF47672	NA	Coil	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_200_length_48423_cov_42.075141-augustus-gene-0.4-mRNA-1	IPR029044	GO:0009058;GO:0016779	G3DSA:3.90.550.10	NA	PF00483	NA	PTHR12526;PTHR12526:SF387	NA	cd02509	SSF159283;SSF53448	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_35_length_151761_cov_47.413364-processed-gene-0.57-mRNA-1	IPR029058	NA	G3DSA:3.40.50.1820	NA	NA	NA	PTHR10655:SF2;PTHR10655	mobidb-lite	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_234_length_39343_cov_47.181049-processed-gene-0.5-mRNA-1	IPR018034	NA	NA	NA	PF05178;PF12936	NA	PTHR14490	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_262446_cov_48.377925-augustus-gene-1.76-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR42064	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_369570_cov_49.812937-augustus-gene-0.37-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR35487	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_74922_cov_48.085340-augustus-gene-0.24-mRNA-1	IPR000740	GO:0000774;GO:0006457;GO:0042803;GO:0051087	G3DSA:2.30.22.10;G3DSA:3.90.20.20	NA	PF01025	NA	PTHR21237	mobidb-lite	cd00446	SSF51064;SSF58014	PS01071	Coil	Reactome: R-HSA-1268020	NA	NA	NA	MF_01151	NA	PR00773	NA	SignalP-TM	NA	NA	NA
