Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	GO	PRINTS	Pfam	ProSiteProfiles	MobiDBLite	Phobius	TMHMM	CDD	Coils	SFLD	PATHWAY	ProSitePatterns	TIGRFAM	SMART	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	ProDom	PIRSF
OTA02968.1	IPR019489	SSF52540	PTHR11262;PTHR11262:SF4	G3DSA:1.10.8.60	GO:0005524;GO:0006457;GO:0051082	NA	PF10431;PF07724	NA	mobidb-lite	NA	NA	cd00009	Coil	NA	NA	NA	NA	SM01086;SM00382	NA	NA	NA	NA	NA	NA
OTA08252.1	IPR007248	NA	PTHR11266;PTHR11266:SF44	NA	GO:0016021	NA	PF04117	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05520.1	IPR024598	SSF57667	PTHR12786:SF2;PTHR12786	G3DSA:3.30.160.60	GO:0003676;GO:0008270;GO:0000398;GO:0003723;GO:0005681;GO:0005634	NA	PF11931;PF16837;PF12108;PF12171	PS50171	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-72163	PS00028	NA	SM00451;SM00355	NA	NA	NA	NA	NA	NA
OTA02966.1	IPR001138	SSF57701	PTHR31263;PTHR31263:SF4	G3DSA:4.10.240.10	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	PS50048	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	cd00067	NA	NA	NA	PS00463	NA	SM00066	NA	NA	NA	NA	NA	NA
OTA05772.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05766.1	IPR019786	SSF57903	PTHR11477;PTHR11477:SF13	G3DSA:3.30.40.10	GO:0097190	NA	PF00628	PS50016	mobidb-lite	NA	NA	cd15552	NA	NA	Reactome: R-HSA-1221632	PS01359	NA	SM00249	NA	NA	NA	NA	NA	NA
OTA05968.1	IPR001452	SSF103657;SSF50044	PTHR45102	G3DSA:1.20.1270.60;G3DSA:2.30.30.40	GO:0005515;GO:0005737	PR01887;PR00452	PF00018;PF03114	PS51021;PS50002	mobidb-lite	NA	NA	cd07599	Coil	NA	NA	NA	NA	SM00326;SM00721	NA	NA	NA	NA	NA	NA
OTA07289.1	IPR025187	NA	PTHR35519:SF2;PTHR35519	NA	NA	NA	PF13430	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03150.1	IPR019410	SSF53335	PTHR14614;PTHR14614:SF38	G3DSA:3.40.50.150	NA	NA	PF10294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02823.1	IPR004853	NA	PTHR44213	NA	NA	NA	PF03151	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04852.1	IPR021109	SSF50630	PTHR13683:SF326;PTHR13683	G3DSA:2.40.70.10	GO:0004190;GO:0006508	PR00792	PF00026	PS51767	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE	TMhelix	cd05474	NA	NA	NA	PS00141	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA08044.1	IPR028012	NA	PTHR28125	NA	NA	NA	PF14616	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04335.1	NA	NA	PTHR42095	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA01181.1	IPR017853	SSF51011;SSF51445	PTHR11452;PTHR11452:SF12	G3DSA:3.20.20.70;G3DSA:2.60.40.1180	GO:0003824;GO:0004553;GO:0005975	NA	PF17801;PF16499	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
OTA01944.1	IPR000850	SSF52540	PTHR23359:SF117;PTHR23359	G3DSA:3.40.50.300	GO:0005524;GO:0006139;GO:0019205;GO:0004017;GO:0006172;GO:0016776	PR00094	PF05191;PF00406	NA	NA	NA	NA	cd01428	Coil	NA	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PS00113	TIGR01351	NA	NA	NA	NA	MF_00235;MF_03168	NA	NA
OTA02063.1	IPR002073	SSF109604	PTHR11347:SF177;PTHR11347	G3DSA:1.10.1300.10	GO:0004114;GO:0007165;GO:0008081	NA	PF00233	PS51845	mobidb-lite	NA	NA	cd00077	NA	NA	NA	PS00126	NA	SM00471	NA	NA	NA	NA	NA	NA
OTA05153.1	IPR036291	SSF51735	PTHR14194;PTHR14194:SF87	G3DSA:3.90.25.10;G3DSA:3.40.50.720		NA	PF05368	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	cd05259	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05868.1	IPR023754	NA	PTHR23289:SF2;PTHR23289	NA	GO:0006784;GO:0016020;GO:0016627;GO:0055114;GO:0016021	NA	PF02628	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	MF_01665	NA	NA
OTA07798.1	IPR004136	SSF51412	PTHR32332;PTHR32332:SF23	G3DSA:3.20.20.70	GO:0018580;GO:0055114;GO:0003824	NA	PF03060	NA	NA	NA	NA	cd04730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08378.1	IPR000592	SSF57829	PTHR11594:SF0;PTHR11594	G3DSA:2.20.25.640	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	PF01667	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	MF_00371	PD004466	NA
OTA07409.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA06327.1	IPR002889	NA	NA	NA	NA	NA	PF01822	PS51212	mobidb-lite	SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	SM00321	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
OTA05561.1	IPR006694	NA	PTHR11863:SF26;PTHR11863	NA	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	PF04116	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03400.1	IPR033034	NA	PTHR12868	NA	GO:0005747;GO:0006120	NA	PF05347	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00007.1	IPR020846	SSF103473	PTHR23500;PTHR23500:SF125	G3DSA:1.20.1250.20	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PR00171	PF00083	PS50850	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00217;PS00216	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA00301.1	IPR000889	SSF52833	PTHR11592:SF77;PTHR11592	G3DSA:3.40.30.10	GO:0004602;GO:0006979;GO:0055114	PR01011	PF00255	PS51355	NA	NA	NA	cd00340	NA	NA	Reactome: R-HSA-3299685	PS00460;PS00763	NA	NA	NA	NA	NA	NA	NA	PIRSF000303
OTA02918.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05619.1	IPR002401	SSF48264	PTHR24306;PTHR24306:SF7	G3DSA:1.10.630.10	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PR00463	PF00067	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05246.1	IPR000219	SSF48065;SSF54277;SSF50729	PTHR22826;PTHR22826:SF133	G3DSA:3.10.20.90;G3DSA:2.30.29.30;G3DSA:1.20.900.10	GO:0005089;GO:0035023;GO:0005515;GO:0005085;GO:0035556	NA	PF15411;PF00564;PF06395;PF00621	PS50010	mobidb-lite	NA	NA	cd00160;cd13246;cd05992	Coil	NA	Reactome: R-HSA-193648|Reactome: R-HSA-194840|Reactome: R-HSA-416482	PS00741	NA	SM00325;SM00233	NA	NA	NA	NA	NA	NA
OTA04086.1	IPR010730	NA	PTHR33112:SF1;PTHR33112	NA	NA	NA	PF06985	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04460.1	IPR013083	SSF57850	PTHR22765:SF64;PTHR22765	G3DSA:3.30.40.10	NA	NA	PF13639	PS50089	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd16454	NA	NA	NA	NA	NA	SM00184	SignalP-TM	NA	NA	NA	NA	NA
OTA03544.1	IPR017441	SSF56112	PTHR24055:SF333;PTHR24055	G3DSA:1.10.510.10;G3DSA:3.30.200.20	GO:0005524;GO:0004672;GO:0006468;GO:0004707	NA	PF00069	PS50011	NA	NA	NA	cd07849	NA	NA	KEGG: 04150+2.7.11.24	PS00107;PS00108;PS01351	NA	SM00220	NA	NA	NA	NA	NA	PIRSF000654
OTA02039.1	IPR001382	SSF48225	PTHR11742;PTHR11742:SF29	G3DSA:1.50.10.10	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PR00747	PF01532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07083.1	IPR006598	NA	PTHR12203:SF22;PTHR12203	NA	NA	NA	PF05686	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	SM00672	NA	NA	NA	NA	NA	NA
OTA02392.1	IPR002013	NA	PTHR11200;PTHR11200:SF251	NA	GO:0042578	NA	PF02383;PF12456	PS51791;PS50275	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03451.1	IPR003719	SSF54506	PTHR13774	G3DSA:3.10.310.10	GO:0003824;GO:0009058	NA	PF02567	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00654	NA	NA	NA	NA	NA	NA	PIRSF016184
OTA02480.1	IPR029191	SSF57997	PTHR43939;PTHR43939:SF1	G3DSA:1.20.5.340	NA	NA	PF15456	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04090.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
OTA08361.1	IPR000156	SSF50729	PTHR23138:SF120;PTHR23138	G3DSA:2.30.29.30	GO:0046907	NA	PF00638	PS50196	mobidb-lite	NA	NA	cd13179	NA	NA	NA	NA	NA	SM00160	NA	NA	NA	NA	NA	NA
OTA06469.1	IPR002498	SSF56104	PTHR23086:SF59;PTHR23086	G3DSA:3.30.810.10	GO:0016307;GO:0046488	NA	PF01504	PS51455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05957.1	IPR027417	SSF52540	PTHR19241:SF298;PTHR19241	G3DSA:3.40.50.300	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	NA	PF01061;PF00005;PF06422	PS50893	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd03233	Coil	NA	Reactome: R-HSA-1369062	PS00211	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA04514.1	IPR017853	SSF51445	PTHR16631;PTHR16631:SF13	G3DSA:3.20.20.80	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA07879.1	IPR017328	SSF52467	PTHR11085:SF3;PTHR11085	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	GO:0008270;GO:0017136;GO:0070403	NA	PF02146	PS50305	mobidb-lite	NA	NA	cd01408	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037938
OTA01037.1	IPR024655	SSF51445	PTHR34154:SF3;PTHR34154	NA	NA	NA	PF11790	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA03113.1	IPR014001	SSF52540	PTHR11070:SF22;PTHR11070	G3DSA:3.40.50.300	GO:0003677;GO:0004003;GO:0005524	NA	PF13245	NA	NA	NA	NA	cd00046	NA	NA	NA	NA	NA	SM00487	NA	NA	NA	NA	NA	NA
OTA02137.1	IPR032416	SSF55920;SSF53092	PTHR43763	G3DSA:3.40.350.10;G3DSA:3.90.230.10	GO:0016787;GO:0070006	NA	PF16188;PF01321;PF00557;PF16189	NA	NA	NA	NA	cd01085	Coil	NA	NA	PS00491	NA	NA	NA	NA	NA	NA	NA	NA
OTA02799.1	IPR025676	NA	PTHR38788	G3DSA:1.25.40.10	GO:0005515	NA	PF14420	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08568.1	IPR005829	SSF103473	PTHR23500:SF35;PTHR23500	G3DSA:1.20.1250.20	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	PR00171	PF00083	PS50850	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	Coil	NA	Reactome: R-HSA-189200	PS00217;PS00216	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA04849.1	IPR000630	SSF56047	PTHR11758;PTHR11758:SF4	G3DSA:3.30.1370.30;G3DSA:3.30.1490.10	GO:0003735;GO:0005840;GO:0006412	NA	PF00410	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07355.1	NA	NA	PTHR38793;PTHR38793:SF3	NA	NA	NA	PF18142	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03820.1	NA	SSF53850	PTHR30024;PTHR30024:SF1	G3DSA:3.40.190.10	NA	NA	NA	NA	NA	NA	NA	cd13637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07954.1	IPR036388	SSF46785;SSF56112	PTHR10593;PTHR10593:SF36	G3DSA:1.10.10.10;G3DSA:3.30.200.20;G3DSA:1.10.510.10	GO:0004674;GO:0005524;GO:0006468;GO:0004672	NA	PF01163;PF09202	NA	mobidb-lite	NA	NA	cd05144	Coil	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	NA	NA	SM00090	NA	NA	NA	NA	NA	NA
OTA08119.1	IPR001680	SSF50978	PTHR14927	NA	GO:0005515;GO:0005634	NA	PF00400;PF08159	PS50082;PS50294	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA
OTA04810.1	IPR000719	SSF56112	PTHR24343:SF218;PTHR24343	G3DSA:1.10.510.10	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	PS50011	NA	NA	NA	cd13993	NA	NA	NA	PS00108	NA	SM00220	NA	NA	NA	NA	NA	NA
OTA04364.1	IPR010414	SSF50405	PTHR12928	G3DSA:2.80.10.50	NA	NA	PF06229	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00864.1	IPR039899	SSF58038	PTHR12791:SF44;PTHR12791	NA	GO:0015031;GO:0030173	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd15853	NA	NA	Reactome: R-HSA-6807878	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05312.1	IPR003388	NA	PTHR10994:SF61;PTHR10994	NA	NA	NA	PF02453	PS50845	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04823.1	IPR003952	SSF51905;SSF46977;SSF56425	PTHR11632;PTHR11632:SF51	G3DSA:4.10.80.40;G3DSA:3.90.700.10;G3DSA:3.50.50.60;G3DSA:1.20.58.100	GO:0016491;GO:0055114;GO:0016627;GO:0022900;GO:0050660;GO:0006099	NA	PF02910;PF00890	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PS00504	TIGR01812;TIGR01816	NA	NA	NA	NA	NA	NA	PIRSF000171
OTA06307.1	IPR013748	SSF48019;SSF52540	PTHR11669:SF5;PTHR11669	G3DSA:1.20.272.10;G3DSA:1.10.8.60;G3DSA:3.40.50.300	GO:0003677;GO:0006260;GO:0005524	NA	PF08542;PF00004	NA	mobidb-lite	NA	NA	cd00009	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-176187|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804756|Reactome: R-HSA-69091|Reactome: R-HSA-69473	NA	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA08211.1	IPR001931	NA	PTHR10442;PTHR10442:SF0	G3DSA:3.30.1230.20	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	PF01249	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00996	NA	NA	NA	NA	NA	NA	PD006584	PIRSF002148
OTA00549.1	IPR013719	SSF50729	PTHR13711;PTHR13711:SF293	G3DSA:2.30.29.30		NA	PF08512	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	SM01287	NA	NA	NA	NA	NA	NA
OTA00652.1	IPR001163	SSF50182	PTHR10553:SF5;PTHR10553	G3DSA:2.30.30.100	GO:0000398;GO:0000956	NA	PF01423	NA	mobidb-lite	NA	NA	cd01729	NA	NA	Reactome: R-HSA-430039|Reactome: R-HSA-72163	NA	NA	SM00651	NA	NA	NA	NA	NA	PIRSF037188
OTA06047.1	IPR012720	SSF54849;SSF52029;SSF48592	PTHR11353:SF22;PTHR11353	G3DSA:3.50.7.10;G3DSA:1.10.560.10;G3DSA:3.30.260.10	GO:0005524;GO:0006457;GO:0051082	PR00304	PF00118	NA	mobidb-lite	NA	NA	cd03340	NA	NA	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	PS00751;PS00995	TIGR02345	NA	NA	NA	NA	NA	NA	NA
OTA02253.1	IPR019528	SSF57997	PTHR13140:SF572;PTHR13140	NA	GO:0005815	NA	PF10495;PF07989	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-2565942|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-8854518	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06761.1	IPR000101	SSF56235	PTHR11686:SF9;PTHR11686	G3DSA:3.60.20.40;G3DSA:1.10.246.130	GO:0006751;GO:0036374	PR01210	PF01019	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	KEGG: 00430+2.3.2.2|KEGG: 00460+2.3.2.2|KEGG: 00480+2.3.2.2+3.4.19.13|MetaCyc: PWY-4041|MetaCyc: PWY-4061|MetaCyc: PWY-5826|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7559|MetaCyc: PWY-8001	NA	TIGR00066	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA07402.1	IPR036864	SSF57701	PTHR31313	G3DSA:4.10.240.10	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	PS50048;PS51257	mobidb-lite	NA	NA	cd00067;cd12148	NA	NA	NA	PS00463	NA	SM00066	NA	NA	NA	NA	NA	NA
OTA07189.1	IPR002347	SSF51735	PTHR43490:SF56;PTHR43490	G3DSA:3.40.50.720	NA	PR00081	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02574.1	IPR020683	SSF48403	PTHR45454	G3DSA:1.25.40.20	GO:0005515	PR01415	PF12796;PF00023	PS50088;PS50297	NA	NA	NA	cd00204	NA	NA	NA	NA	NA	SM00248	NA	NA	NA	NA	NA	NA
OTA05441.1	IPR019098	NA	NA	NA	NA	NA	PF09649	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SM01082	NA	NA	NA	NA	NA	NA
OTA07078.1	IPR013126	SSF53067;SSF100934	PTHR19375;PTHR19375:SF90	G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:3.30.30.30		PR00301	PF00012	NA	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd10230	Coil	NA	Reactome: R-HSA-3371453	NA	NA	NA	SignalP-TM	NA	SignalP-TM	NA	NA	NA
OTA00612.1	IPR001623	NA	NA	NA	NA	PR00625	NA	PS50076	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	cd06257	NA	NA	NA	PS00636	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OSZ99947.1	NA	NA	PTHR39602	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
