Gene	MobiDBLite	Gene3D	CDD	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	Phobius	SignalP_EUK	SignalP_GRAM_POSITIVE	TMHMM	SMART	Coils	ProSitePatterns	PATHWAY	PIRSF	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	SFLD	TIGRFAM	ProDom
augustus_masked-scaffold51-processed-gene-0.7-mRNA-1	mobidb-lite	NA	NA	IPR020422	SSF52799	PTHR10159:SF489;PTHR10159	GO:0006470;GO:0008138;GO:0004725;GO:0016311;GO:0016791	PF00782	PS50054;PS50056	NA	NA	NA	NA	SM00195	Coil	PS00383	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold112-augustus-gene-0.119-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold86-snap-gene-0.242-mRNA-1	mobidb-lite	G3DSA:1.10.20.10	cd08048	IPR006809	SSF47113	PTHR13218:SF8;PTHR13218	GO:0005634;GO:0006367;GO:0046982	PF04719	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold4-processed-gene-1.8-mRNA-1	mobidb-lite	NA	NA	IPR038816	NA	PTHR42342	GO:0070628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold1-augustus-gene-5.138-mRNA-1	NA	G3DSA:1.20.1730.10	NA	IPR038377	NA	PTHR11819:SF114;PTHR11819	GO:0016020;GO:0022857;GO:0055085	PF00474	PS50283	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold62-snap-gene-0.49-mRNA-1	NA	G3DSA:3.90.245.10	cd02651	IPR001910	SSF53590	PTHR12304;PTHR12304:SF42	NA	PF01156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold10-processed-gene-1.138-mRNA-1	mobidb-lite	G3DSA:3.90.260.10;G3DSA:3.30.70.2460;G3DSA:2.20.20.110	NA	IPR036985	SSF54001	PTHR12135:SF1;PTHR12135	GO:0003677;GO:0003684;GO:0005634;GO:0006289	PF10405;PF10404;PF03835;PF10403	NA	NA	NA	NA	NA	SM01031;SM01032;SM01030	NA	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	NA	NA	NA	NA	NA	NA	NA
maker-scaffold24-snap-gene-1.188-mRNA-1	mobidb-lite	G3DSA:3.40.50.1460	NA	IPR001096	NA	PTHR12000;PTHR12000:SF1	GO:0006508;GO:0008233;GO:0003923;GO:0016255;GO:0042765	PF01650	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SignalP-noTM	NA	NA	NA	Coil	NA	Reactome: R-HSA-162791	NA	PR00776	NA	SignalP-noTM	NA	NA	NA
augustus_masked-scaffold188-processed-gene-0.23-mRNA-1	mobidb-lite	G3DSA:2.130.10.10	NA	IPR001680	SSF50978	PTHR44040	GO:0005515;GO:0048188	PF00400	PS50294;PS50082	NA	NA	NA	NA	SM00320	NA	PS00678	Reactome: R-HSA-201722|Reactome: R-HSA-3214841|Reactome: R-HSA-3769402|Reactome: R-HSA-5617472|Reactome: R-HSA-8936459|Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold194-processed-gene-0.96-mRNA-1	mobidb-lite	G3DSA:2.10.110.10	cd08368	IPR001781	SSF57716	PTHR24216:SF8;PTHR24216	NA	PF00412	PS50023	NA	NA	NA	NA	SM00132	NA	PS00478	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold23-augustus-gene-0.7-mRNA-1	NA	G3DSA:2.40.70.10	cd06097	IPR001969	SSF50630	PTHR13683;PTHR13683:SF345	GO:0004190;GO:0006508	PF00026	PS51767	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SignalP-noTM	SignalP-TM	NA	NA	NA	PS00141	NA	NA	PR00792	NA	SignalP-noTM	NA	NA	NA
maker-scaffold9-snap-gene-1.164-mRNA-1	NA	G3DSA:3.90.930.12	NA	IPR019906	SSF56053	PTHR11655:SF14;PTHR11655	GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0005622	PF00347	NA	NA	NA	SignalP-TM	NA	NA	NA	PS00525	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PR00059	NA	NA	NA	NA	NA
maker-scaffold138-augustus-gene-0.69-mRNA-1	NA	NA	NA	IPR019365	NA	PTHR13314	GO:0016021	PF10233	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM01077	NA	NA	Reactome: R-HSA-112308	NA	NA	NA	NA	NA	NA	NA
maker-scaffold27-augustus-gene-0.76-mRNA-1	mobidb-lite	NA	cd03875	IPR007484	SSF53187	PTHR12147;PTHR12147:SF6	NA	PF04389	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold141-processed-gene-0.127-mRNA-1	mobidb-lite	G3DSA:2.30.30.140	NA	IPR000313	SSF63748	PTHR12550:SF49;PTHR12550	NA	PF00855	PS50812	NA	NA	NA	NA	SM00293	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold15-processed-gene-1.45-mRNA-1	NA	NA	NA	IPR039960	NA	PTHR38409	GO:0032592;GO:0055088	PF07950	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold21-processed-gene-1.26-mRNA-1	mobidb-lite	NA	cd00293	IPR006015	SSF52402	PTHR31964;PTHR31964:SF113	NA	PF00582	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	PR01438	NA	NA	NA	NA	NA
snap_masked-scaffold39-processed-gene-0.83-mRNA-1	mobidb-lite	G3DSA:2.60.120.650	NA	IPR018866	SSF51197	PTHR32031:SF115;PTHR32031	NA	PF10497;PF02373	PS51184	NA	NA	NA	NA	SM00558	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold53-processed-gene-0.62-mRNA-1	mobidb-lite	G3DSA:3.30.460.80	NA	IPR037232	SSF143243	PTHR10884:SF10;PTHR10884	GO:0008137;GO:0055114;GO:0016651	PF00329	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	PS00542	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	MF_01357	NA	NA	TIGR01961	PD001581
maker-scaffold3-snap-gene-3.8-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold174-snap-gene-0.106-mRNA-1	mobidb-lite	G3DSA:1.50.40.10	NA	IPR040062	SSF103506	PTHR24089;PTHR24089:SF107	GO:0022857;GO:0005743;GO:0015187;GO:1904983	PF00153	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03064	NA	NA	NA	NA
augustus_masked-scaffold184-processed-gene-0.45-mRNA-1	mobidb-lite	G3DSA:1.10.10.1200	NA	IPR002190	NA	PTHR11736;PTHR11736:SF14	NA	PF01454	NA	NA	NA	NA	NA	SM01373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold235-processed-gene-0.1-mRNA-1	mobidb-lite	NA	NA	IPR000961	NA	NA	GO:0004674;GO:0005524;GO:0006468	NA	PS51285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold11-processed-gene-1.0-mRNA-1	NA	G3DSA:3.30.40.10	cd16527	IPR017907	SSF57850	PTHR23350;PTHR23350:SF0	GO:0005515;GO:0005779;GO:0007031;GO:0008270;GO:0016558	PF13639;PF04757	PS50089	NA	NA	NA	NA	SM00184	NA	PS00518	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA
maker-scaffold29-snap-gene-1.16-mRNA-1	mobidb-lite	G3DSA:1.25.40.10	NA	IPR011990	SSF48452	PTHR23082	GO:0005515;GO:0001004;GO:0006383	PF13432	PS50005;PS50293	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	SM00028	Coil	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold16-processed-gene-1.354-mRNA-1	NA	G3DSA:3.90.79.10	cd02883	IPR000086	SSF55811	PTHR12992;PTHR12992:SF12	GO:0016787	PF00293	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold113-processed-gene-0.91-mRNA-1	mobidb-lite	G3DSA:3.30.160.60	NA	IPR013087	SSF57667	PTHR14596:SF65;PTHR14596	GO:0003676	PF00096	PS50157	NA	NA	NA	NA	SM00355	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold68-augustus-gene-0.276-mRNA-1	mobidb-lite	G3DSA:1.20.58.610	NA	IPR038189	SSF101391	PTHR12800:SF4;PTHR12800	GO:0019901	PF08564;PF03234;PF08565	NA	NA	NA	NA	NA	SM01071;SM01069;SM01070	Coil	NA	Reactome: R-HSA-1227986|Reactome: R-HSA-1236382|Reactome: R-HSA-5637810|Reactome: R-HSA-8863795	NA	NA	NA	NA	NA	NA	NA
maker-scaffold168-snap-gene-0.142-mRNA-1	mobidb-lite	G3DSA:3.50.50.60	NA	IPR021487	SSF51905	PTHR13789;PTHR13789:SF169	NA	PF11338;PF11160	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	TMhelix	NA	Coil	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
maker-scaffold181-augustus-gene-0.32-mRNA-1	mobidb-lite	G3DSA:3.30.70.260;G3DSA:3.40.50.720	cd12176	IPR036291	SSF51735;SSF55021;SSF52283	PTHR10996:SF165;PTHR10996	GO:0016616;GO:0051287;GO:0055114;GO:0004617;GO:0006564	PF00389;PF02826	NA	NA	NA	NA	NA	NA	NA	PS00670;PS00065;PS00671	KEGG: 00260+1.1.1.95|KEGG: 00680+1.1.1.95|MetaCyc: PWY-8010	NA	NA	NA	NA	NA	NA	NA
maker-scaffold83-augustus-gene-0.38-mRNA-1	mobidb-lite	G3DSA:3.40.50.300	cd01850	IPR030379	SSF52540	PTHR18884;PTHR18884:SF52	GO:0005525	PF00735	PS51719	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	NA	NA	Coil	NA	NA	PIRSF006698	NA	NA	NA	NA	NA	NA
maker-scaffold58-augustus-gene-0.75-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold140-augustus-gene-0.121-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold4-processed-gene-3.23-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold74-snap-gene-0.55-mRNA-1	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	cd07857	IPR008271	SSF56112	PTHR24055:SF10;PTHR24055	GO:0004672;GO:0006468;GO:0005524	PF00069	PS50011	NA	NA	NA	NA	SM00220	NA	PS00108	NA	PIRSF000615	NA	NA	NA	NA	NA	NA
maker-scaffold88-augustus-gene-0.70-mRNA-1	mobidb-lite	G3DSA:1.20.5.340	NA	IPR029191	SSF57997	PTHR43939;PTHR43939:SF1	NA	PF15456	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold16-snap-gene-1.315-mRNA-1	mobidb-lite	NA	NA	IPR027815	NA	PTHR13018;PTHR13018:SF5	GO:0016020	PF14703;PF02714;PF13967	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold11-processed-gene-1.1-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold118-processed-gene-0.49-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold16-snap-gene-1.323-mRNA-1	mobidb-lite	G3DSA:3.10.20.90;G3DSA:3.40.30.10;G3DSA:1.10.8.10	cd02958;cd14348	IPR006577	SSF54236;SSF52833	PTHR23322:SF6;PTHR23322	GO:0005515	PF13899;PF14555	PS50033	NA	NA	NA	NA	SM00594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold10-snap-gene-1.148-mRNA-1	mobidb-lite	NA	NA	IPR037393	NA	PTHR23325	NA	PF09073	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold14-augustus-gene-1.258-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold66-snap-gene-0.273-mRNA-1	NA	G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10	cd02083	IPR023214	SSF81653;SSF81665;SSF56784;SSF81660	PTHR42861:SF35;PTHR42861	GO:0005388;GO:0006816;GO:0016021;GO:0000166	PF00122;PF00690;PF00702;PF00689	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	SM00831	NA	PS00154	Reactome: R-HSA-936837	NA	PR00121;PR00119	NA	NA	SFLDG00002;SFLDF00027	TIGR01116;TIGR01494	NA
augustus_masked-scaffold12-processed-gene-1.127-mRNA-1	NA	G3DSA:1.10.1200.10	NA	IPR009081	SSF47336	PTHR20863;PTHR20863:SF5	GO:0006633	PF00550	PS50075	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	NA	NA	NA	PS00012	Reactome: R-HSA-389661|Reactome: R-HSA-611105|Reactome: R-HSA-6799198|Reactome: R-HSA-77289	NA	NA	MF_01217	NA	NA	TIGR00517	PD000887
augustus_masked-scaffold63-processed-gene-0.232-mRNA-1	mobidb-lite	NA	NA	IPR036291	SSF51735	PTHR14194;PTHR14194:SF34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold1-snap-gene-3.163-mRNA-1	mobidb-lite	G3DSA:3.40.50.620;G3DSA:1.10.579.10;G3DSA:1.25.40.80	NA	IPR005101	SSF52425;SSF48173	PTHR11455:SF22;PTHR11455	GO:0003913;GO:0006281	PF03441;PF00875	PS51645	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-400253	NA	PR00147	NA	NA	NA	TIGR02765	NA
augustus_masked-scaffold120-processed-gene-0.37-mRNA-1	NA	G3DSA:1.10.287.110	cd06257	IPR036869	SSF46565	PTHR12763:SF28;PTHR12763	NA	NA	PS50076	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold43-snap-gene-0.289-mRNA-1	mobidb-lite	NA	NA	IPR000086	SSF55811	PTHR12318	GO:0016787	PF00293	PS51462	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-390918|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA
maker-scaffold25-augustus-gene-1.218-mRNA-1	mobidb-lite	NA	NA	IPR033308	SSF56300	PTHR13315;PTHR13315:SF1	GO:0006506	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold9-processed-gene-2.121-mRNA-1	mobidb-lite	G3DSA:2.60.40.150	NA	IPR035892	SSF49562	NA	NA	PF00168	PS50004	NA	NA	NA	NA	SM00239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold149-processed-gene-0.117-mRNA-1	mobidb-lite	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10	NA	IPR026590	SSF52467	PTHR43688	GO:0070403	PF02146	PS50305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold39-processed-gene-0.373-mRNA-1	mobidb-lite	NA	NA	IPR026777	NA	PTHR31030	GO:0032220;GO:0043332	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold165-augustus-gene-0.9-mRNA-1	mobidb-lite	G3DSA:2.130.10.10	NA	IPR012952	SSF50978	PTHR14085	GO:0005515	PF08149;PF00400	PS50294;PS50082	NA	NA	NA	NA	SM01033;SM00320	Coil	PS00678	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	PD023243
snap_masked-scaffold71-processed-gene-0.16-mRNA-1	NA	G3DSA:3.30.70.120;G3DSA:3.40.190.10	NA	IPR011322	SSF54913;SSF53850	PTHR21403:SF0;PTHR21403	GO:0000105;GO:0000287;GO:0003879;GO:0005737	PF08029;PF01634	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00340+2.4.2.17	NA	NA	NA	NA	NA	TIGR03455;TIGR00070	NA
augustus_masked-scaffold19-processed-gene-0.15-mRNA-1	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	cd08283	IPR011032	SSF50129;SSF51735	PTHR42813;PTHR42813:SF1	GO:0055114;GO:0008270;GO:0016491;GO:0005319;GO:0006869;GO:0016021	PF08240;PF13823;PF04506	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	PS00059	Reactome: R-HSA-71384	NA	NA	NA	NA	NA	NA	NA
maker-scaffold84-augustus-gene-0.15-mRNA-1	mobidb-lite	G3DSA:1.20.140.20;G3DSA:3.30.565.10	cd00075	IPR018955	SSF69012;SSF55874	PTHR11947;PTHR11947:SF3	GO:0004672	PF10436;PF02518	NA	NA	NA	NA	NA	SM00387	NA	NA	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold30-processed-gene-0.4-mRNA-1	mobidb-lite	G3DSA:2.30.30.380;G3DSA:2.60.40.1670;G3DSA:3.40.20.10;G3DSA:1.20.120.730;G3DSA:3.40.50.410	cd01479	IPR036465	SSF53300;SSF82754;SSF82919;SSF81995;SSF81811	PTHR13803:SF4;PTHR13803	GO:0006886;GO:0006888;GO:0030127;GO:0008270	PF04811;PF08033;PF04815;PF04810;PF00626	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold31-processed-gene-0.88-mRNA-1	mobidb-lite	NA	NA	IPR019411	NA	PTHR28204	GO:0007005;GO:0032865;GO:0045040;GO:0008289	PF10296	PS51847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03104	NA	NA	NA	NA
maker-scaffold33-augustus-gene-0.32-mRNA-1	NA	G3DSA:3.40.440.10;G3DSA:3.90.170.10;G3DSA:1.10.300.10	cd03108	IPR027417	SSF52540	PTHR11846	GO:0004019;GO:0005525;GO:0006164	PF00709	NA	NA	NA	NA	NA	SM00788	NA	PS00513;PS01266	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	NA	NA	MF_00011	NA	NA	TIGR00184	NA
maker-scaffold4-snap-gene-0.179-mRNA-1	NA	G3DSA:3.30.310.40;G3DSA:1.10.340.30;G3DSA:1.10.1670.10	cd00056	IPR012904	SSF55945;SSF48150	PTHR10242	GO:0003684;GO:0006289;GO:0008534;GO:0006284;GO:0003824;GO:0006281	PF07934;PF00730	NA	NA	NA	NA	NA	SM00478	NA	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-110357|Reactome: R-HSA-5649702	NA	NA	NA	NA	NA	NA	NA
maker-scaffold61-snap-gene-0.65-mRNA-1	mobidb-lite	G3DSA:1.10.10.60	cd00167	IPR001005	SSF52540;SSF46689	PTHR36168	GO:0003677	PF13921	PS51294;PS50090	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	SM00717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold80-augustus-gene-0.58-mRNA-1	mobidb-lite	G3DSA:3.30.420.210;G3DSA:1.10.8.10;G3DSA:3.10.20.90	cd14273	IPR036241	SSF46934;SSF54236;SSF102848	PTHR23333:SF20;PTHR23333	GO:0005515	PF00789;PF08059;PF14555	PS51399;PS50033	NA	NA	NA	NA	SM00553	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold21-augustus-gene-0.63-mRNA-1	mobidb-lite	G3DSA:3.30.460.10;G3DSA:1.10.1410.10	cd05402	IPR002058	SSF81301;SSF81631	PTHR23092;PTHR23092:SF15	GO:0016779	PF03828;PF01909	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold51-snap-gene-0.258-mRNA-1	mobidb-lite	G3DSA:2.130.10.10	NA	IPR031488	SSF50978	PTHR16453;PTHR16453:SF9	GO:0005515	PF17034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold184-augustus-gene-0.6-mRNA-1	NA	NA	NA	IPR009644	NA	PTHR15407:SF32;PTHR15407	NA	PF04991	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold72-processed-gene-0.289-mRNA-1	mobidb-lite	G3DSA:3.30.56.70	NA	IPR002905	SSF53335	PTHR10631;PTHR10631:SF3	GO:0003723;GO:0004809;GO:0008033	PF02005	PS51626	NA	NA	NA	NA	NA	NA	NA	MetaCyc: PWY-6829	NA	NA	NA	NA	NA	TIGR00308	NA
augustus_masked-scaffold22-processed-gene-0.110-mRNA-1	mobidb-lite	G3DSA:1.10.220.10	NA	IPR037104	SSF47874	PTHR10502:SF102;PTHR10502	GO:0005509;GO:0005544	PF00191	NA	NA	NA	NA	NA	SM00335	NA	PS00223	NA	NA	PR01813;PR00196	NA	NA	NA	NA	NA
maker-scaffold136-augustus-gene-0.132-mRNA-1	NA	NA	NA	IPR039542	NA	PTHR10984:SF25;PTHR10984	NA	PF13850;PF07970	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold15-augustus-gene-1.339-mRNA-1	mobidb-lite	NA	NA	IPR040115	NA	PTHR22166;PTHR22166:SF12	GO:0071786	PF10058	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold18-augustus-gene-1.52-mRNA-1	mobidb-lite	G3DSA:2.60.40.1490	NA	IPR036747	SSF101546	PTHR12040:SF0;PTHR12040	GO:0005634;GO:0006333;GO:0006334;GO:0006337;GO:0016573;GO:0042393	PF04729	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037759	NA	NA	NA	NA	NA	NA
maker-scaffold3-augustus-gene-0.8-mRNA-1	NA	G3DSA:2.70.98.10;G3DSA:1.50.10.100;G3DSA:2.60.220.10	NA	IPR014718	SSF74650;SSF48230	PTHR38481	GO:0030246;GO:0005576;GO:0016829;GO:0003824;GO:0005975	PF02278;PF08124	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	Reactome: R-HSA-2022923	NA	NA	NA	SignalP-noTM	NA	NA	NA
