Gene	MobiDBLite	interpro	GO	SUPERFAMILY	PATHWAY	CDD	SMART	PANTHER	Pfam	Phobius	Gene3D	TMHMM	SignalP_GRAM_NEGATIVE	Coils	PIRSF	PRINTS	ProSiteProfiles	ProSitePatterns	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_POSITIVE	ProDom	SFLD
maker-NIGD01000006.1-augustus-gene-8.59-mRNA-1	NA	IPR011012	GO:0005622;GO:0006888	SSF64356	NA	NA	NA	PTHR12403:SF1;PTHR12403	PF04628	NA	G3DSA:3.30.450.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-44.23-mRNA-1	mobidb-lite	IPR003892	GO:0005515	SSF46934	NA	cd14424	SM00546	PTHR44317	PF02845	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.10.8.10	TMhelix	NA	NA	NA	NA	PS51140	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-26.28-mRNA-1	mobidb-lite	IPR021822	NA	NA	NA	NA	NA	PTHR36205;PTHR36205:SF1	PF11885	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-2.3-mRNA-1	NA	IPR027843	NA	SSF54427	NA	NA	NA	NA	PF14534	NA	G3DSA:3.10.450.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000006.1-augustus-gene-5.7-mRNA-1	mobidb-lite	IPR024630	NA	NA	NA	NA	NA	NA	PF12898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-52.34-mRNA-1	NA	IPR005225	GO:0005525;GO:0003924	SSF52540	NA	cd01867	SM00174;SM00176;SM00173;SM00175	PTHR24073;PTHR24073:SF829	PF00071	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	PR00449	PS51419	NA	NA	TIGR00231	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-2.23-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000008.1-processed-gene-0.12-mRNA-1	mobidb-lite	IPR033658	GO:0045454;GO:0009055;GO:0015035	SSF52833	NA	cd03028	NA	PTHR10293;PTHR10293:SF40	PF00085;PF00462	NA	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	PS51352;PS51354	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-25.1-mRNA-1	mobidb-lite	IPR022968		NA	Reactome: R-HSA-6790901	NA	NA	PTHR20426	PF04034;PF04068	NA	NA	NA	NA	Coil	NA	NA	NA	NA	MF_01116	NA	NA	NA	PD016638	NA
augustus_masked-NIGD01000004.1-processed-gene-9.21-mRNA-1	NA	IPR002828	GO:0016787	SSF64167	KEGG: 00230+3.1.3.5|KEGG: 00240+3.1.3.5|KEGG: 00760+3.1.3.5|MetaCyc: PWY-5381|MetaCyc: PWY-5695|MetaCyc: PWY-6596|MetaCyc: PWY-6606|MetaCyc: PWY-6607|MetaCyc: PWY-6608|MetaCyc: PWY-7185|MetaCyc: PWY-7821	NA	NA	PTHR30457:SF0;PTHR30457	PF01975	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:3.40.1210.10	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-7.21-mRNA-1	mobidb-lite	IPR036273	NA	SSF46938;SSF52087	NA	cd00170	SM00516;SM01100	PTHR10174;PTHR10174:SF162	PF03765;PF00650	NA	G3DSA:3.40.525.10	NA	NA	Coil	NA	NA	PS50191	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-77.38-mRNA-1	NA	IPR007361	NA	NA	NA	NA	NA	PTHR34310;PTHR34310:SF5	PF04248	NA	G3DSA:2.170.150.40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000008.1-processed-gene-5.30-mRNA-1	mobidb-lite	IPR036770	GO:0005515	SSF48403	NA	cd00204	NA	NA	PF12796	NA	G3DSA:1.25.40.20	NA	NA	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-25.10-mRNA-1	NA	IPR006598	NA	NA	NA	NA	SM00672	PTHR12203:SF54;PTHR12203	PF05686	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-27.20-mRNA-1	NA	IPR036305	NA	SSF48097	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-9.9-mRNA-1	NA	IPR013174	GO:0006486	NA	Reactome: R-HSA-162699|Reactome: R-HSA-4719360	NA	NA	PTHR16433	PF08285	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-0.16-mRNA-1	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	cd00067	SM00066	PTHR31263:SF4;PTHR31263	PF00172	NA	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	PS50048	PS00463	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-48.6-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-5.20-mRNA-1	NA	IPR036286	GO:0006508;GO:0008236;GO:0016020;GO:0006627;GO:0008233	SSF51306	NA	cd06530	NA	PTHR12383;PTHR12383:SF16	PF00717	NA	G3DSA:2.10.109.10	NA	NA	NA	NA	PR00727	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-24.1-mRNA-1	NA	IPR002252	GO:0004557;GO:0005975;GO:0003824	SSF51445	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	cd14791	NA	PTHR22762:SF81;PTHR22762	PF02065;PF16874;PF16875	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:2.70.98.60;G3DSA:2.60.40.1180;G3DSA:3.20.20.70	NA	SignalP-noTM	NA	PIRSF005536	PR00743	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000012.1-processed-gene-2.10-mRNA-1	mobidb-lite	IPR011009	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	NA	NA	PTHR24056	PF00069	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	NA	NA	NA	PS50011	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-36.22-mRNA-1	mobidb-lite	IPR025124	NA	NA	NA	NA	NA	PTHR28065	PF13259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-16.19-mRNA-1	mobidb-lite	IPR006939	GO:0000228;GO:0006338	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	PTHR10019;PTHR10019:SF5	PF04855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-76.1-mRNA-1	mobidb-lite	IPR036477	GO:0009058;GO:0016742	SSF53328	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	cd08646	NA	PTHR11138:SF0;PTHR11138	PF00551	NA	G3DSA:3.40.50.170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-34.27-mRNA-1	mobidb-lite	IPR002717	GO:0004402;GO:0006355;GO:0016573	SSF55729	Reactome: R-HSA-3214847	NA	NA	PTHR10615:SF114;PTHR10615	PF01853	NA	G3DSA:3.40.630.30;G3DSA:1.10.10.10	NA	NA	NA	NA	NA	PS51726	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-12.6-mRNA-1	NA	IPR005123	GO:0016491;GO:0055114	SSF51197	NA	NA	NA	PTHR10209:SF388;PTHR10209	PF03171;PF14226	NA	G3DSA:2.60.120.330	NA	NA	NA	NA	PR00682	PS51471	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000008.1-augustus-gene-8.19-mRNA-1	mobidb-lite	IPR019313	GO:0003712;GO:0006357;GO:0016592	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	PTHR13114	PF10156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-77.3-mRNA-1	mobidb-lite	IPR013123	GO:0008168;GO:0003723;GO:0006396;GO:0008173	SSF55315;SSF75217	Reactome: R-HSA-6793080	NA	SM00967	PTHR12029;PTHR12029:SF58	PF08032;PF00588	NA	G3DSA:3.40.1280.10;G3DSA:3.30.1330.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-27.6-mRNA-1	mobidb-lite	IPR011009	GO:0004672;GO:0005524;GO:0006468;GO:0004674	SSF56112	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-428540	cd06614;cd01093	SM00220;SM00285	PTHR24361:SF360;PTHR24361	PF00069;PF00786	NA	G3DSA:3.30.200.20;G3DSA:3.90.810.10;G3DSA:1.10.510.10	NA	NA	Coil	NA	NA	PS50108;PS50011	PS00107;PS00108	NA	NA	NA	NA	NA	NA
maker-NIGD01000010.1-augustus-gene-27.37-mRNA-1	NA	IPR013862	NA	NA	NA	NA	NA	PTHR28077	PF08552	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-29.13-mRNA-1	mobidb-lite	IPR035952	GO:0004252;GO:0016021	SSF144091	NA	NA	NA	PTHR43731:SF8;PTHR43731	PF01694	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1540.10	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-22.31-mRNA-1	mobidb-lite	IPR007727	NA	NA	NA	NA	NA	NA	PF05032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-50.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR34292:SF1;PTHR34292	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-50.1-mRNA-1	mobidb-lite	IPR011990	GO:0005515	SSF81901	NA	NA	SM00671	PTHR11102	PF08238	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	PS50005	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-17.4-mRNA-1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	cd13994	SM00220	PTHR24343;PTHR24343:SF124	PF00069	NA	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	PS50011	PS00108;PS00107	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-6.2-mRNA-1	mobidb-lite	IPR000999	GO:0004525;GO:0006396	SSF54768;SSF69065	Reactome: R-HSA-203927	cd00593	SM00535	PTHR11207;PTHR11207:SF16	PF00636	NA	G3DSA:3.30.160.20;G3DSA:1.10.1520.10	NA	NA	Coil	NA	NA	PS50142	PS00517	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-48.7-mRNA-1	mobidb-lite	IPR018825	NA	NA	NA	NA	NA	PTHR31685:SF3;PTHR31685	PF10348;PF10355	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-51.25-mRNA-1	mobidb-lite	IPR010061	GO:0004491;GO:0055114	NA	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	NA	NA	PTHR43866;PTHR43866:SF1	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-24.5-mRNA-1	mobidb-lite	IPR013909	GO:0005634;GO:0008270	NA	NA	NA	NA	PTHR15835:SF2;PTHR15835	PF08600;PF07967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-71.1-mRNA-1	mobidb-lite	IPR013887	NA	NA	NA	NA	NA	PTHR37988	PF08578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-2.13-mRNA-1	mobidb-lite	IPR007518	GO:0004843;GO:1990380	NA	NA	NA	NA	PTHR18063:SF6;PTHR18063	PF04424	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000008.1-augustus-gene-0.20-mRNA-1	mobidb-lite	IPR001781	NA	SSF57716	NA	cd08368	SM00132	PTHR24216:SF8;PTHR24216	PF00412	NA	G3DSA:2.10.110.10	NA	NA	NA	NA	NA	PS50023	PS00478	NA	NA	NA	NA	NA	NA
maker-NIGD01000008.1-augustus-gene-1.13-mRNA-1	mobidb-lite	IPR036388	NA	SSF46785	NA	cd07323	SM00715	PTHR22792:SF99;PTHR22792	PF05383	NA	G3DSA:1.10.10.10	NA	NA	NA	NA	NA	PS50961	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-56.25-mRNA-1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	cd06609	SM00220	PTHR24361:SF633;PTHR24361	PF00069	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	Coil	PIRSF000615	NA	PS50011	PS00107	NA	NA	NA	NA	NA	NA
maker-NIGD01000008.1-augustus-gene-2.15-mRNA-1	NA	IPR001282	GO:0006006;GO:0055114;GO:0004345;GO:0050661	SSF55347;SSF51735	KEGG: 00030+1.1.1.49|KEGG: 00480+1.1.1.49|MetaCyc: PWY-7268|MetaCyc: PWY-8004	NA	NA	PTHR23429:SF0;PTHR23429	PF00479;PF02781	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	PIRSF000110	PR00079	NA	PS00069	MF_00966	TIGR00871	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-36.18-mRNA-1	mobidb-lite	IPR000547	GO:0006886;GO:0016192	NA	NA	NA	NA	PTHR12894:SF10;PTHR12894	PF10366;PF10367;PF00780	NA	NA	NA	NA	Coil	NA	NA	PS50236;PS50219	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-18.29-mRNA-1	NA	IPR009088	GO:0005672;GO:0006367	SSF50784;SSF47396	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6807505|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042|Reactome: R-HSA-9018519	cd10145;cd10014	NA	PTHR10966:SF0;PTHR10966	PF02268;PF02751	NA	G3DSA:2.30.18.10;G3DSA:1.10.287.190	NA	NA	NA	PIRSF009415	NA	NA	NA	NA	NA	NA	NA	PD009224	NA
augustus_masked-NIGD01000009.1-processed-gene-30.4-mRNA-1	mobidb-lite	IPR040194	NA	NA	NA	cd07380	NA	PTHR12072:SF4;PTHR12072	PF04676;PF04677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-22.4-mRNA-1	mobidb-lite	IPR031355	NA	NA	NA	NA	NA	PTHR38698	PF17104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-32.9-mRNA-1	mobidb-lite	IPR019258	GO:0003712;GO:0006357;GO:0016592	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	PF10018	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-31.28-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-41.4-mRNA-1	mobidb-lite	IPR001623	NA	SSF46565	NA	cd06257	SM00271	PTHR24074	PF00226	NA	G3DSA:1.10.287.110	NA	NA	NA	NA	PR00625	PS50076	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-28.6-mRNA-1	mobidb-lite	IPR013087	GO:0003676	NA	NA	NA	SM00355	PTHR14596:SF65;PTHR14596	NA	NA	G3DSA:3.30.160.60	NA	NA	Coil	NA	NA	PS50157	PS00028	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-6.27-mRNA-1	mobidb-lite	IPR000358	GO:0055114;GO:0016491;GO:0009263	SSF47240	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943	cd01049	NA	PTHR23409;PTHR23409:SF20	PF00268	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.620.20	TMhelix	NA	NA	NA	NA	NA	PS00368	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-16.19-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-66.0-mRNA-1	mobidb-lite	IPR040234	GO:0016603;GO:0006487;GO:0008250;GO:0016021	SSF53187	MetaCyc: PWY-7942	cd03880	NA	PTHR12283;PTHR12283:SF2	PF04389;PF05817	SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION	G3DSA:3.40.630.10	TMhelix	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-NIGD01000001.1-augustus-gene-78.35-mRNA-1	mobidb-lite	IPR004365	GO:0003676;GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310	SSF50249	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174437|Reactome: R-HSA-176187|Reactome: R-HSA-3108214|Reactome: R-HSA-3371453|Reactome: R-HSA-3371511|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696395|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6783310|Reactome: R-HSA-6804756|Reactome: R-HSA-68962|Reactome: R-HSA-69166|Reactome: R-HSA-69473|Reactome: R-HSA-912446	cd04475;cd04476;cd04474;cd04477	NA	PTHR23273;PTHR23273:SF4	PF01336;PF08646;PF16900;PF04057	NA	G3DSA:2.40.50.140	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00617	NA	NA	NA	NA
maker-NIGD01000010.1-augustus-gene-16.2-mRNA-1	mobidb-lite	IPR002717	GO:0004402;GO:0006355;GO:0016573	SSF57903;SSF55729	Reactome: R-HSA-3214847	NA	SM00249	PTHR10615:SF155;PTHR10615	PF01853;PF17772;PF16866	NA	G3DSA:3.30.60.60;G3DSA:3.30.40.10;G3DSA:3.40.630.30;G3DSA:1.10.10.10	NA	NA	Coil	NA	NA	PS51726;PS50016	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-33.17-mRNA-1	mobidb-lite	IPR008220	GO:0009058;GO:0016747	SSF53474	NA	NA	NA	PTHR42886:SF6;PTHR42886	PF00561	NA	NA	NA	NA	NA	PIRSF000443	NA	NA	NA	MF_00296	TIGR01392	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-56.29-mRNA-1	NA	IPR020471	GO:0016491;GO:0055114	SSF51430	NA	cd06660	NA	PTHR11732;PTHR11732:SF218	PF00248	NA	G3DSA:3.20.20.100	NA	NA	NA	PIRSF000097	PR00069	NA	PS00798	NA	NA	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-4.8-mRNA-1	mobidb-lite	IPR001412	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004823;GO:0006429;GO:0002161	SSF47323;SSF50677;SSF52374	KEGG: 00970+6.1.1.4|Reactome: R-HSA-379726	cd00812	NA	PTHR43740:SF2;PTHR43740	PF00133;PF09334;PF13603;PF08264	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	PR00985	NA	PS00178	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-12.28-mRNA-1	mobidb-lite	IPR027417	NA	SSF52540	NA	cd00046	NA	PTHR13367:SF18;PTHR13367	PF12359;PF12340	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-25.45-mRNA-1	mobidb-lite	IPR019734	GO:0005515;GO:0005680;GO:0030071	SSF48452	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	SM00028	PTHR12558:SF10;PTHR12558	PF13414;PF13181;PF04049	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	PS50005;PS50293	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-52.2-mRNA-1	NA	IPR010326	GO:0000145;GO:0006887	NA	NA	NA	NA	PTHR21292;PTHR21292:SF1	PF06046	NA	G3DSA:1.10.357.50;G3DSA:1.10.357.70	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-24.32-mRNA-1	mobidb-lite	IPR000569	GO:0004842	SSF56204	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	SM00119	PTHR11254;PTHR11254:SF301	PF16558;PF00632	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.90.1750.10;G3DSA:1.10.286.60;G3DSA:3.30.2410.10;G3DSA:3.30.2160.10	NA	NA	NA	NA	NA	PS50237	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-17.1-mRNA-1	mobidb-lite	IPR036388	GO:0003700;GO:0006355;GO:0043565	SSF46785	NA	cd00059	SM00339	PTHR11829:SF330;PTHR11829	PF00250	NA	G3DSA:1.10.10.10	NA	NA	NA	NA	PR00053	PS50039	PS00658	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-29.4-mRNA-1	mobidb-lite	IPR018181		SSF53067;SSF100920;SSF100934	Reactome: R-HSA-3371453	NA	NA	PTHR19375;PTHR19375:SF215	PF00012	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.90.640.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10	TMhelix	NA	Coil	NA	PR00301	NA	PS01036;PS00329	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-NIGD01000011.1-augustus-gene-25.13-mRNA-1	mobidb-lite	IPR011761	GO:0005524;GO:0046872;GO:0008716	SSF56059	KEGG: 00473+6.3.2.4|KEGG: 00550+6.3.2.4|MetaCyc: PWY-6386|MetaCyc: PWY-6387|MetaCyc: PWY-7953	NA	NA	PTHR23132:SF12;PTHR23132	PF07478	NA	NA	NA	NA	NA	NA	NA	PS50975	NA	NA	NA	NA	NA	NA	NA
