Gene	Phobius	PANTHER	interpro	GO	ProSiteProfiles	TMHMM	SUPERFAMILY	SMART	Gene3D	Pfam	PATHWAY	MobiDBLite	Coils	ProSitePatterns	PRINTS	TIGRFAM	CDD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	Hamap	SFLD	ProDom
RFU71751.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80980.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PTHR12725:SF74;PTHR12725	IPR023214	NA	NA	NA	SSF56784	NA	G3DSA:3.40.50.1000;G3DSA:1.10.150.720	PF13242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77592.1	NA	PTHR11699;PTHR11699:SF206	IPR015590	GO:0016491;GO:0055114;GO:0016620	NA	NA	SSF53720	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	PF00171	NA	NA	NA	PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78679.1	NA	PTHR11271;PTHR11271:SF37	IPR006680	GO:0016787;GO:0016810	NA	NA	SSF51556;SSF51338	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	PF01979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76058.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11785:SF369;PTHR11785	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	NA	TMhelix	NA	NA	G3DSA:1.20.1740.10	PF13520	NA	NA	Coil	PS00218	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA	NA
RFU77950.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR30620:SF16;PTHR30620	IPR002772	GO:0004553;GO:0005975	NA	NA	SSF52279;SSF51445	SM01217	G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:2.60.40.10	PF01915;PF14310;PF00933	NA	NA	NA	NA	PR00133	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
RFU73938.1	NA	NA	IPR036282	NA	NA	NA	SSF47616	NA	G3DSA:1.20.1050.10	PF13410	NA	NA	NA	NA	NA	NA	cd00299	NA	NA	NA	NA	NA	NA	NA
RFU76746.1	NA	PTHR15588;PTHR15588:SF9	IPR001163	GO:0000398;GO:0005688;GO:0046540	NA	NA	SSF50182	SM00651	G3DSA:2.30.30.100	PF01423	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	cd01727	NA	NA	NA	NA	NA	NA	NA
RFU74870.1	NA	PTHR40626:SF4;PTHR40626	IPR036236	GO:0003676	PS50157	NA	SSF57667	NA	G3DSA:3.30.160.60	PF00096	NA	mobidb-lite	NA	PS00028	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
RFU72205.1	NA	PTHR12785:SF6;PTHR12785	IPR007180	GO:0005634	NA	NA	NA	SM00581	NA	PF04037;PF04046	Reactome: R-HSA-72163|Reactome: R-HSA-72165	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75428.1	NA	PTHR21292:SF1;PTHR21292	IPR010326	GO:0000145;GO:0006887	NA	NA	NA	NA	G3DSA:1.10.357.70;G3DSA:1.10.357.50	PF06046	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81693.1	NA	PTHR14194;PTHR14194:SF98	IPR036291		NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF05368	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79085.1	NA	PTHR13213	IPR007015	GO:0003677;GO:0005730;GO:0006355;GO:0008134	NA	NA	NA	NA	NA	PF04931	Reactome: R-HSA-5250924	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75358.1	NA	PTHR38700	IPR011993	NA	NA	NA	SSF54236	NA	G3DSA:2.30.29.30;G3DSA:3.10.20.90	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80731.1	NA	PTHR21240	IPR032465	GO:0016831;GO:0016787	NA	NA	SSF51556	NA	G3DSA:3.20.20.140	PF04909	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	cd01292	NA	NA	NA	NA	NA	NA	NA
RFU80161.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12703	IPR005344	GO:0016021	NA	TMhelix	NA	NA	NA	PF03661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81003.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75645.1	NA	PTHR42918:SF3;PTHR42918	IPR018149	GO:0000166;GO:0004824;GO:0005524;GO:0005737;GO:0006430;GO:0004812;GO:0006418;GO:0003676	PS50862	NA	SSF55681;SSF50249	NA	G3DSA:2.40.50.140;G3DSA:3.30.930.10	PF00152;PF01336	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-379726	mobidb-lite	Coil	NA	PR00982	TIGR00499	cd00775;cd04322	PIRSF039101	NA	NA	NA	MF_00252	NA	NA
RFU73581.1	NA	PTHR10442;PTHR10442:SF0	IPR001931	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	NA	G3DSA:3.30.1230.20	PF01249	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	PS00996	NA	NA	NA	PIRSF002148	NA	NA	NA	NA	NA	PD006584
RFU78335.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR23500;PTHR23500:SF68	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF00083	Reactome: R-HSA-189200	NA	NA	NA	PR00171	TIGR00879	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU78069.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR43157:SF1;PTHR43157	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72397.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR21257;PTHR21257:SF31	IPR001171	GO:0016020;GO:0016628;GO:0055114	NA	TMhelix	NA	NA	NA	PF01222	NA	mobidb-lite	NA	PS01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74344.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR10774;PTHR10774:SF151	IPR037791	GO:1903474	PS50004	NA	SSF49562	SM00239	G3DSA:2.60.40.150	PF00168	NA	mobidb-lite	NA	NA	NA	NA	cd08681	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU80300.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR42973:SF2;PTHR42973	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	PS51387	NA	SSF56176	NA	G3DSA:3.30.465.40	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU75496.1	NA	PTHR23099	IPR035240	NA	NA	NA	NA	SM00731	NA	PF17283;PF10263	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78756.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR31086:SF12;PTHR31086	IPR018823	NA	NA	TMhelix	NA	NA	NA	PF13515;PF10337	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74373.1	NA	PTHR24216:SF8;PTHR24216	IPR001781	NA	PS50023	NA	SSF57716	SM00132	G3DSA:2.10.110.10	PF00412	NA	mobidb-lite	NA	PS00478	NA	NA	cd08368	NA	NA	NA	NA	NA	NA	NA
RFU78375.1	NA	PTHR45582	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NA	SSF57701	SM00066;SM00906	G3DSA:4.10.240.10	PF00172;PF04082	NA	NA	Coil	PS00463	NA	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA	NA
RFU79111.1	NA	PTHR38698	IPR031355	NA	NA	NA	NA	NA	NA	PF17104	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74874.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	IPR008929	GO:0016829;GO:0042597	NA	NA	SSF48230	NA	G3DSA:1.50.10.100	PF05426	Reactome: R-HSA-2022923	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU81506.1	NA	PTHR11803:SF22;PTHR11803	IPR006056		NA	NA	SSF55298	NA	G3DSA:3.30.1330.40	PF01042	Reactome: R-HSA-8849175	NA	NA	NA	NA	TIGR00004	cd00448	NA	NA	NA	NA	NA	NA	NA
RFU74858.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR31944	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	SSF57701	SM00906	NA	PF04082	NA	mobidb-lite	NA	NA	NA	NA	cd12148;cd00067	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU81490.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR10961;PTHR10961:SF26	IPR006076	GO:0016491;GO:0055114	NA	NA	SSF51905	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	PF01266	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75590.1	NA	PTHR43757:SF2;PTHR43757	IPR013977	GO:0004047;GO:0006546;GO:0005515	NA	NA	SSF101790;SSF103025	NA	G3DSA:2.40.30.110;G3DSA:3.30.70.1400;G3DSA:3.30.1360.120;G3DSA:4.10.1250.10	PF08669;PF01571	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10	NA	NA	NA	NA	TIGR00528	NA	PIRSF006487	SignalP-TM	NA	NA	NA	NA	NA
RFU79204.1	NA	PTHR28620	IPR011057	NA	NA	NA	SSF51316	NA	G3DSA:2.170.150.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73233.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR33365:SF5;PTHR33365	IPR021765	GO:0043386	NA	TMhelix	NA	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74403.1	NA	PTHR23273:SF12;PTHR23273	IPR012340	GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310;GO:0003676	NA	NA	SSF50249	NA	G3DSA:2.40.50.140	PF08646;PF16900;PF01336;PF04057	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174437|Reactome: R-HSA-176187|Reactome: R-HSA-3108214|Reactome: R-HSA-3371453|Reactome: R-HSA-3371511|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696395|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6783310|Reactome: R-HSA-6804756|Reactome: R-HSA-68962|Reactome: R-HSA-69166|Reactome: R-HSA-69473|Reactome: R-HSA-912446	NA	NA	NA	NA	TIGR00617	cd04476;cd04477;cd04474;cd04475	NA	NA	NA	NA	NA	NA	NA
RFU75398.1	NA	PTHR11088;PTHR11088:SF25	IPR018022	GO:0008033	NA	NA	SSF52540	NA	G3DSA:1.10.20.140;G3DSA:3.40.50.300	PF01715	KEGG: 00908+2.5.1.75|MetaCyc: PWY-2781|Reactome: R-HSA-6782315|Reactome: R-HSA-6787450	NA	NA	NA	NA	TIGR00174	NA	NA	NA	NA	NA	MF_00185	NA	NA
RFU73801.1	NA	PTHR12360:SF0;PTHR12360	IPR001374	GO:0003676;GO:0003700	PS51061	NA	SSF82708	SM00393	G3DSA:3.30.1370.50	PF01424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71958.1	NA	PTHR11557;PTHR11557:SF0	IPR000860	GO:0004418;GO:0033014;GO:0018160	NA	NA	SSF53850;SSF54782	NA	G3DSA:3.40.190.10;G3DSA:3.30.160.40	PF01379;PF03900	KEGG: 00860+2.5.1.61|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	NA	NA	PS00533	PR00151	TIGR00212	cd13645	PIRSF001438	NA	NA	NA	MF_00260	NA	NA
RFU75677.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76611.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71878.1	NA	PTHR22573:SF15;PTHR22573	IPR005843	GO:0016868;GO:0071704;GO:0005975;GO:0004610;GO:0000287	NA	NA	SSF53738;SSF55957	NA	G3DSA:1.10.490.170;G3DSA:3.30.310.50;G3DSA:3.40.120.10	PF00408;PF02878	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749	NA	NA	PS00710	NA	NA	cd03086	PIRSF016408	NA	NA	NA	NA	NA	NA
RFU79967.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU77108.1	NA	PTHR30457:SF8;PTHR30457	IPR027746	GO:0006464;GO:0016787	PS51221	NA	SSF64167;SSF56059	NA	G3DSA:3.40.1210.10;G3DSA:3.30.470.20	PF01975;PF03133	Reactome: R-HSA-8955332	mobidb-lite	NA	NA	NA	TIGR00087	NA	NA	NA	NA	NA	NA	NA	NA
RFU76445.1	NA	PTHR35802	IPR007396	GO:0048037	NA	NA	SSF50475	NA	G3DSA:2.30.110.10	PF04299	NA	NA	NA	NA	NA	NA	NA	PIRSF010372	NA	NA	NA	NA	NA	NA
RFU74977.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR37919:SF2;PTHR37919	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71745.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72870.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72741.1	NA	PTHR43206;PTHR43206:SF1	IPR005814	GO:0008483;GO:0030170;GO:0003824;GO:0003867;GO:0009448	NA	NA	SSF53383	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	PF00202	KEGG: 00250+2.6.1.19|KEGG: 00410+2.6.1.19|KEGG: 00640+2.6.1.19|KEGG: 00650+2.6.1.19|MetaCyc: PWY-4321|MetaCyc: PWY-5022|MetaCyc: PWY-6535|MetaCyc: PWY-6536|MetaCyc: PWY-6537|Reactome: R-HSA-916853	NA	NA	PS00600	NA	TIGR00699	cd00610	PIRSF000521	NA	NA	NA	NA	NA	NA
RFU79193.1	NA	PTHR12409	IPR004127	GO:0006457;GO:0016272	NA	NA	SSF46579	NA	G3DSA:1.10.287.370	PF02996	Reactome: R-HSA-389957	mobidb-lite	Coil	NA	NA	NA	cd00584	NA	NA	NA	NA	NA	NA	NA
RFU76250.1	NA	PTHR28632:SF2;PTHR28632	IPR015157	NA	NA	NA	NA	NA	NA	PF09072	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75915.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR31297:SF19;PTHR31297	IPR001547	GO:0004553;GO:0005975	NA	NA	SSF51445	NA	G3DSA:3.20.20.80	PF00150	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU80212.1	NA	PTHR43780;PTHR43780:SF1	IPR036052	GO:0008660;GO:0009310;GO:0030170	NA	NA	SSF53686	NA	G3DSA:3.40.50.1100	PF00291	KEGG: 00270+3.5.99.7	NA	NA	NA	NA	TIGR01274	cd06449	PIRSF006278	NA	NA	NA	NA	NA	NA
RFU76923.1	NA	PTHR31313:SF70;PTHR31313	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SSF57701	SM00066	G3DSA:4.10.240.10	PF00172	NA	mobidb-lite	NA	PS00463	NA	NA	cd00067;cd15486	NA	NA	NA	NA	NA	NA	NA
RFU72923.1	NA	PTHR10336:SF36;PTHR10336	IPR035892	GO:0035556;GO:0004435;GO:0006629;GO:0007165;GO:0008081	PS50007;PS50004;PS50008	NA	SSF50729;SSF51695;SSF49562;SSF47473	SM00149;SM00148;SM00239	G3DSA:2.60.40.150;G3DSA:1.10.238.10;G3DSA:2.30.29.30;G3DSA:3.20.20.190	PF00388;PF00387	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|Reactome: R-HSA-1855204	mobidb-lite	NA	NA	PR00390	NA	cd16207;cd13360;cd08598;cd00275	NA	NA	NA	NA	NA	NA	NA
RFU79517.1	NA	PTHR21964;PTHR21964:SF25	IPR013907	NA	NA	NA	NA	SM01401	NA	PF08598	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77071.1	NA	PTHR11941;PTHR11941:SF103	IPR001753	GO:0003824	NA	NA	SSF52096	NA	G3DSA:3.90.226.10;G3DSA:1.10.12.10	PF00378	NA	NA	NA	PS00166	NA	NA	cd06558	NA	NA	NA	NA	NA	NA	NA
RFU80837.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR24287:SF5;PTHR24287	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	TMhelix	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78289.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR11472;PTHR11472:SF1	IPR006555	GO:0003676;GO:0005524;GO:0006139;GO:0008026;GO:0016818;GO:0004003;GO:0003677;GO:0005634;GO:0006289	PS51193	TMhelix	SSF52540	SM00491;SM00488	G3DSA:3.40.50.300	PF13307;PF06777;PF06733	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-2564830|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	mobidb-lite	Coil	NA	PR00852	TIGR00604	cd00046	NA	NA	NA	NA	NA	NA	NA
RFU81511.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81409.1	NA	PTHR43459	IPR001753	GO:0003824	NA	NA	SSF52096	NA	G3DSA:3.90.226.10	PF00378	NA	NA	NA	NA	NA	NA	cd06558	NA	NA	NA	NA	NA	NA	NA
RFU77318.1	NA	PTHR10245:SF15;PTHR10245	IPR001387	GO:0043565;GO:0003677	PS50943	NA	SSF47413	SM00530	G3DSA:1.10.260.40	PF01381;PF08523	NA	mobidb-lite	NA	NA	NA	NA	cd00093	NA	NA	NA	NA	NA	NA	NA
RFU73305.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR28523	IPR014807	NA	NA	NA	NA	NA	NA	PF08695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74010.1	NA	PTHR45583	IPR023606	GO:0003824	NA	NA	SSF89796	NA	G3DSA:3.40.50.10540	PF02515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77645.1	NA	PTHR31263;PTHR31263:SF40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74485.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR24089;PTHR24089:SF0	IPR018108	GO:0022857;GO:0055085	PS50920	TMhelix	SSF103506	NA	G3DSA:1.50.40.10	PF00153	NA	mobidb-lite	NA	NA	PR00926	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75707.1	NA	NA	IPR001763	NA	PS50206	NA	SSF52821	SM00450	G3DSA:3.40.250.10	PF00581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79916.1	NA	PTHR11668;PTHR11668:SF391	IPR013235	GO:0016787;GO:0005515;GO:0004721;GO:0006470	PS50293;PS50005	NA	SSF56300;SSF48452	SM00156;SM00028	G3DSA:3.60.21.10;G3DSA:1.25.40.10	PF08321;PF00149;PF13181	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	PS00125	PR00114	NA	cd07417	PIRSF033096	NA	NA	NA	NA	NA	NA
RFU82148.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12673;PTHR12673:SF159	IPR035899	GO:0005089;GO:0035023	PS50010	NA	SSF48065	SM00325	G3DSA:1.20.900.10	PF00621	NA	mobidb-lite	Coil	NA	NA	NA	cd00160	NA	NA	NA	NA	NA	NA	NA
RFU72466.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12145:SF32;PTHR12145	IPR008928	GO:0003824	NA	TMhelix	SSF48208	NA	G3DSA:1.50.10.20	PF03663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81946.1	NA	NA	IPR036452	NA	NA	NA	NA	NA	G3DSA:3.90.245.10;G3DSA:2.60.40.10	PF07632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71898.1	NA	PTHR24055;PTHR24055:SF337	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	NA	SSF56112	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	NA	mobidb-lite	NA	PS00107;PS00108	NA	NA	cd14136	NA	NA	NA	NA	NA	NA	NA
RFU80781.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR44181	IPR020683	GO:0005515	PS50088;PS50297	TMhelix	SSF48403	SM00248	G3DSA:1.25.40.20	PF12796	NA	NA	NA	NA	NA	NA	cd00204	NA	NA	NA	SignalP-noTM	NA	NA	NA
RFU73823.1	NA	PTHR28190;PTHR28190:SF1	IPR001849	GO:0005515;GO:0005543;GO:0005938;GO:0032065	PS50003	NA	SSF50729	SM00233	NA	PF12814	NA	mobidb-lite	Coil	NA	NA	NA	cd13365	NA	NA	NA	NA	NA	NA	NA
RFU78326.1	NA	PTHR30468:SF9;PTHR30468	IPR003819	GO:0016491;GO:0055114	NA	NA	SSF51197	NA	G3DSA:3.60.130.10	PF02668	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74971.1	NA	PTHR45033:SF2;PTHR45033	IPR036291	GO:0055114;GO:0016491	NA	NA	SSF51735;SSF50129	SM00829	G3DSA:3.40.50.720;G3DSA:3.90.180.10	PF00107;PF08240	NA	NA	NA	NA	NA	NA	cd08276	NA	NA	NA	NA	NA	NA	NA
