Gene	MobiDBLite	PANTHER	Gene3D	interpro	Pfam	GO	SMART	SUPERFAMILY	CDD	ProSiteProfiles	Coils	PATHWAY	Phobius	PRINTS	TMHMM	PIRSF	Hamap	ProSitePatterns	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	TIGRFAM	ProDom	SFLD
augustus_masked-NIGC01000005.1-processed-gene-23.29-mRNA-1	mobidb-lite	PTHR28108	NA	IPR037651	NA	GO:0000812;GO:0006338;GO:0043486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-4.14-mRNA-1	NA	PTHR24095;PTHR24095:SF245	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	IPR000873	PF00501;PF13193;PF16177	GO:0003824;GO:0003987;GO:0016208;GO:0019427	NA	SSF56801	cd05966	NA	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857|Reactome: R-HSA-71384	NA	NA	NA	NA	NA	PS00455	NA	NA	NA	TIGR02188	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-20.19-mRNA-1	NA	PTHR12734	G3DSA:3.40.50.150	IPR022238	PF12589;PF08241	GO:0016435;GO:0070476;GO:0008168	NA	SSF53335	cd02440	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-8.39-mRNA-1	NA	PTHR10342;PTHR10342:SF247	G3DSA:3.40.720.10	IPR017849	PF00884	GO:0003824;GO:0008484	NA	SSF53649	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-18.16-mRNA-1	mobidb-lite	PTHR12730	NA	IPR012977	PF08158;PF05285	GO:0000055;GO:0030036;GO:0042273	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000003.1-processed-gene-6.3-mRNA-1	mobidb-lite	NA	NA	IPR016181	NA	NA	NA	SSF55729	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000010.1-augustus-gene-6.43-mRNA-1	NA	PTHR13622:SF8;PTHR13622	G3DSA:3.40.50.10240	IPR007371	PF04263;PF04265	GO:0004788;GO:0005524;GO:0009229;GO:0030975;GO:0006772	SM00983	SSF63999;SSF63862	cd07995	NA	NA	KEGG: 00730+2.7.6.2|MetaCyc: PWY-6898|MetaCyc: PWY-6907|MetaCyc: PWY-6908|MetaCyc: PWY-7356|Reactome: R-HSA-196819	NA	NA	NA	PIRSF031057	NA	NA	NA	NA	NA	TIGR01378	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-14.19-mRNA-1	NA	PTHR43353:SF6;PTHR43353	G3DSA:3.40.605.10;G3DSA:3.40.309.10	IPR015590	PF00171	GO:0016491;GO:0055114;GO:0016620	NA	SSF53720	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00687	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000003.1-processed-gene-8.7-mRNA-1	NA	PTHR21304:SF0;PTHR21304	NA	IPR007512	PF04418	GO:0005743;GO:0061617	NA	NA	NA	NA	NA	Reactome: R-HSA-8949613	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-20.24-mRNA-1	NA	PTHR10168;PTHR10168:SF14	G3DSA:3.40.30.10	IPR036249	PF00462	GO:0045454;GO:0009055;GO:0015035	NA	SSF52833	cd03419	PS51354	NA	NA	NA	PR00160	NA	NA	NA	NA	NA	NA	NA	TIGR02180	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-0.13-mRNA-1	NA	PTHR11028;PTHR11028:SF0	G3DSA:1.10.132.50;G3DSA:1.20.1690.10	IPR002843	PF01992	GO:0015078;GO:0015991;GO:0033179	NA	SSF103486	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	NA	PIRSF018497	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-25.27-mRNA-1	NA	PTHR23305;PTHR23305:SF11	G3DSA:1.10.150.300;G3DSA:3.40.50.300;G3DSA:3.10.20.30	IPR013029	PF06071;PF01926	GO:0005525	NA	SSF81271;SSF52540	cd01900;cd04867	PS51710	Coil	Reactome: R-HSA-114608	NA	PR00326	NA	PIRSF006641	MF_00944	NA	NA	NA	NA	TIGR00092	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-19.11-mRNA-1	NA	PTHR32183;PTHR32183:SF6	G3DSA:3.40.50.150	IPR008854	PF05724	GO:0008757	NA	SSF53335	cd02440	PS51585	NA	KEGG: 00983+2.1.1.67|Reactome: R-HSA-156581|Reactome: R-HSA-5578995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-9.14-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.20	IPR020683	PF12796	NA	NA	SSF48403	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-35.34-mRNA-1	mobidb-lite	NA	NA	IPR032741	PF14611	GO:0005743	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000010.1-augustus-gene-19.16-mRNA-1	mobidb-lite	PTHR23180;PTHR23180:SF160	G3DSA:3.30.40.160	IPR001164	PF01412	GO:0005096	SM00105	SSF57863	NA	PS50115	NA	NA	NA	PR00405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000007.1-processed-gene-15.4-mRNA-1	mobidb-lite	PTHR38406	NA	IPR013927	PF08618	GO:0003714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-8.20-mRNA-1	mobidb-lite	PTHR13621	NA	IPR018800	PF10253		NA	NA	NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-11.30-mRNA-1	mobidb-lite	PTHR16201;PTHR16201:SF35	G3DSA:1.20.1280.290	IPR006603	PF04193	NA	SM00679	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-10.23-mRNA-1	NA	PTHR11141;PTHR11141:SF0	G3DSA:1.20.120.730;G3DSA:3.40.20.10;G3DSA:3.40.50.410	IPR007123	PF00626;PF04811;PF08033;PF04815	GO:0006886;GO:0006888;GO:0030127;GO:0090114	NA	SSF81995;SSF82754;SSF81811;SSF53300	cd11287	NA	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-29.42-mRNA-1	mobidb-lite	PTHR43719;PTHR43719:SF8	NA	IPR022093	PF12331	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-32.22-mRNA-1	mobidb-lite	PTHR43965	G3DSA:1.20.1270.60	IPR004148	PF03114	GO:0005515;GO:0005737;GO:0006897	SM00721	SSF103657	NA	PS51021	Coil	Reactome: R-HSA-182971|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-15.31-mRNA-1	mobidb-lite	PTHR11994:SF4;PTHR11994	G3DSA:3.30.1440.10	IPR022803	PF00281;PF00673	GO:0003735;GO:0005840;GO:0006412	NA	SSF55282	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-14.11-mRNA-1	mobidb-lite	PTHR24074;PTHR24074:SF16	G3DSA:1.10.287.110	IPR001623	PF00226	NA	SM00271	SSF46565	cd06257	PS50076	Coil	NA	NA	PR00625	NA	NA	NA	PS00636	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-22.15-mRNA-1	mobidb-lite	PTHR12874:SF9;PTHR12874	NA	IPR001810	PF12937	GO:0005515	NA	SSF81383	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-16.27-mRNA-1	mobidb-lite	PTHR11606;PTHR11606:SF9	G3DSA:3.40.50.720	IPR016210	PF00208	GO:0004352;GO:0019551;GO:0055114;GO:0006520;GO:0016491	SM00839	SSF51735;SSF53223	NA	NA	NA	KEGG: 00220+1.4.1.2|KEGG: 00250+1.4.1.2|KEGG: 00430+1.4.1.2|KEGG: 00910+1.4.1.2|MetaCyc: PWY-5022|MetaCyc: PWY-6728|MetaCyc: PWY-7126	NA	NA	NA	PIRSF000184	NA	PS00074	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-13.21-mRNA-1	mobidb-lite	PTHR24106;PTHR24106:SF232	G3DSA:3.80.10.10	IPR032675	NA	NA	NA	SSF52047	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-7.6-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-11.0-mRNA-1	NA	PTHR10250:SF17;PTHR10250	G3DSA:1.20.120.550	IPR023352	PF01124	NA	NA	SSF161084	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-20.12-mRNA-1	mobidb-lite	PTHR10183;PTHR10183:SF272	G3DSA:1.10.238.10	IPR002048	PF13499;PF13202	GO:0005509	SM00054	SSF47473	cd16180	PS50222	Coil	NA	NA	NA	NA	NA	NA	PS00018	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-16.24-mRNA-1	mobidb-lite	PTHR10484;PTHR10484:SF160	G3DSA:1.10.20.10	IPR019809	PF15511	GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0006352;GO:0046982	SM00417;SM00803	SSF47113	cd00076	NA	NA	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-1912408|Reactome: R-HSA-201722|Reactome: R-HSA-212300|Reactome: R-HSA-2299718|Reactome: R-HSA-2559580|Reactome: R-HSA-2559582|Reactome: R-HSA-2559586|Reactome: R-HSA-3214815|Reactome: R-HSA-3214841|Reactome: R-HSA-3214842|Reactome: R-HSA-3214847|Reactome: R-HSA-3214858|Reactome: R-HSA-427359|Reactome: R-HSA-427389|Reactome: R-HSA-427413|Reactome: R-HSA-4551638|Reactome: R-HSA-5250924|Reactome: R-HSA-5334118|Reactome: R-HSA-5578749|Reactome: R-HSA-5617472|Reactome: R-HSA-5625886|Reactome: R-HSA-5693565|Reactome: R-HSA-5693571|Reactome: R-HSA-5693607|Reactome: R-HSA-606279|Reactome: R-HSA-69473|Reactome: R-HSA-73728|Reactome: R-HSA-73777|Reactome: R-HSA-8936459|Reactome: R-HSA-8939236|Reactome: R-HSA-9018519|Reactome: R-HSA-912446|Reactome: R-HSA-977225	NA	PR00623	NA	NA	NA	PS00047	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-6.8-mRNA-1	mobidb-lite	PTHR10484;PTHR10484:SF160	G3DSA:1.10.20.10	IPR019809	PF15511	GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0006352;GO:0046982	SM00417;SM00803	SSF47113	cd00076	NA	NA	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-1912408|Reactome: R-HSA-201722|Reactome: R-HSA-212300|Reactome: R-HSA-2299718|Reactome: R-HSA-2559580|Reactome: R-HSA-2559582|Reactome: R-HSA-2559586|Reactome: R-HSA-3214815|Reactome: R-HSA-3214841|Reactome: R-HSA-3214842|Reactome: R-HSA-3214847|Reactome: R-HSA-3214858|Reactome: R-HSA-427359|Reactome: R-HSA-427389|Reactome: R-HSA-427413|Reactome: R-HSA-4551638|Reactome: R-HSA-5250924|Reactome: R-HSA-5334118|Reactome: R-HSA-5578749|Reactome: R-HSA-5617472|Reactome: R-HSA-5625886|Reactome: R-HSA-5693565|Reactome: R-HSA-5693571|Reactome: R-HSA-5693607|Reactome: R-HSA-606279|Reactome: R-HSA-69473|Reactome: R-HSA-73728|Reactome: R-HSA-73777|Reactome: R-HSA-8936459|Reactome: R-HSA-8939236|Reactome: R-HSA-9018519|Reactome: R-HSA-912446|Reactome: R-HSA-977225	NA	PR00623	NA	NA	NA	PS00047	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-7.34-mRNA-1	NA	PTHR10555;PTHR10555:SF145	G3DSA:3.30.1520.10	IPR001683	PF00787	GO:0035091	SM00312	SSF64268	cd07295	PS50195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-26.36-mRNA-1	mobidb-lite	PTHR31905	NA	IPR016805	PF09774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF022603	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-9.3-mRNA-1	mobidb-lite	PTHR10015;PTHR10015:SF266	G3DSA:1.10.10.10;G3DSA:3.40.50.2300	IPR000232	PF00447;PF00072	GO:0003700;GO:0005634;GO:0006355;GO:0043565;GO:0000160;GO:0000156	SM00415;SM00448	SSF46785;SSF52172	cd00156	PS50110	NA	NA	NA	PR00056	NA	PIRSF002595	NA	PS00434	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000007.1-processed-gene-0.17-mRNA-1	mobidb-lite	PTHR43377;PTHR43377:SF3	G3DSA:3.30.360.10	IPR000683	PF01408	GO:0016491	NA	SSF55347;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-14.36-mRNA-1	mobidb-lite	PTHR11668;PTHR11668:SF24	NA	IPR006186	PF00149	GO:0016787	SM00156	SSF56300	cd07415	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	PR00114	NA	PIRSF033096	NA	PS00125	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-28.13-mRNA-1	NA	PTHR13693:SF2;PTHR13693	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	IPR004839	PF00155	GO:0009058;GO:0030170;GO:0003824	NA	SSF53383	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-14.2-mRNA-1	mobidb-lite	PTHR11177:SF228;PTHR11177	G3DSA:3.20.20.80;G3DSA:3.10.50.10	IPR001223	PF00704	GO:0005975;GO:0004553;GO:0008061	SM00636	SSF51445	NA	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA	NA	PS01095	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-29.45-mRNA-1	NA	PTHR10963:SF55;PTHR10963	G3DSA:2.60.120.200	IPR000757	PF00722	GO:0004553;GO:0005975	NA	SSF49899	cd02182	PS51762	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-16.18-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-13.36-mRNA-1	mobidb-lite	PTHR23333:SF20;PTHR23333	G3DSA:3.30.420.210;G3DSA:3.10.20.90;G3DSA:1.10.8.10	IPR012989	PF08059;PF14555;PF00789	GO:0005515	SM00553	SSF102848;SSF54236;SSF46934	cd14273	PS50033;PS51399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-25.10-mRNA-1	mobidb-lite	PTHR19306;PTHR19306:SF1	G3DSA:3.40.50.300	IPR003395	PF02463	GO:0000724;GO:0006281;GO:0007062;GO:0030915	NA	SSF52540	cd03277	NA	Coil	Reactome: R-HSA-3108214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-2.10-mRNA-1	mobidb-lite	PTHR10963:SF28;PTHR10963	G3DSA:2.60.120.200	IPR000757	PF00722	GO:0004553;GO:0005975	NA	SSF49899	NA	PS51762	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-2.1-mRNA-1	mobidb-lite	PTHR12354:SF1;PTHR12354	NA	IPR016024	PF05004	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-4.1-mRNA-1	NA	PTHR42087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-12.28-mRNA-1	mobidb-lite	PTHR42923;PTHR42923:SF9	G3DSA:3.50.50.60	IPR018554	PF09421;PF13450;PF07156	GO:0005634;GO:0005737;GO:0006355;GO:0007623;GO:0016670;GO:0030328;GO:0055114	NA	SSF51905	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-1.8-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000012.1-augustus-gene-1.12-mRNA-1	NA	PTHR42715:SF9;PTHR42715	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	IPR001764	PF00933;PF01915;PF14310	GO:0004553;GO:0005975	SM01217	SSF51445;SSF52279	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PR00133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-16.9-mRNA-1	NA	PTHR11615:SF115;PTHR11615	G3DSA:3.10.20.740;G3DSA:3.40.50.740;G3DSA:3.30.70.20	IPR000283	PF09326;PF10588;PF00384;PF13510	GO:0008137;GO:0016020;GO:0042773;GO:0055114;GO:0016491;GO:0016651;GO:0051536;GO:0009055	SM00929	SSF53706;SSF54292;SSF54862	cd00207;cd02773	PS51669;PS51085;PS51839	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	PS00641;PS00642;PS00643	NA	SignalP-TM	NA	TIGR01973	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-14.10-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-13.28-mRNA-1	NA	PTHR12265:SF0;PTHR12265	NA	IPR008547	PF05705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-3.3-mRNA-1	mobidb-lite	PTHR24078:SF519;PTHR24078	G3DSA:1.10.287.110;G3DSA:2.60.260.20	IPR001623	PF00226;PF01556	GO:0006457;GO:0051082	SM00271	SSF49493;SSF46565	cd10747;cd06257	PS50076	NA	NA	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-21.5-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-41.18-mRNA-1	mobidb-lite	PTHR20275:SF0;PTHR20275	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	IPR002504	PF01513	GO:0003951;GO:0006741;GO:0019674	NA	SSF111331	NA	NA	NA	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	NA	NA	NA	NA	MF_00361	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-8.59-mRNA-1	NA	PTHR10805:SF0;PTHR10805	G3DSA:1.25.40.10	IPR013026	PF04733	GO:0005515;GO:0005198;GO:0006890	NA	SSF48452	NA	PS50293	Coil	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	NA	PIRSF016478	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-1.18-mRNA-1	mobidb-lite	PTHR12634	NA	IPR007587	PF04499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-30.30-mRNA-1	mobidb-lite	PTHR12461:SF55;PTHR12461	G3DSA:2.60.120.650	IPR003347	PF13621	NA	SM00558	SSF51197	NA	PS51184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-46.10-mRNA-1	NA	PTHR11070;PTHR11070:SF22	G3DSA:3.40.50.300	IPR034739	PF00580	GO:0005524;GO:0003677;GO:0004003	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-21.18-mRNA-1	mobidb-lite	PTHR12300;PTHR12300:SF40	NA	IPR004345	PF03134		NA	NA	NA	NA	NA	Reactome: R-HSA-381753	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-26.37-mRNA-1	mobidb-lite	PTHR18896:SF76;PTHR18896	G3DSA:3.30.870.10	IPR016555	PF00614	GO:0004630;GO:0006654;GO:0048017;GO:0003824	SM00155	SSF56024	cd09138;cd09141	PS50035	NA	KEGG: 00564+3.1.4.4|KEGG: 00565+3.1.4.4|MetaCyc: PWY-3561|MetaCyc: PWY-7039|Reactome: R-HSA-1483148|Reactome: R-HSA-1483166|Reactome: R-HSA-2029485	NA	NA	NA	PIRSF009376	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-13.8-mRNA-1	mobidb-lite	PTHR38788	NA	IPR025676	PF14420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-4.6-mRNA-1	NA	PTHR11544;PTHR11544:SF57	G3DSA:2.40.50.140	IPR012340	PF00313	GO:0003676	SM00357	SSF50249	cd04458	NA	NA	NA	NA	PR00050	NA	PIRSF002599	NA	PS00352	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-17.0-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-2.13-mRNA-1	mobidb-lite	PTHR20883:SF15;PTHR20883	G3DSA:2.60.120.620	IPR008775	PF05721	NA	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-20.7-mRNA-1	mobidb-lite	PTHR44167	G3DSA:2.60.200.20;G3DSA:1.10.510.10	IPR000253	PF00069	GO:0005515;GO:0004672;GO:0005524;GO:0006468	SM00220;SM00240	SSF49879;SSF56112	cd00060	PS50006;PS50011	Coil	NA	NA	NA	NA	NA	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-4.4-mRNA-1	mobidb-lite	PTHR10796:SF184;PTHR10796	G3DSA:2.130.10.10	IPR036322	PF12349	GO:0005515	NA	SSF50978	NA	PS50156	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PS00678	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-34.19-mRNA-1	mobidb-lite	PTHR11685;PTHR11685:SF165	NA	IPR031127	PF01485	GO:0004842;GO:0016567	NA	SSF57850	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
