Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_43_length_162590_cov_24.556791-augustus-gene-0.57-mRNA-1	IPR010699	PF06912	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR37488;PTHR37488:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_64_length_71308_cov_26.063612-processed-gene-0.13-mRNA-1	IPR021109	PF00026;PF00012	GO:0004190;GO:0006508	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:2.40.70.10;G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:3.30.30.30;G3DSA:1.20.1270.10	cd06097;cd10230	NA	PTHR19375;PTHR19375:SF90	SSF53067;SSF50630;SSF100934	mobidb-lite	NA	PS00141	Coil	PS51767	NA	Reactome: R-HSA-3371453	NA	NA	PR00792	NA	NA	NA	NA
augustus_masked-NODE_11_length_781200_cov_24.806976-processed-gene-5.13-mRNA-1	IPR003591	NA	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	PTHR44236	SSF52075	mobidb-lite	NA	NA	NA	NA	SM00369	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_185010_cov_24.500170-augustus-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-8.9-mRNA-1	IPR000361	PF01521	GO:0005198;GO:0051536;GO:0097428	NA	NA	G3DSA:2.60.300.12	NA	NA	PTHR10072;PTHR10072:SF41	SSF89360	mobidb-lite	NA	PS01152	NA	NA	NA	Reactome: R-HSA-1362409	TIGR00049	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_160414_cov_26.333527-processed-gene-0.34-mRNA-1	IPR010237	PF13419	GO:0016787	NA	NA	G3DSA:3.40.50.1000;G3DSA:1.10.150.450	NA	NA	PTHR12725:SF76;PTHR12725	SSF56784	NA	NA	NA	NA	NA	NA	NA	TIGR01993;TIGR01509	NA	NA	NA	NA	NA	SFLDG01129;SFLDG01132
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-3.42-mRNA-1	IPR015590	PF00171	GO:0016491;GO:0055114;GO:0016620	NA	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	PTHR43720:SF1;PTHR43720	SSF53720	NA	NA	PS00070;PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-5.34-mRNA-1	IPR000225	PF00514	GO:0005515	NA	NA	G3DSA:1.25.10.10	NA	NA	PTHR23315;PTHR23315:SF226	SSF48371	NA	NA	NA	NA	PS50176	SM00185	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_501750_cov_22.809847-augustus-gene-2.10-mRNA-1	IPR009060	PF09280;PF00240;PF00627	GO:0005515;GO:0005634;GO:0006289;GO:0003684;GO:0043161	NA	NA	G3DSA:1.10.8.10;G3DSA:1.10.10.540;G3DSA:3.10.20.90	cd14281;cd01805	NA	PTHR10621:SF0;PTHR10621	SSF46934;SSF54236;SSF101238	mobidb-lite	NA	NA	NA	PS50030;PS50053	SM00213;SM00727;SM00165	Reactome: R-HSA-5689877|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	TIGR00601	NA	PR01839	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-10.43-mRNA-1	IPR036612	PF00013	GO:0003723;GO:0003676	NA	NA	G3DSA:3.30.1370.10	cd00105	NA	PTHR10288;PTHR10288:SF145	SSF54791	mobidb-lite	NA	NA	NA	PS50084	SM00322	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-2.42-mRNA-1	IPR017986	PF00400	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR19861	SSF50978	NA	NA	NA	NA	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_812477_cov_21.218138-processed-gene-1.18-mRNA-1	IPR001245	PF07714	GO:0004672;GO:0006468;GO:0005524	PIRSF000615	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd08217	NA	PTHR43671;PTHR43671:SF13	SSF56112	mobidb-lite	NA	PS00108	Coil	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_638213_cov_25.283819-augustus-gene-0.19-mRNA-1	IPR002018	PF00135	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	PTHR11559:SF356;PTHR11559	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_64_length_71308_cov_26.063612-processed-gene-0.14-mRNA-1	IPR008979	PF03256	GO:0005680;GO:0031145	NA	NA	G3DSA:2.60.120.260	cd08366	NA	PTHR12936	SSF49785	mobidb-lite	NA	NA	Coil	PS51284	SM01337	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-4.7-mRNA-1	IPR006680	PF04909	GO:0016787;GO:0016831	NA	NA	G3DSA:3.20.20.140	NA	NA	PTHR21240:SF1;PTHR21240	SSF51556	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-2.17-mRNA-1	IPR006157	PF02152	GO:0004150;GO:0006760	NA	NA	G3DSA:3.30.1130.10	NA	NA	NA	SSF55620	NA	NA	NA	NA	NA	SM00905	KEGG: 00790+4.1.2.25|MetaCyc: PWY-6147|MetaCyc: PWY-6148|MetaCyc: PWY-6797|MetaCyc: PWY-7539	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-9.30-mRNA-1	IPR029063	PF13649	NA	NA	NA	G3DSA:3.40.50.150	cd02440	NA	PTHR35897	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-4.33-mRNA-1	IPR001948	PF02127	GO:0004177;GO:0006508;GO:0008270	NA	NA	G3DSA:3.40.630.10;G3DSA:2.30.250.10	cd05658	NA	PTHR28570;PTHR28570:SF4	SSF101821;SSF53187	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00932	NA	NA	NA	NA
augustus_masked-NODE_21_length_530558_cov_24.609851-processed-gene-4.25-mRNA-1	IPR011701	PF07690	GO:0016021;GO:0055085	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	cd06174	TMhelix	PTHR23504:SF8;PTHR23504	SSF103473	mobidb-lite	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-6.41-mRNA-1	IPR013906	PF08597	GO:0003743;GO:0005737;GO:0005852	NA	NA	G3DSA:1.10.246.60	NA	NA	PTHR21681	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	MF_03009	NA	NA	NA
augustus_masked-NODE_11_length_781200_cov_24.806976-processed-gene-3.23-mRNA-1	IPR007012	PF04928;PF04926;PF01909	GO:0004652;GO:0043631;GO:0003723;GO:0016779;GO:0031123;GO:0005634	PIRSF018425	NA	G3DSA:3.30.460.10;G3DSA:3.30.70.590;G3DSA:1.10.1410.10	cd05402	NA	PTHR10682:SF10;PTHR10682	SSF55003;SSF81301;SSF81631	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-4.41-mRNA-1	NA	PF05205	NA	NA	NA	NA	NA	NA	PTHR28034	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-5.7-mRNA-1	IPR011990	PF05843	GO:0005515;GO:0006396;GO:0005634;GO:0006397	NA	NA	G3DSA:1.25.40.10;G3DSA:1.25.40.1040	NA	NA	PTHR19980	SSF48452	mobidb-lite	NA	NA	NA	NA	SM00386	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_714536_cov_25.462417-processed-gene-6.22-mRNA-1	NA	NA	NA	NA	NA	G3DSA:1.20.120.20	NA	NA	PTHR23241;PTHR23241:SF65	SSF58113	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_260573_cov_26.882064-processed-gene-0.16-mRNA-1	IPR005178	PF03619	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR23423:SF10;PTHR23423	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_437981_cov_25.163338-augustus-gene-1.7-mRNA-1	IPR001737	PF00398	GO:0000154;GO:0000179;GO:0008649;GO:0006364	NA	NA	G3DSA:1.10.8.480;G3DSA:3.40.50.150	cd02440	NA	PTHR11727;PTHR11727:SF7	SSF53335	mobidb-lite	NA	NA	NA	PS51689	SM00650	NA	TIGR00755	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-6.36-mRNA-1	IPR038697	PF16010	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:2.60.40.1210	cd08760;cd09630	TMhelix	PTHR23130;PTHR23130:SF115	SSF49344	mobidb-lite	SignalP-noTM	NA	NA	NA	SM00665	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_60_length_79216_cov_25.596442-processed-gene-0.28-mRNA-1	IPR016181	PF00583	GO:0004343;GO:0006048	NA	NA	NA	cd04301	NA	PTHR13355:SF8;PTHR13355	SSF55729	NA	NA	NA	NA	PS51186	NA	Reactome: R-HSA-446210	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-2.36-mRNA-1	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-0.21-mRNA-1	IPR012952	PF08149;PF00400	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR14085	SSF50978	NA	NA	PS00678	Coil	PS50082;PS50294	SM01033;SM00320	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	PD023243	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-13.21-mRNA-1	IPR010233	PF13489	GO:0006744;GO:0008425	NA	NA	G3DSA:3.40.50.150	cd02440	NA	PTHR43464:SF14;PTHR43464	SSF53335	NA	NA	NA	NA	NA	NA	KEGG: 00130+2.1.1.222+2.1.1.64|MetaCyc: PWY-5855|MetaCyc: PWY-5856|MetaCyc: PWY-5857|MetaCyc: PWY-5870|MetaCyc: PWY-5871|MetaCyc: PWY-5872|MetaCyc: PWY-5873|MetaCyc: PWY-6708|MetaCyc: PWY-7230|MetaCyc: PWY-7233|Reactome: R-HSA-2142789	TIGR01983	NA	NA	MF_00472	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-4.18-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR42047	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_551714_cov_24.697123-augustus-gene-1.39-mRNA-1	IPR008576	PF05891	GO:0006480;GO:0008168	PIRSF016958	NA	G3DSA:3.40.50.150	cd02440	NA	PTHR12753;PTHR12753:SF0	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_392061_cov_26.495191-processed-gene-2.19-mRNA-1	IPR011992	PF00485;PF00036;PF14681;PF07992	GO:0005524;GO:0016301;GO:0009116;GO:0005509;GO:0016491;GO:0055114	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.50.300;G3DSA:3.50.50.100;G3DSA:3.40.50.2020	cd06223;cd02023;cd00051	NA	PTHR43706;PTHR43706:SF2	SSF47473;SSF53271;SSF51905;SSF52540	NA	NA	PS00018	NA	PS50222	SM00054	Reactome: R-HSA-73614	NA	NA	PR00988	NA	NA	NA	NA
maker-NODE_8_length_926964_cov_22.211756-augustus-gene-1.2-mRNA-1	IPR005651	PF03966	GO:0046982	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	G3DSA:2.20.25.10	NA	NA	PTHR12773	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156581|Reactome: R-HSA-6782315|Reactome: R-HSA-6790901|Reactome: R-HSA-72764	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_213953_cov_24.926057-processed-gene-1.14-mRNA-1	IPR029058	PF12697	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	PTHR43039;PTHR43039:SF3	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-2.14-mRNA-1	IPR038886	NA		NA	NA	NA	NA	NA	PTHR28042	NA	mobidb-lite	NA	NA	NA	NA	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-7.8-mRNA-1	IPR029044	PF00535	GO:0016740	NA	NA	G3DSA:3.90.550.10	cd06442	NA	PTHR43398	SSF53448	NA	NA	NA	NA	NA	NA	KEGG: 00510+2.4.1.83|MetaCyc: PWY-7661|MetaCyc: PWY-7921|MetaCyc: PWY-7922|MetaCyc: PWY-7979|Reactome: R-HSA-162699|Reactome: R-HSA-4717374	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_67783_cov_22.944262-augustus-gene-0.2-mRNA-1	IPR011022	PF02752	NA	NA	NA	NA	NA	NA	PTHR36419	NA	mobidb-lite	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-4.13-mRNA-1	IPR002684	PF04055;PF06968	GO:0004076;GO:0009102;GO:0003824;GO:0051536	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	G3DSA:3.20.20.70	cd01335	NA	PTHR22976	SSF102114	mobidb-lite	NA	NA	NA	NA	SM00729;SM00876	KEGG: 00780+2.8.1.6|MetaCyc: PWY-7380	TIGR00433	SignalP-TM	NA	MF_01694	NA	NA	SFLDG01060;SFLDF00272
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-3.31-mRNA-1	IPR036291	PF01118;PF02774	GO:0016620;GO:0051287;GO:0055114;GO:0008652;GO:0046983	PIRSF000148	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	PTHR10174:SF2;PTHR10174	SSF51735;SSF55347	NA	NA	NA	NA	NA	SM00859	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-8.27-mRNA-1	IPR018256	PF01294	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	NA	NA	PTHR11722:SF0;PTHR11722	NA	mobidb-lite	NA	PS01104	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	MF_00499	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-16.51-mRNA-1	IPR028877	PF01775	GO:0003735;GO:0005840;GO:0006412	PIRSF002190	NA	G3DSA:3.10.20.10	NA	NA	PTHR10052;PTHR10052:SF1	SSF160374	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	MF_00273	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-5.35-mRNA-1	IPR036788	PF00707	GO:0006413;GO:0003743	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.30.110.10	NA	NA	PTHR10938:SF0;PTHR10938	SSF55200	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-2.16-mRNA-1	IPR029069	PF13279	NA	NA	NA	G3DSA:3.10.129.10	cd00586	NA	PTHR31793;PTHR31793:SF20	SSF54637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_71_length_40836_cov_26.114913-processed-gene-0.12-mRNA-1	IPR037651	NA	GO:0000812;GO:0006338;GO:0043486	NA	NA	NA	NA	NA	PTHR28108	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_1133640_cov_24.555234-processed-gene-1.25-mRNA-1	IPR000086	PF00293	GO:0016787	NA	NA	NA	cd03426	NA	PTHR12992:SF0;PTHR12992	SSF55811	mobidb-lite	NA	NA	NA	PS51462	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-0.24-mRNA-1	IPR017144	NA	NA	PIRSF037226	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.30.70.360;G3DSA:3.40.630.10	cd05672	NA	PTHR30575:SF4;PTHR30575	SSF53187;SSF55031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_714536_cov_25.462417-processed-gene-3.31-mRNA-1	IPR037737	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR36819	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_981326_cov_21.713968-augustus-gene-4.6-mRNA-1	IPR001128	PF00067;PF00258;PF00175;PF00667	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0010181;GO:0003958;GO:0070330;GO:0016491	PIRSF000209	NA	G3DSA:2.40.30.10;G3DSA:1.10.630.10;G3DSA:3.40.50.80;G3DSA:3.40.50.360;G3DSA:1.20.990.10	cd06206	NA	PTHR19384;PTHR19384:SF92	SSF48264;SSF52218;SSF52343;SSF63380	NA	NA	PS00086	NA	PS50902;PS51384	NA	KEGG: 00071+1.14.14.1|KEGG: 00140+1.14.14.1|KEGG: 00232+1.14.14.1|KEGG: 00380+1.14.14.1|KEGG: 00590+1.14.14.1|KEGG: 00591+1.14.14.1|KEGG: 00627+1.14.14.1|KEGG: 00830+1.14.14.1|KEGG: 00980+1.14.14.1|KEGG: 00982+1.14.14.1|MetaCyc: PWY-5451|MetaCyc: PWY-5665|MetaCyc: PWY-6398|MetaCyc: PWY-6992|MetaCyc: PWY-7466|MetaCyc: PWY-7826	NA	NA	PR00385;PR00463	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-8.32-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_299613_cov_22.944428-augustus-gene-1.73-mRNA-1	IPR004908	PF03224;PF11698	GO:0000221;GO:0015991;GO:0046961	PIRSF032184	NA	G3DSA:1.25.10.10;G3DSA:1.25.40.150	NA	NA	PTHR10698	SSF48371	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_160414_cov_26.333527-augustus-gene-0.3-mRNA-1	IPR021858	PF11951	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	PTHR31263	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_384920_cov_25.747976-augustus-gene-2.81-mRNA-1	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	mobidb-lite	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-6.12-mRNA-1	IPR040456	PF17745;PF09468	GO:0032299	NA	NA	NA	cd09270	NA	PTHR13383	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_596300_cov_26.438574-augustus-gene-4.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_563110_cov_24.829048-augustus-gene-3.23-mRNA-1	IPR010516	PF06487		NA	NA	G3DSA:3.10.20.550	NA	NA	PTHR13082	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-3214815|Reactome: R-HSA-427413	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_110192_cov_27.060664-processed-gene-0.20-mRNA-1	IPR004843	PF00149	GO:0016787	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	cd07383	NA	PTHR32440;PTHR32440:SF11	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-5.6-mRNA-1	IPR003100	PF02170;PF16486;PF16488;PF08699;PF02171	GO:0005515;GO:0003676	NA	NA	G3DSA:3.30.420.10;G3DSA:3.40.50.2300;G3DSA:2.170.260.10	cd02846;cd04657	NA	PTHR22891:SF61;PTHR22891	SSF53098;SSF101690	mobidb-lite	NA	NA	NA	PS50822;PS50821	SM00949;SM00950;SM01163	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_145751_cov_26.300624-processed-gene-0.53-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-5.21-mRNA-1	IPR000795	PF00009	GO:0003924;GO:0005525	NA	NA	NA	NA	NA	PTHR43261:SF4;PTHR43261	SSF52540	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_530558_cov_24.609851-processed-gene-4.24-mRNA-1	IPR008333	PF00970;PF00175	GO:0016491;GO:0055114	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.80;G3DSA:2.40.30.10	cd06183	NA	PTHR19370;PTHR19370:SF174	SSF63380;SSF52343	NA	NA	NA	NA	PS51384	NA	Reactome: R-HSA-1237044	NA	NA	PR00371;PR00406	NA	NA	NA	NA
augustus_masked-NODE_19_length_537329_cov_23.536180-processed-gene-2.19-mRNA-1	IPR001173	PF00535		NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	cd04188	TMhelix	PTHR10859;PTHR10859:SF91	SSF53448	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-913709	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_714536_cov_25.462417-augustus-gene-4.2-mRNA-1	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
