Gene	interpro	GO	Gene3D	MobiDBLite	Pfam	PANTHER	ProSitePatterns	SMART	SUPERFAMILY	ProSiteProfiles	PRINTS	CDD	PATHWAY	TIGRFAM	Hamap	PIRSF	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	ProDom
PTB72518.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
PTB75376.1	IPR035979	GO:0003676	G3DSA:3.30.70.330	mobidb-lite	PF00076	PTHR44160:SF3;PTHR44160	NA	SM00361;SM00360	SSF54928	PS50102	NA	cd12619;cd12614;cd12622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80494.1	IPR002889	GO:0004553;GO:0005975	G3DSA:2.60.120.200	mobidb-lite	PF00722;PF01822	PTHR10963;PTHR10963:SF54	NA	SM00321	SSF49899	PS51762;PS51212	NA	cd02181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73653.1	NA	NA	NA	mobidb-lite	NA	PTHR12610:SF12;PTHR12610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75118.1	IPR020846	GO:0016021;GO:0022857;GO:0055085	G3DSA:1.20.1250.20	NA	PF00083	PTHR23500;PTHR23500:SF349	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA
PTB78257.1	IPR036869	NA	G3DSA:1.10.287.110	mobidb-lite	PF00226	PTHR44145	NA	SM00271	SSF46565	PS50076	PR00625	cd06257	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB71998.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	G3DSA:1.10.510.10;G3DSA:3.30.200.20	mobidb-lite	PF00069	PTHR24353:SF83;PTHR24353	PS00108;PS00107	SM00133;SM00220	SSF56112	PS51285;PS50011	NA	cd05580	NA	NA	NA	PIRSF000654	NA	NA	NA	NA	NA	NA	NA	NA
PTB71576.1	IPR018204	GO:0004834;GO:0006568;GO:0003824;GO:0000162	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	NA	PF00291;PF00290	PTHR42882	PS00167;PS00168	NA	SSF53686;SSF51366	NA	NA	cd04724;cd06446	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	TIGR00262;TIGR00263	MF_00131;MF_00133	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80137.1	IPR002994	GO:0016020	NA	mobidb-lite	PF02104	PTHR23427;PTHR23427:SF2	NA	NA	NA	PS50895	NA	cd06662	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	SignalP-TM	NA	NA
PTB77883.1	IPR000953	GO:0005634	G3DSA:2.40.50.40	mobidb-lite	PF00385;PF01393	PTHR22812:SF137;PTHR22812	PS00598	SM00300	SSF54160	PS50013	NA	cd00024	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	Coil	NA
PTB78707.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB79820.1	IPR000845	GO:0003824;GO:0009116;GO:0043531;GO:0005515	G3DSA:3.40.50.300;G3DSA:1.25.40.10	NA	PF13374;PF01048;PF00931;PF13424	PTHR21234;PTHR21234:SF16	NA	NA	SSF48452;SSF52540;SSF53167	NA	NA	NA	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77350.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	NA	PF00172;PF11951	PTHR36206	PS00463	SM00066	SSF57701	PS50048	NA	cd00067	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB71105.1	IPR000757	GO:0004553;GO:0005975	G3DSA:2.60.120.200	mobidb-lite	PF00722	PTHR10963;PTHR10963:SF53	NA	NA	SSF49899	PS51762	NA	cd08023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77483.1	IPR016655	GO:0006457;GO:0016272	G3DSA:1.10.287.370	mobidb-lite	PF02996	PTHR12409	NA	NA	SSF46579	NA	NA	cd00584	Reactome: R-HSA-389957	NA	NA	PIRSF016396	NA	NA	NA	NA	NA	NA	Coil	NA
PTB74386.1	IPR014780	GO:0001522;GO:0003723;GO:0009451;GO:0009982;GO:0006396	G3DSA:3.30.2350.10	mobidb-lite	PF01509	PTHR13767	NA	NA	SSF55120	NA	NA	cd02867	NA	NA	MF_01080	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB74189.1	IPR002317	GO:0000166;GO:0004828;GO:0005524;GO:0006434;GO:0004812;GO:0006418	G3DSA:1.10.287.40;G3DSA:3.30.930.10	mobidb-lite	PF02403;PF00587	PTHR11778;PTHR11778:SF0	NA	NA	SSF55681;SSF46589	PS50862	PR00981	NA	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	TIGR00414	NA	PIRSF001529	NA	NA	NA	NA	NA	NA	Coil	NA
PTB74000.1	IPR036188	GO:0004502;GO:0006569;GO:0019805;GO:0071949	G3DSA:3.50.50.60	NA	PF01494	PTHR13789;PTHR13789:SF205	NA	NA	SSF51905	NA	PR00420	NA	KEGG: 00380+1.14.13.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7765|Reactome: R-HSA-71240	NA	MF_01971	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB80108.1	IPR021109	GO:0004190;GO:0006508	G3DSA:2.40.70.10	mobidb-lite	PF00026	PTHR13683:SF326;PTHR13683	PS00141	NA	SSF50630	PS51767	PR00792	cd05474	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	NA	SignalP-noTM	NA	NA	NA
PTB78137.1	IPR000690	GO:0003676;GO:0005634;GO:0008270	G3DSA:2.60.40.2690	mobidb-lite	PF16835;PF12874	PTHR23205	NA	SM00451;SM01050	SSF57667	PS50171	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80843.1	IPR037996	GO:0035267	G3DSA:3.30.40.10	mobidb-lite	PF12998	PTHR10333;PTHR10333:SF88	PS01359	SM00249;SM01408	SSF57903	PS50016	NA	cd15505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72225.1	IPR000182	GO:0003824;GO:0051536	G3DSA:3.40.630.30;G3DSA:3.80.30.20	NA	PF00583;PF16199;PF04055	PTHR11135;PTHR11135:SF0	NA	SM00729	SSF55729;SSF102114	PS51186	NA	cd01335	Reactome: R-HSA-3214847	TIGR01211	NA	PIRSF005669	NA	NA	NA	SFLDF00344;SFLDG01086	NA	NA	NA	NA
PTB72796.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB78426.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB72890.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71253.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB74052.1	IPR004276	GO:0005975;GO:0016758;GO:0030259	G3DSA:3.40.50.2000	mobidb-lite	PF03033	PTHR11926:SF704;PTHR11926	NA	SM00726	SSF53756	PS50330	NA	cd03784	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75379.1	IPR023395	GO:0022857	G3DSA:1.50.40.10	NA	PF00153	PTHR24089:SF95;PTHR24089	NA	NA	SSF103506	PS50920	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA
PTB71499.1	IPR014710	GO:0045735;GO:0033609	G3DSA:2.60.120.10	NA	PF00190	PTHR31238:SF37;PTHR31238	NA	SM00835	SSF51182	NA	NA	NA	KEGG: 00630+4.1.1.2|MetaCyc: PWY-6698	TIGR03404	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB78239.1	IPR000245	GO:0015078;GO:0015991;GO:0033179;GO:0033177	G3DSA:1.20.120.610	NA	PF00137	PTHR10263;PTHR10263:SF5	NA	NA	SSF81333	NA	PR00122	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	TIGR01100	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79292.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75077.1	IPR021709	NA	NA	mobidb-lite	PF11696	PTHR38694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB80539.1	IPR001781	GO:0007165	G3DSA:2.10.110.10;G3DSA:1.10.555.10	mobidb-lite	PF00412;PF00620	PTHR23176;PTHR23176:SF100	NA	SM00132;SM00324	SSF48350	PS50023;PS50238	NA	cd09395;cd00159	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80385.1	IPR001650	GO:0003676;GO:0005524	G3DSA:3.40.50.300	mobidb-lite	PF00271;PF13959;PF00270	PTHR24031:SF89;PTHR24031	NA	SM01178;SM00490;SM00487	SSF52540	PS51194;PS51192;PS51195	NA	cd00079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75210.1	IPR015943	GO:0005515	G3DSA:2.130.10.10	mobidb-lite	NA	PTHR14085	NA	NA	SSF50978	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71208.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB81277.1	IPR015943	GO:0005515	G3DSA:2.130.10.10	mobidb-lite	PF00400;PF11715	PTHR14091;PTHR14091:SF0	PS00678	SM00320	SSF50978	PS50082;PS50294	PR00320	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	Coil	NA
PTB74567.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79551.1	IPR039781	GO:0007062;GO:0008278;GO:0005515	G3DSA:1.10.10.580	mobidb-lite	PF04825;PF04824	PTHR12585:SF29;PTHR12585	NA	NA	SSF46785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77623.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	G3DSA:1.10.630.10	NA	PF00067	PTHR24279;PTHR24279:SF111	NA	NA	SSF48264	NA	PR00465	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB72072.1	IPR028098	GO:0004378;GO:0006486	G3DSA:3.40.50.2000	NA	PF13439;PF00534	PTHR12526:SF463;PTHR12526	NA	NA	SSF53756	NA	NA	cd03805	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB75116.1	IPR002347	NA	G3DSA:3.40.50.720	NA	PF00106	PTHR43976;PTHR43976:SF12	NA	NA	SSF51735	NA	PR00081;PR00080	cd05374	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB79010.1	IPR006674	NA	G3DSA:1.10.3210.50	NA	PF01966	PTHR33594	NA	SM00471	SSF109604	NA	NA	cd00077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79746.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB77703.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	PF00069	PTHR24056;PTHR24056:SF185	PS00107;PS00108	SM00220	SSF56112	PS50011	NA	cd07835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76818.1	IPR036553	GO:0003824;GO:0006396;GO:0003963	G3DSA:3.30.360.20;G3DSA:3.65.10.20	NA	PF01137	PTHR11096;PTHR11096:SF0	NA	NA	SSF55205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77481.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA
PTB72674.1	IPR011045	GO:0005515	G3DSA:2.130.10.10	NA	PF10282	PTHR13833;PTHR13833:SF70	NA	NA	SSF50974	NA	NA	NA	Reactome: R-HSA-114608	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	NA	SignalP-noTM	NA	NA	NA
PTB73410.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78658.1	IPR036865	NA	G3DSA:3.40.525.10	mobidb-lite	PF00650;PF03765	PTHR10174:SF162;PTHR10174	NA	SM00516;SM01100	SSF46938;SSF52087	PS50191	NA	cd00170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB72111.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	NA	PF00172	PTHR31845:SF5;PTHR31845	NA	SM00066	SSF57701	PS50048	NA	cd14688;cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71769.1	IPR036962	GO:0004553;GO:0005975	G3DSA:3.20.20.300;G3DSA:2.60.40.10;G3DSA:3.40.50.1700	NA	PF01915;PF00933;PF14310	PTHR42721;PTHR42721:SF3	NA	SM01217	SSF51445;SSF52279	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB74109.1	IPR013780	GO:0003844;GO:0005978;GO:0003824;GO:0005975;GO:0004553;GO:0043169	G3DSA:3.20.20.80;G3DSA:2.60.40.1180;G3DSA:2.60.40.10	NA	PF02922;PF00128;PF02806	PTHR43651	NA	SM00642	SSF51011;SSF51445;SSF81296	NA	NA	cd02854;cd11321	KEGG: 00500+2.4.1.18|MetaCyc: PWY-5067|MetaCyc: PWY-622|MetaCyc: PWY-7900|Reactome: R-HSA-3322077|Reactome: R-HSA-3878781	NA	NA	PIRSF000463	NA	NA	NA	NA	NA	NA	NA	NA
PTB78867.1	IPR029044	NA	G3DSA:3.90.550.10	NA	PF13641	PTHR43867;PTHR43867:SF2	NA	NA	SSF53448	NA	NA	cd06421	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA
PTB73715.1	NA	NA	NA	mobidb-lite	NA	PTHR36460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80312.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB75204.1	NA	NA	NA	mobidb-lite	NA	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB81885.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81322.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80298.1	IPR004000	GO:0006338;GO:0016514;GO:0016586	G3DSA:3.90.640.60;G3DSA:3.30.420.40	mobidb-lite	PF00022	PTHR11937:SF231;PTHR11937	NA	SM00268	SSF53067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73016.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB77027.1	IPR029021	GO:0008138;GO:0016311;GO:0004725	NA	mobidb-lite	PF00782	PTHR12305:SF32;PTHR12305	PS00383	SM00404	SSF52799	PS51181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71244.1	IPR011992	GO:0005515;GO:0051015;GO:0051017	G3DSA:1.10.418.10;G3DSA:1.10.238.10	mobidb-lite	PF00307	PTHR19961:SF18;PTHR19961	PS00020;PS00018	SM00033	SSF47473;SSF47576	PS50021	NA	cd00014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73684.1	IPR007718	GO:0005730	NA	mobidb-lite	PF05022	PTHR23216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76789.1	IPR001202	GO:0005515	G3DSA:2.20.70.10	mobidb-lite	PF00397	PTHR23181:SF19;PTHR23181	NA	SM00456	SSF51045	PS50020	NA	cd00201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71947.1	IPR001222	GO:0003676;GO:0006351;GO:0008270;GO:0042779	G3DSA:2.20.25.10	NA	PF01096;PF02150	PTHR11239:SF12;PTHR11239	NA	SM00440;SM00661	SSF57783	PS51133	NA	cd10509	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	PIRSF005586	NA	NA	NA	NA	NA	NA	NA	NA
PTB73836.1	IPR001680	GO:0005515;GO:0006974	G3DSA:2.130.10.10	mobidb-lite	PF00400	PTHR14773;PTHR14773:SF0	PS00678	SM00320	SSF50978	PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73691.1	IPR002347	GO:0016491	G3DSA:3.40.50.720	NA	PF00106	PTHR44169;PTHR44169:SF2	PS00061	NA	SSF51735	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB76800.1	IPR020164	GO:0031966	NA	NA	PF14138	PTHR17130	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	PD076120
PTB77317.1	IPR021133	GO:0005515;GO:0044877;GO:0016301;GO:0004674	G3DSA:1.25.10.10;G3DSA:1.10.1070.11;G3DSA:3.30.1010.10;G3DSA:1.20.120.150	mobidb-lite	PF02260;PF00454;PF08771;PF02259;PF11865;PF02985	PTHR11139;PTHR11139:SF9	PS00915	SM01345;SM01343;SM01346;SM00146	SSF48371;SSF56112;SSF47212	PS50077;PS51190;PS51189;PS50290	NA	cd05169	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75256.1	IPR038656	GO:0004190;GO:0006508	G3DSA:2.60.120.700	mobidb-lite	PF01828	PTHR37536	NA	NA	SSF49899	NA	PR00977	cd13426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76456.1	IPR006603	NA	G3DSA:1.20.1280.290	mobidb-lite	PF04193	PTHR16201;PTHR16201:SF11	NA	SM00679	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB71286.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80937.1	IPR013947	GO:0003712;GO:0006357;GO:0016592	NA	NA	PF08638	PTHR12809	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75473.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB74872.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
PTB73034.1	IPR002885	GO:0005515	G3DSA:1.25.40.10	NA	NA	PTHR44149	NA	NA	NA	PS51375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80908.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA
PTB74631.1	IPR003323	NA	G3DSA:3.90.70.80	mobidb-lite	PF02338	PTHR12419;PTHR12419:SF10	NA	NA	SSF54001	PS50802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB73334.1	IPR002220	GO:0016829;GO:0016787	G3DSA:3.20.20.140	NA	PF00701;PF04909	PTHR43569;PTHR43569:SF2	NA	NA	SSF51569;SSF51556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72007.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	Coil	NA
