1433_CANAL,SIMILARITY: Belongs to the 14-3-3 family.
D3JN06_9PEZI,Unknown
D3JN07_9PEZI,Unknown
D3JN09_9PEZI,Unknown
D3JN16_9PEZI,Unknown
D3JN24_9PEZI,Unknown
D3JN55_9PEZI,Unknown
D3JN56_9PEZI,Unknown
D3JN58_9PEZI,Unknown
D3JN59_9PEZI,Unknown
D3JV67_AJECA,Unknown
D3YIG6_SPOSC,Unknown
D4AUT8_ARTBC,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
D5KLB3_CERBT,Unknown
D5KLB4_CERNC,Unknown
D5KLB5_9PEZI,Unknown
D5KLB6_9PEZI,Unknown
D8Q0V9_SCHCM,Unknown
D8Q4J7_SCHCM,Unknown
D8Q589_SCHCM,Unknown
D8Q5H9_SCHCM,Unknown
D8Q5Q7_SCHCM,Unknown
D8QB82_SCHCM,Unknown
D8QBU9_SCHCM,Unknown
D8QBX8_SCHCM,Unknown
D8QG72_SCHCM,Unknown
D8QLT4_SCHCM,Unknown
DHH1_CRYNV,FUNCTION: ATP-dependent RNA helicase involved in mRNA turnover, and more specifically in mRNA decapping. Is involved in G1/S DNA- damage checkpoint recovery, probably through the regulation of the translational status of a subset of mRNAs. May also have a role in translation and mRNA nuclear export (By similarity). Is involved in virulence.
DNLI4_CANAL,FUNCTION: Involved in ds DNA break (DSB) repair. Has a role in non-homologous integration (NHI) pathways where it is required in the final step of non-homologus end-joining (NHEJ). Not required for the repair of DSBs induced by ionizing radiation or UV light. Has a important role in morphogenesis, positively affecting the capacity to form hyphae.
DPP4_ARTBC,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).
DPP4_ARTOC,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).
DPP4_ARTOT,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity.
DPP4_ASPFC,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity.
DPP4_ASPFU,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).
DPP4_TRIEQ,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).
DPP4_TRIRU,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity.
DPP4_TRITO,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).
DPP4_TRIVH,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Contributes to pathogenicity (By similarity).
DPP5_ARTBC,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
DPP5_ARTOC,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
DPP5_ARTOT,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
DPP5_TRIEQ,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
DPP5_TRIRU,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
DPP5_TRITO,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
DPP5_TRIVH,FUNCTION: Extracellular dipeptidyl-peptidase which removes N- terminal dipeptides sequentially from polypeptides having unsubstituted N-termini. Contributes to pathogenicity (By similarity).
E2GKZ3_CANGB,Unknown
E2GKZ4_CANGB,Unknown
E2LIH0_MONPE,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
E2LS20_MONPE,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
E2LZU7_MONPE,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
E3QTD2_COLGM,Unknown
E3R143_COLGM,Unknown
E3RCD1_PYRTT,Unknown
E9DRF6_METAQ,Unknown
E9DSF7_METAQ,Unknown
E9DY48_METAQ,Unknown
E9E2K6_METAQ,Unknown
E9E2K7_METAQ,Unknown
E9E2K8_METAQ,Unknown
E9EAW0_METAQ,Unknown
E9ECT4_METAQ,Unknown
E9EE21_METAQ,Unknown
E9EET0_METAQ,Unknown
E9EFS7_METAQ,Unknown
E9EFZ4_METAQ,Unknown
E9EHW3_METAQ,Unknown
E9EIC9_METAQ,Unknown
E9EJ41_METAR,Unknown
E9EJV1_METAR,Unknown
E9EK97_METAR,Unknown
E9ELF5_METAR,Unknown
E9EM29_METAR,Unknown
E9EN83_METAR,Unknown
E9ESU0_METAR,Unknown
E9ETX3_METAR,Unknown
E9F1F7_METAR,Unknown
E9F372_METAR,Unknown
E9F3K2_METAR,Unknown
E9F764_METAR,Unknown
E9F8U4_METAR,Unknown
E9F9I4_METAR,Unknown
E9F9I5_METAR,Unknown
E9F9I6_METAR,Unknown
E9FAE3_METAR,Unknown
E9FB53_METAR,Unknown
E9FBF0_METAR,Unknown
E9FCT7_METAR,Unknown
E9FCZ4_METAR,Unknown
E9FD36_METAR,Unknown
E9FDK8_METAR,Unknown
E9FDM2_METAR,Unknown
E9P8N4_YEASX,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
E9R5E2_ASPFU,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
ECM14_ARTOC,FUNCTION: Probable carboxypeptidase that may be involved in cell wall organization and biogenesis (By similarity).
EIF3G_COCIM,FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. This subunit can bind 18S rRNA (By similarity).
ELI1_PYTOL,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane (By similarity).
ELI1_PYTVE,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane (By similarity).
ELI2_PYTOL,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane (By similarity).
ELI2_PYTVE,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane (By similarity).
ELIA_PHYME,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane.
ELIA_PHYSY,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane.
ELIB_PHYCI,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane. Elicitins are able to load, carry, and transfer sterols between membranes.
ELIB_PHYME,FUNCTION: Induces local and distal defense responses (incompatible hypersensitive reaction) in plants from the solanaceae and cruciferae families. Elicits leaf necrosis and causes the accumulation of pathogenesis-related proteins. Might interact with the lipidic molecules of the plasma membrane.
ELM_ASPFU,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates and probably acts as a virulence factor (By similarity). Catalyzes the hydrolysis of elastin.
ERG2_USTMA,FUNCTION: Catalyzes the reaction which results in unsaturation at C-7 in the B ring of sterols.
F0UHM3_AJEC8,Unknown
F0X719_GROCL,Unknown
F0X720_GROCL,Unknown
F2QLB5_PICP7,Unknown
F2QLQ3_PICP7,Unknown
F2QNI1_PICP7,Unknown
F2QP58_PICP7,Unknown
F2QP90_PICP7,Unknown
F2QPW6_PICP7,Unknown
F2QQR4_PICP7,CATALYTIC ACTIVITY: CTP + phosphatidate = diphosphate + CDP- diacylglycerol.
F2QQX0_PICP7,SIMILARITY: Contains 1 PH domain.
F2QRC5_PICP7,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
F2QRL6_PICP7,Unknown
F2QRR7_PICP7,SIMILARITY: Contains 1 PpiC domain.
F2QSG4_PICP7,Unknown
F2QT01_PICP7,Unknown
F2QTQ4_PICP7,Unknown
F2QU09_PICP7,Unknown
F2QU35_PICP7,COFACTOR: Iron (By similarity).
F2QUE7_PICP7,Unknown
F2QUN0_PICP7,Unknown
F2QUN7_PICP7,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
F2QVD9_PICP7,CATALYTIC ACTIVITY: D-erythro-1-(imidazol-4-yl)glycerol 3- phosphate = 3-(imidazol-4-yl)-2-oxopropyl phosphate + H(2)O.
F2QVG2_PICP7,Unknown
F2QVP7_PICP7,Unknown
F2QW56_PICP7,Unknown
F2QWJ6_PICP7,Unknown
F2QWL8_PICP7,Unknown
F2QX13_PICP7,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
F2QX35_PICP7,Unknown
F2QX91_PICP7,Unknown
F2QXA8_PICP7,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
F2QXE1_PICP7,Unknown
F2QXJ4_PICP7,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
F2QYD1_PICP7,SIMILARITY: Belongs to the DEAD box helicase family.
F2QZK0_PICP7,SIMILARITY: Belongs to the eukaryotic-type primase small subunit family.
F2QZS1_PICP7,COFACTOR: Iron (By similarity).
F2QZT0_PICP7,Unknown
F2QZW6_PICP7,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
F2R001_PICP7,Unknown
F2R086_PICP7,Unknown
F2R0D0_PICP7,Unknown
F2T959_AJEDA,Unknown
F2TJX3_AJEDA,Unknown
F2VWT6_COLGL,Unknown
F2Z6H2_CANGB,SIMILARITY: Contains 1 SAM (sterile alpha motif) domain.
F4YXH8_CLALS,Unknown
F4YXH9_PICGM,Unknown
F5A663_9PEZI,Unknown
F5HAA8_CRYNB,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
F5HEZ0_CRYNB,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
F6K8L5_CRYNV,Unknown
F6K8L6_CRYNV,Unknown
FUZ7_USTMA,FUNCTION: Protein kinase that is necessary for a-locus-dependent processes, such as conjugation tube formation, filament formation, and maintenance of filamentous growth, and for a-locus-independent processes, such as tumor induction and teliospore germination.
GBB_CRYPA,FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein- effector interaction.
GEL1_ASPFU,FUNCTION: Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall. Involved in cell wall morphogenesis (By similarity).
GEL3_ASPFU,FUNCTION: Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall. Involved in cell wall morphogenesis (By similarity).
GPA1_USTMA,FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems.
GPA2_USTMA,FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems.
GPA3_USTMA,FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. GPA3 plays an active role in transmission of the pheromone signal.
GPA4_USTMA,FUNCTION: Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems.
HEM3_CANAL,FUNCTION: Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps (By similarity).
HOG1_BOTFB,FUNCTION: Mitogen-activated protein kinase involved in a signal transduction pathway that is activated by changes in the osmolarity of the extracellular environment. Controls osmotic regulation of transcription of target genes (By similarity). Involved in vegetative and pathogenic development like conidia formation, sclerotial development, and in penetration into unwounded plant tissue.
HOG1_CANAL,FUNCTION: Mitogen-activated protein kinase involved in a signal transduction pathway that is activated by changes in the osmolarity of the extracellular environment. Controls osmotic regulation of transcription of target genes. Regulates stress- induced production and accumulation of glycerol and D-arabitol. HOG1 is also involved in virulence, morphogenesis and oxidative stress response especially through its role in chlamydospore formation, an oxygen-dependent morphogenetic program.
HOG1_CRYPA,FUNCTION: Mitogen-activated protein kinase involved in a signal transduction pathway that is activated by changes in the osmolarity of the extracellular environment. Controls osmotic regulation of transcription of target genes (By similarity). Involved in the virulence and conidia formation. Mediates tannic acid-induced laccase expression and cryparin expression.
HSP90_CANAL,FUNCTION: Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function (By similarity).
IRS4_CANAL,FUNCTION: Positive regulator of phosphatidylinositol 4,5- bisphosphate turnover and negatively regulates signaling through the cell integrity pathway. Involved in rDNA silencing (By similarity).
KAPR_USTMA,SUBUNIT: Tetramer, composed of 2 regulatory (R) and 2 catalytic (C) subunits. In the presence of cAMP it dissociates into 2 active monomeric C subunits and an R dimer (By similarity).
KATG_PENMA,FUNCTION: Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity). May be involved in protection from the host during host infection.
KHS1_YEASX,FUNCTION: Kills sensitive strains of yeast.
KRE2_CANAL,FUNCTION: Required for the attachment of the third mannose residue of O-linked saccharides (By similarity).
LAA1_YEAST,FUNCTION: Involved in the trans-Golgi network (TGN)-endosome transport. Important for the correct localization of the adapter protein complex AP-1.
LAP1_ARTBC,FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP1_ARTOC,FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP1_TRIEQ,FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP1_TRIRU,FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP1_TRITO,FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP1_TRIVH,FUNCTION: Extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP2_ARTBC,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity (By similarity).
LAP2_ARTOC,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity.
LAP2_ASPFU,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity (By similarity).
LAP2_TRIEQ,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity.
LAP2_TRIRU,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity.
LAP2_TRITO,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity (By similarity).
LAP2_TRIVH,FUNCTION: Extracellular aminopeptidase that releases a wide variety of amino acids from natural peptides and contributes to pathogenicity (By similarity).
LAP3_ARTBC,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP3_ARTOC,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP3_TRIVH,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP4_ARTBC,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP4_ARTOC,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP4_TRIVH,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP5_ARTBC,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP5_ARTOC,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
LAP5_TRIVH,FUNCTION: Probable extracellular aminopeptidase which contributes to pathogenicity (By similarity).
MAK5_COCIM,FUNCTION: ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs (By similarity).
MAPK_FUSSO,FUNCTION: Responds to activation by environmental stress by phosphorylating downstream targets (By similarity).
MCPAL_ARTBC,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPAL_ARTOC,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPAL_TRIVH,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPA_ARTBC,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPA_ARTOC,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPA_TRIEQ,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPA_TRIRU,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity.
MCPA_TRITO,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPA_TRIVH,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPB_ARTBC,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPB_ARTOC,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPB_TRIEQ,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPB_TRIRU,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity.
MCPB_TRITO,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MCPB_TRIVH,FUNCTION: Extracellular metalloprotease that contributes to pathogenicity (By similarity).
MEP1_ARTBC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_ARTBE,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_ARTOC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_ARTOT,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_ASPFC,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP1_ASPFN,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates (By similarity).
MEP1_ASPFU,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP1_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Pays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host. Digests an immunodominant cell surface antigen (SOWgp) and prevents host recognition of endospores during the phase of development when these fungal cells are most vulnerable to phagocytic cell defenses.
MEP1_TRIEQ,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_TRIRU,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_TRITO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP1_TRIVH,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP20_ASPFM,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP2_ARTBC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_ARTBE,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_ARTOC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_ARTOT,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP2_TRIEQ,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_TRIRU,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_TRITO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP2_TRIVH,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_ARTBC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_ARTBE,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_ARTOC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_ARTOT,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP3_TRIEQ,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_TRIRU,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_TRISD,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_TRITO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_TRIVH,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP3_TRIVO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_ARTBC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_ARTBE,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_ARTOC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_ARTOT,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP4_TRIEQ,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_TRIRU,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_TRISD,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_TRITO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_TRIVH,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP4_TRIVO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_ARTBC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_ARTBE,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_ARTOC,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_ARTOT,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP5_TRIRU,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_TRITO,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP5_TRIVH,FUNCTION: Secreted metalloproteinase probably acting as a virulence factor (By similarity).
MEP6_ARTBC,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP6_ARTGP,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP6_ARTOC,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP6_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP6_TRIVH,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP7_ARTBC,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP7_ARTGP,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP7_ARTOC,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP7_COCP7,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Shows high activities on basic nuclear substrates such as histone and protamine. May be involved in virulence (By similarity).
MEP7_TRIVH,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
MEP8_ARTGP,FUNCTION: Secreted metalloproteinase that allows assimilation of proteinaceous substrates. Plays a pivotal role as a pathogenicity determinant during infections and contributes to the ability of the pathogen to persist within the mammalian host (By similarity).
